,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,indicator
active_num_days,0.136093170963,0.160004589482,-0.158202434239,0.0901182169053,-0.00155152646911,0.023630574658,0.10629535961,-0.117770020108,0.0826818445349,0.129834648659,0.301834196946,-0.0669061673328,-0.155209223144,-0.0343966331838,-0.190911067987,-0.0690562304135,0.109176802536,-0.100109078576,-0.0127870576837,0.366808947445,-0.291479045853,-0.252685853842,0.522335018056,-0.203393689603,
active_avg_count,0.137010617276,-0.0180737092366,0.0381295631788,-0.102473057705,0.103659758803,-0.24663882567,-0.305129447587,0.0911857044199,-0.0992738858478,0.133551900339,-0.152951676135,-0.0140550671003,0.122688843349,-0.0859195078884,-0.051082776418,0.120813716938,-0.027150899254,0.0366140789751,0.157351564152,0.269687486608,0.121230331125,0.154945609836,-0.111268681455,-0.243558794293,
active_sum_count,0.174177040642,0.0701150665768,-0.0456017531565,-0.044948130163,0.0338603121327,-0.0169497964549,-0.12924807268,-0.0498454793547,0.0397893486631,0.15128899526,0.102272189392,0.0690847900224,0.0331804061676,0.0174876576727,-0.122817828486,-0.0125963424048,-0.0391530549382,0.0436918663021,-0.0113512694673,0.0611963655579,-0.0941976008009,0.00781189789951,-0.083011099357,0.156463537271,
problem_num_days,0.141296704986,0.139931546156,-0.159488838905,0.072229581005,-0.0117138512573,-2.75091051077e-05,0.0867307717685,-0.100506518372,0.161049740018,0.172026091587,0.300672606339,0.149383063975,-0.0640502621346,0.0861096480281,-0.172652290984,-0.261874429872,-0.0972546583087,-0.139614630657,-0.0233951520111,0.159830076021,0.0704653024396,0.217612472303,-0.363271815584,0.00312493642255,
problem_avg_count,0.0847799423694,0.132083839232,-0.0754350908096,-0.08546680395,0.0523761414747,-0.269089397489,-0.395428942781,0.178287197576,-0.142690424391,0.388188392692,-0.0167258196937,0.0304485421625,0.168369591251,-0.0676558475065,0.052979772368,0.0601553933884,0.0859134826015,0.161017554613,-0.0524211604574,-0.199827854378,0.0775225651094,-0.137161814631,0.22191246401,-0.184955254046,
problem_sum_count,0.128020925576,0.186842222584,-0.125276004398,-0.0508532402861,0.0240341277129,-0.114393613678,-0.227301303921,0.0243667386355,-0.0300842754896,0.309809237729,0.169184584263,0.154624135245,0.0695927515281,0.0820655356152,-0.0270339999618,-0.0749977817409,-0.0374902921266,0.0152360516496,-0.107885041028,0.0376018372057,-0.0624416450532,-0.0776391664318,-0.211997506131,0.381022887501,
video_num_days,0.158091944947,0.113992871177,-0.0819147227676,0.102580051473,-0.0123454775743,-0.0199506439651,0.106769822642,-0.0970697944328,0.19523095979,-0.00159086610212,0.143229986684,0.246212730574,0.0732756845359,0.00616584372794,0.14007413628,-0.0326713127179,0.0472500152624,0.0535278041709,0.123706494439,-0.159323943256,0.0722186942404,0.041032015135,0.0260000128028,-0.276112627162,
video_avg_count,0.144616056925,-0.149785026414,0.107197555548,-0.11813332803,0.141513278724,-0.0726606393898,-0.0350735400347,-0.0214816595594,-0.0954520012226,-0.0732705966517,-0.158741334038,-0.129838788569,-0.0567254407098,-0.0949442700805,-0.149035571314,0.140273595796,0.0273416485666,-0.107322790504,0.0432126081169,0.531262064928,0.121929630918,0.075634137017,0.0611170324089,0.151729716451,
video_sum_count,0.168139325607,-0.106801625951,0.0919837526616,-0.103994730921,0.0854094569706,0.0730900919634,-0.00964730150181,-0.0547221086245,0.000114305081337,0.0142929115513,-0.0152797075709,-0.0168695097244,-0.00669503130982,0.0888010589338,-0.0693078261273,-0.0172579215226,0.0414145840912,-0.0278630651036,0.0695440775042,0.00572950605829,0.0422514850326,0.00407258172207,0.0416016937817,-0.00883984525631,
forum_num_days,0.0270485087165,0.145374382688,0.0846202931939,0.332013975549,0.338009631233,0.228572243395,-0.115925108353,0.0462629464118,-0.050493953416,-0.00155255816502,-0.0689389588845,0.0384253476041,-0.0305989969745,0.000149667106687,0.0430586643522,-0.0114949763795,-0.113649975077,0.109152541892,-0.0297949236589,-0.0513971297576,0.00292347076368,0.0893645733389,0.00961275962991,0.0517636806771,
