,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,indicator
video_forward_seek_avg,0.108414237908,-0.16137563596,0.115113114136,-0.0895756387379,0.274107957074,0.120044816322,-0.00736065480695,0.242383776296,-0.262750128055,0.0666596949483,-0.171786200331,-0.225175472408,0.0189284037809,-0.0346993073618,
video_backward_seek_sum,0.146050397146,-0.0881248829582,0.169300431508,-0.0164190512811,-0.0546705935569,-0.0297058817449,0.278969065215,-0.128017780074,0.106450492303,0.0026286862225,-0.12783787537,-0.0129288587126,-0.085105962704,0.0454178595553,
video_backward_seek_avg,0.123900004596,-0.108253845785,-0.0610849364351,-0.0228527949393,-0.0638690388703,-0.00593069245321,0.444925964843,-0.157928410313,0.173628881329,0.0884772394038,-0.174098893192,0.157025266265,-0.113619070113,-0.37342226448,
video_pause_forward_seek_sum,0.145820701505,-0.0549927830946,-0.0661860891359,0.0468859205047,-0.0936063327493,-0.239318598984,-0.241134670341,-0.108243613116,0.0559815065706,-0.0980660013699,-0.0654745331846,0.182426770072,0.0943403287101,-0.0528850693771,
video_pause_forward_seek_avg,0.113461456185,-0.125483235738,-0.27542063994,0.0526570113632,-0.0974408785602,-0.251913913715,-0.170791950575,0.0200136279696,-0.0644754983864,-0.0775374051152,0.0752388191601,0.131511721791,-0.0453802614467,-0.0884354389936,
video_pause_backward_seek_sum,0.159228565421,-0.0344359544078,0.108834640923,-0.0130673878019,-0.0768165967126,-0.156778644365,0.0585099416088,-0.0522010581605,0.166251985815,-0.0492132342573,0.0356649777,-0.151506706995,0.022015017533,0.350711379435,
video_pause_backward_seek_avg,0.133962804065,-0.0987263909496,-0.174140715987,-0.00539080249283,-0.0752306459278,-0.185298644602,0.116879106523,0.0774233330876,0.0903375763986,0.0134747739734,0.262150604801,-0.164917440352,-0.0919376222446,0.441510896533,
video_stop_backward_seek_sum,0.131994254373,0.05292839004,0.199730956509,0.132272438056,-0.143612138674,0.0153937462965,0.105554762739,0.231037835742,0.068272933662,-0.217401380587,0.12808087696,-0.0981364739246,0.160493353508,-0.0411004673277,
video_stop_backward_seek_avg,0.106414052045,0.0734498380357,0.0556896249343,0.125362135078,-0.172514411692,0.0789632508811,0.170789595183,0.381422453696,0.0493095216824,-0.50601268111,0.131125147787,-0.0696429456426,0.344230815184,-0.227382891229,
all_type_video_forward_seek_sum,0.146436982125,-0.157640301752,0.185666213802,0.000813945276166,0.0971194012285,-0.0458417825344,-0.136918299446,0.0399808061395,-0.0974356114755,-0.00408928412899,-0.0155424956333,0.033194151209,-0.0172220268228,0.0183959857788,
all_type_video_forward_seek_avg,0.142398005872,-0.181246386642,-0.128944997395,-0.0140566283412,0.0880850314126,-0.109485798901,-0.12507272597,0.153023450315,-0.196153423954,-0.0166777575862,-0.0451756300018,-0.0359424504734,-0.0212679223087,-0.0824578888305,
all_type_video_backward_seek_sum,0.155577856866,-0.0690852764003,0.157710500769,-0.0104430360832,-0.0672936665898,-0.0701038363082,0.21263759318,-0.095305491394,0.128508215234,-0.0221660348625,-0.0707457662214,-0.0612265827644,-0.0448460316872,0.142256909575,
all_type_video_backward_seek_avg,0.141628351657,-0.11128833502,-0.104809723376,-0.0140663260713,-0.0793803666216,-0.0680281979872,0.370386203274,-0.0731686429753,0.159984081096,0.0510744887538,-0.0274121620022,0.0521178040173,-0.103174174806,-0.120118025959,
all_type_video_seek_sum,0.155910021895,-0.136820671688,0.185211005125,-0.00269798771872,0.0496626062702,-0.0555534461714,-0.0328898529785,-0.000866239276229,-0.0305965301634,-0.00997174080683,-0.0336439938669,0.00492378991022,-0.0267052333755,0.0582690789815,
all_type_video_seek_avg,0.153650343448,-0.171528397846,-0.130965621561,-0.0151972462856,0.0368469654071,-0.103894973516,0.037484135694,0.0865719263887,-0.0879031327976,0.00558573914524,-0.0426396545965,-0.0081598636653,-0.0515342867936,-0.102254255616,
video_pause_sum,0.161785567999,-0.0323196461241,-0.0190927962039,0.0347804774952,-0.0725855904469,-0.186092596658,-0.182169192322,-0.116660183474,0.111658685777,-0.0634793887369,-0.0344212949734,0.0904106760275,0.091087192358,0.0299140664234,
video_pause_avg,0.129290669911,-0.11166897842,-0.26725641599,0.0412403657284,-0.0816833689264,-0.209488377941,-0.118475691105,0.0148893047852,-0.0235226807693,-0.0622249023324,0.114447852759,0.0478841623651,-0.0221589220254,0.00120721627882,
video_stop_sum,0.136731936315,0.100154617495,0.126201960289,0.177207065648,-0.215227607615,0.0787177835187,-0.0600046416147,0.088657085295,0.043266626527,0.108082327272,-0.0354095403951,0.0270119428155,-0.106646330035,0.0206059363414,
video_stop_avg,0.112866789888,0.14773829531,-0.0374572138388,0.229283299875,-0.2206493737,0.116355468673,0.00561681828306,0.258010502455,-0.146269352516,0.173767803582,-0.0881368676454,0.177421546654,-0.156098630561,0.0678033028328,
video_play_sum,0.159805666126,-0.120530875435,0.177240403027,0.00222394534863,0.0477527322737,-0.0407854276082,-0.0449584170936,-0.0119478172644,-0.0115285442539,0.00401177369129,-0.0263812031287,0.00457168646477,-0.0166958889108,0.0514075987351,
video_play_avg,0.157423262875,-0.154499721946,-0.139933612057,-0.00939376358024,0.0357708258153,-0.0766632151613,0.0323582967242,0.0776023031248,-0.0806049049156,0.0165253071239,-0.0347388658401,-0.0165563614144,-0.0370115036616,-0.0899641036972,
video_events_sum,0.163555209586,-0.111920077478,0.148410527354,0.00832589882498,0.0245036609388,-0.0743121400605,-0.0677576805209,-0.0267052072366,0.00439943721936,-0.013159499182,-0.0317579292263,0.0213683891125,-0.00174355911467,0.0514191787399,
video_events_avg,0.153267590896,-0.151290310013,-0.171732348485,0.0036289445488,0.00481630391458,-0.120227245603,-0.00297240140001,0.0695842088604,-0.0721667771753,-0.00499875320044,-0.00183368194398,0.00444383776531,-0.0411274522049,-0.0725348618286,
mt_practice_sum,0.0964656822867,0.236655232369,0.00459471369789,-0.272436391581,0.0581450884207,-0.115918474427,0.0711250201167,0.00422462352099,-0.203547436209,0.23808108552,0.087613937748,0.00716840782891,0.13045784013,-0.159633815803,
mt_unit_sum,0.115410257294,0.239814280473,0.042001323999,-0.251104439452,0.0145428891135,-0.13460587321,0.0159292448913,0.0789207256482,-0.0234722479038,0.0655034807378,0.0442117102758,0.111462040925,-0.0549987764754,0.0236379939337,
mt_online_num_day,0.102864753979,0.231985988355,0.0299712046661,-0.251032116497,-0.0574613303962,-0.143926100757,0.0524590961151,0.168827177024,0.0100346319689,-0.0149769938665,0.195936397741,-0.134524666733,0.0959744994982,0.0337491411319,
mt_online_practice_num_day,0.108981975542,0.244413938653,0.0301688081936,-0.278553392146,0.00545157579729,-0.132019242441,0.0499135581395,0.0738996860356,-0.00544416009011,0.0744574140075,0.129651295295,0.0642637784153,-0.00335949968752,0.04513324685,
hw_mean,0.111064213148,0.251945663495,0.0207755382555,-0.238309533944,0.0290123191683,-0.138215717593,-0.00281249524066,0.0495740982864,-0.00718793518198,0.162345835612,0.0895054732008,0.117812041614,-0.002958402725,-0.0366009370778,
qz_mean,0.118612218492,0.141629868897,-0.0205008787266,-0.0236691599513,0.0188485975453,0.146283417127,-0.192590059349,-0.117492490295,0.0949070343148,-0.262620004742,0.22683542505,-0.358992848898,-0.624411702696,-0.212289420631,
Regression P>|t|,0.0,0.0,0.041,0.0,0.717,0.005,0.001,0.236,0.777,0.122,0.002,0.0,0.0,0.641,0.011
