,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,indicator
active_num_days,0.13921496887,0.126878795141,0.109937862321,-0.00948796787923,0.123444836628,-0.0478380479708,0.208816209952,-0.0495679670949,-0.174392156014,0.0341151229321,-0.31131185548,0.0184504989359,0.033228076975,0.0861982571435,-0.0474059975474,
active_avg_count,0.115036573448,0.00165449157444,0.0747696616213,0.145893074452,-0.237542636579,-0.176381203409,-0.338518079894,0.0123866612194,0.0454805272052,0.227585176785,0.101168712045,0.0552818633505,-0.0428888844376,-0.0269989976846,0.131578199979,
active_sum_count,0.178087471051,0.0814842213173,0.092762834226,0.0124561479519,-0.00955906317061,-0.050905134523,-0.0899702099131,-0.0421122351908,-0.145652698722,0.103819275457,-0.0731931538748,0.00908367539275,-0.121041589762,0.103911688018,-0.00137567766523,
problem_num_days,0.149886497779,0.122710779819,0.106015246472,-0.0128531152444,0.0581306434665,-0.0654713469662,0.19362104213,-0.0130582688848,-0.230652585746,0.0335292326911,-0.252703647656,-0.0696242609629,-0.16468101874,0.0883099081958,0.0769398155162,
problem_avg_count,0.0594141287868,0.0890705202278,0.174614887033,0.084622578853,-0.215219517103,-0.255822168737,-0.332064123919,0.0399200061207,-0.0258353137293,0.404101701741,-0.04248765739,0.0344581404911,-0.114476788045,-0.0775771495049,-0.0199005408673,
problem_sum_count,0.121327251808,0.166750026444,0.183802023094,0.0118905417534,-0.0691871121743,-0.16804664087,-0.128049786197,-0.00759284986957,-0.167271678632,0.256861605095,-0.166607779384,-0.0678878910299,-0.211140674656,0.0436675644182,-0.0828953535191,
video_num_days,0.165164215832,0.108858649601,0.0339113531747,0.0125009158459,0.0420110523153,-0.0340337293913,0.19763307809,-0.00903925017417,-0.209683077433,-0.0720119057676,-0.0326943144885,-0.0293788581356,-0.183143901088,-0.148130460145,0.132627296666,
video_avg_count,0.148161722871,-0.125676009241,-0.00567595410292,0.12892458595,-0.119715090391,0.10885737739,-0.180838025389,-0.0513640418157,0.134415005253,0.00212265684909,0.108459089723,-0.0219188405233,0.213279081792,0.0102487466522,0.101867042014,
video_sum_count,0.185057832682,-0.0769103639271,-0.00385407368681,0.0294556897164,0.00885452844555,0.142378597511,-0.0783511464982,-0.0330826505911,-0.0261725979632,-0.00862676450859,0.0239809342294,0.010665586272,-0.0128190567933,0.0501092558194,-0.0115550902829,
forum_num_days,0.0260845334409,0.136897766715,-0.0127338830221,0.278127228484,0.436540421839,-0.0472247828547,-0.134088259105,0.0471088287621,0.0926550832697,0.013895954646,0.0124197831151,-0.0629459184017,0.00821822200896,0.0185624908462,0.0365434403093,
forum_avg_count,0.0222372325198,0.139965071926,-0.0117878589897,0.275471300439,0.436663633703,-0.0517590215914,-0.13018845,0.057567214289,0.119554481968,0.00605110757542,-0.0385508191136,-0.0787025850002,0.0308445416294,-0.0155349386137,0.0188598987575,
forum_sum_count,0.0223272829301,0.150490410132,-0.0098954258926,0.264047430888,0.429729499879,-0.048817182496,-0.122133916333,0.064068662803,0.157955609202,0.00459402021661,-0.0541937847841,-0.0615460957582,0.0368770829298,-0.00120954955413,0.000472913423997,
num_watched,0.167001133233,0.13208721725,-0.033504361427,0.105911916493,-0.0727155666826,0.0490348812505,-0.0378864259408,-0.123830197703,-0.0620145534597,-0.204958125747,0.0938811367282,-0.0192477704363,-0.0519566245801,-0.132621933445,0.0429495729703,
num_complete,0.157142617719,0.157809498461,-0.0978401369069,-0.0223726031673,-0.0809287423342,0.0527128566879,-0.089849309898,-0.166176858733,-0.0179801932269,-0.154329980999,-0.00922447881626,-0.160381495578,-0.0393352981584,-0.15281727755,0.0972872170292,
num_incomplete,0.0987481038873,-0.000645482335343,0.135981385459,0.349319962363,-0.0136166892149,0.0135531397265,0.104929994351,0.0434388841718,-0.131519947342,-0.21170931099,0.28472110113,0.322857846889,-0.0531680007626,-0.0125811365345,-0.108217433441,
complete_rate,0.150173326994,0.13049234421,-0.125600755336,-0.0409107699382,-0.113526353387,-0.0621911776895,0.0267946447757,-0.109395426233,0.179416183398,-0.114231984212,-0.124751892033,-0.244966059198,-0.0598094130227,-0.191985212437,0.260411953386,
incomplete_rate,0.0322981394737,-0.0881063328403,0.1984894394,0.254814668255,-0.0535836978672,-0.277764062392,0.260261418959,0.242534640535,-0.0558971160814,-0.0689325710488,0.206678491264,0.343419478423,-0.0597800929025,0.0166833124451,-0.0592100430766,
watched_time_hour,0.130251502405,0.00578887575071,0.0187912891199,0.0411528934505,-0.0982267630369,-0.256577966153,0.122571373117,-0.0152288842075,-0.00221888626456,-0.260540772334,-0.0348244765911,-0.446654783732,0.0115672259228,0.328144837915,-0.510724749693,
watched_time_weekday,0.0806255697921,-0.019969597527,0.0433290738271,0.198202327627,-0.273033317566,-0.174383147554,-0.0890459300491,-0.0114179150459,0.340239165153,-0.245822404227,-0.0745935892009,-0.0367448841377,0.191708350775,0.421619325625,0.232720274227,
seek_video_sum,0.17639372779,0.00213944274777,0.0446798721164,0.0723831668192,-0.0755382865873,0.127677955535,-0.056806097673,0.0508847101195,-0.0921490807923,-0.138919774779,0.0729619802389,-0.0413289447925,0.0179534271527,-0.0202445864152,-0.100120382775,
seek_video_avg,0.15824586058,-0.0770083944289,0.084299028133,0.075867210341,-0.10122928325,-0.0758023575116,0.107585791961,0.2153336908,0.00807911092255,-0.0881937647086,-0.0127417157439,-0.0933260882005,-6.2120459871e-05,-0.0537809567048,0.0261621110781,
pause_video_sum,0.172391496975,0.1242354965,-0.0196916257161,0.0785032554687,-0.044822702596,0.036676650444,-0.0430955530931,-0.113665408253,-0.0829388078349,-0.180067255726,0.0987545677759,-0.0504221148906,-0.0275983288978,-0.144340966147,0.109059834834,
pause_video_avg,0.159536365303,0.0429631779488,0.0272230088791,0.0821751284546,-0.0846889584036,-0.223667896435,0.17369299754,0.0604805462437,0.0878406667351,-0.123093216631,0.026703960947,-0.0763250532617,-0.0410362635034,-0.264236153282,0.269723065471,
stop_video_sum,0.0930034726048,0.229472621324,-0.273644559478,0.0317378374154,-0.0874563088168,0.0537426889713,0.0356399061767,-0.0589200621857,0.0221427594285,0.00520227524202,-0.0153849384011,0.173759901674,-0.0701525914943,-0.0908724090016,-0.156919389064,
stop_video_avg,0.0643928023559,0.215979272081,-0.279413464289,0.0408116867987,-0.0910979463861,0.000220236139065,0.121035364042,0.0176624864364,0.273019075396,0.100449279882,-0.117489451018,0.250087936715,-0.0821936885849,0.105463500171,-0.112244603717,
video_forward_seek_sum,0.107308953885,-0.0970019533498,0.140462062131,0.220051566725,-0.0859561268532,0.390174285526,0.0613286254825,-0.0071641343031,0.0743866994959,0.11691696667,-0.110001219644,-0.0547724490251,-0.0123132705809,-0.0324652726301,-0.0265247837971,
video_forward_seek_avg,0.0994380089193,-0.117115267762,0.162259635179,0.209531327737,-0.0747453204732,0.334430522094,0.183380267141,0.0309475862605,0.109632258662,0.140759227444,-0.172141426495,-0.064208365633,-0.0108684692314,-0.0934182166628,-0.0245775362808,
video_backward_seek_sum,0.155284149697,-0.106654926939,-0.0471258484366,-0.115512664416,0.0256361115273,0.0597183113202,-0.207824516258,0.229762479054,0.00851446249927,-0.131984717165,-0.19638451531,0.0939202748418,-0.0587436929748,0.0134288566276,-0.120302792909,
video_backward_seek_avg,0.135422812295,-0.162687606465,-0.0558821621342,-0.122198147151,0.037917852736,-0.0754117623618,-0.100753378805,0.333537408446,0.110397818481,-0.0894156285301,-0.207271787577,0.013810779717,-0.0794175348744,-0.0774295323925,-0.0481260091222,
video_pause_forward_seek_sum,0.165787339215,-0.0609084095686,-0.0881834712153,-0.0912166185897,0.110126806379,-0.0835911212947,-0.0640944838593,-0.232127479379,-0.0710563801532,0.0482907036831,0.17853494914,0.0287550494677,-0.0301235861416,0.225565057269,-0.00664811467738,
video_pause_forward_seek_avg,0.135221870061,-0.139813625926,-0.083776808238,-0.124287650551,0.130093599938,-0.228396453562,0.136433037489,-0.177468099721,0.0929037604542,0.171175518763,0.169784474013,-0.0070508715176,0.0398436686018,0.0161004676183,-0.0177740294765,
video_pause_backward_seek_sum,0.169141569889,-0.0100478026995,-0.0736053633305,-0.11171999584,0.0755308330915,0.0320608144746,-0.156983460183,0.0193545572403,-0.173643994677,-0.129042791836,0.0658669558827,0.163521285705,0.0687763531837,0.0195412478566,0.00810597284276,
video_pause_backward_seek_avg,0.159020237409,-0.091307670022,-0.0820387595777,-0.152217536684,0.0929207082383,-0.0870014020698,-0.0399341369338,0.0921998561972,-0.0523752084897,-0.0559990322845,0.0326572051267,0.128658527411,0.132016573477,-0.159158718478,0.0887731919857,
video_stop_backward_seek_sum,0.0989493928052,0.175364438492,-0.173189452791,0.00699314063777,-0.0211721081993,0.110702644807,0.0454421786809,0.3150587248,-0.246489600196,0.174626004704,0.25435711259,-0.199034649998,0.143678146208,0.0755573391309,0.0467665824802,
video_stop_backward_seek_avg,0.0705508909733,0.129650865262,-0.211756971198,0.00498769474492,-0.0705660029555,0.0963160893094,0.117536137969,0.43609574159,-0.107515674196,0.247058172543,0.247410072376,-0.280262877256,0.187589985144,0.149693883741,0.123438103477,
all_type_video_forward_seek_sum,0.17273304214,-0.0992472479252,0.0309018046269,0.0784300730775,0.0170106842595,0.189045726881,-0.00287588495379,-0.152919322392,0.000787497739968,0.103555106574,0.0458188351971,-0.0156519377279,-0.0269199748773,0.124090709047,-0.0207383444305,
all_type_video_forward_seek_avg,0.155076756816,-0.16848514065,0.0313860012723,0.0288040905877,0.0521671351278,0.0241136428751,0.203753237408,-0.111599310327,0.130067963175,0.204782987521,0.0256124321839,-0.0416925743681,0.0228231921815,-0.0414667072894,-0.0269356529135,
all_type_video_backward_seek_sum,0.167224581232,-0.0737867586216,-0.0617297351285,-0.117700815204,0.0422716933185,0.0553453926806,-0.196471550122,0.175962121335,-0.0573255713195,-0.130670597482,-0.109929440462,0.114600435556,-0.0150431141713,0.0177916326702,-0.0807194945922,
all_type_video_backward_seek_avg,0.150443494784,-0.144727126333,-0.0718251479527,-0.136638225048,0.0545611781176,-0.0797899705414,-0.0835928825034,0.285891086071,0.0627924981702,-0.0767658572445,-0.136766970067,0.0422293605485,-0.0135098384037,-0.10193083982,-0.00525521766311,
all_type_video_seek_sum,0.182340923319,-0.0968087990713,-9.43720820462e-05,0.0136723058219,0.0271679662093,0.153985846965,-0.0721766813101,-0.0457646857339,-0.0199044316658,0.0268821255695,-0.00670866518614,0.0297956370676,-0.0244840910366,0.0944598803121,-0.0435394973562,
all_type_video_seek_avg,0.166573931536,-0.17423638675,-0.00310177260808,-0.0283038120378,0.0574575438295,-0.0112407673593,0.117616440248,0.0220086463658,0.11689315867,0.120820416084,-0.0306638841716,-0.0150231706537,0.0116821675938,-0.0667518277187,-0.0214181466643,
video_pause_sum,0.176252501428,-0.033020154586,-0.0803062852045,-0.0806120318172,0.0938356917652,-0.0513335334552,-0.0824620908143,-0.185785599327,-0.0952179298076,-0.0071124451986,0.155312708846,0.0416945547106,-0.0152610355475,0.15351834711,0.0248931337386,
