,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,indicator
active_num_days,0.140102524584,0.123016291758,0.129259006451,0.114794894769,-0.0858685135335,-0.120903627942,0.0767512254609,-0.150067035572,0.163470613477,0.0333540985979,0.251621445014,-0.0579609446451,0.138745705574,0.115425535758,0.000133720235284,-0.0993846502483,0.176007488041,0.17936181296,0.208962812542,-0.251317523988,-0.254716873339,-0.222926758381,-0.180171171726,-0.31787870605,
active_avg_count,0.130465189564,0.0249844172336,0.0108417408476,-0.0964213113691,0.259827199176,-0.033659420462,-0.266357859996,0.162397811341,-0.216583711878,0.181934897897,-0.0691514638703,0.0232455544204,0.124031088605,-0.11526536598,-0.0563187014353,0.0833409262661,-0.194591890041,0.155104491174,0.000520968125867,-0.0979925586452,-0.163192810063,-0.0396349935867,0.072575108746,0.0358134528475,
active_sum_count,0.176729526944,0.0756854648289,0.065935102529,-0.00726323122597,0.00605206963332,0.0102289312476,-0.113996760497,-0.0568595110728,0.032213795981,0.123381955305,0.118288508614,0.0846549851262,0.122352687614,0.0399508123669,-0.0873081343278,0.046430922082,0.0018996104135,0.0500239563035,0.0221688010417,-0.0382797404634,-0.00522889550187,-0.019447298525,-0.0487600140577,0.0268694224815,
problem_num_days,0.151110708249,0.102683393011,0.113034988965,0.0757792479985,-0.0624096952204,-0.133125175998,0.0561112683734,-0.15246814729,0.180571332711,0.0723955965069,0.261510058811,0.0506227769467,0.0898328088231,0.0514180417653,-0.0082912283501,0.084003805907,0.218626577927,0.11722496668,0.0835747279095,-0.180723948555,3.99590500902e-05,0.0348454637592,-0.0166461382987,0.090578753847,
problem_avg_count,0.0885021793636,0.143240027658,0.134752664413,-0.125384731755,0.201182661172,-0.0889815643935,-0.292017912122,0.193400671293,-0.161849662531,0.317388417268,0.151280358631,0.161463925854,0.165915902937,-0.0455624939808,0.0609284929068,0.131972297616,-0.067324629169,-0.0870416355106,-0.0580213288565,0.262937793508,-0.00838600292906,-0.038601192453,0.0947083859114,0.010153528388,
problem_sum_count,0.136426408851,0.17266404976,0.149514983709,-0.0420636201262,0.0365811810394,-0.0627254681673,-0.173468360003,-0.0141416910054,0.0181990381585,0.21301425271,0.293979970535,0.149835237192,0.126497638567,0.0996022665874,-0.0241460473749,0.11523536492,-0.0148929498659,-0.0436778566902,0.0553869833094,-0.006588222481,-0.0113404631061,0.0273321720124,-0.00309500568896,0.0426665856678,
video_num_days,0.1623291722,0.099810066672,0.0389747191677,0.0772546017788,-0.035307361984,-0.104945509421,0.0859917758492,-0.140807898464,0.178639877467,-0.018990882894,0.0298079651788,0.215963297491,-0.087246587098,-0.21597122756,0.0462029930488,0.0192586708233,0.109074988286,-0.0629417977407,-0.179164533709,-0.0536694203495,0.0524537975651,-0.0718764834118,0.140653990083,-0.0186311037954,
video_avg_count,0.144880903175,-0.137685616462,-0.0482502202863,-0.00587644650368,0.194227781048,0.118691630247,-0.0895790900846,0.0157446234914,-0.177520226792,-0.0412151548606,-0.134009594398,-0.19875085477,-0.00209094107129,0.0268273659562,-0.12020439496,-0.136316277375,-0.150197315211,0.158809534834,0.244151411441,-0.232257194885,-0.40256617606,0.174544286791,-0.00770476337332,-0.160245145652,
video_sum_count,0.177276487009,-0.0856660001803,-0.0442903453523,0.00888018868908,0.024902412265,0.159083777702,-0.0148358878573,-0.0488244302589,-0.00900487557374,0.0185605184287,-0.043961431992,0.041901957783,0.00977874878633,0.0946520437956,-0.0403465045072,-0.0642160763336,0.0222165019946,-0.0524478619033,-0.0843108032179,-0.0617610655154,-0.0468607118876,0.0168352030559,0.0409478772314,-0.00177520544859,
forum_num_days,0.0219671784347,0.153724914516,-0.0384786749662,0.489981958385,-0.0827252888737,0.0956574508535,-0.0929419173927,0.12379001357,-0.116613444,0.0101896163889,0.0132168130182,-0.0166477024512,-0.0716206930563,0.0232566557612,-0.036710880547,0.0389684794225,-0.0405690592341,-0.00441568992087,-0.0307062292524,0.0507868512807,0.0663865914641,0.0656249681706,0.0366769715834,0.00773634861634,
