label,username,week,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,video_sum_count,num_watched,num_complete,num_incomplete
0.0,Y1050160,1,1.0,822.0,1.0,82.0,1.0,84.0,10.0,6.0,4.0
0.0,Y1050160,2,3.0,318.0,3.0,25.0,3.0,25.0,4.0,0.0,4.0
0.0,Y1050160,3,2.0,372.0,2.0,35.0,2.0,41.0,2.0,0.0,2.0
1.0,Y1050160,4,1.0,181.0,1.0,13.0,1.0,12.0,2.0,0.0,2.0
0.0,Y1050161,1,2.0,656.0,2.0,77.0,1.0,43.0,6.0,1.0,5.0
0.0,Y1050161,2,1.0,231.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050161,3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050162,1,3.0,1377.0,2.0,56.0,2.0,264.0,13.0,11.0,2.0
0.0,Y1050162,2,3.0,1898.0,3.0,62.0,3.0,490.0,12.0,10.0,2.0
0.0,Y1050162,3,3.0,1707.0,3.0,78.0,3.0,349.0,15.0,12.0,3.0
0.0,Y1050162,4,2.0,408.0,2.0,23.0,2.0,88.0,4.0,3.0,1.0
1.0,Y1050162,5,3.0,1032.0,3.0,69.0,3.0,187.0,14.0,10.0,4.0
1.0,Y1050164,1,3.0,109.0,0.0,0.0,3.0,12.0,6.0,4.0,2.0
0.0,Y1050165,1,2.0,141.0,0.0,0.0,2.0,34.0,3.0,1.0,2.0
1.0,Y1050165,2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050166,1,3.0,288.0,2.0,11.0,3.0,17.0,3.0,0.0,3.0
1.0,Y1050166,2,2.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050166,4,2.0,85.0,0.0,0.0,2.0,18.0,1.0,0.0,1.0
0.0,Y1050167,1,3.0,485.0,2.0,53.0,2.0,23.0,4.0,3.0,1.0
0.0,Y1050167,2,2.0,720.0,1.0,94.0,1.0,30.0,11.0,5.0,6.0
1.0,Y1050167,3,2.0,661.0,1.0,92.0,2.0,25.0,9.0,4.0,5.0
0.0,Y1050168,1,3.0,789.0,2.0,55.0,3.0,78.0,9.0,8.0,1.0
0.0,Y1050168,2,2.0,139.0,1.0,4.0,1.0,2.0,2.0,0.0,2.0
1.0,Y1050168,3,1.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050169,1,3.0,953.0,2.0,80.0,3.0,142.0,11.0,9.0,2.0
0.0,Y1050169,2,3.0,1015.0,3.0,81.0,3.0,156.0,11.0,2.0,9.0
1.0,Y1050169,3,1.0,137.0,1.0,13.0,1.0,18.0,2.0,1.0,1.0
0.0,Y1050170,1,3.0,697.0,1.0,70.0,1.0,54.0,12.0,11.0,1.0
0.0,Y1050170,2,4.0,1019.0,3.0,75.0,4.0,107.0,12.0,12.0,0.0
1.0,Y1050170,3,1.0,415.0,1.0,36.0,1.0,33.0,7.0,5.0,2.0
0.0,Y1050171,1,5.0,691.0,2.0,73.0,3.0,45.0,11.0,11.0,0.0
0.0,Y1050171,2,4.0,751.0,4.0,104.0,4.0,19.0,11.0,11.0,0.0
0.0,Y1050171,3,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050171,4,2.0,471.0,2.0,66.0,2.0,22.0,8.0,8.0,0.0
0.0,Y1050171,5,2.0,351.0,2.0,47.0,2.0,17.0,7.0,6.0,1.0
1.0,Y1050171,6,3.0,673.0,3.0,100.0,3.0,23.0,12.0,12.0,0.0
0.0,Y1050172,1,1.0,834.0,1.0,46.0,1.0,127.0,8.0,8.0,0.0
0.0,Y1050172,2,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050172,3,1.0,100.0,0.0,0.0,1.0,20.0,1.0,0.0,1.0
0.0,Y1050173,1,4.0,681.0,3.0,55.0,3.0,80.0,10.0,8.0,2.0
0.0,Y1050173,2,4.0,639.0,3.0,50.0,3.0,48.0,6.0,2.0,4.0
0.0,Y1050173,3,1.0,684.0,1.0,38.0,1.0,109.0,12.0,9.0,3.0
0.0,Y1050173,4,3.0,571.0,2.0,50.0,1.0,43.0,3.0,2.0,1.0
0.0,Y1050173,5,5.0,751.0,3.0,81.0,2.0,25.0,3.0,1.0,2.0
1.0,Y1050173,6,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050174,1,5.0,910.0,4.0,75.0,2.0,77.0,9.0,6.0,3.0
0.0,Y1050174,2,4.0,894.0,4.0,91.0,2.0,26.0,5.0,4.0,1.0
0.0,Y1050174,3,6.0,570.0,4.0,77.0,1.0,18.0,3.0,3.0,0.0
0.0,Y1050174,4,7.0,730.0,3.0,97.0,1.0,1.0,1.0,0.0,1.0
0.0,Y1050174,5,6.0,537.0,3.0,94.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050174,6,3.0,39.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050175,1,3.0,662.0,3.0,59.0,3.0,38.0,12.0,10.0,2.0
0.0,Y1050175,2,3.0,705.0,3.0,66.0,3.0,26.0,6.0,3.0,3.0
0.0,Y1050175,3,4.0,1011.0,4.0,99.0,4.0,89.0,14.0,10.0,4.0
0.0,Y1050175,4,3.0,563.0,3.0,41.0,3.0,54.0,11.0,8.0,3.0
1.0,Y1050175,5,3.0,513.0,2.0,59.0,3.0,33.0,9.0,4.0,5.0
0.0,Y1050176,1,5.0,724.0,2.0,53.0,5.0,86.0,8.0,8.0,0.0
0.0,Y1050176,2,4.0,936.0,3.0,72.0,3.0,109.0,9.0,9.0,0.0
0.0,Y1050176,3,4.0,990.0,3.0,96.0,3.0,108.0,13.0,13.0,0.0
0.0,Y1050176,4,4.0,1285.0,3.0,103.0,4.0,110.0,11.0,11.0,0.0
0.0,Y1050176,5,6.0,1342.0,4.0,126.0,5.0,83.0,13.0,9.0,4.0
1.0,Y1050176,6,3.0,682.0,3.0,61.0,3.0,39.0,6.0,2.0,4.0
0.0,Y1050177,1,2.0,881.0,2.0,97.0,2.0,48.0,7.0,1.0,6.0
0.0,Y1050177,2,4.0,1531.0,2.0,110.0,3.0,171.0,10.0,7.0,3.0
0.0,Y1050177,3,3.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050177,4,2.0,900.0,1.0,72.0,1.0,133.0,10.0,6.0,4.0
1.0,Y1050177,5,2.0,865.0,1.0,97.0,1.0,32.0,4.0,1.0,3.0
0.0,Y1050178,1,1.0,517.0,1.0,41.0,1.0,81.0,10.0,5.0,5.0
1.0,Y1050178,2,1.0,295.0,1.0,14.0,1.0,52.0,11.0,6.0,5.0
0.0,Y1050179,1,6.0,2678.0,5.0,151.0,5.0,527.0,19.0,18.0,1.0
0.0,Y1050179,2,4.0,356.0,2.0,25.0,3.0,30.0,3.0,2.0,1.0
0.0,Y1050179,3,6.0,1590.0,5.0,127.0,6.0,157.0,17.0,15.0,2.0
0.0,Y1050179,4,4.0,1246.0,3.0,109.0,4.0,142.0,12.0,11.0,1.0
0.0,Y1050179,5,4.0,785.0,2.0,64.0,3.0,23.0,8.0,7.0,1.0
1.0,Y1050179,6,3.0,749.0,2.0,74.0,3.0,62.0,7.0,6.0,1.0
0.0,Y1050180,1,3.0,615.0,2.0,46.0,3.0,57.0,10.0,8.0,2.0
0.0,Y1050180,2,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050180,3,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050180,4,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050180,5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050180,6,2.0,58.0,0.0,0.0,1.0,6.0,3.0,3.0,0.0
0.0,Y1050181,1,5.0,507.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050181,2,4.0,298.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050181,3,2.0,463.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050181,4,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050182,1,5.0,1165.0,4.0,68.0,5.0,137.0,16.0,10.0,6.0
0.0,Y1050182,2,4.0,679.0,4.0,43.0,4.0,84.0,8.0,4.0,4.0
0.0,Y1050182,3,5.0,1058.0,3.0,59.0,4.0,115.0,17.0,11.0,6.0
0.0,Y1050182,4,5.0,1345.0,4.0,81.0,5.0,148.0,12.0,11.0,1.0
0.0,Y1050182,5,4.0,939.0,3.0,78.0,3.0,86.0,12.0,11.0,1.0
1.0,Y1050182,6,4.0,460.0,1.0,20.0,3.0,61.0,7.0,4.0,3.0
1.0,Y1050184,3,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Y1050185,1,7.0,1010.0,5.0,89.0,6.0,53.0,13.0,9.0,4.0
0.0,Y1050185,2,7.0,134.0,1.0,7.0,1.0,2.0,1.0,1.0,0.0
0.0,Y1050185,3,5.0,935.0,3.0,77.0,2.0,61.0,11.0,9.0,2.0
0.0,Y1050185,4,6.0,1689.0,4.0,172.0,5.0,97.0,23.0,18.0,5.0
0.0,Y1050185,5,6.0,85.0,1.0,8.0,1.0,2.0,2.0,2.0,0.0
1.0,Y1050185,6,3.0,539.0,1.0,70.0,2.0,36.0,7.0,7.0,0.0
0.0,Y1050186,1,5.0,1148.0,3.0,97.0,3.0,94.0,12.0,12.0,0.0
0.0,Y1050186,2,5.0,327.0,2.0,10.0,3.0,47.0,4.0,2.0,2.0
0.0,Y1050186,3,4.0,1034.0,3.0,75.0,4.0,117.0,12.0,8.0,4.0
