label,username,week,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,tmp
1.0,Y1050160,1,1.0,822.0,1.0,10.0,6.0,8.0,10.0,0.0,84.0,28.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050161,1,2.0,656.0,1.0,6.0,1.0,3.0,6.0,0.0,43.0,6.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050162,1,3.0,1377.0,2.0,13.0,11.0,11.0,13.0,1.0,264.0,39.0,82.0,118.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050164,1,3.0,109.0,3.0,6.0,4.0,1.0,4.0,2.0,12.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050165,1,2.0,141.0,2.0,3.0,1.0,2.0,3.0,1.0,34.0,3.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050166,1,3.0,288.0,3.0,3.0,0.0,1.0,3.0,0.0,17.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050167,1,3.0,485.0,2.0,4.0,3.0,1.0,4.0,2.0,23.0,1.0,1.0,9.0,2.0,4.0,3.0,5.0,3.0,0.0
1.0,Y1050168,1,3.0,789.0,3.0,9.0,8.0,6.0,6.0,5.0,78.0,25.0,15.0,22.0,6.0,4.0,4.0,1.0,4.0,0.0
1.0,Y1050169,1,3.0,953.0,3.0,11.0,9.0,6.0,10.0,1.0,142.0,61.0,15.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050170,1,3.0,697.0,1.0,12.0,11.0,4.0,11.0,2.0,54.0,1.0,4.0,43.0,2.0,5.0,4.0,4.0,4.0,0.0
1.0,Y1050171,1,5.0,691.0,3.0,11.0,11.0,2.0,10.0,2.0,45.0,2.0,3.0,28.0,2.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050172,1,1.0,834.0,1.0,8.0,8.0,6.0,7.0,2.0,127.0,13.0,9.0,98.0,2.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050173,1,4.0,681.0,3.0,10.0,8.0,6.0,10.0,1.0,80.0,16.0,11.0,43.0,1.0,3.0,3.0,1.0,3.0,0.0
1.0,Y1050174,1,5.0,910.0,2.0,9.0,6.0,3.0,9.0,1.0,77.0,23.0,4.0,46.0,1.0,5.0,4.0,1.0,4.0,0.0
1.0,Y1050175,1,3.0,662.0,3.0,12.0,10.0,3.0,10.0,2.0,38.0,3.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050176,1,5.0,724.0,5.0,8.0,8.0,4.0,8.0,0.0,86.0,8.0,15.0,57.0,0.0,30.0,4.0,1.0,6.0,0.0
1.0,Y1050177,1,2.0,881.0,2.0,7.0,1.0,6.0,3.0,0.0,48.0,5.0,20.0,4.0,0.0,7.0,4.0,1.0,4.0,0.0
1.0,Y1050178,1,1.0,517.0,1.0,10.0,5.0,9.0,8.0,1.0,81.0,36.0,9.0,18.0,1.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050179,1,6.0,2678.0,5.0,19.0,18.0,16.0,18.0,6.0,527.0,240.0,93.0,127.0,6.0,4.0,2.0,1.0,4.0,0.0
1.0,Y1050180,1,3.0,615.0,3.0,10.0,8.0,3.0,9.0,2.0,57.0,4.0,8.0,21.0,2.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050181,1,5.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050182,1,5.0,1165.0,5.0,16.0,10.0,7.0,15.0,0.0,137.0,7.0,27.0,93.0,0.0,5.0,4.0,1.0,4.0,0.0
1.0,Y1050185,1,7.0,1010.0,6.0,13.0,9.0,6.0,11.0,2.0,53.0,1.0,20.0,23.0,2.0,14.0,4.0,3.0,8.0,0.0
1.0,Y1050186,1,5.0,1148.0,3.0,12.0,12.0,8.0,12.0,5.0,94.0,11.0,32.0,38.0,5.0,15.0,4.0,1.0,10.0,0.0
1.0,Y1050187,1,2.0,303.0,1.0,6.0,2.0,6.0,4.0,0.0,53.0,31.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050188,1,7.0,593.0,4.0,5.0,2.0,3.0,5.0,0.0,96.0,40.0,1.0,51.0,0.0,8.0,4.0,10.0,5.0,0.0
1.0,Y1050189,1,3.0,922.0,1.0,6.0,6.0,6.0,6.0,0.0,61.0,27.0,11.0,22.0,0.0,6.0,4.0,1.0,6.0,0.0
1.0,Y1050190,1,2.0,522.0,1.0,4.0,4.0,4.0,4.0,0.0,108.0,38.0,21.0,40.0,0.0,20.0,4.0,1.0,12.0,0.0
1.0,Y1050192,1,3.0,1150.0,3.0,10.0,7.0,3.0,9.0,1.0,40.0,4.0,3.0,24.0,1.0,23.0,4.0,3.0,10.0,0.0
1.0,Y1050193,1,6.0,1027.0,6.0,12.0,8.0,7.0,12.0,1.0,81.0,15.0,10.0,51.0,1.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050194,1,6.0,966.0,4.0,11.0,9.0,8.0,11.0,1.0,98.0,12.0,34.0,48.0,1.0,3.0,3.0,1.0,3.0,0.0
1.0,Y1050195,1,6.0,2111.0,6.0,15.0,12.0,12.0,15.0,2.0,235.0,42.0,38.0,135.0,2.0,5.0,4.0,1.0,5.0,0.0
1.0,Y1050196,1,3.0,169.0,1.0,2.0,0.0,1.0,2.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050197,1,6.0,1502.0,4.0,13.0,10.0,5.0,12.0,2.0,67.0,21.0,7.0,23.0,2.0,9.0,3.0,1.0,4.0,0.0
1.0,Y1050198,1,2.0,568.0,2.0,8.0,6.0,7.0,8.0,2.0,43.0,6.0,12.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050199,1,3.0,1069.0,3.0,14.0,11.0,6.0,14.0,1.0,112.0,48.0,21.0,36.0,1.0,29.0,4.0,1.0,10.0,0.0
1.0,Y1050200,1,3.0,1040.0,2.0,7.0,5.0,6.0,6.0,1.0,115.0,22.0,29.0,58.0,1.0,14.0,4.0,5.0,4.0,0.0
1.0,Y1050201,1,4.0,1298.0,4.0,12.0,11.0,7.0,12.0,1.0,144.0,22.0,18.0,90.0,1.0,4.0,2.0,3.0,2.0,0.0
1.0,Y1050202,1,4.0,765.0,3.0,10.0,10.0,1.0,10.0,3.0,95.0,0.0,1.0,90.0,3.0,6.0,4.0,1.0,6.0,0.0
1.0,Y1050203,1,1.0,320.0,1.0,2.0,1.0,1.0,0.0,1.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050204,1,3.0,635.0,3.0,9.0,5.0,6.0,6.0,2.0,65.0,33.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050205,1,3.0,997.0,3.0,12.0,12.0,4.0,10.0,7.0,115.0,6.0,12.0,62.0,8.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050206,1,4.0,1160.0,4.0,12.0,7.0,7.0,11.0,0.0,72.0,19.0,14.0,25.0,0.0,4.0,4.0,1.0,4.0,0.0
1.0,Y1050207,1,2.0,820.0,2.0,12.0,12.0,6.0,12.0,0.0,121.0,52.0,11.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050208,1,2.0,584.0,2.0,3.0,3.0,3.0,3.0,0.0,111.0,83.0,10.0,16.0,0.0,7.0,3.0,1.0,7.0,0.0
1.0,Y1050209,1,4.0,261.0,3.0,3.0,2.0,2.0,3.0,0.0,29.0,0.0,2.0,25.0,0.0,9.0,4.0,1.0,8.0,0.0
1.0,Y1050211,1,3.0,1091.0,2.0,11.0,7.0,9.0,9.0,0.0,145.0,55.0,40.0,21.0,0.0,9.0,4.0,9.0,4.0,0.0
1.0,Y1050212,1,3.0,834.0,2.0,12.0,10.0,9.0,12.0,2.0,124.0,26.0,35.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050214,1,4.0,1061.0,4.0,12.0,12.0,6.0,11.0,3.0,155.0,26.0,22.0,96.0,3.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050215,1,2.0,702.0,2.0,12.0,11.0,3.0,11.0,1.0,40.0,4.0,6.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050218,1,2.0,827.0,2.0,6.0,4.0,3.0,6.0,0.0,37.0,6.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050219,1,5.0,654.0,3.0,8.0,3.0,7.0,5.0,0.0,23.0,5.0,3.0,10.0,0.0,6.0,4.0,1.0,6.0,0.0
1.0,Y1050222,1,3.0,622.0,2.0,9.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050225,1,2.0,97.0,2.0,2.0,1.0,2.0,1.0,0.0,21.0,7.0,6.0,6.0,0.0,5.0,3.0,1.0,5.0,0.0
1.0,Y1050226,1,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050229,1,3.0,1217.0,3.0,11.0,9.0,4.0,11.0,0.0,72.0,1.0,6.0,61.0,0.0,7.0,4.0,1.0,6.0,0.0
1.0,Y1050232,1,2.0,582.0,2.0,8.0,7.0,3.0,8.0,2.0,94.0,20.0,23.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050233,1,1.0,231.0,1.0,3.0,1.0,3.0,2.0,0.0,63.0,17.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050235,1,1.0,232.0,1.0,6.0,5.0,3.0,4.0,2.0,48.0,25.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0,0.0
1.0,Y1050236,1,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,1.0,10.0,0.0
1.0,Y1050237,1,1.0,76.0,1.0,5.0,5.0,1.0,3.0,2.0,6.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050238,1,1.0,81.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,3.0,0.0,1.0,1.0,35.0,4.0,23.0,10.0,0.0
1.0,Y1050239,1,1.0,32.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050240,1,2.0,379.0,2.0,5.0,1.0,5.0,4.0,0.0,115.0,41.0,18.0,33.0,0.0,11.0,3.0,9.0,3.0,0.0
1.0,Y1050241,1,1.0,141.0,1.0,3.0,1.0,3.0,2.0,0.0,32.0,13.0,1.0,6.0,0.0,3.0,2.0,4.0,2.0,0.0
1.0,Y1050242,1,1.0,185.0,1.0,3.0,1.0,3.0,3.0,0.0,64.0,30.0,17.0,13.0,0.0,2.0,2.0,1.0,2.0,0.0
1.0,Y1050243,1,1.0,46.0,1.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050244,1,1.0,133.0,1.0,6.0,2.0,3.0,5.0,1.0,23.0,2.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050245,1,1.0,110.0,1.0,4.0,2.0,1.0,4.0,0.0,10.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Y1050246,1,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,6.0,0.0
1.0,Y1050247,1,1.0,74.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,14.0,4.0,1.0,8.0,0.0
