username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050170,1.0,133.95,286.8,0.8,12.2,22.2,1.0,11.95,28.0,0.0,0.0,0.0,3.8,3.4,0.4,0.3428571428,0.05714285720000001,2.401273082,1.8,1.8,0.1857142858,3.8,0.4,0.8,0.0785714286,1.0,0.08333333340000001,2.4,0.25952380939999997,14.4,1.3666666666,3.6,0.3357142858,0.0,0.0,15.4,1.45,6.0,0.5952380952,21.4,2.0452380951999998,20.8,1.9952380952,0.8,0.0785714286,25.2,2.4452380951999997,68.2,6.564285714,0.6,0.6,0.2,0.6,1.967857143,0.0,10.0
Y1050171,2.4,166.41666666,451.0,2.2,23.166666666,63.4,2.2,6.3833333334,16.2,0.0,0.0,0.0,7.6,7.4,0.2,0.7714285714,0.028571428600000004,4.721745997399999,1.4,0.6,0.059848484800000004,7.0,0.738095238,1.8,0.1887445888,0.2,0.025,0.6,0.059848484800000004,5.4,0.6164502166,1.4,0.15660173160000002,0.0,0.0,5.6,0.6414502166,2.0,0.21645021660000002,7.6,0.8579004328,12.6,1.3843073594000002,1.8,0.1887445888,15.2,1.6579004328,37.2,4.088852813800001,0.0,0.0,0.0,0.0,0.0,15.6,10.0
Y1050172,0.4,22.2,22.2,0.0,0.0,0.0,0.2,4.0,4.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,1.837651755,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,0.0,0.0,3.8,3.8,0.0,0.0,3.8,3.8,4.0,4.0,0.0,0.0,4.0,4.0,11.8,11.8,0.0,0.0,0.0,0.0,0.0,18.6,10.0
Y1050173,2.8,237.45666666000002,529.6,1.8,21.333333334,43.8,1.4,36.1,45.0,0.0,0.0,0.0,4.8,2.8,2.0,0.4166666666,0.3833333334,6.6628288736000005,2.8,2.6,0.4166666666,4.6,0.7833333334,1.2,0.2333333332,5.8,0.85,3.6,0.4166666666,22.2,4.233333333799999,4.0,0.85,0.2,0.06666666660000001,28.0,5.083333333400001,7.8,1.3333333334000002,35.8,6.416666666599999,29.8,5.700000000200001,1.2,0.2333333332,40.6,7.2166666666,107.4,19.566666666,0.4,0.4,0.2,0.4,0.571428571,84.6,70.0
Y1050174,5.2,105.05714286,554.0,3.2,21.733333332,73.0,0.8,6.4,9.0,0.0,0.0,0.0,1.8,1.4,0.4,0.36,0.24,4.1897867022,2.2,0.6,0.3066666666,1.6,0.4,0.4,0.10666666660000002,0.8,0.2133333334,0.2,0.06666666660000001,5.8,1.4533333334,0.2,0.06666666660000001,0.0,0.0,6.6,1.6666666665999998,0.4,0.1333333334,7.0,1.8,7.2,1.8133333334,0.4,0.10666666660000002,8.8,2.4,23.4,6.12,5.8,2.6,2.0,3.6,6.6478571429999995,80.0,80.0
Y1050175,2.6,169.28333333999998,558.4,2.4,17.983333334,53.0,2.6,11.983333333400001,40.4,0.0,0.0,0.0,8.0,5.0,3.0,0.47720057700000007,0.32279942300000003,11.840679014,1.4,4.6,0.4940836940000001,7.0,0.6746031748,0.8,0.07287157279999999,3.4,0.3362193364,5.0,0.5186147184000001,15.0,1.4106782106,4.6,0.395093795,0.2,0.014285714199999999,18.4,1.7468975468,9.8,0.927994228,28.2,2.6748917748,25.6,2.3743145744,0.8,0.07287157279999999,36.2,3.4748917747999997,90.8,8.5969696974,0.6,0.4,0.4,0.4,0.642857143,36.6,30.0
Y1050176,4.2,250.75,1047.0,3.2,28.433333332,91.6,3.6,25.886666666000004,89.8,0.0,0.0,0.0,10.4,8.8,1.6,0.8051282049999999,0.19487179500000001,10.4910858664,1.0,6.6,0.5973581972,10.4,1.0,0.0,0.0,29.0,2.8231546231999998,8.6,0.7268065268000001,29.4,2.817094017,4.8,0.5139860142,0.0,0.0,58.4,5.640248640399999,13.4,1.2407925405999998,71.8,6.8810411812,43.8,4.266744367,0.0,0.0,82.2,7.8810411812,197.8,19.028826728000002,11.0,2.8,2.2,3.2,9.374285713999999,81.2,90.0
Y1050177,2.4,274.716666666,709.8,0.8,44.8,55.8,1.0,44.4,67.2,0.0,0.0,0.0,4.8,2.8,2.0,0.30999999999999994,0.29,6.730629972200001,2.0,4.8,0.6,4.4,0.5599999999999999,0.4,0.06999999999999999,20.6,2.63,19.4,2.03,6.2,0.6799999999999999,6.4,0.6399999999999999,0.4,0.06999999999999999,26.8,3.31,26.2,2.7399999999999998,53.0,6.05,14.8,1.6600000000000001,0.4,0.06999999999999999,57.8,6.65,126.0,14.430000000000001,0.2,0.2,0.2,0.2,0.0,15.6,20.0
Y1050178,0.2,59.0,59.0,0.2,2.8,2.8,0.2,10.4,10.4,0.0,0.0,0.0,2.2,1.2,1.0,0.109090909,0.090909091,1.191880219,1.4,1.4,0.1272727272,1.6,0.1454545454,0.6,0.0545454546,2.8,0.2545454546,0.6,0.0545454546,3.0,0.2727272728,0.2,0.018181818199999998,0.0,0.0,5.8,0.5272727272,0.8,0.07272727279999999,6.6,0.6,4.0,0.3636363636,0.6,0.0545454546,8.8,0.8,20.0,1.8181818182,0.0,0.0,0.0,0.0,0.0,20.0,20.0
Y1050179,4.6,210.83,987.8,3.2,26.446666666,85.8,4.2,18.7466666674,84.8,0.0,0.0,0.0,10.0,8.6,1.4,0.828137255,0.171862745,12.963682720600001,1.0,5.2,0.5175490198,9.8,0.9882352942000001,2.0,0.165392157,12.6,1.0023529412,10.4,0.9052941176000001,26.2,2.7397058824,9.4,0.993627451,1.2,0.0901960784,38.8,3.7420588236,21.0,1.9891176469999998,59.8,5.7311764705999995,43.6,4.5612745096,2.4,0.19872549020000002,69.8,6.7311764706,175.6,17.222352942,3.6,1.8,2.0,2.2,7.940714286,100.0,95.0
