username,week,num_days,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,tmp
Y1050160,1,1.0,1.0,822.0,822.0,1.0,82.0,82.0,1.0,84.0,84.0,0.0,0.0,0.0,10.0,6.0,4.0,0.6,0.4,10.84917531,3.0,8.0,0.8,10.0,1.0,0.0,0.0,28.0,2.8,12.0,1.2,12.0,1.2,6.0,0.6,0.0,0.0,40.0,4.0,18.0,1.8,58.0,5.8,24.0,2.4,0.0,0.0,68.0,6.8,150.0,15.0,0.0,0.0,0.0,0.0,0.0
Y1050160,2,3.0,3.0,106.0,318.0,3.0,8.333333332999999,25.0,3.0,8.333333332999999,25.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,13.6689137,1.0,3.0,0.75,4.0,1.0,0.0,0.0,6.0,1.5,3.0,0.75,0.0,0.0,5.0,1.25,0.0,0.0,6.0,1.5,8.0,2.0,14.0,3.5,9.0,2.25,0.0,0.0,18.0,4.5,41.0,10.25,0.0,0.0,0.0,0.0,0.0
Y1050160,3,2.0,2.0,186.0,372.0,2.0,17.5,35.0,2.0,20.5,41.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.867856686,1.0,2.0,1.0,2.0,1.0,0.0,0.0,13.0,6.5,7.0,3.5,17.0,8.5,0.0,0.0,0.0,0.0,30.0,15.0,7.0,3.5,37.0,18.5,19.0,9.5,0.0,0.0,39.0,19.5,95.0,47.5,0.0,0.0,0.0,0.0,0.0
Y1050160,4,1.0,1.0,181.0,181.0,1.0,13.0,13.0,1.0,12.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.528056189,1.0,1.0,0.5,2.0,1.0,0.0,0.0,3.0,1.5,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,3.5,0.0,0.0,7.0,3.5,6.0,3.0,0.0,0.0,9.0,4.5,22.0,11.0,0.0,0.0,0.0,0.0,0.0
Y1050160,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050160,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050161,0,1.0,1.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050161,1,2.0,2.0,328.0,656.0,2.0,38.5,77.0,1.0,43.0,43.0,0.0,0.0,0.0,6.0,1.0,5.0,0.166666667,0.833333333,10.85981772,3.0,3.0,0.5,6.0,1.0,0.0,0.0,6.0,1.0,5.0,0.833333333,13.0,2.166666667,2.0,0.333333333,0.0,0.0,19.0,3.166666667,7.0,1.166666667,26.0,4.333333333,21.0,3.5,0.0,0.0,32.0,5.333333333,79.0,13.16666667,0.0,0.0,0.0,0.0,0.0
Y1050161,2,1.0,1.0,231.0,231.0,1.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050161,3,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
