username,active_num_days,problem_num_days,video_num_days,num_complete,num_incomplete,pause_video_sum,pause_video_avg,stop_video_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,final_score
Y1050193,2.0,0.833333333,1.666666667,2.166666667,1.166666667,3.333333333,0.5,0.166666667,0.166666667,0.333333333,0.333333333,0.166666667,0.333333333,0.05882352900000001,0
Y1050194,2.5,1.833333333,1.666666667,3.0,1.833333333,4.833333333,0.833333333,0.333333333,0.333333333,0.5,0.5,0.166666667,0.5,0.941176471,0
Y1050195,4.666666667,3.5,3.166666667,8.0,1.166666667,9.166666667000001,0.833333333,1.5,1.5,1.333333333,1.166666667,0.5,1.333333333,1.382352941,1
Y1050196,1.166666667,0.166666667,0.333333333,0.0,0.5,0.5,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050197,3.333333333,2.5,2.833333333,19.0,2.166666667,19.66666667,0.925584465,4.333333333,4.5,3.333333333,2.166666667,2.0,2.333333333,5.4117647060000005,3
Y1050198,1.166666667,0.833333333,1.0,2.0,0.666666667,2.666666667,0.666666667,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
Y1050199,1.666666667,1.0,1.5,4.166666667,1.833333333,5.666666667,0.472222222,0.666666667,0.666666667,8.5,1.666666667,1.833333333,2.833333333,4.147058824,1
Y1050200,2.5,1.333333333,2.0,4.166666667,1.666666667,5.666666667,0.976190476,0.166666667,0.166666667,2.333333333,0.666666667,0.833333333,0.666666667,1.529411765,1
Y1050201,3.666666667,2.333333333,3.166666667,11.33333333,3.666666667,14.16666667,0.9559133,1.0,1.0,5.166666667,1.666666667,1.833333333,2.666666667,6.644117647000001,2
Y1050202,4.0,2.833333333,3.0,9.333333332999999,0.333333333,9.666666667000001,1.0,3.0,3.0,2.5,1.666666667,0.833333333,2.166666667,6.907058824,2
Y1050203,0.333333333,0.166666667,0.333333333,0.166666667,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0
Y1050204,2.333333333,1.666666667,2.166666667,9.333333332999999,2.5,10.83333333,0.918540241,3.333333333,3.5,0.666666667,0.666666667,0.5,0.666666667,6.659411765,3
Y1050205,3.166666667,1.833333333,2.5,9.166666667000001,1.166666667,9.833333332999999,0.797979798,3.666666667,3.833333333,3.333333333,1.666666667,0.666666667,1.666666667,7.711176471,3
Y1050206,3.166666667,3.0,2.833333333,5.5,3.833333333,8.5,0.93482906,1.0,1.0,0.666666667,0.666666667,0.166666667,0.666666667,2.8529411760000003,2
Y1050207,1.0,0.666666667,1.0,7.166666667,4.0,8.833333332999999,0.7305871209999999,0.833333333,0.833333333,0.0,0.0,0.0,0.0,0.0,1
Y1050208,5.0,4.0,3.333333333,3.0,3.333333333,5.666666667,0.915343915,0.0,0.0,5.166666667,1.833333333,1.0,2.5,6.647058824,2
Y1050209,5.333333333,4.333333333,3.5,4.333333333,6.5,10.83333333,1.0,1.0,1.0,5.333333333,3.0,1.833333333,4.5,8.197058823999999,3
Y1050210,0.833333333,0.5,0.5,0.833333333,0.666666667,1.5,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050211,1.5,1.166666667,1.166666667,4.333333333,1.666666667,5.5,0.636363636,0.333333333,0.333333333,1.5,0.666666667,1.5,0.666666667,1.897058824,1
Y1050212,1.666666667,1.333333333,1.166666667,2.833333333,0.833333333,3.666666667,0.5,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0
Y1050213,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050214,2.333333333,1.666666667,2.333333333,4.166666667,0.666666667,4.666666667,0.6527777779999999,1.166666667,1.166666667,0.5,0.5,0.333333333,0.5,0.279411765,0
Y1050215,1.666666667,1.0,1.166666667,5.5,0.666666667,5.833333333,0.47630719,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Y1050216,0.666666667,0.166666667,0.166666667,0.0,0.666666667,0.166666667,0.041666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050218,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,1.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050219,1.666666667,1.0,1.166666667,0.5,3.0,1.833333333,0.4166666670000001,0.0,0.0,1.0,0.666666667,0.166666667,1.0,1.294117647,0
Y1050220,1.833333333,0.833333333,1.833333333,7.5,1.666666667,8.833333332999999,0.65,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Y1050221,2.833333333,1.833333333,1.5,0.666666667,1.833333333,2.333333333,0.625,0.0,0.0,3.666666667,2.333333333,1.5,3.0,7.149411765,3
Y1050222,3.0,1.833333333,1.833333333,2.0,2.666666667,4.333333333,0.7857142859999999,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1
Y1050223,1.333333333,1.166666667,1.166666667,2.833333333,2.166666667,4.5,0.4375,0.5,0.666666667,0.5,0.5,0.166666667,0.5,0.235294118,0
Y1050224,2.5,1.666666667,2.0,5.166666667,2.0,7.0,0.8214285720000001,1.666666667,1.833333333,1.0,0.666666667,0.166666667,0.666666667,2.470588235,2
Y1050225,4.5,3.166666667,4.0,8.5,1.333333333,9.333333332999999,0.894444445,2.833333333,3.0,7.0,2.5,2.666666667,3.833333333,7.723529412,2
Y1050226,1.333333333,0.333333333,1.0,5.833333333,3.5,7.333333333,0.5085470089999999,1.5,1.5,0.333333333,0.333333333,0.166666667,0.333333333,0.0,1
Y1050227,1.166666667,0.666666667,0.833333333,1.0,1.666666667,2.5,0.476190476,0.0,0.0,0.333333333,0.333333333,0.166666667,0.333333333,0.0,0
Y1050228,3.166666667,2.333333333,3.0,7.0,4.666666667,11.5,0.8240740740000001,1.5,1.5,2.333333333,2.0,0.833333333,2.166666667,5.674117647,2
Y1050229,5.0,3.0,3.166666667,10.0,0.833333333,10.83333333,0.833333333,0.666666667,0.666666667,9.333333332999999,3.0,2.166666667,5.0,9.980588235,3
Y1050230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050231,0.333333333,0.0,0.333333333,3.666666667,0.0,2.333333333,0.216666667,1.333333333,1.333333333,1.0,0.333333333,0.833333333,0.333333333,0.352941176,0
Y1050232,1.166666667,0.833333333,1.0,2.333333333,0.5,2.833333333,0.666666667,0.5,0.666666667,0.0,0.0,0.0,0.0,0.0,0
Y1050233,0.5,0.166666667,0.5,0.833333333,0.833333333,1.5,0.444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050234,0.166666667,0.0,0.166666667,1.5,0.0,1.166666667,0.12962963,0.333333333,0.333333333,1.666666667,0.333333333,1.5,0.333333333,0.352941176,0
Y1050235,0.5,0.0,0.5,1.666666667,0.5,1.333333333,0.344444445,0.833333333,0.833333333,0.666666667,0.333333333,0.5,0.333333333,0.132352941,0
Y1050236,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.166666667,0.0,0.0,5.5,1.333333333,3.166666667,2.333333333,1.058823529,0
Y1050237,0.166666667,0.0,0.166666667,0.833333333,0.0,0.5,0.1,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0
Y1050238,0.666666667,0.5,0.5,0.166666667,0.666666667,0.666666667,0.4166666670000001,0.166666667,0.166666667,6.5,1.333333333,4.166666667,2.333333333,2.411764706,1
Y1050239,0.166666667,0.0,0.166666667,0.166666667,0.0,0.166666667,0.166666667,0.0,0.0,0.333333333,0.333333333,0.166666667,0.333333333,0.05882352900000001,0
Y1050240,0.666666667,0.166666667,0.666666667,1.333333333,1.0,1.666666667,0.358333333,0.666666667,0.666666667,1.833333333,0.5,1.5,0.5,0.441176471,0
Y1050241,1.333333333,0.666666667,1.333333333,3.833333333,2.666666667,5.5,0.856150794,0.5,0.5,0.5,0.333333333,0.666666667,0.333333333,0.5735294120000001,0
Y1050242,0.666666667,0.333333333,0.666666667,1.833333333,1.0,2.5,0.429292929,1.0,1.0,0.333333333,0.333333333,0.166666667,0.333333333,0.0,0
Y1050243,0.5,0.0,0.5,2.5,0.666666667,2.0,0.363425926,1.5,1.666666667,0.0,0.0,0.0,0.0,0.0,0
Y1050244,0.5,0.166666667,0.5,1.666666667,1.0,2.0,0.3722222220000001,1.166666667,1.333333333,0.0,0.0,0.0,0.0,0.0,0
Y1050245,0.5,0.5,0.5,1.333333333,0.833333333,2.0,0.466666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0
Y1050246,0.5,0.333333333,0.333333333,0.333333333,0.166666667,0.5,0.333333333,0.0,0.0,3.5,1.5,2.5,2.166666667,3.342941176,1
Y1050247,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,1.0,0.5,0.0,0.0,3.666666667,1.5,0.5,2.333333333,3.529411765,1
Y1050248,0.5,0.333333333,0.5,1.666666667,0.666666667,1.833333333,0.35952381,0.666666667,0.666666667,1.333333333,0.833333333,1.0,0.833333333,1.6764705880000002,1
Y1050249,0.5,0.166666667,0.5,3.0,0.666666667,2.5,0.350529101,1.5,1.5,3.666666667,0.5,3.166666667,0.666666667,0.705882353,1
Y1050250,0.333333333,0.0,0.333333333,2.5,0.166666667,1.5,0.180555556,1.166666667,1.166666667,1.666666667,0.5,3.333333333,0.5,0.735294118,0
Y1050251,0.333333333,0.0,0.333333333,3.333333333,0.0,1.833333333,0.186868687,1.666666667,1.666666667,0.0,0.0,0.0,0.0,0.0,0
Y1050252,0.5,0.5,0.5,2.666666667,0.5,2.166666667,0.335978836,1.166666667,1.166666667,0.0,0.0,0.0,0.0,0.0,0
Y1050253,0.833333333,0.5,0.833333333,0.833333333,1.666666667,2.5,0.5,0.333333333,0.333333333,0.833333333,0.5,0.166666667,0.833333333,0.235294118,0
Y1050254,0.5,0.333333333,0.5,0.666666667,1.0,1.333333333,0.375,0.333333333,0.333333333,1.666666667,0.666666667,3.333333333,1.0,1.470588235,0
Y1050255,2.0,1.0,1.666666667,3.666666667,1.0,4.333333333,0.626190476,1.166666667,1.166666667,3.833333333,1.666666667,1.166666667,2.333333333,3.098235294,1
Y1050256,0.5,0.333333333,0.5,0.166666667,0.333333333,0.5,0.333333333,0.166666667,0.166666667,1.666666667,1.0,0.833333333,1.0,0.661764706,1
Y1050257,0.833333333,0.5,0.5,0.333333333,1.0,1.333333333,0.5,0.0,0.0,0.333333333,0.333333333,0.166666667,0.333333333,0.176470588,1
Y1050258,0.5,0.333333333,0.5,0.833333333,1.166666667,1.833333333,0.4166666670000001,0.333333333,0.333333333,0.333333333,0.333333333,0.166666667,0.333333333,0.294117647,0
Y1050259,1.5,1.333333333,1.333333333,9.5,0.666666667,9.833333332999999,0.8121980679999999,1.333333333,1.333333333,4.166666667,3.0,3.333333333,3.5,6.1541176470000005,3
Y1050260,1.833333333,1.166666667,1.5,7.666666667,1.833333333,8.833333332999999,0.950231482,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1
Y1050261,5.333333333,2.5,0.166666667,0.333333333,0.166666667,0.5,0.166666667,0.0,0.0,2.666666667,2.666666667,1.0,2.666666667,6.039411765,3
Y1050262,1.666666667,1.0,1.166666667,1.666666667,1.5,2.5,0.759259259,0.333333333,0.333333333,0.833333333,0.833333333,0.333333333,0.833333333,1.235294118,1
Y1050263,1.833333333,0.666666667,0.5,3.333333333,0.333333333,3.666666667,0.333333333,0.666666667,0.666666667,0.0,0.0,0.0,0.0,0.0,1
Y1050264,2.333333333,1.666666667,1.666666667,7.833333333,0.833333333,8.0,0.61801842,2.333333333,2.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.441176471,1
Y1050265,0.666666667,0.666666667,0.666666667,4.5,0.333333333,4.166666667,0.429292929,1.333333333,1.5,0.0,0.0,0.0,0.0,0.0,0
Y1050266,1.833333333,1.666666667,1.666666667,6.666666667,0.5,6.666666667,0.780483406,2.166666667,2.166666667,1.0,0.666666667,0.5,0.666666667,0.764705882,1
Y1050267,2.333333333,2.166666667,2.166666667,5.666666667,2.166666667,6.5,0.5461843710000001,1.5,1.5,1.166666667,0.833333333,0.333333333,1.166666667,1.705882353,1
Y1050268,4.166666667,2.5,2.666666667,5.0,3.333333333,7.833333333,0.7521367520000001,1.5,1.666666667,0.0,0.0,0.0,0.0,0.0,2
Y1050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
