username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050177,3,411.625,1206,2,51.75,103.5,2.5,40.5,109.5,0,0,0,8.5,4,0.421428571,10.96486911,8,0.928571429,6,0.664285715,0,20.5,2.157142857,13,1.342857143,11.5,1.15,33.5,3.5,47,80.5,8.628571429,27,2.785714286,0,89,9.628571429,196.5,21.04285714,4,2.5,2.5,3,65,0,20
Y1050178,1,406,406,1,27.5,27.5,1,66.5,66.5,0,0,0,10.5,5.5,0.522727273,6.737692512,8,0.768181818,8,0.763636364,2,25,2.436363637,13,1.231818182,2,0.195454546,38,3.668181818,8,46,4.45,19,1.809090909,2,56.5,5.45,123.5,11.89545455,1,1,1,0.875,97.5,0,20
Y1050179,5,267.6666667,1517,3.5,21.35,88,4,57.7,278.5,0,0,0,11,10,0.807017544,14.08924076,9,0.754385965,10.5,0.973684211,3,120,6.315789475,50.5,4.622807018,17,1.596491228,170.5,10.93859649,66,236.5,15.39473684,74.5,7.00877193,3,247.5,16.39473684,561.5,38.95614035,3,1.5,2.5,7.916666667,89,1,95
Y1050180,3,106.3333333,319,1,11.5,23,1.5,9.5,28.5,0,0,0,5,4,0.4,5.712012415,1.5,0.15,4.5,0.45,1,2,0.2,5.5,0.55,1.5,0.15,7.5,0.75,6,13.5,1.35,10.5,1.05,1,18.5,1.85,43.5,4.35,1,1,1,1,72.5,0,40
Y1050181,4.5,87.95,402.5,3,24,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,0,20
Y1050182,4.5,201.375,922,4,13.875,55.5,4.5,24.2,110.5,0,0,0,12,7,0.5625,12.77523967,6.5,0.59375,11.5,0.96875,0.5,5,0.40625,52.5,4.75,17,1.46875,57.5,5.15625,35.5,93,8.09375,79,6.96875,0.5,105,9.09375,277.5,24.21875,2.5,2,2,8.083333333,77.5,1,90
Y1050184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1.833333333,45,0,10
Y1050185,7,81.71428572,572,3,12.4,48,3.5,5.416666666,27.5,1.5,0.5,1.5,7,5,0.846153846,9.388773691,3,0.230769231,6,0.923076923,1.5,0.5,0.038461539,4,0.769230769,3,0.230769231,4.5,0.807692308,13,17.5,1.807692308,12,1.384615385,1.5,24.5,2.807692308,55.5,6.576923077,13,3.5,6,10,90,1,99
Y1050186,5,147.5,737.5,2.5,18.66666667,53.5,3,23.5,70.5,0,0,0,8,7,0.75,11.24796041,6,0.833333333,8,1,3.5,19,3.833333334,13,1.5,5.5,0.458333334,32,5.333333334,25,57,8,22,2.333333334,3.5,65,9,147.5,19.79166667,9,3.5,6.5,9.361666667,100,1,85
Y1050187,1,75.75,151.5,0.5,4,4,0.5,26.5,26.5,0,0,0,3,1,0.166666667,6.355237345,3,0.5,2,0.333333334,0,15.5,2.583333334,1,0.166666667,0.5,0.083333334,16.5,2.75,3,19.5,3.25,2.5,0.416666667,0,22.5,3.75,44.5,7.416666665,0,0,0,0,80,0,20
