username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050231,0.5,77.5,77.5,0,0,0,0.5,7.5,7.5,0,0,0,5,5,0.5,1.483426189,0,0,4,0.4,1,0,0,0.5,0.05,0,0,0.5,0.05,0,0.5,0.05,4.5,0.45,1,5.5,0.55,11.5,1.15,3,1,1,1,20,0,10
Y1050232,2,264.75,529.5,1,15,15,1.5,73,96.5,0,0,0,6,5,0.8125,2.906126048,3,0.5625,6,1,1,19.5,3.625,31,5.8125,4.5,0.8125,50.5,9.4375,23,73.5,13.375,40,7.3125,1,79.5,14.375,194,35.1875,0,0,0,0,45,0,10
Y1050233,1,203,203,0.5,6,6,1,38,38,0,0,0,3,1,0.333333333,2.664712696,2,0.666666667,2.5,0.833333333,0,8.5,2.833333334,1,0.333333333,0.5,0.166666667,9.5,3.166666667,19,28.5,9.500000002,3.5,1.166666666,0,31.5,10.5,63.5,21.16666667,0,0,0,0,22.5,0,10
Y1050234,0.5,81.5,81.5,0,0,0,0.5,6,6,0,0,0,4.5,4.5,0.5,1.482214929,0,0,3.5,0.388888889,1,0,0,0.5,0.055555556,0,0,0.5,0.055555556,0,0.5,0.055555556,4,0.444444445,1,5,0.555555556,10.5,1.166666667,5,1,1,1,17.5,0,10
Y1050235,1,146.5,146.5,0,0,0,1,28.5,28.5,0,0,0,4,2.5,0.416666667,2.866537627,2,0.5,3,0.833333333,1,12.5,2.083333334,3,1.166666667,0,0,15.5,3.25,0.5,16,3.333333334,5,1.666666667,1,20,4.333333334,42,9.5,2,1,1,0.375,22.5,0,10
Y1050236,1,587.5,587.5,0.5,94.5,94.5,0.5,2,2,0,0,0,1,0.5,0.25,1.423816468,0,0,1,0.5,0,0,0,0.5,0.25,0.5,0.25,0.5,0.25,0.5,1,0.5,2,1,0,2,1,5,2.5,13,3.5,6.5,3,47.5,0,20
Y1050237,0.5,38,38,0,0,0,0.5,3,3,0,0,0,2.5,2.5,0.5,1.284773811,0.5,0.1,1.5,0.3,1,0,0,0,0,0,0,0,0,0.5,0.5,0.1,1.5,0.3,1,3,0.6,6,1.2,0,0,0,0,0,0,0
Y1050238,1,718.5,718.5,0.5,113,113,1,11,11,0,0,0,1.5,0.5,0.5,3.087382989,1,0.75,1.5,1,0.5,1.5,1.5,0.5,0.25,0,0,2,1.75,1,3,2.5,2,1.25,0.5,4.5,3.5,10,7.75,19,3.5,6.5,5.333333333,72.5,0,40
Y1050239,0.5,16,16,0,0,0,0.5,1,1,0,0,0,0.5,0.5,0.5,1.345060727,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,1,1,1,1,1,0.166666667,20,0,10
Y1050240,1.5,232.25,327,0.5,14,14,1.5,38.25,67,0,0,0,4.5,2,0.475,2.761089633,3,0.625,3.5,0.775,0.5,20.5,4.1,18,3.85,2,0.425,38.5,7.95,12,50.5,10.425,23,4.925,0.5,55.5,11.525,129.5,27,5.5,1.5,1.5,1.25,15,0,10
Y1050241,1,409,409,0,0,0,1,124,124,0,0,0,2.5,0.5,0.166666667,3.506758754,2,0.75,2,0.833333333,0,7,2.416666667,4,1.666666666,0.5,0.166666667,11,4.083333334,1,12,4.416666666,6,2.5,0,14.5,5.416666666,32.5,12.33333334,1.5,1,1,1.625,51.5,0,20
Y1050242,1,170,170,0,0,0,1,55,55,0,0,0,3,1.5,0.5,2.885169315,2,0.666666667,2.5,0.833333333,1,17.5,5.833333334,5.5,1.833333333,4,1.333333333,23,7.666666665,20,43,14.33333333,11,3.666666667,1,46,15.33333333,101,33.66666667,1,1,1,0,45,0,20
Y1050243,1,110,110,0,0,0,1,17,17,0,0,0,5.5,4.5,0.5,3.014866665,0.5,0.055555556,3.5,0.777777778,2.5,0,0,7.5,1.805555556,1.5,0.166666667,7.5,1.805555556,2,9.5,2.027777778,12,2.694444444,2.5,15,3.027777778,39,8.027777778,0,0,0,0,47.5,0,10
Y1050244,1,150,150,0.5,3.5,3.5,1,23,23,0,0,0,5.5,3,0.566666667,3.089259149,2,0.35,4,0.716666667,2.5,1,0.166666667,10,1.866666667,0,0,11,2.033333334,2.5,13.5,2.483333334,12,2.216666667,2.5,19,3.483333334,47,8.666666667,0,0,0,0,42.5,0,10
Y1050245,1,353.5,353.5,1,42.5,42.5,1,7.5,7.5,0,0,0,4,1.5,0.375,2.686398623,0.5,0.125,4,1,0,1,0.25,1,0.25,0.5,0.125,2,0.5,0.5,2.5,0.625,5.5,1.375,0,6.5,1.625,14.5,3.625,0,0,0,0,32.5,0,10
Y1050246,1,54,54,0.5,4,4,0.5,2,2,0,0,0,0.5,0.5,0.5,1.724420056,0,0,0.5,0.5,0,0,0,1,1,0,0,1,1,0,1,1,1.5,1.5,0,1.5,1.5,4,4,8.5,3.5,5.5,6.971666667,37.5,0,30
Y1050247,1.5,102.75,168.5,0.5,8.5,8.5,1.5,11.5,21.5,0,0,0,2.5,1,0.416666667,2.980386611,0.5,0.166666667,2.5,1,0,1,0.333333334,4,1.333333334,1.5,0.5,5,1.666666667,9,14,4.666666666,8,2.833333334,0,16.5,5.666666665,38.5,13.16666667,10,3.5,6,7.5,72.5,0,30
Y1050248,1,232.5,232.5,0.5,23,23,1,14,14,0,0,0,6,4,0.685714286,2.459961833,1.5,0.242857143,5,0.828571429,1.5,0,0,1.5,0.271428572,0,0,1.5,0.271428572,1.5,3,0.514285714,5.5,0.928571429,1.5,9,1.514285715,19,3.228571429,4,2.5,2.5,4.75,82.5,0,30
Y1050249,1,219.5,219.5,0.5,12.5,12.5,1,17.5,17.5,0,0,0,6.5,5,0.773809524,2.476160545,0.5,0.083333334,5,0.773809524,2.5,0.5,0.083333334,6,0.964285715,0,0,6.5,1.047619048,1,7.5,1.214285715,10,1.571428572,2.5,14,2.214285715,34,5.392857143,11,1.5,2,2,86.5,0,30
Y1050250,0.5,34,34,0,0,0,0.5,2.5,2.5,0,0,0,2,1.5,0.375,1.296394403,0,0,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0.25,1,2,0.5,4,1,5,1.5,1.5,2.083333333,0,0,10
Y1050251,0.5,105.5,105.5,0,0,0,0.5,8.5,8.5,0,0,0,5.5,5.5,0.5,1.353889755,0,0,2.5,0.227272728,3.5,0,0,2,0.181818182,0,0,2,0.181818182,0,2,0.181818182,4,0.363636364,3.5,7.5,0.681818182,17,1.545454546,0,0,0,0,0,0,0
Y1050252,1,471,471,1,54,54,1,20,20,0,0,0,6,4.5,0.5,2.698683093,1,0.333333334,4.5,0.722222222,2,0,0,7.5,1.166666666,1.5,0.388888889,7.5,1.166666666,3,10.5,1.944444445,13,2.222222222,2,16.5,2.944444444,42,7.333333334,0,0,0,0,26.5,0,10
Y1050253,2,292.6666667,463,1,32.5,32.5,2,20.16666667,52.5,0,0,0,5,2,0.222222222,7.658756009,3,0.777777778,5,1,1,5.5,0.611111111,16,2.666666667,5.5,1.055555556,21.5,3.277777778,14,35.5,6.166666666,25,4.555555556,1,40.5,7.166666666,102,18,2.5,1.5,2.5,0.666666667,47.5,0,10
Y1050254,1,591,591,0.5,76.5,76.5,1,28.5,28.5,0,0,0,3,1.5,0.5,2.771868665,0.5,0.125,2,0.625,1,13.5,3.375,2,0.875,0,0,15.5,4.25,2.5,18,4.875,4,1.5,1,21,5.875,44,12.625,5,2,3,4.166666667,76.5,0,20
Y1050255,2.5,264.8333334,758.5,0.5,80.5,80.5,2,27.83333334,61.5,0,0,0,8.5,5.5,0.657142857,6.622351294,3.5,0.371428572,7.5,0.878571428,3,23,2.3,9.5,1.185714286,2,0.2,32.5,3.485714286,15,47.5,5.05,18,2.121428572,3,56,6.05,124.5,13.60714286,9,3.5,5,6.278333333,97.5,0,40
Y1050256,1,122.5,122.5,0.5,3,3,1,11,11,0,0,0,1.5,0.5,0.5,2.792751449,1,0.75,1.5,1,0.5,1.5,1.5,1.5,0.75,0,0,3,2.25,2,5,3.75,2.5,1.5,0.5,6.5,4.75,14.5,10.5,5,3,3,1.875,67.5,0,30
Y1050257,1,211.5,211.5,0.5,13,13,1,32,32,0,0,0,2,0.5,0.25,2.703868317,1,0.5,2,1,0,7,3.5,4,2,1,0.5,11,5.5,9.5,20.5,10.25,7,3.5,0,22.5,11.25,50,25,1,1,1,0.5,57.5,0,40
Y1050258,1,250.5,250.5,0.5,19.5,19.5,1,30,30,0,0,0,3,1,0.25,3.213603574,3,1,2.5,0.75,1,2.5,0.625,3.5,0.875,2,0.5,6,1.5,16,22,5.875,6.5,1.75,1,25,6.875,54.5,14.75,1,1,1,0.833333333,32.5,0,10
Y1050259,1.5,639.75,905.5,1,92.5,92.5,1,79,79,0,0,0,12,10.5,0.875,4.635897754,6,0.5,11.5,0.958333334,0.5,14,1.166666667,25.5,2.125,8,0.666666667,39.5,3.291666667,24,63.5,5.291666667,44,3.666666667,0.5,75.5,6.291666667,183.5,15.29166667,6,3.5,4.5,8,92.5,1,80
Y1050260,1,1012,1012,1,64.5,64.5,1,71,71,0,0,0,10,7.5,0.708333333,5.743420768,6.5,0.6875,9.5,0.9375,1.5,1.5,0.1875,25.5,2.708333334,10,1.041666667,27,2.895833334,30,57,6.104166666,42.5,4.458333334,1.5,67,7.104166666,168,17.79166667,0,0,0,0,85,0,50
Y1050261,5,185.9583334,857,2.5,36.25,90.5,0.5,8.5,8.5,0,0,0,1.5,1,0.333333334,5.953684085,0.5,0.166666667,1.5,0.5,0,2.5,0.833333333,4.5,1.5,0,0,7,2.333333334,0,7,2.333333334,6,2,0,8.5,2.833333334,21.5,7.166666665,3.5,3.5,3.5,8.111666667,95,1,82
Y1050262,2.5,163.125,418.5,2,15.83333334,37.5,2,9,19,0,0,0,6.5,2.5,0.486111111,5.670920343,4,0.513888889,4.5,0.777777778,1,5,0.625,3.5,0.458333334,0,0,8.5,1.083333334,0.5,9,1.138888889,6.5,1,1,15.5,2.138888889,32,4.458333334,2.5,2.5,2.5,3.5,92.5,0,50
Y1050263,3,188.75,621,1.5,11.66666667,35,1,10.5,21,0,0,0,6,5,0.416666667,1.115502869,3,0.25,6,0.5,1.5,1,0.083333334,5.5,0.458333334,5,0.416666667,6.5,0.541666667,7.5,14,1.166666667,12.5,1.041666667,1.5,20,1.666666667,48,4,0,0,0,0,80,0,40
Y1050264,3.5,254.5,719,2.5,60.375,87,2.5,21.125,35,0,0,0,12,11,0.916666667,15.02087799,1.5,0.125,11.5,0.958333334,2.5,0.5,0.041666667,15,1.25,3,0.25,15.5,1.291666666,3.5,19,1.583333333,27,2.25,2.5,31,2.583333333,79.5,6.625,0.5,0.5,0.5,1.25,92.5,0,40
Y1050265,1.5,464.25,569,1.5,40.5,45.5,1.5,31.5,40.5,0,0,0,11.5,10.5,0.916666667,6.367866659,5,0.431818182,10,0.871212121,2.5,1.5,0.125,15.5,1.337121212,4,0.348484849,17,1.462121212,10.5,27.5,2.382575758,28.5,2.46969697,2.5,39,3.382575758,97.5,8.458333334,0,0,0,0,80,0,20
Y1050266,3.5,299.7083334,1050,3,30.125,84,3,42,127,0,0,0,12,12,1,13.64989664,4.5,0.375,11.5,0.958333334,4.5,6,0.5,77,6.416666667,10,0.833333333,83,6.916666666,27,110,9.166666669,96.5,8.041666667,4.5,122,10.16666667,333,27.75,3,2,2,2.166666667,90,0,40
Y1050267,4,206.9166667,820.5,3.5,21.05,76,3.5,12.4,48.5,0,0,0,11,8,0.8,7.204650222,7,0.542857143,8.5,0.757142857,2.5,6,0.552380952,13,0.942857143,4,0.304761905,19,1.495238095,14,33,2.580952381,22,1.733333333,2.5,44,3.580952381,101.5,8.138095237,3.5,2.5,3.5,4.833333333,80,0,30
Y1050268,4,80.5,322,1,16.25,32.5,1,5.75,11.5,0.5,0.5,0.5,4.5,2.5,0.277777778,0.073314557,1.5,0.166666667,4.5,0.5,0.5,0,0,2,0.222222222,2,0.222222222,2,0.222222222,3.5,5.5,0.611111111,7,0.777777778,0.5,10,1.111111111,23,2.555555556,0,0,0,0,97.5,1,60
Y1050270,3.5,209.4166667,742,2.5,29.41666667,69.5,3,16.66666667,50,0,0,0,9.5,7.5,0.783333333,7.173099847,3.5,0.377777778,9.5,1,1,1.5,0.161111111,21.5,2.277777778,6,0.655555556,23,2.438888889,9,32,3.422222222,34.5,3.661111111,1,41.5,4.422222222,109,11.61111111,6.5,3.5,3.5,8.555,98.5,0,40
Y1050273,1,145.5,145.5,0.5,7.5,7.5,1,9.5,9.5,0,0,0,2.5,0.5,0.125,2.603264648,1.5,0.75,2.5,1,0,3.5,2.75,0.5,0.5,0.5,0.5,4,3.25,1.5,5.5,4,3,1.5,0,8,5,16.5,10.5,4.5,3.5,4.5,8.708333333,40,0,40
Y9999986,3.5,331.9583334,1123,3.5,21.58333334,73.5,3.5,48.04166667,161.5,0,0,0,12.5,10.5,0.836538462,11.27540777,10,0.801282051,12.5,1,2.5,22,1.775641026,57.5,4.573717949,21.5,1.705128205,79.5,6.349358974,63.5,143,11.38461539,88.5,7.044871795,2.5,155.5,12.38461539,389.5,31.00641026,1.5,1,1,2,85,0,58
Y9999988,0.5,335,335,0.5,19.5,19.5,0.5,24.5,24.5,0,0,0,4.5,2.5,0.277777778,5.583901665,2,0.222222222,4.5,0.5,0,2.5,0.277777778,4.5,0.5,4,0.444444445,7,0.777777778,7,14,1.555555556,12,1.333333334,0,18.5,2.055555556,44.5,4.944444445,0,0,0,0,67.5,0,33
Y9999989,1,156.25,312.5,0.5,43.5,43.5,1,3,6,0,0,0,4,4,0.5,7.04304695,0,0,3,0.375,1,0,0,0,0,0.5,0.0625,0,0,0.5,0.5,0.0625,3.5,0.4375,1,4.5,0.5625,9.5,1.1875,0,0,0,0,95,0,59
Y9999990,5,153.3,766.5,4,15.875,63.5,4.5,21.075,87.5,0,0,0,10.5,9.5,0.875,12.83251421,5,0.504807693,10,0.9375,0,5,0.528846154,53,4.317307693,9,0.740384616,58,4.846153846,14,72,6.019230769,72,5.995192308,0,82.5,7.01923077,226.5,19.03365385,0,0,0,0,86,1,63
Y9999991,0.5,691,691,0.5,82,82,0.5,83.5,83.5,0,0,0,8,6,0.375,6.095385095,6.5,0.40625,8,0.5,0,60,3.75,7.5,0.46875,0.5,0.03125,67.5,4.21875,2,69.5,4.34375,15.5,0.96875,0,77.5,4.84375,162.5,10.15625,0,0,0,0,70,0,36
Y9999992,2,462,682,2,49.5,73.5,2,27.16666667,37.5,0,0,0,10.5,9,0.847222222,13.56437332,1.5,0.152777778,9.5,0.902777778,2,3.5,0.333333333,12,1.111111111,4.5,0.388888889,15.5,1.444444445,5.5,21,1.944444445,25,2.291666667,2,31.5,2.944444444,79.5,7.388888889,0,0,0,0,82.5,0,38
Y9999993,0.5,822,822,0.5,45,45,0.5,158.5,158.5,0,0,0,12,10,0.416666667,1.091639233,8,0.333333334,12,0.5,1,33,1.375,58.5,2.4375,10.5,0.4375,91.5,3.8125,40,131.5,5.479166665,77.5,3.229166667,1,143.5,5.979166665,353.5,14.72916667,1,1,1,0,60,0,49
Y9999995,1,271,271,0.5,21.5,21.5,1,27.5,27.5,0,0,0,6,3,0.666666667,7.02506863,3.5,0.611111112,6,1,1,7.5,0.944444445,4.5,0.722222222,3,0.333333334,12,1.666666667,4.5,16.5,2.5,10.5,1.611111111,1,22.5,3.5,50.5,7.833333334,0,0,0,0,78.5,0,57
Y9999997,1,22.75,45.5,0.5,5.5,5.5,0.5,1,1,0,0,0,1,1,0.5,6.0086897,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,2,1,0,0,0,0,79,0,58
Y9999998,1.5,321.5,439.5,1.5,13.25,22.5,1.5,71.25,84.5,0,0,0,10.5,6.5,0.638888889,13.25510759,6.5,0.597222222,7,0.694444445,0.5,56,5.069444445,3.5,0.319444445,1.5,0.166666667,59.5,5.388888889,5.5,65,5.916666666,10.5,1.041666666,0.5,75.5,6.916666666,151.5,13.91666667,0,0,0,0,72.5,0,49
Y9999999,0.5,809,809,0.5,45.5,45.5,0.5,134.5,134.5,0,0,0,12,7,0.291666667,8.524683185,7.5,0.3125,12,0.5,1.5,20.5,0.854166667,65,2.708333334,8.5,0.354166667,85.5,3.5625,21,106.5,4.4375,83,3.458333334,2,118.5,4.9375,310,12.91666667,0,0,0,0,97.5,1,73
