username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,video_forward_seek_sum,video_backward_seek_sum,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050182,5,233,1165,4,17,68,5,137,0,0,0,16,10,0.625,12.67073185,7,0.4375,15,0.9375,7,27,58,3.625,21,1.3125,65,4.0625,48,3,113,7.0625,93,5.8125,129,8.0625,335,20.9375,5,4,4,8.5,80,90
Y1050185,7,144.2857143,1010,5,17.8,89,6,53,3,1,3,13,9,0.692307692,14.67204686,6,0.461538462,11,0.846153846,1,20,7,0.538461538,6,0.461538462,8,0.615384615,26,2,34,2.615384615,23,1.769230769,47,3.615384615,106,8.153846154,14,4,8,10,100,99
Y1050186,5,229.6,1148,3,32.33333333,97,3,94,0,0,0,12,12,1,10.71592121,8,0.666666667,12,1,11,32,21,1.75,11,0.916666667,32,2.666666667,43,3.583333333,75,6.25,38,3.166666667,87,7.25,205,17.08333333,15,4,10,9.5,100,85
Y1050187,2,151.5,303,1,8,8,1,53,0,0,0,6,2,0.333333333,12.71047469,6,1,4,0.666666667,31,5,2,0.333333333,1,0.166666667,33,5.5,6,1,39,6.5,5,0.833333333,45,7.5,89,14.83333333,0,0,0,0,90,20
Y1050188,7,84.71428571,593,6,5.333333333,32,4,96,0,0,0,5,2,0.4,14.55431481,3,0.6,5,1,40,1,44,8.8,2,0.4,84,16.8,3,0.6,87,17.4,51,10.2,92,18.4,230,46,8,4,5,9,93,45
Y1050189,3,307.3333333,922,3,30,90,1,61,0,0,0,6,6,1,7.613278305,6,1,6,1,27,11,10,1.666666667,6,1,37,6.166666667,17,2.833333333,54,9,22,3.666666667,60,10,136,22.66666667,6,4,6,9,68,91
Y1050190,2,261,522,2,12.5,25,1,108,0,0,0,4,4,1,12.33080137,4,1,4,1,38,21,26,6.5,11,2.75,64,16,32,8,96,24,40,10,100,25,236,59,20,4,12,10,98,90
Y1050192,3,383.3333333,1150,1,109,109,3,40,0,0,0,10,7,0.7,13.7473712,3,0.3,9,0.9,4,3,7,0.7,8,0.8,11,1.1,11,1.1,22,2.2,24,2.4,32,3.2,79,7.9,23,4,10,9,100,70
Y1050193,6,171.1666667,1027,2,39.5,79,6,81,0,0,0,12,8,0.666666667,13.02537113,7,0.583333333,12,1,15,10,28,2.333333333,12,1,43,3.583333333,23,1.916666667,66,5.5,51,4.25,78,6.5,196,16.33333333,2,2,2,0.333333333,90,20
Y1050194,6,161,966,4,20,80,4,98,0,0,0,11,9,0.818181818,16.1768662,8,0.727272727,11,1,12,34,21,1.909090909,17,1.545454545,33,3,51,4.636363636,84,7.636363636,48,4.363636364,95,8.636363636,228,20.72727273,3,3,3,5.333333333,65,20
Y1050195,6,351.8333333,2111,6,19.5,117,6,235,0,0,0,15,12,0.8,12.53715154,12,0.8,15,1,42,38,107,7.133333333,15,1,149,9.933333333,53,3.533333333,202,13.46666667,135,9,217,14.46666667,556,37.06666667,5,4,5,4.333333333,80,40
Y1050196,3,56.33333333,169,1,8,8,1,11,0,0,0,2,0,0,2.811914327,1,0.5,2,1,1,0,1,0.5,1,0.5,2,1,1,0.5,3,1.5,3,1.5,5,2.5,11,5.5,0,0,0,0,35,10
Y1050197,6,250.3333333,1502,3,35.66666667,107,4,67,0,0,0,13,10,0.769230769,14.2832838,5,0.384615385,12,0.923076923,21,7,9,0.692307692,3,0.230769231,30,2.307692308,11,0.846153846,41,3.153846154,23,1.769230769,54,4.153846154,120,9.230769231,9,3,4,9.333333333,65,80
Y1050198,2,284,568,2,30,60,2,43,0,0,0,8,6,0.75,14.43690038,7,0.875,8,1,6,12,11,1.375,0,0,17,2.125,13,1.625,30,3.75,18,2.25,38,4.75,88,11,0,0,0,0,70,20
Y1050199,3,356.3333333,1069,2,51.5,103,3,112,0,0,0,14,11,0.785714286,10.99312293,6,0.428571429,14,1,48,21,17,1.214285714,5,0.357142857,65,4.642857143,27,1.928571429,92,6.571428571,36,2.571428571,106,7.571428571,235,16.78571429,29,4,10,7.666666667,90,30
Y1050200,3,346.6666667,1040,2,50,100,2,115,0,0,0,7,5,0.714285714,11.80625105,6,0.857142857,6,0.857142857,22,29,40,5.714285714,12,1.714285714,62,8.857142857,42,6,104,14.85714286,58,8.285714286,111,15.85714286,274,39.14285714,14,4,4,8.666666667,45,30
