username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050171,2.8,149.19,454.6,2,23.8,58,2.2,7.85,20.6,0,0,0,7.4,7.2,0.2,0.771428571,4.794979697,1.6,0.8,0.079545455,7,0.753246753,1.4,0.158441559,0.6,0.061363636,1,0.097727273,7,0.774025974,2,0.212662338,0,0,7.6,0.83538961,3,0.31038961,10.6,1.145779221,14.8,1.610064935,1.4,0.158441559,18,1.945779221,44.8,4.860064935,0.4,0.4,0.2,0.4,0.6,15.6,10
Y1050172,0.6,189,189,0.2,9.2,9.2,0.4,29.4,29.4,0,0,0,1.8,1.6,0.2,0.2,2.496958263,0.6,1.2,0.15,1.6,0.375,0.4,0.05,2.6,0.325,1.8,0.225,21.4,6,0.8,0.1,0.2,0.025,24,6.325,2.8,0.35,26.8,6.675,23.6,6.45,0.4,0.05,28.6,7.075,79.4,20.25,0.4,0.4,0.2,0.4,0,18.6,10
Y1050173,3.4,270.9066667,665.2,2.4,25,54.8,2,41.43333333,61,0,0,0,6.8,4.4,2.4,0.576666667,8.693942738,3,3.8,0.536666667,6.6,0.983333333,1.4,0.253333333,9,1.17,5.8,0.636666667,28.4,4.853333334,4.8,0.93,0.2,0.066666667,37.4,6.023333333,10.8,1.633333333,48.2,7.656666667,38.4,6.56,1.4,0.253333333,55,8.656666667,143,23.12666667,1,1,0.4,1,1.2,84.6,70
Y1050174,5.6,138.8571429,728.2,3.6,24.88333333,86.8,1.2,14.1,24.4,0,0,0,3.6,2.6,1,0.493333333,6.830074152,2.4,1.2,0.373333333,3.4,0.6,0.6,0.128888889,5.4,0.724444445,1,0.155555555,12.2,2.164444445,1.4,0.2,0,0,17.6,2.888888889,2.4,0.355555556,20,3.244444444,16.4,2.835555556,0.6,0.128888889,23.6,4.044444444,60.6,10.25333333,5.4,3,2,4,6.671333333,83.8,80
Y1050175,3.2,213.4166667,690.8,3,21.91666667,64.8,3.2,14.51666667,48,0,0,0,10.4,7,3.4,0.643867244,14.23637888,1.6,5.2,0.544083694,9,0.841269841,1.2,0.106204906,4,0.386219336,5.4,0.551948052,17.2,1.594011544,5.8,0.495093795,0.2,0.014285714,21.2,1.98023088,11.4,1.061327561,32.6,3.041558441,30.6,2.790981241,1.2,0.106204906,43,4.041558441,107.4,9.980303031,0.6,0.4,0.4,0.4,0.6,39.8,30
Y1050176,4.6,234.2433333,1055.4,3,29.66666667,90,4,26.72666667,99.2,0,0,0,10.8,10,0.8,0.938461538,10.56200654,1.2,7,0.630691531,10.8,1,0,0,28.2,2.623154623,11.6,1.101806527,34.6,3.35042735,5.6,0.572319348,0,0,62.8,5.973581974,17.2,1.674125874,80,7.647707848,50.2,4.858411034,0,0,90.8,8.647707848,221,21.15382673,15.4,3.2,1.6,4,9.549333333,79.2,90
Y1050177,2.6,355.6166667,878.8,1.2,54.5,75.2,1.4,49.2,76.8,0,0,0,6.2,3,3.2,0.338571429,9.325476546,2.2,6,0.771428571,5,0.645714286,0.4,0.07,21.6,2.772857143,23.4,2.601428571,6.6,0.737142857,6.4,0.64,0.4,0.07,28.2,3.51,30.2,3.311428571,58.4,6.821428571,15.6,1.774285714,0.4,0.07,64.6,7.621428571,139,16.28714286,1.6,1,0.4,1,1.2,34.6,20
Y1050178,0.4,162.4,162.4,0.4,11,11,0.4,26.6,26.6,0,0,0,4.2,2.2,2,0.209090909,2.695077005,2.4,3.2,0.307272727,3.2,0.305454545,0.8,0.074545455,10,0.974545455,2.4,0.234545455,5.2,0.492727273,0.8,0.078181818,0,0,15.2,1.467272727,3.2,0.312727273,18.4,1.78,7.6,0.723636364,0.8,0.074545455,22.6,2.18,49.4,4.758181818,0.4,0.4,0.2,0.4,0.35,39,20
Y1050179,4.8,261.6166667,1331,3.4,27.28666667,95.2,4.2,36.94666667,175.8,0,0,0,11.8,10.6,1.2,0.857610939,12.82113027,1,7.2,0.565970072,11.4,0.977708978,2.6,0.168550052,58.4,3.308668731,26.8,1.664241486,38.6,3.155495356,13.2,1.098890609,1.8,0.121775026,97,6.464164088,41.8,2.884907121,138.8,9.349071207,61,5.098116615,3,0.201883385,150.6,10.34907121,353.4,24.99814242,3.8,1.8,2,2.6,8.111333333,92.6,95
Y1050180,3.6,45.53333333,141.4,0.4,4.6,9.2,0.6,3.8,11.4,0,0,0,2,1.6,0.4,0.16,2.284804966,0.6,0.6,0.06,1.8,0.18,0.4,0.04,0.8,0.08,1.6,0.16,2.2,0.22,0.6,0.06,0.2,0.02,3,0.3,2.4,0.24,5.4,0.54,4.2,0.42,0.4,0.04,7.4,0.74,17.4,1.74,0.4,0.4,0.2,0.4,0.4,51.2,40
Y1050181,2.4,85.88,258,1.6,18.6,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,20
Y1050182,4.6,223.62,1037.2,3.6,18.73333333,65.8,4.2,27.08333333,114,0,0,0,13,9.4,3.6,0.721078432,11.17255396,1,8,0.633578431,12.6,0.970833333,2.6,0.205392157,6.8,0.557598039,17.6,1.359068627,45,3.669607843,20,1.574754902,1.2,0.095098039,51.8,4.227205882,38.8,3.028921568,90.6,7.256127451,73.6,5.890441176,2.6,0.205392157,103.6,8.256127452,270.4,21.60808824,2.8,2,2.2,2.4,7.133333333,85,90
Y1050184,0.2,12.4,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.6,0.733333333,22.6,10
Y1050185,6.2,129.2190476,770.6,2.8,20.29333333,70.6,3,12.54666667,43,1.2,0.666666667,2,10,7.8,2.2,0.858619641,6.903262365,2.2,4.4,0.288355123,8.6,0.743143813,2.8,0.546974764,2.4,0.186926117,8,0.538522347,10.2,0.795439343,4.4,0.288355123,0.6,0.026086957,12.6,0.982365461,13,0.852964427,25.6,1.835329887,21.4,1.484280936,2.8,0.546974764,35.8,2.84402554,85.6,6.710611128,10.8,3.2,3.2,4.6,10,85.8,99
Y1050186,4.4,242.85,1030.4,2.6,31.56666667,81,3.4,31,106.4,0,0,0,11,9.4,1.6,0.803663004,6.775219806,1.2,8,0.762271062,10.6,0.969230769,3.2,0.322161172,23.2,2.726739927,33.6,2.866666667,20.2,1.745238095,9,0.706410256,0.2,0.015384615,43.4,4.471978022,42.8,3.588461538,86.2,8.06043956,36.4,3.048534799,3.2,0.322161172,97.2,9.06043956,223,20.49157509,6.4,2.8,1.4,4.4,8.561333333,82.6,85
Y1050187,0.4,30.3,60.6,0.2,1.6,1.6,0.2,10.6,10.6,0,0,0,1.2,0.4,0.8,0.066666667,2.542094938,0.4,1.2,0.2,0.8,0.133333333,0,0,6.2,1.033333333,1,0.166666667,0.4,0.066666667,0.2,0.033333333,0,0,6.6,1.1,1.2,0.2,7.8,1.3,1,0.166666667,0,0,9,1.5,17.8,2.966666666,0,0,0,0,0,32,20
Y1050188,4.2,89.39619048,369.4,2.8,3.96,18.2,2.4,24.43333333,62.8,0,0,0,3,1.2,1.8,0.313333333,13.08897138,2.6,2,0.653333333,3,1,0.2,0.066666667,21.4,5.8,1.2,0.373333333,29.2,9.343333334,3.2,1.446666667,0,0,50.6,15.14333333,4.4,1.82,55,16.96333333,35,11.67333333,0.2,0.066666667,58,17.96333333,148.2,46.66666667,1.6,0.8,2,1,3.066666667,56.4,45
Y1050189,3.4,324.7333333,970,2.8,34.73333333,89.6,1.8,55.66666667,89.6,0,0,0,10.6,9.8,0.8,0.913888889,11.22448763,4,6.8,0.648535353,10,0.948888889,1.2,0.084444444,38.4,3.804646465,17.2,1.626767677,13.8,1.228434344,6.8,0.694090909,0.4,0.022222222,52.2,5.033080808,24.4,2.343080808,76.6,7.376161616,30.4,2.86030303,1.2,0.084444444,87.2,8.376161616,195.4,18.69707071,4.4,3.2,1.4,3.8,7.922666667,88.4,91
Y1050190,4,346.0666667,1342.2,3.2,25.36666667,71.2,2.8,76.52,189.2,0,0,0,11,8.4,2.6,0.788333333,10.78492515,2.4,9.6,0.884166667,10.4,0.960833333,1.4,0.110833333,32.8,3.96,43,4.018333333,61.2,5.573333333,21.6,2.065,0.8,0.0675,94,9.533333334,65.4,6.150833333,159.4,15.68416667,91,8.396666666,1.4,0.110833333,170.4,16.68416667,422.2,40.87583333,8.6,3,1.2,6,7.919333333,84.6,90
Y1050191,2.8,285.8666667,637.2,1.8,13.05,20.2,2.2,88.02,177,0,0,0,9.2,3,6.2,0.261111111,2.140961984,2.8,8.2,0.741269841,8,0.707936508,0,0,138.6,12.94087302,8.2,0.692460317,7.8,0.711507936,4,0.371825397,0,0,146.4,13.65238095,12.2,1.064285714,158.6,14.71666667,19.2,1.751587302,0,0,167.8,15.51666667,345.6,31.98492064,0.2,0.2,0.2,0.2,0.333333333,41.2,40
Y1050192,2.6,473.0666667,1168.4,1.8,77,132.2,2.2,32.66666667,68,0,0,0,12.4,10,2.4,0.813164336,10.97736362,2.8,6.4,0.501724942,11.6,0.938333333,0.8,0.067348485,15.6,1.215518648,14.6,1.149073427,9,0.704073427,7.4,0.620052447,0.2,0.016666667,24.6,1.919592075,22.2,1.785792541,46.8,3.705384615,26,2.126008159,0.8,0.067348485,59.2,4.705384615,132.8,10.60412587,15.8,3.2,6.6,5.6,7.978,69.2,70
Y1050193,2.4,72.76666667,321,1,13.5,25.4,2,7.2,25.2,0,0,0,4,2.6,1.4,0.386666667,4.076006793,1,2.2,0.33,4,0.6,0.2,0.016666667,3,0.25,2.6,0.34,10,1.56,4.2,0.613333333,0.2,0.016666667,13,1.81,7,0.97,20,2.78,17.6,2.65,0.2,0.016666667,24,3.38,61.8,8.826666666,0.4,0.4,0.2,0.4,0.066666667,29,20
Y1050194,3,233.3333333,617,2.2,21.7,46.8,2,42.5,76.8,0,0,0,5.8,3.6,2.2,0.482683983,14.97301957,3.4,4.6,0.854978355,5.8,1,0.4,0.068181818,8.2,1.172943723,29,5.306277056,19.6,3.300865801,7.6,1.063852814,0,0,27.8,4.473809524,36.6,6.37012987,64.4,10.84393939,32.4,5.096536797,0.4,0.068181818,70.2,11.84393939,167.4,27.8525974,0.6,0.6,0.2,0.6,1.066666667,30,20
Y1050195,5,319.3642857,1587.6,4,23.41333333,91,3.8,46.61666667,170,0,0,0,11,9.6,1.4,0.889230769,12.27145749,1.2,7,0.639120879,11,1,1.8,0.179194139,16.8,1.427692308,19.4,1.726886447,103.8,9.664688645,11.8,1.074065934,0.2,0.02,120.6,11.09238095,31.4,2.820952381,152,13.91333333,125,11.57956044,1.8,0.179194139,163,14.91333333,441.8,40.58542125,1.6,1.4,0.6,1.6,1.566666667,59,40
Y1050196,1.4,21.93333333,58.6,0.2,1.6,1.6,0.4,2.6,2.6,0,0,0,0.6,0,0.6,0,2.975996739,1.6,0.2,0.1,0.6,0.4,0,0,0.2,0.1,0,0,0.2,0.1,0.2,0.1,0,0,0.4,0.2,0.2,0.1,0.6,0.3,0.8,0.5,0,0,1.2,0.7,2.6,1.5,0,0,0,0,0,11,10
Y1050197,3.6,455.9166667,1571.4,2.8,35.43333333,98.6,3,79.8,263.6,0,0,0,17.4,15.2,2.2,0.851312217,12.8710252,1.8,13.6,0.72361991,15.8,0.915701357,4,0.215248869,110,4.708250378,47.8,2.389140271,31.6,1.545354449,18.8,0.960346908,2.4,0.123499246,141.6,6.253604828,69,3.472986425,210.6,9.726591251,63,3.228386124,4.2,0.221131222,228,10.72659125,505.8,23.90269985,4,2.6,2.4,2.8,6.133333333,77.6,80
Y1050198,1.4,122.5,228.2,1,12.3,23,1.2,13.2,20.2,0,0,0,3.2,2.4,0.8,0.45,11.41346147,1.8,2.6,0.635,3.2,0.8,0.6,0.15,2.4,0.71,6.6,2.66,3.8,1.235,0.6,0.12,0.4,0.125,6.2,1.945,7.6,2.905,13.8,4.85,7.2,1.93,0.6,0.15,17,5.65,38.6,12.58,0,0,0,0,0,43.8,20
Y1050199,2,144.4333333,472.2,1.2,20.4,40.8,1.8,22.66666667,68,0,0,0,7.2,5,2.2,0.420476191,5.463583885,0.8,4,0.332380952,6.8,0.566666667,0.8,0.067619048,32.2,2.829047619,10.6,0.866666667,11.2,0.969523809,2.8,0.234761905,0.2,0.014285714,43.4,3.798571429,13.6,1.115714286,57,4.914285714,20.2,1.717619048,0.8,0.067619048,64.2,5.514285714,142.2,12.21380952,10.2,2,2.2,3.4,4.7,42,30
Y1050200,2.8,269.0333334,771.6,1.4,17.43333333,38.4,2.2,64.4,135.8,0,0,0,6.8,5,1.8,0.731645022,9.263835285,2,4.8,0.689004329,6.6,0.971428571,0.2,0.028571429,5.6,0.809935065,24.2,4.220844156,77.6,13.00679654,10.6,1.868311688,0.2,0.028571429,83.2,13.8167316,35,6.117727273,118.2,19.93445887,94.6,15.82835498,0.2,0.028571429,125,20.93445887,338,56.72584416,2.8,0.8,1,0.8,1.733333333,29.2,30
Y1050201,3.6,261.2833333,943,2.8,24.51666667,63.4,3.2,36.91666667,115.4,0,0,0,12.6,10.8,1.8,0.860984849,11.40194648,1.4,8.6,0.691666667,12.2,0.969318182,1,0.080681818,15.8,1.279924242,15.6,1.266666667,43.2,3.522348485,15.4,1.258333333,0.2,0.016666667,59,4.802272727,31.2,2.541666667,90.2,7.343939394,68.8,5.581439394,1,0.080681818,102.8,8.343939394,262.8,21.35,4.8,1.6,1.8,2.6,6.996666667,68.2,68
Y1050202,4.2,247.78,1024.6,3.2,26.26666667,84.2,3.2,33.53333333,108.2,0,0,0,11.4,11,0.4,0.958095238,11.65818421,1.2,2.6,0.231269841,11.4,1,3.6,0.333730159,4.8,0.409801587,2,0.159960317,72.6,6.465674603,12.4,1.08531746,0.6,0.054404762,77.4,6.875476191,15,1.29968254,92.4,8.17515873,93.2,8.258333333,3.6,0.333730159,103.8,9.17515873,293,25.94238095,3,2,1,2.6,7.828,79,75
Y1050203,0.4,66.4,66.4,0.2,5.8,5.8,0.4,2.2,2.2,0,0,0,0.6,0.2,0.4,0.1,1.483917398,1,0.2,0.1,0.2,0.2,0.2,0.1,0.4,0.2,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0.4,0.2,0.2,0.2,0.2,0.1,1,0.6,1.8,1.1,0,0,0,0,0,15.4,10
Y1050204,2.4,293.9833333,648.2,1.8,29.03333333,44,2.4,29.93333333,64.6,0,0,0,13.4,10.8,2.6,0.772577387,3.880063402,1.6,5.4,0.441485826,12.2,0.902248289,3.8,0.31506028,11.2,1.079491691,12,0.996832845,15.2,1.330961225,5.2,0.519882698,1.4,0.113900293,26.4,2.410452916,18.6,1.630615836,45,4.041068752,30.8,2.598787879,4,0.321511893,58.4,5.041068752,138.2,12.00243728,0.6,0.6,0.4,0.6,7.080666667,85.8,90
Y1050205,3,250.32,825.2,2,24.11666667,61.8,2.6,23.71333333,75.8,0,0,0,12,10.8,1.2,0.74743083,8.407219195,2.4,5.6,0.395652174,11.4,0.757575758,4.4,0.36660079,2.8,0.169960474,13.4,1.325823452,28,2.833201581,6.6,0.536956522,0.6,0.034848485,30.8,3.003162055,20.6,1.897628458,51.4,4.900790514,41.8,3.786956522,4.6,0.383267457,63.4,5.700790514,161.2,14.77180501,2.8,1.6,0.6,1.6,7.872666667,85,88
Y1050206,3.2,268.84,782,3,28,78.4,3,12.93333333,38.6,0,0,0,10,5.6,4.4,0.584731935,8.292905994,1.6,3.8,0.366317016,9,0.921794872,0.8,0.091899767,7.4,0.838111888,6,0.55011655,5.2,0.525699301,1.6,0.189102564,0.2,0.018181818,12.6,1.363811189,7.8,0.757400932,20.4,2.121212121,15.2,1.561596737,0.8,0.091899767,30.4,3.121212121,66.8,6.895920745,0.8,0.8,0.2,0.8,3.233333333,84,70
Y1050207,1,454,536,0.6,7.8,14.2,1,132.7,144.8,0,0,0,11.2,7.4,3.8,0.525,7.521970236,4.2,8.6,0.563888889,9,0.73125,1,0.03125,83.6,3.786111111,12.4,0.995833333,20.2,1.717361111,5,0.458333333,0.6,0.01875,103.8,5.503472222,18,1.472916667,121.8,6.976388889,32,2.703472222,1,0.03125,133,7.776388889,287.8,17.4875,0,0,0,0,0,76.6,40
Y1050208,5.2,226.3571429,1114.6,4.2,24.9,82.8,3.6,40.59,114.4,0,0,0,7.2,3.2,4,0.516269841,5.814678025,3.6,7,0.977777778,6.4,0.898412698,0,0,78.6,13.03769841,7.4,1.309523809,16.8,2.388492064,1.6,0.358333333,0,0,95.4,15.42619048,9,1.667857143,104.4,17.09404762,24.6,3.620238095,0,0,111.6,18.09404762,240.6,38.80833333,5,1.8,1,2.6,6.866666667,65,70
Y1050209,5.6,146.3595238,837,4.4,12.08,55.6,4,12.56666667,50.4,0,0,0,12,4.6,7.4,0.473333333,3.385309772,1.8,2.4,0.293333333,12,1,1,0.076666667,5,0.353333333,4,0.426666667,17.4,2.44,7.6,0.76,0.4,0.033333333,22.4,2.793333333,12,1.22,34.4,4.013333333,36.2,4.14,1,0.076666667,46.6,5.026666667,118.2,13.25666667,5.4,3.2,1.4,4.6,8.556666667,80.8,85
Y1050210,1,74.66666666,215.8,0.6,11.8,22.6,0.6,4.1,7.6,0,0,0,1.8,1,0.8,0.125,2.256258411,1.6,0.6,0.075,1.8,0.4,0,0,0.8,0.1,0.2,0.025,1.2,0.325,0.6,0.075,0,0,2,0.425,0.8,0.1,2.8,0.525,3.4,0.775,0,0,4.6,0.925,10.8,2.225,0,0,0,0,0,33,20
Y1050211,1.8,406.8333333,684.8,1.4,33.8,48.2,1.4,72.8,106,0,0,0,7.2,5.2,2,0.640909091,10.55623277,3.8,6.2,0.73030303,6.6,0.763636364,0.4,0.216666667,39.4,3.472727273,25,2.215151515,14.8,1.298484848,4.6,0.584848485,0.2,0.016666667,54.2,4.771212121,29.8,2.816666667,84,7.587878788,24.6,2.343939394,0.4,0.216666667,91.2,8.587878788,200.2,18.73636364,1.8,0.8,1.8,0.8,2.15,29,40
Y1050212,2,156.0666667,411.4,1.6,17.2,34,1.4,22.4,52.2,0,0,0,4.4,3.4,1,0.45,5.714657254,1.6,3,0.383333333,4.4,0.6,0.4,0.033333333,7.2,0.783333333,19,2.633333333,13.2,1.983333333,3.6,0.516666667,0.2,0.016666667,20.4,2.766666667,22.8,3.166666667,43.2,5.933333333,20.6,3.05,0.4,0.033333333,47.6,6.533333333,111.8,15.55,0,0,0,0,0,17,20
Y1050213,0.4,15.2,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
Y1050214,2.8,108.75,422,2,6.45,21.4,2.8,20.20333333,81.4,0,0,0,5.8,5,0.8,0.523636364,10.23769284,1.4,3.6,0.383636364,5.6,0.783333333,1.4,0.144545455,13,1.447878788,17.8,1.933939394,36.4,4.709393939,4.2,0.797272727,0.2,0.018181818,49.4,6.157272727,22.2,2.749393939,71.6,8.906666666,44.6,6.127272727,1.4,0.144545455,77.4,9.706666666,195,24.88515152,0.6,0.6,0.4,0.6,0.316666667,26.6,20
Y1050215,2,146.98,390.6,1.2,21.83333333,41,1.4,13.15,25.4,0,0,0,7.4,6.6,0.8,0.548039216,4.973889222,1.8,1.6,0.122058824,7,0.571568628,1.2,0.08872549,2.2,0.215196078,2.8,0.194117647,6.4,0.531372549,3,0.249019608,0.2,0.011764706,8.6,0.746568628,6,0.454901961,14.6,1.201470588,15.6,1.286764706,1.2,0.08872549,22,1.801470588,53.4,4.378431372,0,0,0,0,0,38,20
Y1050216,0.8,32.13333334,79.6,0.2,2.4,2.4,0.2,4.4,4.4,0,0,0,0.8,0,0.8,0,2.70511222,1.4,0.8,0.2,0.2,0.05,0,0,0.8,0.2,0.8,0.2,1,0.25,0.2,0.05,0,0,1.8,0.45,1,0.25,2.8,0.7,1.2,0.3,0,0,3.6,0.9,7.6,1.9,0,0,0,0,0,4,10
Y1050218,0.4,82.7,165.4,0.4,10.4,20.8,0.4,3.7,7.4,0,0,0,1.2,0.8,0.4,0.133333333,2.56170772,0.8,0.6,0.1,1.2,0.2,0,0,1.2,0.2,2.8,0.466666667,1.6,0.266666667,0.4,0.066666667,0,0,2.8,0.466666667,3.2,0.533333333,6,1,3.2,0.533333333,0,0,7.2,1.2,16.4,2.733333334,0,0,0,0,0,5,10
Y1050219,2,129.86,295.4,1.2,18.43333333,35.8,1.4,5.933333333,11.8,0,0,0,4.2,0.6,3.6,0.075,10.97961005,1.6,3.6,0.525,2.2,0.5,0,0,3.2,0.425,0.6,0.075,2.8,0.4,0.8,0.1,0,0,6,0.825,1.4,0.175,7.4,1,5,0.875,0,0,11.6,1.8,24,3.675,1.2,0.8,0.2,1.2,1.466666667,40.8,20
Y1050220,1.8,155.5,463.8,1,7.866666667,9.6,1.8,30.5,95.8,0,0,0,7,6.8,0.2,0.589473684,1.47484242,1,6,0.49492823,7,0.6,1.2,0.093779904,9,0.652822966,22.2,1.722296651,32,2.373588517,9.6,0.708516746,0.4,0.028708134,41,3.026411483,32.2,2.459521531,73.2,5.485933015,47.2,3.555980861,1.2,0.093779904,80.2,6.085933015,201.8,15.22162679,0,0,0,0,0,35,30
