feature,logistic,linear_svc,svc,GaNB,Decision_tree,Random_forest,NN
active_num_days,0.6458333333333334,0.6180555555555556,0.6875000000000001,0.7013888888888888,0.8680555555555556,0.8680555555555556,0.6944444444444444
active_avg_count,0.6319444444444444,0.6597222222222222,0.6527777777777778,0.673611111111111,1.0,0.9791666666666667,0.4930555555555555
active_sum_count,0.6736111111111112,0.5972222222222222,0.6666666666666666,0.6944444444444445,0.9930555555555556,0.9861111111111112,0.5
problem_num_days,0.6111111111111112,0.6041666666666666,0.6458333333333334,0.6527777777777777,0.8125,0.8125,0.6736111111111112
problem_avg_count,0.6666666666666667,0.6388888888888888,0.6597222222222223,0.6597222222222223,0.9861111111111112,0.951388888888889,0.701388888888889
problem_sum_count,0.6597222222222222,0.6527777777777778,0.6875,0.6666666666666666,0.9652777777777779,0.951388888888889,0.6736111111111112
video_num_days,0.625,0.6111111111111112,0.6180555555555556,0.7083333333333335,0.8680555555555556,0.8472222222222223,0.6319444444444444
video_avg_count,0.625,0.6319444444444444,0.6805555555555556,0.6597222222222221,0.9930555555555556,0.9791666666666667,0.5
video_sum_count,0.6527777777777778,0.6597222222222222,0.6875,0.7013888888888888,0.9722222222222223,0.9444444444444444,0.5208333333333334
forum_num_days,0.5,0.5,0.5,0.5,0.5,0.5,0.5
forum_avg_count,0.5,0.5,0.5,0.5,0.5,0.5,0.5
forum_sum_count,0.5,0.5,0.5,0.5,0.5,0.5,0.5
num_watched,0.625,0.6180555555555556,0.6111111111111112,0.7361111111111112,0.9444444444444445,0.9374999999999999,0.6458333333333333
num_complete,0.6388888888888888,0.6111111111111112,0.5902777777777777,0.6805555555555556,0.9236111111111112,0.923611111111111,0.625
num_incomplete,0.5972222222222223,0.5972222222222223,0.6111111111111112,0.6666666666666666,0.8611111111111112,0.8472222222222223,0.6666666666666665
complete_rate,0.6319444444444444,0.6111111111111112,0.5972222222222222,0.6180555555555556,0.9791666666666667,0.9583333333333335,0.6111111111111112
incomplete_rate,0.5138888888888888,0.5347222222222222,0.4236111111111111,0.4930555555555556,0.9930555555555556,0.9583333333333334,0.4930555555555556
watched_time_hour,0.625,0.5902777777777778,0.6180555555555556,0.6666666666666667,1.0,0.9791666666666666,0.5
watched_time_weekday,0.5069444444444444,0.5069444444444444,0.5069444444444444,0.6111111111111112,0.9027777777777778,0.9027777777777778,0.5277777777777778
seek_video_sum,0.638888888888889,0.5902777777777778,0.6041666666666666,0.6875,0.9375,0.9305555555555556,0.6805555555555555
seek_video_avg,0.5972222222222222,0.5972222222222222,0.5833333333333333,0.6527777777777779,1.0,0.9791666666666667,0.625
pause_video_sum,0.625,0.6319444444444444,0.6180555555555556,0.6875,0.951388888888889,0.923611111111111,0.6597222222222222
pause_video_avg,0.6111111111111112,0.6041666666666667,0.5902777777777778,0.6597222222222222,1.0,0.9861111111111112,0.6319444444444444
stop_video_sum,0.638888888888889,0.625,0.6041666666666667,0.6458333333333333,0.8958333333333333,0.8888888888888888,0.6527777777777778
stop_video_avg,0.5277777777777777,0.5208333333333333,0.5694444444444444,0.6180555555555556,0.9791666666666667,0.9722222222222223,0.5277777777777778
video_forward_seek_sum,0.6111111111111112,0.6458333333333333,0.6319444444444444,0.6388888888888888,0.9930555555555556,0.9791666666666667,0.5625
video_forward_seek_avg,0.6388888888888888,0.6458333333333334,0.6319444444444444,0.6458333333333333,1.0,0.9930555555555556,0.6597222222222222
video_backward_seek_sum,0.6805555555555557,0.6666666666666667,0.6388888888888888,0.7013888888888888,0.9583333333333333,0.9305555555555556,0.6944444444444444
video_backward_seek_avg,0.6597222222222222,0.6388888888888888,0.6041666666666667,0.6458333333333334,1.0,0.9583333333333335,0.6527777777777778
video_pause_forward_seek_sum,0.6180555555555556,0.6180555555555556,0.625,0.6875,0.8125,0.7847222222222222,0.6458333333333333
video_pause_forward_seek_avg,0.5763888888888888,0.5833333333333334,0.5972222222222222,0.6805555555555556,0.9583333333333333,0.9375,0.5833333333333333
video_pause_backward_seek_sum,0.6180555555555556,0.625,0.6388888888888888,0.6458333333333333,0.8333333333333334,0.8125,0.6597222222222223
video_pause_backward_seek_avg,0.6041666666666666,0.6041666666666666,0.5902777777777778,0.6666666666666667,0.9513888888888888,0.9097222222222221,0.6041666666666666
video_stop_backward_seek_sum,0.625,0.625,0.6180555555555556,0.6527777777777777,0.7916666666666666,0.7916666666666666,0.6388888888888888
video_stop_backward_seek_avg,0.6041666666666666,0.5972222222222222,0.5833333333333334,0.7083333333333334,0.9166666666666666,0.888888888888889,0.5486111111111112
all_type_video_forward_seek_sum,0.625,0.6319444444444444,0.6388888888888888,0.6527777777777778,0.9722222222222223,0.9444444444444444,0.5347222222222222
all_type_video_forward_seek_avg,0.638888888888889,0.638888888888889,0.6458333333333333,0.6458333333333333,1.0,0.9722222222222222,0.6805555555555556
all_type_video_backward_seek_sum,0.6597222222222223,0.6527777777777778,0.6597222222222222,0.7083333333333334,0.951388888888889,0.9305555555555556,0.6666666666666667
all_type_video_backward_seek_avg,0.625,0.625,0.5972222222222222,0.6527777777777779,1.0,0.9652777777777778,0.6736111111111112
all_type_video_seek_sum,0.6458333333333333,0.6041666666666666,0.6875,0.6875,0.9722222222222222,0.9166666666666665,0.5833333333333334
all_type_video_seek_avg,0.6180555555555556,0.6111111111111112,0.6666666666666667,0.6388888888888888,1.0,0.9652777777777779,0.6527777777777778
video_pause_sum,0.6319444444444444,0.6180555555555556,0.6388888888888888,0.6805555555555556,0.9861111111111112,0.9652777777777779,0.6736111111111112
video_pause_avg,0.6180555555555556,0.6180555555555556,0.6388888888888888,0.6527777777777779,1.0,0.9791666666666667,0.6319444444444444
