feature,pearson,p-value,distance_correlation
active_num_days,0.18919535047617148,0.15124685759171488,0.8108046495238286
active_avg_count,0.07977742650358678,0.5480868212203238,0.9202225734964132
active_sum_count,0.1713274197879967,0.19447599900498935,0.8286725802120033
problem_num_days,0.06296988427665115,0.6356406440513058,0.9370301157233488
problem_avg_count,0.04309657843481061,0.7458631206943973,0.9569034215651894
problem_sum_count,0.09972869983548233,0.4523415441130393,0.9002713001645176
video_num_days,0.1456949384882369,0.270876082672306,0.8543050615117631
video_avg_count,0.05912684849286739,0.6564395967340461,0.9408731515071326
video_sum_count,0.08597972132037245,0.5173129391206919,0.9140202786796275
forum_num_days,,1.0,
forum_avg_count,,1.0,
forum_sum_count,,1.0,
num_watched,0.20018807161145277,0.12845868578806238,0.7998119283885472
num_complete,0.24168657343884853,0.06516085954203131,0.7583134265611515
num_incomplete,0.036862418813468696,0.7816406712526108,0.9631375811865313
complete_rate,0.17987294761953926,0.17281416393100535,0.8201270523804607
incomplete_rate,0.003947468663310527,0.9763283000939281,0.9960525313366895
watched_time_hour,0.07300237745958889,0.5826772922348893,0.9269976225404111
watched_time_weekday,0.1660077115497572,0.20890325658964584,0.8339922884502428
seek_video_sum,0.177587608944951,0.17842702490091977,0.822412391055049
seek_video_avg,0.13821335794003742,0.2965119621885754,0.8617866420599626
pause_video_sum,0.20354459392715915,0.12204656835981215,0.7964554060728408
pause_video_avg,0.1558295933876161,0.23857510281369995,0.8441704066123839
stop_video_sum,0.13916553004523052,0.29316440850579506,0.8608344699547694
stop_video_avg,0.06293152316653025,0.635846916832693,0.9370684768334697
video_forward_seek_sum,0.2003771683937608,0.12809080390299557,0.7996228316062393
video_forward_seek_avg,0.21955722603020836,0.0947566226959261,0.7804427739697917
video_backward_seek_sum,0.19700695383423564,0.1347679173312146,0.8029930461657644
video_backward_seek_avg,0.15774790648522524,0.23277239269871117,0.8422520935147748
video_pause_forward_seek_sum,0.019937038188115805,0.8808612219786444,0.9800629618118842
video_pause_forward_seek_avg,-0.0025372334546849527,0.9847837516394756,1.002537233454685
video_pause_backward_seek_sum,0.164182378423674,0.21402328539799034,0.835817621576326
video_pause_backward_seek_avg,0.06268385690220488,0.6371793125117755,0.9373161430977951
video_stop_backward_seek_sum,0.1520247650654085,0.2503764370517264,0.8479752349345915
video_stop_backward_seek_avg,0.19371140323786293,0.14154708581773556,0.806288596762137
all_type_video_forward_seek_sum,0.19453284544216878,0.13983393759504242,0.8054671545578312
all_type_video_forward_seek_avg,0.21394735167619036,0.10371573213362928,0.7860526483238096
all_type_video_backward_seek_sum,0.20333554161986253,0.12243867863558594,0.7966644583801374
all_type_video_backward_seek_avg,0.15381480668922748,0.2447758103893797,0.8461851933107726
all_type_video_seek_sum,0.21602138548517916,0.10033007461623579,0.7839786145148209
all_type_video_seek_avg,0.2037712967851384,0.12162243234270076,0.7962287032148616
video_pause_sum,0.15281192596401766,0.2479029563596293,0.8471880740359823
video_pause_avg,0.09990530249441393,0.45153731650225737,0.900094697505586
video_stop_sum,0.1533014424557754,0.24637318068388048,0.8466985575442245
video_stop_avg,0.09750359195123554,0.46254164933207087,0.9024964080487645
video_play_sum,0.2010908199845097,0.12670959697264073,0.7989091800154903
video_play_avg,0.1704683042563447,0.19675643889201488,0.8295316957436553
video_events_sum,0.20216066303539557,0.12466019364520062,0.7978393369646044
video_events_avg,0.169737312825704,0.1987117420266036,0.830262687174296
mt_practice_sum,0.2312318050213095,0.07805417685489832,0.7687681949786905
mt_unit_sum,0.26251776573436353,0.044571716835629556,0.7374822342656364
mt_online_num_day,0.2350454714582997,0.07313505280710825,0.7649545285417003
mt_online_practice_num_day,0.2871573992554703,0.02744177322489113,0.7128426007445297
hw_mean,0.34144989081640936,0.00812887663470044,0.6585501091835906
qz_mean,0.5843596957926736,1.1789184937284072e-06,0.41564030420732656
