feature,pearson,p-value,distance_correlation
active_num_days,0.32711186470884834,0.011444528185226953,0.6728881352911518
active_avg_count,0.4356977276270503,0.000562435250170117,0.5643022723729498
active_sum_count,0.4121451262612775,0.0011807720407489462,0.5878548737387225
problem_num_days,0.2400386893684268,0.06707123192477639,0.7599613106315732
problem_avg_count,0.33690835007182557,0.009074415369576401,0.6630916499281745
problem_sum_count,0.37045987203353903,0.0038744773023117857,0.629540127966461
video_num_days,0.28837612067741164,0.026763322695264106,0.7116238793225883
video_avg_count,0.06467055808004475,0.626523732857811,0.9353294419199553
video_sum_count,0.12411004270465202,0.3489963034785548,0.875889957295348
forum_num_days,,1.0,
forum_avg_count,,1.0,
forum_sum_count,,1.0,
num_watched,0.27272063634111143,0.036637610128978655,0.7272793636588886
num_complete,0.2518966714806897,0.05427732843939674,0.7481033285193104
num_incomplete,0.12474860567392013,0.3465027473253477,0.8752513943260799
complete_rate,0.2327343618231217,0.0760856762205215,0.7672656381768783
incomplete_rate,0.08482959964845671,0.5229530037409578,0.9151704003515433
watched_time_hour,0.14267642522840943,0.28103526137066703,0.8573235747715906
watched_time_weekday,0.2051517954188516,0.11906384905285387,0.7948482045811485
seek_video_sum,0.21049724691530114,0.1095426292758563,0.7895027530846989
seek_video_avg,0.15546390076148014,0.23969246582142512,0.8445360992385199
pause_video_sum,0.27773764742179424,0.03318851927803691,0.7222623525782057
pause_video_avg,0.27553579920104937,0.0346673964787864,0.7244642007989506
stop_video_sum,0.22229255912627707,0.09061305847626405,0.7777074408737229
stop_video_avg,0.20232599365412504,0.1243457421385578,0.7976740063458749
video_forward_seek_sum,0.15701979241039346,0.23496328138625408,0.8429802075896065
video_forward_seek_avg,0.09735511896159617,0.4632266785687772,0.9026448810384038
video_backward_seek_sum,0.1940908050492347,0.14075388884237977,0.8059091949507653
video_backward_seek_avg,0.030118266491479792,0.8208558865608133,0.9698817335085202
video_pause_forward_seek_sum,0.07014850666319412,0.5975386636830461,0.9298514933368058
video_pause_forward_seek_avg,0.01855603799598426,0.889059823368443,0.9814439620040157
video_pause_backward_seek_sum,0.25279896104620736,0.053391200108386425,0.7472010389537926
video_pause_backward_seek_avg,0.17132468552218497,0.19448322677702112,0.8286753144778151
video_stop_backward_seek_sum,0.07859366939507047,0.5540587038434325,0.9214063306049296
video_stop_backward_seek_avg,0.04554062541890507,0.7319765171939148,0.954459374581095
all_type_video_forward_seek_sum,0.15828574928554912,0.23116311492681302,0.8417142507144509
all_type_video_forward_seek_avg,0.09722462175121305,0.4638292247912633,0.902775378248787
all_type_video_backward_seek_sum,0.21245070503840263,0.10621326670089178,0.7875492949615973
all_type_video_backward_seek_avg,0.057383392859813837,0.6659627651593901,0.9426166071401861
all_type_video_seek_sum,0.18186116295444557,0.16803652945666706,0.8181388370455545
all_type_video_seek_avg,0.09209907844251022,0.48782838643370585,0.9079009215574898
video_pause_sum,0.2524896317294698,0.05369365450055232,0.7475103682705302
video_pause_avg,0.1565540429759214,0.23637214699517034,0.8434459570240787
video_stop_sum,0.1846970936169536,0.16138993810532073,0.8153029063830464
video_stop_avg,0.15925364714339127,0.22828648688354106,0.8407463528566087
video_play_sum,0.2310828689866907,0.0782514763600947,0.7689171310133093
video_play_avg,0.1293870939414671,0.3287225510667027,0.8706129060585329
video_events_sum,0.231963389633835,0.07709074495178203,0.768036610366165
video_events_avg,0.12952769496436078,0.3281927557990735,0.8704723050356392
mt_practice_sum,0.2624641844059227,0.04461683650007438,0.7375358155940773
mt_unit_sum,0.5069284474705567,4.183237358784301e-05,0.49307155252944346
mt_online_num_day,0.36403241820619636,0.004592433988030809,0.6359675817938036
mt_online_practice_num_day,0.42669366008601844,0.0007515447740091834,0.5733063399139815
hw_mean,0.32305439457599106,0.012572746824144283,0.6769456054240091
qz_mean,0.5510047631091528,6.120285539802642e-06,0.4489952368908472
