username,active_sum_count,num_watched,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,599.1666667000002,12.83333333,2.166666667,2.166666667,1.0,2.166666667,8.578888889,7.133333333,3
Y1050275,325.6666667,7.0,0.5,0.5,0.166666667,0.5,2.222222222,2.5,0
Y1050276,757.3333332999998,10.0,2.166666667,2.166666667,1.333333333,2.166666667,7.143333332999999,2.666666667,1
Y1050277,464.0,4.833333333,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050278,932.0,5.666666667,2.166666667,2.166666667,1.5,2.166666667,7.227222222000001,4.833333333,1
Y1050279,1833.166667,13.33333333,2.0,2.0,1.5,2.0,8.930555556,6.0,2
Y1050280,115.5,3.5,0.333333333,0.333333333,0.333333333,0.333333333,0.388888889,1.45,0
Y1050281,43.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050282,195.6666667,2.5,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050283,178.5,3.0,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,3.45,0
Y1050284,191.1666667,3.333333333,0.0,0.0,0.0,0.0,0.0,3.666666667,1
Y1050285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050286,1039.666667,10.16666667,1.5,1.5,1.0,1.5,4.203888889,7.583333333,2
Y1050287,591.5,11.33333333,0.0,0.0,0.0,0.0,0.0,7.5,1
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050289,1565.166667,13.5,0.0,0.0,0.0,0.0,1.0,7.933333332999999,2
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050291,427.0,5.666666667,0.0,0.0,0.0,0.0,0.0,6.3666666670000005,1
Y1050292,1012.0,9.0,1.5,1.5,1.0,1.5,4.648333333,4.95,1
Y1050293,839.1666667000003,11.33333333,2.0,2.0,0.666666667,2.0,7.921111111,8.0,3
Y1050294,604.0,8.5,0.0,0.0,0.0,0.0,0.0,5.216666667,1
Y1050295,701.3333332999998,6.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.444444444,4.666666667,1
Y1050296,649.8333332999998,6.833333333,0.5,0.5,0.166666667,0.5,1.666666667,2.0,0
Y1050297,5.5,0.166666667,0.0,0.0,0.0,0.0,0.0,0.333333333,0
Y1050298,120.5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050299,125.1666667,1.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0
Y1050300,207.8333333,1.5,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050301,268.8333333,2.833333333,0.5,0.5,0.166666667,0.5,1.666666667,0.0,0
Y1050302,280.8333333,4.666666667,0.5,0.5,0.333333333,0.5,2.722222222,0.0,0
Y1050303,506.0,6.0,0.5,0.5,0.166666667,0.5,2.0927777780000003,2.333333333,0
Y1050304,231.0,3.166666667,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050305,501.0,5.5,0.5,0.5,0.166666667,0.5,2.388888889,3.166666667,0
Y1050306,346.1666667,3.166666667,1.166666667,1.166666667,1.0,1.166666667,3.152777778,0.5,0
Y1050307,117.8333333,1.666666667,0.5,0.5,0.166666667,0.5,1.573888889,0.0,0
Y1050308,967.5,7.833333333,0.5,0.5,0.166666667,0.5,1.875,0.0,0
