username,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,num_complete,complete_rate,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050175,2.666666667,575.6666667000002,2.5,54.0,2.666666667,5.833333333,0.536556036,0.7010582009999999,0.5,0.333333333,0.333333333,0.333333333,0.529411765,37.16666667,1
Y1050176,4.333333333,993.1666667000003,3.0,85.16666667,3.833333333,8.666666667000001,0.837606838,1.0,14.16666667,3.0,2.0,3.666666667,9.484705882,81.0,3
Y1050177,2.333333333,738.3333332999998,1.0,62.66666667,1.166666667,2.5,0.282142857,0.5380952379999999,1.333333333,0.833333333,0.333333333,0.833333333,1.058823529,28.83333333,0
Y1050178,0.333333333,135.33333330000002,0.333333333,9.166666667000001,0.333333333,1.833333333,0.17424242399999998,0.254545455,0.333333333,0.333333333,0.166666667,0.333333333,0.308823529,32.5,0
Y1050179,4.833333333,1269.5,3.5,96.66666667,4.333333333,10.16666667,0.848009116,0.981424149,3.666666667,1.833333333,1.833333333,2.5,7.980588235,96.33333333,3
Y1050180,3.5,153.83333330000005,0.333333333,7.666666667,1.0,2.666666667,0.254545455,0.28636363600000003,0.333333333,0.333333333,0.166666667,0.333333333,0.352941176,51.33333333,1
Y1050181,2.0,215.0,1.333333333,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0
Y1050182,4.5,941.0,3.166666667,58.16666667,4.0,8.5,0.696136788,0.975694445,2.666666667,2.0,2.0,2.333333333,7.1176470589999985,89.16666667,3
Y1050183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0
Y1050184,0.166666667,10.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.166666667,0.5,0.647058824,18.83333333,0
Y1050185,5.833333333,733.5,2.5,70.5,2.833333333,7.666666667,0.8821830340000001,0.785953177,9.833333332999999,3.0,2.833333333,4.166666667,10.0,90.66666667,3
Y1050186,4.333333333,967.1666667000003,2.5,79.66666667,3.5,8.5,0.780830281,0.974358974,6.0,2.666666667,1.333333333,4.0,8.436470587999999,83.83333333,3
Y1050187,0.333333333,50.5,0.166666667,1.333333333,0.166666667,0.333333333,0.055555556,0.111111111,0.0,0.0,0.0,0.0,0.0,26.66666667,0
Y1050188,3.833333333,323.1666667,2.5,17.0,2.166666667,1.0,0.261111111,1.0,1.333333333,0.666666667,1.666666667,0.833333333,2.705882353,55.0,1
Y1050189,3.333333333,941.1666667000003,2.333333333,74.66666667,2.0,9.5,0.844907407,0.946990741,4.0,3.0,1.333333333,3.5,7.52,91.66666667,3
Y1050190,3.833333333,1221.333333,2.833333333,63.0,2.5,8.0,0.799801587,0.967361111,7.333333333,2.666666667,1.166666667,5.166666667,6.987647059,88.83333333,3
Y1050191,3.0,555.3333332999998,1.666666667,17.5,2.333333333,2.5,0.217592593,0.756613757,0.166666667,0.166666667,0.166666667,0.166666667,0.294117647,41.66666667,1
Y1050192,2.666666667,1081.0,1.833333333,124.6666667,2.166666667,8.833333332999999,0.749065518,0.900992064,14.5,3.0,5.666666667,5.0,7.862941176,66.83333333,2
Y1050193,2.0,267.5,0.833333333,21.16666667,1.666666667,2.166666667,0.322222222,0.5,0.333333333,0.333333333,0.166666667,0.333333333,0.05882352900000001,25.83333333,0
Y1050194,2.5,514.1666667,1.833333333,39.0,1.666666667,3.0,0.402236652,0.833333333,0.5,0.5,0.166666667,0.5,0.941176471,25.0,0
Y1050195,4.666666667,1354.666667,3.5,78.16666667,3.166666667,8.0,0.7410256409999999,0.833333333,1.333333333,1.166666667,0.5,1.333333333,1.382352941,53.0,1
Y1050196,1.166666667,48.83333333,0.166666667,1.333333333,0.333333333,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,9.166666667000001,0
Y1050197,3.333333333,1818.333333,2.5,84.16666667,2.833333333,19.0,0.867760181,0.925584465,3.333333333,2.166666667,2.0,2.333333333,5.4117647060000005,80.5,3
Y1050198,1.166666667,190.1666667,0.833333333,19.16666667,1.0,2.0,0.375,0.666666667,0.0,0.0,0.0,0.0,0.0,36.5,0
Y1050199,1.666666667,393.5,1.0,34.0,1.5,4.166666667,0.350396826,0.472222222,8.5,1.666666667,1.833333333,2.833333333,4.147058824,35.0,1
Y1050200,2.5,657.5,1.333333333,33.5,2.0,4.166666667,0.609704185,0.976190476,2.333333333,0.666666667,0.833333333,0.666666667,1.529411765,27.66666667,1
Y1050201,3.666666667,932.6666667000003,2.333333333,52.83333333,3.166666667,11.33333333,0.803907127,0.9559133,5.166666667,1.666666667,1.833333333,2.666666667,6.644117647000001,66.0,2
Y1050202,4.0,878.3333332999997,2.833333333,71.16666667,3.0,9.333333332999999,0.965079365,1.0,2.5,1.666666667,0.833333333,2.166666667,6.907058824,76.66666667,2
Y1050203,0.333333333,55.33333333,0.166666667,4.833333333,0.333333333,0.166666667,0.083333333,0.166666667,0.0,0.0,0.0,0.0,0.0,12.83333333,0
Y1050204,2.333333333,593.6666667000002,1.666666667,43.83333333,2.166666667,9.333333332999999,0.727147822,0.918540241,0.666666667,0.666666667,0.5,0.666666667,6.659411765,89.0,3
Y1050205,3.166666667,726.5,1.833333333,52.5,2.5,9.166666667000001,0.7061923590000001,0.797979798,3.333333333,1.666666667,0.666666667,1.666666667,7.711176471,85.83333333,3
Y1050206,3.166666667,743.0,3.0,75.0,2.833333333,5.5,0.626165501,0.93482906,0.666666667,0.666666667,0.166666667,0.666666667,2.8529411760000003,85.66666667,2
Y1050207,1.0,541.0,0.666666667,16.0,1.0,7.166666667,0.528409091,0.7305871209999999,0.0,0.0,0.0,0.0,0.0,63.83333333,1
Y1050208,5.0,1004.5,4.0,72.16666667,3.333333333,3.0,0.596891535,0.915343915,5.166666667,1.833333333,1.0,2.5,6.647058824,65.83333333,2
Y1050209,5.333333333,763.0,4.333333333,51.0,3.5,4.333333333,0.494444445,1.0,5.333333333,3.0,1.833333333,4.5,8.197058823999999,81.5,3
Y1050210,0.833333333,179.83333330000005,0.5,18.83333333,0.5,0.833333333,0.104166667,0.333333333,0.0,0.0,0.0,0.0,0.0,27.5,0
Y1050211,1.5,570.6666667000002,1.166666667,40.16666667,1.166666667,4.333333333,0.534090909,0.636363636,1.5,0.666666667,1.5,0.666666667,1.897058824,33.83333333,1
Y1050212,1.666666667,342.8333333,1.333333333,28.33333333,1.166666667,2.833333333,0.375,0.5,0.0,0.0,0.0,0.0,0.0,18.33333333,0
Y1050213,0.333333333,12.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333,0
Y1050214,2.333333333,351.6666667,1.666666667,17.83333333,2.333333333,4.166666667,0.436363636,0.6527777779999999,0.5,0.5,0.333333333,0.5,0.279411765,22.16666667,0
