username,label,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,homework_num,homework_complete_num,first_three_week_homework_complete_num,last_three_week_homework_complete_num,Problem_num_day,Cumulative_num_days,repeat_num,exam_mean,hw_mean,indicator,final_score
Y1050274,0.0,3.5,662.5,2.0,10.0,8.0,6.0,10.0,0.0,51.5,12.5,5.5,31.0,0.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,6.0,8.028333333,1,80.0
Y1050275,0.5,2.5,780.0,2.5,17.0,14.5,11.0,16.0,1.5,159.5,12.5,40.0,85.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,20.0
Y1050276,0.0,1.5,510.5,0.5,6.5,5.5,1.0,6.0,0.5,51.0,1.5,2.0,45.5,0.5,3.0,3.0,3.0,0.0,2.0,3.0,0.0,1.0,8.041666667,1,40.0
Y1050277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050278,0.0,1.5,201.5,1.0,5.0,3.5,1.0,4.0,1.5,8.0,0.0,1.5,5.0,1.5,3.0,3.0,3.0,0.0,3.0,3.0,0.0,2.0,5.708333333,1,54.0
Y1050279,0.0,5.0,2268.5,3.5,17.5,14.5,8.0,17.5,1.5,227.0,17.5,18.0,168.0,1.5,3.0,3.0,3.0,0.0,3.0,3.0,0.0,5.0,9.333333333,1,70.0
Y1050280,0.0,2.0,129.5,1.0,2.5,2.5,0.0,2.5,1.5,7.0,0.0,0.0,4.0,1.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0,10.0
Y1050281,0.5,0.5,126.0,0.5,1.5,0.5,1.5,1.5,0.5,20.0,1.5,2.0,14.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050282,0.5,2.0,336.0,2.0,5.5,5.0,2.5,4.5,1.5,47.5,1.0,4.5,17.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,10.0
Y1050283,0.0,2.0,125.5,1.0,2.5,1.5,1.5,2.0,0.5,12.5,1.5,1.5,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0
