username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050287,2.8,245.65,646.0,1.8,19.6,36.2,2.4,38.0,89.2,0.0,12.0,9.6,2.4,0.821168305,0.178831695,5.075501782,2.4,8.0,0.628687102,10.4,0.881607866,3.0,0.240080972,8.8,0.751359167,19.6,1.408097166,26.6,2.56772701,6.6,0.555812608,1.0,0.075824176,35.4,3.319086177,27.2,2.03973395,62.6,5.3588201269999995,40.8,3.809022557,3.2,0.255465587,74.8,6.387391556,181.4,15.81069983,0.0,0.0,0.0,0.0,0.0,7.8,0,50
Y1050289,4.0,402.51,1757.0,1.6,23.96666667,50.2,3.0,106.14333329999998,380.2,0.2,14.8,10.2,4.6,0.512082251,0.287917749,3.230241431,1.2,14.4,0.777380952,14.4,0.7738181820000001,3.2,0.141848485,54.8,3.075268398,132.2,7.264233767,107.6,5.892709957,45.0,2.51430303,1.0,0.051515152,162.4,8.967978355,178.2,9.830051948,340.6,18.7980303,163.2,8.989333334,3.2,0.141848485,355.4,19.5980303,862.4,47.52724242,0.0,0.0,0.0,0.0,1.058823529,8.0,1,60
Y1050291,1.4,277.9,512.4,0.8,56.4,56.4,0.6,36.2,36.2,0.0,6.8,4.4,2.4,0.464761905,0.135238095,2.868760354,1.8,2.4,0.145714286,5.8,0.41714285700000003,2.0,0.23047619100000002,2.6,0.218095238,2.0,0.12666666699999998,13.0,0.65047619,7.4,0.38380952399999996,0.0,0.0,15.6,0.8685714290000001,9.4,0.51047619,25.0,1.379047619,24.2,1.335238095,2.0,0.23047619100000002,31.8,1.9790476190000001,83.0,4.923809524,0.0,0.0,0.0,0.0,0.0,6.8,0,40
Y1050292,4.4,217.99,1058.0,3.6,31.63,127.2,3.6,23.26666667,95.2,0.0,8.6,2.2,6.4,0.229335664,0.770664336,9.274264066,1.4,5.6,0.688321678,7.8,0.924230769,0.2,0.025,47.2,5.167412587,15.6,2.076153846,13.4,1.603916084,2.6,0.253881119,0.0,0.0,60.6,6.771328671,18.2,2.330034965,78.8,9.101363636,23.4,2.746643357,0.2,0.025,87.4,10.10136364,189.8,21.97437063,1.8,1.8,1.2,1.8,4.921764706,5.0,0,50
Y1050293,2.8,421.2,886.0,2.4,43.36666667,83.0,2.6,45.85,79.2,0.0,12.2,11.4,0.8,0.9285714290000001,0.071428571,13.362974900000001,2.2,3.8,0.327472528,12.0,0.985714286,3.6,0.268131868,5.8,0.5307692310000001,5.8,0.46593406600000004,46.0,3.615384615,4.0,0.381318681,0.4,0.030769231,51.8,4.146153846,10.2,0.8780219779999999,62.0,5.024175823999999,58.4,4.7,3.8,0.28351648399999996,74.2,6.024175823999999,198.4,16.03186813,2.4,2.4,0.8,2.4,8.387058824,8.2,1,80
Y1050294,2.8,186.01,646.6,2.6,16.23333333,52.0,2.6,20.04666667,67.8,0.0,8.8,8.4,0.4,0.77032967,0.02967033,7.0219206729999994,2.2,4.0,0.373626374,7.6,0.697802198,2.8,0.25010989,17.6,1.501098901,9.8,0.8472527470000001,18.6,1.768791209,6.6,0.621318681,1.2,0.115384615,36.2,3.26989011,17.6,1.583956044,53.8,4.853846154,30.8,2.911428571,3.0,0.278681319,62.6,5.653846154,150.2,13.6978022,0.0,0.0,0.0,0.0,0.0,5.0,0,40
Y1050295,3.2,201.9433333,825.2,2.8,23.66666667,96.8,2.2,16.48333333,48.2,0.0,7.6,3.6,4.0,0.37575757600000004,0.424242424,11.59359274,2.6,6.0,0.642424242,5.4,0.681818182,1.0,0.054545455,12.2,1.2636363640000001,4.6,0.639393939,12.4,1.539393939,5.0,0.560606061,0.0,0.0,24.6,2.8030303030000003,9.6,1.2,34.2,4.003030303,20.6,2.515151515,1.0,0.054545455,41.8,4.803030303,97.6,11.37575757,0.2,0.2,0.2,0.2,0.470588235,5.6,0,30
Y1050296,2.2,258.0666667,628.0,1.2,27.3,54.6,1.4,21.16666667,49.0,0.0,7.2,4.8,2.4,0.358787879,0.241212121,4.902134022,1.8,4.4,0.42868686899999997,6.0,0.514545455,1.6,0.098989899,12.4,1.354747475,10.4,0.84969697,8.2,0.600606061,3.4,0.277373737,0.0,0.0,20.6,1.955353535,13.8,1.1270707070000001,34.4,3.082424242,15.8,1.245050505,1.6,0.098989899,41.6,3.6824242419999997,93.4,8.108888888,0.6,0.6,0.2,0.6,1.764705882,2.4,0,20
Y1050297,0.6,4.4,6.6,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2,2.7885108339999998,0.6,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0,10
Y1050298,0.8,131.0,144.6,0.6,12.4,12.4,0.8,10.8,13.0,0.0,2.4,1.8,0.6,0.45,0.15,5.472661652999999,2.8,1.0,0.25,2.2,0.55,0.4,0.1,2.8,0.7,2.6,0.65,3.8,0.95,0.8,0.2,0.0,0.0,6.6,1.65,3.4,0.85,10.0,2.5,6.6,1.65,0.4,0.1,12.4,3.1,29.4,7.35,0.0,0.0,0.0,0.0,0.0,2.4,0,10
