username,label,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,homework_num,homework_complete_num,first_three_week_homework_complete_num,last_three_week_homework_complete_num,Problem_num_day,Cumulative_num_days,repeat_num,exam_mean,hw_mean,indicator,final_score
Y1050274,0.0,2.66666666667,878.0,2.33333333333,18.6666666667,14.3333333333,7.66666666667,18.3333333333,0.333333333333,109.0,19.6666666667,11.6666666667,72.3333333333,0.333333333333,2.0,2.0,1.0,1.0,0.666666666667,2.0,0.0,5.666666667,8.722222222,0,80.0
Y1050275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0
Y1050276,0.0,2.66666666667,952.333333333,2.33333333333,13.6666666667,10.6666666667,3.33333333333,12.6666666667,1.33333333333,69.3333333333,3.66666666667,5.0,56.0,1.33333333333,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.666666667,8.314444444,0,40.0
Y1050277,0.333333333333,0.333333333333,164.666666667,0.333333333333,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,10.0
Y1050278,0.0,4.0,580.0,3.0,6.66666666667,3.0,3.66666666667,6.0,0.333333333333,31.3333333333,0.333333333333,7.0,17.3333333333,0.333333333333,2.0,2.0,1.0,1.0,1.33333333333,2.0,0.0,4.333333333,6.777777778,0,54.0
Y1050279,0.0,4.33333333333,1573.33333333,3.0,12.6666666667,10.0,4.66666666667,12.6666666667,0.333333333333,159.333333333,6.0,9.0,123.0,0.333333333333,2.0,2.0,1.0,1.0,1.33333333333,2.0,0.0,5.333333333,9.666666667,0,70.0
Y1050280,0.0,2.0,130.333333333,1.66666666667,4.0,2.33333333333,0.666666666667,4.0,0.666666666667,12.6666666667,1.66666666667,0.666666666667,7.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,1,10.0
Y1050281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0
Y1050282,0.333333333333,0.333333333333,41.6666666667,0.333333333333,1.0,0.666666666667,0.333333333333,0.666666666667,0.0,1.33333333333,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0
Y1050283,0.333333333333,2.0,111.0,1.66666666667,2.66666666667,1.66666666667,1.66666666667,2.0,0.333333333333,12.3333333333,2.66666666667,1.33333333333,5.33333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333,0.0,1,20.0
