username,qz_mean
Y1050274,6.56
Y1050275,1.4
Y1050276,1.2
Y1050277,1.2
Y1050278,3.8
Y1050279,5.2
Y1050280,0.54
Y1050281,0
Y1050282,1.2
Y1050283,2.94
Y1050284,2.4
Y1050285,0
Y1050286,7.1
Y1050287,7
Y1050288,0
Y1050289,7.52
Y1050290,0
Y1050291,5.64
Y1050292,3.94
Y1050293,7.6
Y1050294,4.26
Y1050295,4
Y1050296,0.8
Y1050297,0.4
Y1050298,0.8
Y1050299,0.8
Y1050300,0.4
Y1050301,0
Y1050302,0
Y1050303,0.8
Y1050304,0
Y1050305,1.8
Y1050306,0.6
Y1050307,0
Y1050308,0
Y1050309,0
Y1050310,0
Y1050311,2.58
Y1050312,0.8
Y1050313,1.6
Y1050314,1
Y1050315,1.34
Y1050316,0.8
Y1050317,4.54
Y1050318,3.94
Y1050319,7.44
Y1050320,0.8
Y1050321,3.2
Y1050322,10.16
Y1050323,9.1
Y1050324,2.6
Y1050325,1.8
Y1050326,1.8
Y1050327,0
Y1050328,5.76
Y1050329,3.4
Y1050330,0.6
Y1050331,0.4
Y1050332,3.4
Y1050333,0.2
Y1050334,0.8
Y1050335,0.8
Y1050336,6.82
Y1050337,0.8
Y1050338,0.8
Y1050339,1.2
Y1050340,0.4
Y1050341,2.2
Y1050342,5.94
Y1050343,0
Y1050344,4.4
Y1050345,0.8
Y1050346,3.66
Y1050347,2.8
Y1050348,0
Y1050349,4.52
Y1050350,0
Y1050351,6.38
Y1050352,7.1
Y1050353,3.76
Y1050354,4.74
Y1050355,0.4
Y1050356,2.2
Y1050357,0.94
Y1050358,3.36
Y1050359,0.6
Y1050360,1.5
Y1050361,2.08
Y1050362,7.52
Y1050363,0
Y1050364,7.8
Y1050365,8.6
Y1050366,0.4
Y1050367,8.46
Y1050368,0.8
Y1050369,0.4
Y1050370,1.4
Y1050371,4
Y1050372,3.6
Y1050373,1.1
Y1050374,2.8
Y1050375,2.5
Y1050376,8.76
Y1050377,4.34
Y1050378,8.76
Y1050379,7.48
Y1050380,6.56
Y1050381,4.94
Y1050382,1.2
Y1050383,0.4
Y1050384,1.9
Y1050385,6.2
Y1050386,2.46
Y1050387,0.4
Y1050388,2.2
Y1050389,0
Y1050390,0.4
Y1050391,0.8
Y1050392,2.4
Y1050393,0
Y1050394,0.8
Y1050395,0.4
Y1050396,1.2
Y1050397,1.2
Y1050398,0
Y1050399,0
Y1050400,0.8
Y1050401,0.4
Y1050402,0
Y1050403,0.8
Y1050404,0
Y1050405,0.4
Y1050406,0.4
Y1050407,1.4
Y1050408,0.4
Y1050409,0
Y1050410,0.8
Y1050411,0
Y1050412,3.2
Y1050413,4.4
Y1050414,4
Y1050415,2.6
Y1050416,5.7
Y1050417,5.76
Y1050418,0.94
Y1050419,0.82
Y1050420,5.86
Y1050421,3.86
Y1050422,4.4
Y1050423,0.74
Y1050424,1.56
Y1050425,0
Y1050426,5.2
Y1050427,9.68
Y1050428,0.8
Y1050429,0
Y1050430,0
Y1050431,0
Y1050432,0
Y1050433,0
Y1050434,0.8
Y1050435,0
Y1050436,0
Y1050437,0
Y1050438,1
Y1050439,0.8
Y1050440,0
Y1050441,0
Y1050442,0.8
Y1050443,0
Y1050444,0.4
Y1050445,2.2
Y1050446,0
Y1050447,0
Y1050448,1.2
Y1050449,2.4
Y1050450,0.8
Y1050451,0
Y1050452,4.94
Y1050453,1.2
Y1050454,9.88
Y9999984,7.06
Y9999985,7.98
