username,exam_sum,exam_final
Y1050274,34,88
Y1050275,15,0
Y1050276,15,10
Y1050277,12,0
Y1050278,25,40
Y1050279,30,60
Y1050280,8,7
Y1050281,6,0
Y1050282,12,0
Y1050283,19,17
Y1050284,18,40
Y1050285,0,0
Y1050286,36,95
Y1050287,39,60
Y1050288,0,0
Y1050289,40,76
Y1050290,0,0
Y1050291,34,42
Y1050292,25,47
Y1050293,41,70
Y1050294,25,63
Y1050295,28,0
Y1050296,12,0
Y1050297,2,0
Y1050298,12,0
Y1050299,4,0
Y1050300,12,0
Y1050301,0,0
Y1050302,0,0
Y1050303,14,0
Y1050304,6,0
Y1050305,19,0
Y1050306,3,0
Y1050307,0,0
Y1050308,0,0
Y1050309,0,0
Y1050310,10,0
Y1050311,18,9
Y1050312,10,0
Y1050313,13,30
Y1050314,10,20
Y1050315,14,7
Y1050316,10,0
Y1050317,29,37
Y1050318,26,17
Y1050319,37,102
Y1050320,12,0
Y1050321,24,0
Y1050322,49,118
Y1050323,48,75
Y1050324,23,0
Y1050325,14,0
Y1050326,15,0
Y1050327,0,0
Y1050328,31,48
Y1050329,18,0
Y1050330,13,0
Y1050331,9,0
Y1050332,25,0
Y1050333,11,0
Y1050334,11,0
Y1050335,11,0
Y1050336,35,71
Y1050337,11,0
Y1050338,10,0
Y1050339,16,0
Y1050340,10,0
Y1050341,15,0
Y1050342,29,87
Y1050343,0,0
Y1050344,30,0
Y1050345,6,0
Y1050346,19,73
Y1050347,22,0
Y1050348,10,0
Y1050349,25,76
Y1050350,10,0
Y1050351,34,79
Y1050352,38,75
Y1050353,23,38
Y1050354,30,27
Y1050355,8,0
Y1050356,18,10
Y1050357,12,7
Y1050358,23,38
Y1050359,8,10
Y1050360,16,15
Y1050361,17,24
Y1050362,38,86
Y1050363,0,0
Y1050364,39,100
Y1050365,42,110
Y1050366,12,0
Y1050367,42,103
Y1050368,14,0
Y1050369,12,0
Y1050370,17,0
Y1050371,24,60
Y1050372,24,20
Y1050373,14,15
Y1050374,22,20
Y1050375,19,35
Y1050376,45,88
Y1050377,29,27
Y1050378,42,98
Y1050379,39,84
Y1050380,33,78
Y1050381,32,27
Y1050382,16,0
Y1050383,8,0
Y1050384,17,25
Y1050385,41,0
Y1050386,21,13
Y1050387,2,0
Y1050388,17,0
Y1050389,0,0
Y1050390,6,0
Y1050391,12,0
Y1050392,17,0
Y1050393,0,0
Y1050394,13,0
Y1050395,2,0
Y1050396,16,0
Y1050397,14,0
Y1050398,0,0
Y1050399,0,0
Y1050400,14,0
Y1050401,8,0
Y1050402,0,0
Y1050403,12,0
Y1050404,8,0
Y1050405,4,0
Y1050406,6,0
Y1050407,9,0
Y1050408,10,0
Y1050409,6,0
Y1050410,14,0
Y1050411,8,0
Y1050412,26,0
Y1050413,23,70
Y1050414,23,30
Y1050415,21,0
Y1050416,32,45
Y1050417,33,58
Y1050418,7,17
Y1050419,7,11
Y1050420,32,73
Y1050421,24,53
Y1050422,28,40
Y1050423,7,7
Y1050424,14,38
Y1050425,6,0
Y1050426,32,20
Y1050427,47,114
Y1050428,14,0
Y1050429,2,0
Y1050430,0,0
Y1050431,0,0
Y1050432,0,0
Y1050433,0,0
Y1050434,14,0
Y1050435,9,0
Y1050436,4,0
Y1050437,0,0
Y1050438,5,0
Y1050439,12,0
Y1050440,6,0
Y1050441,0,0
Y1050442,10,0
Y1050443,0,0
Y1050444,10,0
Y1050445,21,0
Y1050446,0,0
Y1050447,7,0
Y1050448,16,0
Y1050449,20,0
Y1050450,12,0
Y1050451,0,0
Y1050452,30,47
Y1050453,14,0
Y1050454,38,114
Y9999984,29,103
Y9999985,40,89
