evaluation_num,pMAPC,pMSE,mean_train_score,mean_test_score
1.0,0.697751602751,200.593076272,0.822056790904,0.667919619954
2.0,0.702735854654,196.139005705,0.804394943223,0.701322437427
3.0,0.704346000435,213.642030351,0.802473648259,0.668840359746
4.0,0.718803362168,188.399686717,0.83003690393,0.767269828483
5.0,0.711299392483,200.767334281,0.810010480899,0.756344042987
6.0,0.720988143754,185.084933619,0.815691202657,0.752638033942
7.0,0.721555083023,179.064170081,0.817569713645,0.761586719333
8.0,0.736436917335,164.83669833,0.835231729234,0.795816097379
9.0,0.734664554622,167.77718455,0.829325092676,0.743206108507
10.0,0.71039621527,204.78611624,0.798098110736,0.763360481518
11.0,0.69510921057,232.997154335,0.742878881686,0.682511140677
12.0,0.709343905543,188.918021196,0.823333739052,0.742256976115
13.0,0.701734766276,210.527039101,0.782177712767,0.450210342989
14.0,0.728998068004,172.30329207,0.826677076244,0.720230058048
15.0,0.716386259303,182.934502338,0.82652412131,0.601125513457
16.0,0.731195180398,170.814809303,0.833576541691,0.771468203473
17.0,0.712714896498,193.468006515,0.815259889656,0.674073928821
18.0,0.704477588665,199.743815711,0.802605232257,0.725636209296
19.0,0.696443962773,202.867887489,0.813740029296,0.702772839354
20.0,0.717811917779,181.412065443,0.818907580111,0.697340385928
21.0,0.702479131794,195.890553069,0.800078438712,0.72853264218
22.0,0.724093843814,177.927434092,0.827194385393,0.728735353736
23.0,0.724197208973,186.12524892,0.813647369194,0.772613872115
24.0,0.700613127488,206.591534285,0.793702748038,0.71984454601
25.0,0.67318905375,252.546605676,0.771039371097,0.564929163767
26.0,0.72085034805,187.260851292,0.822820750191,0.759069474223
27.0,0.719058784241,178.878870103,0.839235611181,0.66644903522
28.0,0.715701290102,193.554129718,0.812103825596,0.702296127721
29.0,0.697925038965,228.747873245,0.802222783518,0.593846305997
30.0,0.714382105496,193.312301548,0.818800604387,0.722757787406
31.0,0.705101126489,204.397942614,0.818179286897,0.595930603692
32.0,0.680535735887,230.316261505,0.759341627282,0.629573630435
33.0,0.725077255432,176.32459985,0.814555366706,0.749537724147
34.0,0.700256844804,211.374170979,0.784087179461,0.72197949077
35.0,0.694088724011,225.144891829,0.765386213227,0.731337647687
36.0,0.73507664052,176.186476425,0.844249599648,0.703951082858
37.0,0.68262479085,220.641746901,0.802921041331,0.70988793925
38.0,0.687194363831,235.446422674,0.794012328763,0.65464670994
39.0,0.71425016503,188.418739714,0.831283307121,0.739305809096
40.0,0.685715181579,221.615251579,0.753602678257,0.720413145189
41.0,0.670302343513,260.18802988,0.775551945246,0.516787896059
42.0,0.712877871106,189.441733846,0.811827004419,0.744554053781
43.0,0.724437495692,176.843194239,0.818931127372,0.642975810477
44.0,0.712189285408,189.590617384,0.81341075301,0.778244239371
45.0,0.705408806242,208.898342915,0.787936615698,0.731033597273
46.0,0.691293678654,221.442983746,0.784651662176,0.664176891464
47.0,0.725329388228,181.042009651,0.810634109165,0.745804601669
48.0,0.714542599812,192.093565221,0.819830490388,0.702239486417
49.0,0.688945869804,225.770144422,0.784846848391,0.699191059148
50.0,0.71793823974,185.095025399,0.837646935325,0.751486108722
51.0,0.69449091571,210.302452897,0.790175879288,0.694281261741
52.0,0.705877574358,201.440891163,0.807612072328,0.746010854193
53.0,0.705069576748,207.843229653,0.803636390068,0.665275533068
54.0,0.699986567966,221.615079249,0.76083276906,0.72738101279
55.0,0.715036069783,189.642120511,0.821437933418,0.754853169264
56.0,0.693980367976,220.394379026,0.777167591588,0.735143430955
57.0,0.727987763554,172.479761509,0.825698764289,0.775207980064
58.0,0.683282351994,238.655495655,0.770419151602,0.705963842182
59.0,0.732354179242,175.763426185,0.839989555651,0.725883193339
60.0,0.716086097644,190.935298537,0.818684383102,0.765261894352
61.0,0.719328845442,185.326988882,0.823457419084,0.777308326935
62.0,0.716808255973,184.05366107,0.822477747554,0.722928775949
63.0,0.697702618116,208.490389106,0.802005897855,0.697118696791
64.0,0.717423613264,187.42965775,0.833760801107,0.753281158778
65.0,0.704540807951,193.042551782,0.811175805436,0.734055765895
66.0,0.681116526658,231.32421267,0.790831310965,0.71664243556
67.0,0.719257104104,191.411748875,0.815732317608,0.747308367693
68.0,0.702228429318,203.729582033,0.811716620037,0.737795018088
69.0,0.707193662244,193.893599171,0.819095017212,0.657685522163
70.0,0.716850430681,184.451275483,0.826178211107,0.745623909221
71.0,0.721192452196,176.684006803,0.797600904696,0.682077879105
72.0,0.715462267907,189.587562231,0.818756346754,0.72350676788
