username,final_score
101302503,2
101602507,2
102602012,1
103602527,1
104602001,1
104602002,2
104602003,1
104602004,0
104602005,2
104602006,2
104602007,3
104602008,2
104602009,2
104602010,2
104602011,2
104602012,3
104602013,2
104602014,1
104602015,0
104602016,0
104602017,1
104602018,1
104602019,3
104602020,2
104602021,3
104602022,3
104602023,3
104602024,2
104602025,2
104602026,0
104602027,1
104602028,3
104602029,2
104602030,1
104602031,1
104602032,1
104602033,3
104602035,3
104602037,2
104602501,1
104602502,2
104602503,1
104602504,2
104602505,3
104602506,2
104602507,1
104602508,2
104602509,1
104602510,2
104602511,2
104602513,3
104602514,2
104602515,2
104602516,1
104602517,3
104602519,3
104602520,1
104602521,3
104602522,1
104602524,2
104602525,1
104602526,2
