username,counseling_join_num
101302503,0
101602507,0
102602012,0
103602527,0
104602001,0
104602002,0
104602003,0
104602004,0
104602005,0
104602006,0
104602007,0
104602008,0
104602009,0
104602010,0
104602011,0
104602012,1
104602013,0
104602014,0
104602015,0
104602016,0
104602017,0
104602018,0
104602019,0
104602020,0
104602021,0
104602022,0
104602023,0
104602024,0
104602025,0
104602026,0
104602027,0
104602028,4
104602029,0
104602030,0
104602031,0
104602032,0
104602033,0
104602035,0
104602037,0
104602501,0
104602502,0
104602503,0
104602504,0
104602505,0
104602506,0
104602507,0
104602508,0
104602509,0
104602510,0
104602511,0
104602513,0
104602514,0
104602515,0
104602516,0
104602517,2
104602519,0
104602520,0
104602521,0
104602522,0
104602524,0
104602525,1
104602526,0
