username,final_score
101302503,61
101602507,68.61
102602012,52.57
103602527,47.15
104602001,58.21
104602002,69.33
104602003,55.3
104602004,24.5
104602005,74.12
104602006,61.13
104602007,85.72
104602008,72.53
104602009,79.78
104602010,76.68
104602011,70.97
104602012,88.14
104602013,66.43
104602014,50.89
104602015,11.09
104602016,25.71
104602017,52.83
104602018,54.02
104602019,80.67
104602020,77.99
104602021,80.61
104602022,83.56
104602023,95.5
104602024,72.67
104602025,61.38
104602026,25.57
104602027,57.3
104602028,104.16
104602029,67.13
104602030,54.11
104602031,50.2
104602032,51.06
104602033,82.94
104602035,80.48
104602037,61.61
104602501,56.93
104602502,67.38
104602503,48.27
104602504,71.49
104602505,81.71
104602506,63.62
104602507,39.87
104602508,60.32
104602509,47.45
104602510,70.1
104602511,78.77
104602513,93.69
104602514,74.75
104602515,60.84
104602516,56.89
104602517,82.97
104602519,94.97
104602520,48.24
104602521,80.87
104602522,59.34
104602524,68.02
104602525,59.69
104602526,76.48
