username,mt_mean,week
104602015,-1,13
104602015,-1,15
104602032,-1,3
104602032,-1,4
104602032,-1,5
104602032,-1,7
104602032,-1,8
104602032,-1,10
104602032,-1,13
104602032,-1,15
104602517,-1,2
104602517,-1,3
104602517,-1,4
104602517,-1,5
104602517,-1,7
104602517,-1,8
104602517,-1,10
104602517,-1,13
104602517,-1,15
104602026,-1,1
104602026,-1,2
104602026,-1,3
104602026,-1,4
104602026,-1,5
104602026,-1,6
104602026,-1,7
104602026,-1,8
104602026,-1,9
104602026,-1,10
104602026,-1,11
104602026,-1,12
104602026,-1,13
104602026,-1,14
104602026,-1,15
104602026,-1,16
104602026,-1,17
104602026,-1,18
103602527,-1,1
103602527,-1,2
103602527,-1,3
103602527,-1,4
103602527,-1,5
103602527,-1,6
103602527,-1,7
103602527,-1,8
103602527,-1,9
103602527,-1,10
103602527,-1,11
103602527,-1,12
103602527,-1,13
103602527,-1,14
103602527,-1,15
103602527,-1,16
103602527,-1,17
103602527,-1,18
101302503,-1,1
101302503,-1,2
101302503,-1,3
101302503,-1,4
101302503,-1,5
101302503,-1,6
101302503,-1,7
101302503,-1,8
101302503,-1,9
101302503,-1,10
101302503,-1,11
101302503,-1,12
101302503,-1,13
101302503,-1,14
101302503,-1,15
101302503,-1,16
101302503,-1,17
101302503,-1,18
104602503,0.133333333,10
104602526,0.166666667,10
104602031,0.333333333,10
104602510,0.5,10
104602501,0.666666667,13
104602511,0.666666667,13
104602001,0.777777778,10
104602016,0.951666667,7
104602506,1,15
104602035,1.111111111,10
104602524,1.166666667,10
104602501,1.2,3
104602028,1.285,7
104602511,1.333333333,10
104602027,1.416666667,13
104602014,1.55375,7
104602011,1.666666667,13
104602016,1.666666667,4
104602507,1.666666667,10
104602510,1.666666667,13
104602520,1.666666667,2
104602010,1.777777778,13
104602001,1.833333333,13
104602013,1.933333333,13
104602514,2,15
104602520,2.166666667,13
104602024,2.333333333,2
104602503,2.333333333,4
104602002,2.5,15
104602029,2.5,4
104602031,2.5,7
104602503,2.555555556,13
104602025,2.625,13
104602027,2.666666667,2
104602027,2.666666667,10
104602032,2.666666667,2
104602524,2.6925,7
104602506,2.75,13
104602018,2.984848485,13
104602003,3,13
104602008,3,15
104602525,3,5
104602525,3,15
104602016,3.055555556,2
104602031,3.111111111,2
104602508,3.111111111,10
104602025,3.158730159,10
104602002,3.166666667,4
104602509,3.355555556,3
104602506,3.388888889,10
104602502,3.433333333,10
104602501,3.44625,7
104602022,3.466666667,3
104602003,3.5,4
104602010,3.5,4
104602030,3.5,15
104602035,3.5,4
104602501,3.5,4
104602508,3.5,4
104602014,3.619166667,1
104602014,3.619166667,6
104602014,3.619166667,9
104602014,3.619166667,11
104602014,3.619166667,12
104602014,3.619166667,14
104602014,3.619166667,16
104602014,3.619166667,17
104602014,3.619166667,18
104602521,3.625,7
104602029,3.638333333,7
104602003,3.695,7
104602525,3.733333333,3
104602001,3.75,4
104602020,3.75,4
104602526,3.75,13
104602502,3.785714286,13
104602515,3.833333333,4
104602502,3.875,8
104602006,3.966666667,13
104602001,4,15
104602002,4,13
104602006,4,4
104602009,4,4
104602011,4,4
104602021,4,5
104602027,4,4
104602525,4,4
104602003,4.083333333,2
104602013,4.166666667,10
104602503,4.166666667,15
104602503,4.2,8
104602029,4.214285714,8
104602019,4.25,4
104602505,4.25,4
104602506,4.25,4
104602016,4.283333333,3
104602019,4.377777778,2
104602006,4.388888889,10
104602505,4.478571429,3
104602010,4.5,10
104602013,4.5,4
104602018,4.5,4
104602507,4.5,4
104602511,4.5,4
104602516,4.5,10
104602037,4.525,7
104602001,4.55,3
104602029,4.555555556,10
104602019,4.611111111,8
104602027,4.625,8
104602017,4.646666667,3
104602024,4.665,7
104602025,4.666666667,8
104602506,4.666666667,2
104602521,4.666666667,13
104602516,4.708333333,13
104602025,4.772571429,7
104602016,4.782,1
104602016,4.782,6
104602016,4.782,9
104602016,4.782,11
104602016,4.782,12
104602016,4.782,14
104602016,4.782,16
104602016,4.782,17
104602016,4.782,18
104602021,4.809166667,7
104602509,4.81,7
104602009,4.833333333,15
104602505,4.833333333,10
104602033,4.9,3
104602027,4.99875,7
104602018,4.999166667,7
104602011,5,10
104602017,5,8
104602023,5,5
104602028,5,5
104602037,5,10
104602035,5.020833333,7
104602021,5.033333333,3
104602035,5.033333333,3
104602029,5.05,3
104602006,5.066666667,3
104602007,5.07,7
104602027,5.075,3
104602025,5.133333333,3
104602506,5.155184267,1
104602506,5.155184267,6
104602506,5.155184267,9
104602506,5.155184267,11
104602506,5.155184267,12
104602506,5.155184267,14
104602506,5.155184267,16
104602506,5.155184267,17
104602506,5.155184267,18
104602003,5.183333333,3
104602035,5.18452381,1
104602035,5.18452381,6
104602035,5.18452381,9
104602035,5.18452381,11
104602035,5.18452381,12
104602035,5.18452381,14
104602035,5.18452381,16
104602035,5.18452381,17
104602035,5.18452381,18
104602002,5.19,7
104602029,5.191957672,1
104602029,5.191957672,6
104602029,5.191957672,9
104602029,5.191957672,11
104602029,5.191957672,12
104602029,5.191957672,14
104602029,5.191957672,16
104602029,5.191957672,17
104602029,5.191957672,18
104602510,5.2675,7
104602020,5.294166667,7
104602001,5.31,7
104602005,5.333333333,10
104602524,5.333333333,2
104602503,5.340740741,1
104602503,5.340740741,6
104602503,5.340740741,9
104602503,5.340740741,11
104602503,5.340740741,12
104602503,5.340740741,14
104602503,5.340740741,16
104602503,5.340740741,17
104602503,5.340740741,18
104602520,5.484126984,10
104602514,5.5,13
104602030,5.522222222,3
104602025,5.523313725,1
104602025,5.523313725,6
104602025,5.523313725,9
104602025,5.523313725,11
104602025,5.523313725,12
104602025,5.523313725,14
104602025,5.523313725,16
104602025,5.523313725,17
104602025,5.523313725,18
104602008,5.666666667,2
104602008,5.666666667,10
104602005,5.685185185,13
104602504,5.722222222,10
104602509,5.729777778,1
104602509,5.729777778,6
104602509,5.729777778,9
104602509,5.729777778,11
104602509,5.729777778,12
104602509,5.729777778,14
104602509,5.729777778,16
104602509,5.729777778,17
104602509,5.729777778,18
104602024,5.74,3
104602006,5.75,2
104602516,5.75,5
104602516,5.76,7
104602520,5.807489177,1
104602520,5.807489177,6
104602520,5.807489177,9
104602520,5.807489177,11
104602520,5.807489177,12
104602520,5.807489177,14
104602520,5.807489177,16
104602520,5.807489177,17
104602520,5.807489177,18
104602018,5.85,3
104602031,5.850649351,1
104602031,5.850649351,6
104602031,5.850649351,9
104602031,5.850649351,11
104602031,5.850649351,12
104602031,5.850649351,14
104602031,5.850649351,16
104602031,5.850649351,17
104602031,5.850649351,18
104602027,5.858166667,1
104602027,5.858166667,6
104602027,5.858166667,9
104602027,5.858166667,11
104602027,5.858166667,12
104602027,5.858166667,14
104602027,5.858166667,16
104602027,5.858166667,17
104602027,5.858166667,18
104602506,5.983116883,3
104602005,6,5
104602035,6,5
104602502,6,2
104602522,6.016666667,10
104602033,6.097222222,1
104602033,6.097222222,6
104602033,6.097222222,9
104602033,6.097222222,11
104602033,6.097222222,12
104602033,6.097222222,14
104602033,6.097222222,16
104602033,6.097222222,17
104602033,6.097222222,18
104602022,6.109583333,7
104602516,6.14,3
104602001,6.151428571,1
104602001,6.151428571,6
104602001,6.151428571,9
104602001,6.151428571,11
104602001,6.151428571,12
104602001,6.151428571,14
104602001,6.151428571,16
104602001,6.151428571,17
104602001,6.151428571,18
104602018,6.157969697,1
104602018,6.157969697,6
