username,hw_mean,week
101302503,9.9,1
101302503,9.9,2
101302503,10,3
101302503,10,4
101302503,9.9,5
101302503,9.9,6
101302503,10,7
101302503,10,8
101302503,10,9
101302503,9.9,10
101302503,9.9,11
101302503,9.9,12
101302503,10,13
101302503,9.4,14
101302503,9.8,15
101302503,9.9,16
101302503,9.9,17
101302503,9.9,18
103602527,9.488888889,1
103602527,8.4,2
103602527,9.8,3
103602527,9,4
103602527,9.488888889,5
103602527,9.488888889,6
103602527,10,7
103602527,9.3,8
103602527,10,9
103602527,9.488888889,10
103602527,9.488888889,11
103602527,9.488888889,12
103602527,9.9,13
103602527,9.5,14
103602527,9.5,15
103602527,9.488888889,16
103602527,9.488888889,17
103602527,9.488888889,18
104602001,9.555555556,1
104602001,9.8,2
104602001,8.8,3
104602001,9.6,4
104602001,9.555555556,5
104602001,9.555555556,6
104602001,8.3,7
104602001,10,8
104602001,10,9
104602001,9.555555556,10
104602001,9.555555556,11
104602001,9.555555556,12
104602001,10,13
104602001,10,14
104602001,9.5,15
104602001,9.555555556,16
104602001,9.555555556,17
104602001,9.555555556,18
104602002,9.588888889,1
104602002,10,2
104602002,9.8,3
104602002,10,4
104602002,9.588888889,5
104602002,9.588888889,6
104602002,8.5,7
104602002,9.5,8
104602002,10,9
104602002,9.588888889,10
104602002,9.588888889,11
104602002,9.588888889,12
104602002,10,13
104602002,8.5,14
104602002,10,15
104602002,9.588888889,16
104602002,9.588888889,17
104602002,9.588888889,18
104602003,9.522222222,1
104602003,9,2
104602003,9.7,3
104602003,10,4
104602003,9.522222222,5
104602003,9.522222222,6
104602003,9,7
104602003,9.5,8
104602003,10,9
104602003,9.522222222,10
104602003,9.522222222,11
104602003,9.522222222,12
104602003,10,13
104602003,9,14
104602003,9.5,15
104602003,9.522222222,16
104602003,9.522222222,17
104602003,9.522222222,18
104602004,5.066666667,1
104602004,8.1,2
104602004,9.7,3
104602004,9,4
104602004,5.066666667,5
104602004,5.066666667,6
104602004,9,7
104602004,9.8,8
104602004,0,9
104602004,5.066666667,10
104602004,5.066666667,11
104602004,5.066666667,12
104602004,0,13
104602004,0,14
104602004,0,15
104602004,5.066666667,16
104602004,5.066666667,17
104602004,5.066666667,18
104602005,9.766666667,1
104602005,9.5,2
104602005,10,3
104602005,10,4
104602005,9.766666667,5
104602005,9.766666667,6
104602005,9.9,7
104602005,10,8
104602005,10,9
104602005,9.766666667,10
104602005,9.766666667,11
104602005,9.766666667,12
104602005,9,13
104602005,9.5,14
104602005,10,15
104602005,9.766666667,16
104602005,9.766666667,17
104602005,9.766666667,18
104602006,9.811111111,1
104602006,9.5,2
104602006,9.8,3
104602006,10,4
104602006,9.811111111,5
104602006,9.811111111,6
104602006,10,7
104602006,9,8
104602006,10,9
104602006,9.811111111,10
104602006,9.811111111,11
104602006,9.811111111,12
104602006,10,13
104602006,10,14
104602006,10,15
104602006,9.811111111,16
104602006,9.811111111,17
104602006,9.811111111,18
104602007,9.666666667,1
104602007,10,2
104602007,9.5,3
104602007,9,4
104602007,9.666666667,5
104602007,9.666666667,6
104602007,10,7
104602007,9,8
104602007,10,9
104602007,9.666666667,10
104602007,9.666666667,11
104602007,9.666666667,12
104602007,10,13
104602007,10,14
104602007,9.5,15
104602007,9.666666667,16
104602007,9.666666667,17
104602007,9.666666667,18
104602008,9.877777778,1
104602008,10,2
104602008,9.7,3
104602008,10,4
104602008,9.877777778,5
104602008,9.877777778,6
104602008,10,7
104602008,9.3,8
104602008,10,9
104602008,9.877777778,10
104602008,9.877777778,11
104602008,9.877777778,12
104602008,9.9,13
104602008,10,14
104602008,10,15
104602008,9.877777778,16
104602008,9.877777778,17
104602008,9.877777778,18
104602009,9.777777778,1
104602009,9,2
104602009,9.7,3
104602009,10,4
104602009,9.777777778,5
104602009,9.777777778,6
104602009,10,7
104602009,9.4,8
104602009,10,9
104602009,9.777777778,10
104602009,9.777777778,11
104602009,9.777777778,12
104602009,9.9,13
104602009,10,14
104602009,10,15
104602009,9.777777778,16
104602009,9.777777778,17
104602009,9.777777778,18
104602010,9.977777778,1
104602010,10,2
104602010,10,3
104602010,10,4
104602010,9.977777778,5
104602010,9.977777778,6
104602010,10,7
104602010,10,8
104602010,10,9
104602010,9.977777778,10
104602010,9.977777778,11
104602010,9.977777778,12
104602010,10,13
104602010,10,14
104602010,9.8,15
104602010,9.977777778,16
104602010,9.977777778,17
104602010,9.977777778,18
104602011,9.766666667,1
104602011,10,2
104602011,10,3
104602011,10,4
104602011,9.766666667,5
104602011,9.766666667,6
104602011,10,7
104602011,9.4,8
104602011,9,9
104602011,9.766666667,10
104602011,9.766666667,11
104602011,9.766666667,12
104602011,10,13
104602011,10,14
104602011,9.5,15
104602011,9.766666667,16
104602011,9.766666667,17
104602011,9.766666667,18
104602012,9.833333333,1
104602012,10,2
104602012,10,3
104602012,10,4
104602012,9.833333333,5
104602012,9.833333333,6
104602012,10,7
104602012,9,8
104602012,10,9
104602012,9.833333333,10
104602012,9.833333333,11
104602012,9.833333333,12
104602012,10,13
104602012,10,14
104602012,9.5,15
104602012,9.833333333,16
104602012,9.833333333,17
104602012,9.833333333,18
104602013,9.877777778,1
104602013,9.9,2
104602013,9.7,3
104602013,10,4
104602013,9.877777778,5
104602013,9.877777778,6
104602013,10,7
104602013,9.5,8
104602013,10,9
104602013,9.877777778,10
104602013,9.877777778,11
104602013,9.877777778,12
104602013,10,13
104602013,10,14
104602013,9.8,15
104602013,9.877777778,16
104602013,9.877777778,17
104602013,9.877777778,18
104602014,7.188888889,1
104602014,6.6,2
104602014,10,3
104602014,7.5,4
104602014,7.188888889,5
104602014,7.188888889,6
104602014,9.8,7
104602014,7.3,8
104602014,9.5,9
104602014,7.188888889,10
104602014,7.188888889,11
104602014,7.188888889,12
104602014,0,13
104602014,10,14
104602014,4,15
104602014,7.188888889,16
104602014,7.188888889,17
104602014,7.188888889,18
104602015,3.3,1
104602015,10,2
104602015,9.7,3
104602015,10,4
104602015,3.3,5
104602015,3.3,6
104602015,0,7
104602015,0,8
104602015,0,9
104602015,3.3,10
104602015,3.3,11
104602015,3.3,12
104602015,0,13
104602015,0,14
104602015,0,15
104602015,3.3,16
104602015,3.3,17
104602015,3.3,18
104602016,9.766666667,1
104602016,8.9,2
104602016,10,3
104602016,10,4
104602016,9.766666667,5
104602016,9.766666667,6
104602016,9.8,7
104602016,9.3,8
104602016,10,9
104602016,9.766666667,10
104602016,9.766666667,11
104602016,9.766666667,12
104602016,10,13
104602016,10,14
104602016,9.9,15
104602016,9.766666667,16
104602016,9.766666667,17
104602016,9.766666667,18
104602017,9.577777778,1
104602017,9.6,2
104602017,8.8,3
104602017,10,4
104602017,9.577777778,5
104602017,9.577777778,6
104602017,10,7
104602017,8.3,8
104602017,10,9
104602017,9.577777778,10
104602017,9.577777778,11
104602017,9.577777778,12
104602017,9.5,13
104602017,10,14
104602017,10,15
104602017,9.577777778,16
104602017,9.577777778,17
104602017,9.577777778,18
104602018,9.6,1
104602018,9.8,2
104602018,10,3
104602018,10,4
104602018,9.6,5
104602018,9.6,6
104602018,8.5,7
104602018,9.1,8
104602018,10,9
104602018,9.6,10
104602018,9.6,11
104602018,9.6,12
104602018,10,13
104602018,9.5,14
104602018,9.5,15
104602018,9.6,16
104602018,9.6,17
104602018,9.6,18
104602019,9.8,1
104602019,9.8,2
104602019,10,3
104602019,10,4
104602019,9.8,5
104602019,9.8,6
104602019,10,7
104602019,9.5,8
104602019,10,9
104602019,9.8,10
104602019,9.8,11
104602019,9.8,12
104602019,10,13
104602019,9.1,14
104602019,9.8,15
104602019,9.8,16
104602019,9.8,17
104602019,9.8,18
104602020,9.333333333,1
104602020,9.8,2
104602020,9.9,3
104602020,9.5,4
104602020,9.333333333,5
104602020,9.333333333,6
104602020,10,7
104602020,8.3,8
104602020,9.5,9
104602020,9.333333333,10
104602020,9.333333333,11
104602020,9.333333333,12
104602020,10,13
104602020,9.1,14
104602020,7.9,15
104602020,9.333333333,16
104602020,9.333333333,17
104602020,9.333333333,18
104602021,9.322222222,1
104602021,8.6,2
104602021,9.5,3
104602021,9.7,4
104602021,9.322222222,5
104602021,9.322222222,6
104602021,10,7
104602021,8.4,8
104602021,10,9
104602021,9.322222222,10
104602021,9.322222222,11
104602021,9.322222222,12
104602021,9.8,13
104602021,9.5,14
104602021,8.4,15
104602021,9.322222222,16
104602021,9.322222222,17
104602021,9.322222222,18
104602022,9.611111111,1
104602022,9.7,2
104602022,9.7,3
104602022,10,4
104602022,9.611111111,5
104602022,9.611111111,6
104602022,10,7
104602022,9,8
104602022,10,9
104602022,9.611111111,10
104602022,9.611111111,11
104602022,9.611111111,12
104602022,9.5,13
104602022,9.8,14
104602022,8.8,15
104602022,9.611111111,16
104602022,9.611111111,17
104602022,9.611111111,18
104602023,8.3,1
104602023,9.5,2
104602023,9.3,3
104602023,0,4
104602023,8.3,5
104602023,8.3,6
104602023,9.7,7
104602023,8.5,8
104602023,10,9
104602023,8.3,10
104602023,8.3,11
104602023,8.3,12
104602023,10,13
104602023,9.2,14
104602023,8.5,15
104602023,8.3,16
104602023,8.3,17
104602023,8.3,18
104602024,6.955555556,1
104602024,7.4,2
104602024,8.5,3
104602024,10,4
104602024,6.955555556,5
104602024,6.955555556,6
104602024,8.1,7
104602024,9.1,8
104602024,9.5,9
104602024,6.955555556,10
104602024,6.955555556,11
104602024,6.955555556,12
104602024,10,13
104602024,0,14
104602024,0,15
104602024,6.955555556,16
104602024,6.955555556,17
104602024,6.955555556,18
104602025,8.333333333,1
104602025,8.4,2
104602025,3.5,3
104602025,7.7,4
104602025,8.333333333,5
104602025,8.333333333,6
104602025,10,7
104602025,8.4,8
104602025,9,9
104602025,8.333333333,10
104602025,8.333333333,11
104602025,8.333333333,12
104602025,8,13
104602025,10,14
104602025,10,15
104602025,8.333333333,16
104602025,8.333333333,17
104602025,8.333333333,18
104602026,3.444444444,1
104602026,0,2
104602026,6.5,3
104602026,4.5,4
104602026,3.444444444,5
104602026,3.444444444,6
104602026,3.5,7
104602026,6.5,8
104602026,0,9
104602026,3.444444444,10
104602026,3.444444444,11
104602026,3.444444444,12
104602026,10,13
104602026,0,14
104602026,0,15
104602026,3.444444444,16
104602026,3.444444444,17
104602026,3.444444444,18
104602027,9.6,1
104602027,9.5,2
104602027,9.5,3
104602027,10,4
104602027,9.6,5
104602027,9.6,6
104602027,9,7
104602027,9.5,8
104602027,10,9
104602027,9.6,10
104602027,9.6,11
104602027,9.6,12
104602027,9.4,13
104602027,10,14
104602027,9.5,15
104602027,9.6,16
104602027,9.6,17
104602027,9.6,18
104602028,9.811111111,1
104602028,10,2
104602028,10,3
104602028,10,4
104602028,9.811111111,5
104602028,9.811111111,6
104602028,10,7
104602028,9.5,8
104602028,10,9
104602028,9.811111111,10
104602028,9.811111111,11
104602028,9.811111111,12
104602028,10,13
104602028,10,14
104602028,8.8,15
104602028,9.811111111,16
104602028,9.811111111,17
104602028,9.811111111,18
104602029,9.755555556,1
104602029,9.7,2
104602029,10,3
104602029,10,4
104602029,9.755555556,5
104602029,9.755555556,6
104602029,8.7,7
104602029,10,8
104602029,10,9
104602029,9.755555556,10
104602029,9.755555556,11
104602029,9.755555556,12
104602029,10,13
104602029,10,14
104602029,9.4,15
104602029,9.755555556,16
104602029,9.755555556,17
104602029,9.755555556,18
104602030,9.666666667,1
104602030,9.4,2
104602030,10,3
104602030,10,4
104602030,9.666666667,5
104602030,9.666666667,6
104602030,8.3,7
104602030,9.8,8
104602030,10,9
104602030,9.666666667,10
104602030,9.666666667,11
104602030,9.666666667,12
104602030,10,13
104602030,10,14
104602030,9.5,15
104602030,9.666666667,16
104602030,9.666666667,17
104602030,9.666666667,18
104602031,9.488888889,1
104602031,9.1,2
104602031,10,3
104602031,10,4
104602031,9.488888889,5
104602031,9.488888889,6
104602031,8.5,7
104602031,8,8
104602031,10,9
104602031,9.488888889,10
104602031,9.488888889,11
104602031,9.488888889,12
104602031,10,13
104602031,9.8,14
104602031,10,15
104602031,9.488888889,16
104602031,9.488888889,17
104602031,9.488888889,18
104602032,9.711111111,1
104602032,9.3,2
104602032,10,3
104602032,10,4
104602032,9.711111111,5
104602032,9.711111111,6
104602032,9.8,7
104602032,9.3,8
104602032,9.5,9
104602032,9.711111111,10
104602032,9.711111111,11
104602032,9.711111111,12
104602032,10,13
104602032,10,14
104602032,9.5,15
104602032,9.711111111,16
104602032,9.711111111,17
104602032,9.711111111,18
104602033,8.5,1
104602033,6.6,2
104602033,7.8,3
104602033,8.7,4
104602033,8.5,5
104602033,8.5,6
104602033,10,7
104602033,9.1,8
104602033,9.5,9
104602033,8.5,10
104602033,8.5,11
104602033,8.5,12
104602033,10,13
104602033,7.5,14
104602033,7.3,15
104602033,8.5,16
104602033,8.5,17
104602033,8.5,18
104602035,9.877777778,1
104602035,10,2
104602035,9.7,3
104602035,10,4
104602035,9.877777778,5
104602035,9.877777778,6
104602035,10,7
104602035,9.2,8
104602035,10,9
104602035,9.877777778,10
104602035,9.877777778,11
104602035,9.877777778,12
104602035,10,13
104602035,10,14
104602035,10,15
104602035,9.877777778,16
104602035,9.877777778,17
104602035,9.877777778,18
104602037,9.811111111,1
104602037,10,2
104602037,10,3
104602037,10,4
104602037,9.811111111,5
104602037,9.811111111,6
104602037,9.5,7
104602037,9.3,8
104602037,10,9
104602037,9.811111111,10
104602037,9.811111111,11
104602037,9.811111111,12
104602037,10,13
104602037,10,14
104602037,9.5,15
104602037,9.811111111,16
104602037,9.811111111,17
104602037,9.811111111,18
104602501,9.777777778,1
104602501,9.6,2
104602501,10,3
104602501,10,4
104602501,9.777777778,5
104602501,9.777777778,6
104602501,10,7
104602501,9.5,8
104602501,9,9
104602501,9.777777778,10
104602501,9.777777778,11
104602501,9.777777778,12
104602501,9.9,13
104602501,10,14
104602501,10,15
104602501,9.777777778,16
104602501,9.777777778,17
104602501,9.777777778,18
104602502,9.544444444,1
104602502,9,2
104602502,9.5,3
104602502,9,4
104602502,9.544444444,5
104602502,9.544444444,6
104602502,10,7
104602502,9,8
104602502,10,9
104602502,9.544444444,10
104602502,9.544444444,11
104602502,9.544444444,12
104602502,9.5,13
104602502,9.9,14
104602502,10,15
104602502,9.544444444,16
104602502,9.544444444,17
104602502,9.544444444,18
104602503,7.888888889,1
104602503,10,2
104602503,9,3
104602503,9,4
104602503,7.888888889,5
104602503,7.888888889,6
104602503,10,7
104602503,6.7,8
104602503,10,9
104602503,7.888888889,10
104602503,7.888888889,11
104602503,7.888888889,12
104602503,0,13
104602503,8.8,14
104602503,7.5,15
104602503,7.888888889,16
104602503,7.888888889,17
104602503,7.888888889,18
104602504,9.611111111,1
104602504,8.5,2
104602504,9.3,3
104602504,9.5,4
104602504,9.611111111,5
104602504,9.611111111,6
104602504,10,7
104602504,9.3,8
104602504,10,9
104602504,9.611111111,10
104602504,9.611111111,11
104602504,9.611111111,12
104602504,10,13
104602504,9.9,14
104602504,10,15
104602504,9.611111111,16
104602504,9.611111111,17
104602504,9.611111111,18
104602505,9.455555556,1
104602505,8.8,2
104602505,7,3
104602505,10,4
104602505,9.455555556,5
104602505,9.455555556,6
104602505,10,7
104602505,9.3,8
104602505,10,9
104602505,9.455555556,10
104602505,9.455555556,11
104602505,9.455555556,12
104602505,10,13
104602505,10,14
104602505,10,15
104602505,9.455555556,16
104602505,9.455555556,17
104602505,9.455555556,18
104602506,9.5,1
104602506,9,2
104602506,9.7,3
104602506,9,4
104602506,9.5,5
104602506,9.5,6
104602506,9.5,7
104602506,9,8
104602506,10,9
104602506,9.5,10
