username,week,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day
104602010,18,-1,-1,-1,-1
104602011,1,3,1,1,1
104602011,2,3,2,1,2
104602011,3,1,1,1,1
104602011,4,15,5,5,6
104602011,5,-1,-1,-1,-1
104602011,6,1,1,1,1
104602011,7,-1,-1,-1,-1
104602011,8,6,2,1,2
104602011,9,9,2,1,2
104602011,10,-1,-1,-1,-1
104602011,11,1,1,1,1
104602011,12,2,1,1,1
104602011,13,-1,-1,-1,-1
104602011,14,-1,-1,-1,-1
104602011,15,6,2,1,2
104602011,16,-1,-1,-1,-1
104602011,17,1,1,1,1
104602011,18,-1,-1,-1,-1
104602012,1,2,1,1,1
104602012,2,8,3,1,3
104602012,3,-1,-1,-1,-1
104602012,4,17,7,4,8
104602012,5,-1,-1,-1,-1
104602012,6,1,1,1,1
104602012,7,11,1,3,4
104602012,8,2,1,1,2
104602012,9,7,2,1,2
104602012,10,-1,-1,-1,-1
104602012,11,12,3,1,3
104602012,12,-1,-1,-1,-1
104602012,13,-1,-1,-1,-1
104602012,14,21,3,2,5
104602012,15,2,1,1,1
104602012,16,7,2,1,2
104602012,17,-1,-1,-1,-1
104602012,18,-1,-1,-1,-1
104602013,1,1,1,1,1
104602013,2,-1,-1,-1,-1
104602013,3,4,2,1,2
104602013,4,13,6,4,7
104602013,5,-1,-1,-1,-1
104602013,6,4,2,1,2
104602013,7,-1,-1,-1,-1
104602013,8,6,2,1,2
104602013,9,3,2,1,2
104602013,10,-1,-1,-1,-1
104602013,11,1,1,1,1
104602013,12,2,1,1,1
104602013,13,-1,-1,-1,-1
104602013,14,-1,-1,-1,-1
104602013,15,5,1,1,1
104602013,16,-1,-1,-1,-1
104602013,17,1,1,1,1
104602013,18,-1,-1,-1,-1
104602014,1,2,1,1,1
104602014,2,-1,-1,-1,-1
104602014,3,-1,-1,-1,-1
104602014,4,-1,-1,-1,-1
104602014,5,-1,-1,-1,-1
104602014,6,-1,-1,-1,-1
104602014,7,-1,-1,-1,-1
104602014,8,5,2,1,2
104602014,9,-1,-1,-1,-1
104602014,10,-1,-1,-1,-1
104602014,11,-1,-1,-1,-1
104602014,12,-1,-1,-1,-1
104602014,13,-1,-1,-1,-1
104602014,14,-1,-1,-1,-1
104602014,15,-1,-1,-1,-1
104602014,16,-1,-1,-1,-1
104602014,17,-1,-1,-1,-1
104602014,18,-1,-1,-1,-1
104602015,1,3,1,1,1
104602015,2,-1,-1,-1,-1
104602015,3,2,2,1,2
104602015,4,-1,-1,-1,-1
104602015,5,-1,-1,-1,-1
104602015,6,-1,-1,-1,-1
104602015,7,-1,-1,-1,-1
104602015,8,-1,-1,-1,-1
104602015,9,-1,-1,-1,-1
104602015,10,-1,-1,-1,-1
104602015,11,-1,-1,-1,-1
104602015,12,-1,-1,-1,-1
104602015,13,-1,-1,-1,-1
104602015,14,-1,-1,-1,-1
104602015,15,-1,-1,-1,-1
104602015,16,-1,-1,-1,-1
104602015,17,-1,-1,-1,-1
104602015,18,-1,-1,-1,-1
104602016,1,2,1,1,1
104602016,2,5,2,1,2
104602016,3,-1,-1,-1,-1
104602016,4,15,5,5,6
104602016,5,-1,-1,-1,-1
104602016,6,-1,-1,-1,-1
104602016,7,-1,-1,-1,-1
104602016,8,3,1,1,1
104602016,9,-1,-1,-1,-1
104602016,10,-1,-1,-1,-1
104602016,11,-1,-1,-1,-1
104602016,12,4,1,1,1
104602016,13,-1,-1,-1,-1
104602016,14,-1,-1,-1,-1
104602016,15,-1,-1,-1,-1
104602016,16,-1,-1,-1,-1
104602016,17,-1,-1,-1,-1
104602016,18,-1,-1,-1,-1
104602017,1,2,1,1,1
104602017,2,-1,-1,-1,-1
104602017,3,-1,-1,-1,-1
104602017,4,27,6,3,10
104602017,5,8,3,1,3
104602017,6,3,1,1,1
104602017,7,-1,-1,-1,-1
104602017,8,-1,-1,-1,-1
104602017,9,4,2,1,2
104602017,10,-1,-1,-1,-1
104602017,11,-1,-1,-1,-1
104602017,12,-1,-1,-1,-1
104602017,13,-1,-1,-1,-1
104602017,14,-1,-1,-1,-1
104602017,15,-1,-1,-1,-1
104602017,16,-1,-1,-1,-1
104602017,17,-1,-1,-1,-1
104602017,18,-1,-1,-1,-1
104602018,1,2,1,1,1
104602018,2,2,1,1,1
104602018,3,5,3,2,4
104602018,4,21,6,4,9
104602018,5,-1,-1,-1,-1
104602018,6,3,1,1,1
104602018,7,-1,-1,-1,-1
104602018,8,5,2,1,2
104602018,9,-1,-1,-1,-1
104602018,10,-1,-1,-1,-1
104602018,11,-1,-1,-1,-1
104602018,12,-1,-1,-1,-1
104602018,13,-1,-1,-1,-1
104602018,14,4,1,1,1
104602018,15,12,2,1,2
104602018,16,-1,-1,-1,-1
104602018,17,-1,-1,-1,-1
104602018,18,-1,-1,-1,-1
104602019,1,2,1,1,1
104602019,2,-1,-1,-1,-1
104602019,3,1,1,1,1
104602019,4,30,8,4,9
104602019,5,-1,-1,-1,-1
104602019,6,4,2,1,2
104602019,7,1,1,1,1
104602019,8,7,2,1,2
104602019,9,10,2,2,2
104602019,10,-1,-1,-1,-1
104602019,11,-1,-1,-1,-1
104602019,12,-1,-1,-1,-1
104602019,13,-1,-1,-1,-1
104602019,14,-1,-1,-1,-1
104602019,15,-1,-1,-1,-1
104602019,16,-1,-1,-1,-1
104602019,17,-1,-1,-1,-1
104602019,18,-1,-1,-1,-1
104602020,1,2,1,1,1
104602020,2,5,2,1,2
104602020,3,3,1,1,1
104602020,4,15,5,4,5
104602020,5,-1,-1,-1,-1
104602020,6,2,2,1,2
104602020,7,-1,-1,-1,-1
104602020,8,5,2,1,2
104602020,9,-1,-1,-1,-1
104602020,10,-1,-1,-1,-1
104602020,11,-1,-1,-1,-1
104602020,12,-1,-1,-1,-1
104602020,13,-1,-1,-1,-1
104602020,14,-1,-1,-1,-1
104602020,15,-1,-1,-1,-1
104602020,16,-1,-1,-1,-1
104602020,17,-1,-1,-1,-1
104602020,18,-1,-1,-1,-1
104602021,1,3,1,1,1
104602021,2,-1,-1,-1,-1
104602021,3,4,2,1,2
104602021,4,10,5,2,5
104602021,5,-1,-1,-1,-1
104602021,6,2,1,1,1
104602021,7,-1,-1,-1,-1
104602021,8,5,2,1,2
104602021,9,-1,-1,-1,-1
104602021,10,-1,-1,-1,-1
104602021,11,-1,-1,-1,-1
104602021,12,-1,-1,-1,-1
104602021,13,-1,-1,-1,-1
104602021,14,-1,-1,-1,-1
104602021,15,-1,-1,-1,-1
104602021,16,-1,-1,-1,-1
104602021,17,-1,-1,-1,-1
104602021,18,-1,-1,-1,-1
104602022,1,3,1,1,1
104602022,2,3,1,1,1
104602022,3,2,1,1,1
104602022,4,8,5,3,5
104602022,5,2,1,1,1
104602022,6,2,1,1,1
104602022,7,1,1,1,1
104602022,8,6,2,1,2
104602022,9,-1,-1,-1,-1
104602022,10,-1,-1,-1,-1
104602022,11,-1,-1,-1,-1
104602022,12,-1,-1,-1,-1
104602022,13,-1,-1,-1,-1
104602022,14,-1,-1,-1,-1
104602022,15,-1,-1,-1,-1
104602022,16,-1,-1,-1,-1
104602022,17,-1,-1,-1,-1
104602022,18,-1,-1,-1,-1
104602023,1,2,1,1,1
104602023,2,-1,-1,-1,-1
104602023,3,3,1,1,1
104602023,4,19,7,2,7
104602023,5,4,2,1,2
104602023,6,2,1,1,1
104602023,7,4,1,1,2
104602023,8,4,1,1,2
104602023,9,-1,-1,-1,-1
104602023,10,-1,-1,-1,-1
104602023,11,-1,-1,-1,-1
104602023,12,-1,-1,-1,-1
104602023,13,-1,-1,-1,-1
104602023,14,-1,-1,-1,-1
104602023,15,-1,-1,-1,-1
104602023,16,-1,-1,-1,-1
104602023,17,-1,-1,-1,-1
104602023,18,-1,-1,-1,-1
104602024,1,3,1,1,1
104602024,2,-1,-1,-1,-1
104602024,3,5,2,1,2
104602024,4,13,3,2,4
104602024,5,-1,-1,-1,-1
104602024,6,1,1,1,1
104602024,7,-1,-1,-1,-1
104602024,8,4,2,1,2
104602024,9,-1,-1,-1,-1
104602024,10,-1,-1,-1,-1
104602024,11,-1,-1,-1,-1
104602024,12,-1,-1,-1,-1
104602024,13,-1,-1,-1,-1
104602024,14,-1,-1,-1,-1
104602024,15,-1,-1,-1,-1
104602024,16,-1,-1,-1,-1
104602024,17,-1,-1,-1,-1
104602024,18,-1,-1,-1,-1
104602025,1,2,1,1,1
104602025,2,-1,-1,-1,-1
104602025,3,-1,-1,-1,-1
104602025,4,21,8,3,8
104602025,5,-1,-1,-1,-1
104602025,6,-1,-1,-1,-1
104602025,7,3,1,1,2
104602025,8,9,2,1,2
104602025,9,4,2,1,2
104602025,10,-1,-1,-1,-1
104602025,11,7,1,1,1
104602025,12,3,1,1,1
104602025,13,-1,-1,-1,-1
104602025,14,-1,-1,-1,-1
104602025,15,14,2,1,2
104602025,16,-1,-1,-1,-1
104602025,17,-1,-1,-1,-1
104602025,18,-1,-1,-1,-1
104602027,1,2,1,1,1
104602027,2,-1,-1,-1,-1
104602027,3,-1,-1,-1,-1
104602027,4,15,5,2,5
104602027,5,2,1,1,1
104602027,6,2,1,1,1
104602027,7,-1,-1,-1,-1
104602027,8,8,2,1,2
104602027,9,5,2,1,2
104602027,10,-1,-1,-1,-1
104602027,11,2,1,1,1
104602027,12,2,1,1,1
104602027,13,-1,-1,-1,-1
104602027,14,-1,-1,-1,-1
104602027,15,9,2,1,2
104602027,16,-1,-1,-1,-1
104602027,17,-1,-1,-1,-1
104602027,18,-1,-1,-1,-1
104602028,1,3,1,1,1
104602028,2,3,3,1,3
104602028,3,7,3,2,3
104602028,4,9,4,2,4
104602028,5,-1,-1,-1,-1
104602028,6,3,2,1,2
104602028,7,2,2,1,2
104602028,8,-1,-1,-1,-1
104602028,9,-1,-1,-1,-1
104602028,10,-1,-1,-1,-1
104602028,11,-1,-1,-1,-1
104602028,12,-1,-1,-1,-1
104602028,13,-1,-1,-1,-1
104602028,14,-1,-1,-1,-1
104602028,15,-1,-1,-1,-1
104602028,16,-1,-1,-1,-1
104602028,17,-1,-1,-1,-1
104602028,18,-1,-1,-1,-1
104602029,1,3,1,1,1
104602029,2,-1,-1,-1,-1
104602029,3,5,2,1,2
104602029,4,28,7,4,9
104602029,5,-1,-1,-1,-1
104602029,6,6,1,1,1
104602029,7,4,2,1,2
104602029,8,-1,-1,-1,-1
104602029,9,8,2,1,2
104602029,10,5,2,2,3
104602029,11,2,1,2,2
104602029,12,1,1,1,1
104602029,13,-1,-1,-1,-1
104602029,14,1,1,1,1
104602029,15,-1,-1,-1,-1
104602029,16,-1,-1,-1,-1
104602029,17,-1,-1,-1,-1
104602029,18,-1,-1,-1,-1
104602030,1,3,1,1,1
104602030,2,-1,-1,-1,-1
104602030,3,4,1,2,2
104602030,4,16,6,1,6
104602030,5,-1,-1,-1,-1
104602030,6,1,1,1,1
104602030,7,-1,-1,-1,-1
104602030,8,2,1,1,1
104602030,9,-1,-1,-1,-1
104602030,10,-1,-1,-1,-1
104602030,11,-1,-1,-1,-1
104602030,12,-1,-1,-1,-1
104602030,13,-1,-1,-1,-1
104602030,14,-1,-1,-1,-1
104602030,15,-1,-1,-1,-1
104602030,16,-1,-1,-1,-1
104602030,17,3,1,1,1
104602030,18,-1,-1,-1,-1
104602031,1,2,1,1,1
104602031,2,-1,-1,-1,-1
104602031,3,6,1,1,1
104602031,4,19,5,3,6
104602031,5,3,1,1,1
104602031,6,2,1,1,1
104602031,7,1,1,1,1
104602031,8,2,1,1,1
104602031,9,-1,-1,-1,-1
104602031,10,-1,-1,-1,-1
104602031,11,-1,-1,-1,-1
104602031,12,1,1,1,1
104602031,13,-1,-1,-1,-1
104602031,14,-1,-1,-1,-1
104602031,15,-1,-1,-1,-1
104602031,16,-1,-1,-1,-1
104602031,17,-1,-1,-1,-1
104602031,18,-1,-1,-1,-1
104602032,1,1,1,1,1
104602032,2,-1,-1,-1,-1
104602032,3,1,1,1,1
104602032,4,-1,-1,-1,-1
104602032,5,-1,-1,-1,-1
104602032,6,-1,-1,-1,-1
104602032,7,-1,-1,-1,-1
104602032,8,-1,-1,-1,-1
104602032,9,-1,-1,-1,-1
104602032,10,-1,-1,-1,-1
104602032,11,-1,-1,-1,-1
104602032,12,-1,-1,-1,-1
104602032,13,-1,-1,-1,-1
104602032,14,-1,-1,-1,-1
104602032,15,-1,-1,-1,-1
104602032,16,-1,-1,-1,-1
104602032,17,-1,-1,-1,-1
104602032,18,-1,-1,-1,-1
104602033,1,3,1,1,1
104602033,2,3,1,1,1
104602033,3,2,2,1,2
104602033,4,11,3,2,3
104602033,5,-1,-1,-1,-1
104602033,6,3,3,1,3
104602033,7,-1,-1,-1,-1
104602033,8,-1,-1,-1,-1
104602033,9,4,2,1,2
104602033,10,-1,-1,-1,-1
104602033,11,-1,-1,-1,-1
104602033,12,-1,-1,-1,-1
104602033,13,-1,-1,-1,-1
104602033,14,1,1,1,1
104602033,15,-1,-1,-1,-1
104602033,16,-1,-1,-1,-1
104602033,17,-1,-1,-1,-1
104602033,18,-1,-1,-1,-1
104602035,1,1,1,1,1
104602035,2,1,1,1,1
104602035,3,5,3,2,3
104602035,4,8,3,3,5
104602035,5,2,1,1,1
104602035,6,5,2,2,3
104602035,7,3,1,3,3
104602035,8,7,2,1,2
104602035,9,12,2,2,3
104602035,10,-1,-1,-1,-1
104602035,11,5,3,2,4
104602035,12,-1,-1,-1,-1
104602035,13,-1,-1,-1,-1
104602035,14,3,3,1,3
104602035,15,-1,-1,-1,-1
104602035,16,2,1,1,1
104602035,17,3,1,1,1
104602035,18,-1,-1,-1,-1
104602037,1,3,1,1,1
104602037,2,9,2,2,4
104602037,3,1,1,1,1
104602037,4,24,8,3,9
104602037,5,-1,-1,-1,-1
104602037,6,2,1,1,1
104602037,7,-1,-1,-1,-1
104602037,8,2,2,1,2
104602037,9,6,2,1,2
104602037,10,-1,-1,-1,-1
104602037,11,6,3,1,3
104602037,12,-1,-1,-1,-1
104602037,13,-1,-1,-1,-1
104602037,14,-1,-1,-1,-1
104602037,15,-1,-1,-1,-1
104602037,16,-1,-1,-1,-1
104602037,17,-1,-1,-1,-1
104602037,18,-1,-1,-1,-1
104602501,1,2,1,1,1
104602501,2,-1,-1,-1,-1
104602501,3,6,5,2,5
104602501,4,-1,-1,-1,-1
104602501,5,1,1,1,1
104602501,6,2,1,1,1
104602501,7,-1,-1,-1,-1
104602501,8,6,2,1,2
104602501,9,-1,-1,-1,-1
104602501,10,-1,-1,-1,-1
104602501,11,-1,-1,-1,-1
104602501,12,-1,-1,-1,-1
104602501,13,-1,-1,-1,-1
104602501,14,1,1,1,1
104602501,15,-1,-1,-1,-1
104602501,16,-1,-1,-1,-1
104602501,17,-1,-1,-1,-1
104602501,18,-1,-1,-1,-1
104602502,1,3,1,2,2
104602502,2,-1,-1,-1,-1
104602502,3,2,1,1,1
104602502,4,10,6,2,6
104602502,5,3,1,1,1
104602502,6,2,2,2,2
104602502,7,2,1,1,2
104602502,8,6,2,1,2
104602502,9,4,1,1,1
104602502,10,1,1,1,1
104602502,11,4,2,1,2
104602502,12,2,1,1,1
104602502,13,-1,-1,-1,-1
104602502,14,-1,-1,-1,-1
104602502,15,14,3,1,3
104602502,16,1,1,1,1
104602502,17,8,2,2,2
104602502,18,-1,-1,-1,-1
104602503,1,3,1,1,1
104602503,2,-1,-1,-1,-1
104602503,3,-1,-1,-1,-1
104602503,4,18,7,1,7
104602503,5,-1,-1,-1,-1
104602503,6,-1,-1,-1,-1
104602503,7,6,2,1,2
104602503,8,-1,-1,-1,-1
104602503,9,6,2,2,2
104602503,10,-1,-1,-1,-1
104602503,11,-1,-1,-1,-1
104602503,12,5,1,1,1
104602503,13,-1,-1,-1,-1
104602503,14,-1,-1,-1,-1
104602503,15,10,3,1,3
104602503,16,-1,-1,-1,-1
104602503,17,7,2,1,2
104602503,18,-1,-1,-1,-1
104602504,1,3,1,1,1
104602504,2,-1,-1,-1,-1
104602504,3,4,1,1,2
104602504,4,17,8,3,10
104602504,5,-1,-1,-1,-1
104602504,6,2,1,1,1
104602504,7,2,1,1,2
104602504,8,2,2,1,2
104602504,9,3,2,1,2
104602504,10,-1,-1,-1,-1
104602504,11,7,2,2,4
104602504,12,1,1,1,1
104602504,13,-1,-1,-1,-1
104602504,14,-1,-1,-1,-1
104602504,15,5,3,2,4
104602504,16,-1,-1,-1,-1
104602504,17,11,2,1,2
104602504,18,-1,-1,-1,-1
104602505,1,3,1,1,1
104602505,2,-1,-1,-1,-1
104602505,3,3,1,2,2
104602505,4,22,7,3,8
104602505,5,-1,-1,-1,-1
104602505,6,3,1,1,1
104602505,7,2,1,1,2
104602505,8,7,2,1,2
104602505,9,2,2,1,2
104602505,10,-1,-1,-1,-1
104602505,11,4,2,1,2
104602505,12,-1,-1,-1,-1
104602505,13,-1,-1,-1,-1
104602505,14,-1,-1,-1,-1
104602505,15,13,3,2,4
104602505,16,-1,-1,-1,-1
104602505,17,7,2,2,3
104602505,18,-1,-1,-1,-1
104602506,1,3,1,1,1
104602506,2,2,1,1,2
104602506,3,1,1,1,1
104602506,4,28,7,4,8
104602506,5,-1,-1,-1,-1
104602506,6,5,1,1,1
104602506,7,1,1,1,1
104602506,8,10,2,1,3
104602506,9,-1,-1,-1,-1
104602506,10,2,1,1,2
104602506,11,2,1,1,1
104602506,12,2,1,1,1
104602506,13,-1,-1,-1,-1
104602506,14,2,2,1,2
104602506,15,12,1,1,1
104602506,16,2,2,1,2
104602506,17,-1,-1,-1,-1
104602506,18,-1,-1,-1,-1
104602507,1,-1,-1,-1,-1
104602507,2,-1,-1,-1,-1
104602507,3,5,3,2,3
104602507,4,10,6,4,7
104602507,5,-1,-1,-1,-1
104602507,6,1,1,1,1
104602507,7,1,1,1,1
104602507,8,-1,-1,-1,-1
104602507,9,-1,-1,-1,-1
104602507,10,-1,-1,-1,-1
104602507,11,1,1,1,1
104602507,12,-1,-1,-1,-1
104602507,13,-1,-1,-1,-1
104602507,14,-1,-1,-1,-1
104602507,15,-1,-1,-1,-1
104602507,16,-1,-1,-1,-1
104602507,17,-1,-1,-1,-1
104602507,18,-1,-1,-1,-1
104602508,1,3,1,2,2
104602508,2,3,1,2,3
104602508,3,6,3,3,4
104602508,4,19,5,5,7
104602508,5,2,1,1,1
104602508,6,3,1,1,1
104602508,7,4,1,2,2
104602508,8,4,2,1,2
104602508,9,-1,-1,-1,-1
104602508,10,1,1,1,1
104602508,11,5,3,2,3
104602508,12,-1,-1,-1,-1
104602508,13,-1,-1,-1,-1
104602508,14,-1,-1,-1,-1
104602508,15,-1,-1,-1,-1
104602508,16,-1,-1,-1,-1
104602508,17,-1,-1,-1,-1
104602508,18,-1,-1,-1,-1
104602509,1,2,1,1,1
104602509,2,-1,-1,-1,-1
104602509,3,7,3,2,3
104602509,4,14,4,3,5
104602509,5,-1,-1,-1,-1
104602509,6,2,1,1,1
104602509,7,1,1,1,1
104602509,8,1,1,1,1
104602509,9,-1,-1,-1,-1
104602509,10,-1,-1,-1,-1
104602509,11,-1,-1,-1,-1
104602509,12,-1,-1,-1,-1
104602509,13,-1,-1,-1,-1
104602509,14,-1,-1,-1,-1
104602509,15,-1,-1,-1,-1
104602509,16,-1,-1,-1,-1
104602509,17,-1,-1,-1,-1
104602509,18,-1,-1,-1,-1
104602510,1,3,1,2,2
104602510,2,-1,-1,-1,-1
104602510,3,11,3,2,6
104602510,4,24,7,3,10
104602510,5,-1,-1,-1,-1
104602510,6,2,1,1,1
104602510,7,4,2,1,2
104602510,8,-1,-1,-1,-1
104602510,9,9,2,2,3
104602510,10,-1,-1,-1,-1
104602510,11,-1,-1,-1,-1
104602510,12,2,1,1,1
104602510,13,-1,-1,-1,-1
104602510,14,-1,-1,-1,-1
104602510,15,2,2,1,2
104602510,16,-1,-1,-1,-1
104602510,17,-1,-1,-1,-1
104602510,18,-1,-1,-1,-1
104602511,1,2,1,1,1
104602511,2,-1,-1,-1,-1
104602511,3,4,2,3,4
104602511,4,14,7,4,8
104602511,5,-1,-1,-1,-1
104602511,6,2,1,1,1
104602511,7,4,1,1,2
104602511,8,1,1,1,1
104602511,9,8,2,2,2
104602511,10,-1,-1,-1,-1
104602511,11,2,1,1,1
104602511,12,-1,-1,-1,-1
104602511,13,-1,-1,-1,-1
104602511,14,-1,-1,-1,-1
104602511,15,2,2,1,2
104602511,16,-1,-1,-1,-1
104602511,17,7,2,2,2
104602511,18,-1,-1,-1,-1
104602513,1,2,1,1,1
104602513,2,4,3,1,3
104602513,3,19,3,3,4
104602513,4,9,4,3,4
104602513,5,-1,-1,-1,-1
104602513,6,3,1,1,1
104602513,7,13,1,2,4
104602513,8,7,3,2,3
104602513,9,-1,-1,-1,-1
104602513,10,10,3,2,4
104602513,11,-1,-1,-1,-1
104602513,12,-1,-1,-1,-1
104602513,13,-1,-1,-1,-1
104602513,14,7,3,2,4
104602513,15,-1,-1,-1,-1
104602513,16,8,2,1,2
104602513,17,-1,-1,-1,-1
104602513,18,-1,-1,-1,-1
104602514,1,3,1,2,2
104602514,2,-1,-1,-1,-1
104602514,3,6,3,1,3
104602514,4,11,4,3,7
104602514,5,7,3,3,4
104602514,6,4,2,1,2
104602514,7,5,1,1,2
104602514,8,12,2,1,2
104602514,9,-1,-1,-1,-1
104602514,10,1,1,1,1
104602514,11,5,2,2,3
104602514,12,-1,-1,-1,-1
104602514,13,-1,-1,-1,-1
104602514,14,-1,-1,-1,-1
104602514,15,10,3,1,3
104602514,16,-1,-1,-1,-1
104602514,17,1,1,1,1
104602514,18,-1,-1,-1,-1
104602515,1,3,1,1,1
104602515,2,-1,-1,-1,-1
104602515,3,11,3,1,3
104602515,4,18,5,3,6
104602515,5,-1,-1,-1,-1
104602515,6,-1,-1,-1,-1
104602515,7,-1,-1,-1,-1
104602515,8,12,2,1,2
104602515,9,-1,-1,-1,-1
104602515,10,-1,-1,-1,-1
104602515,11,-1,-1,-1,-1
104602515,12,-1,-1,-1,-1
104602515,13,-1,-1,-1,-1
104602515,14,-1,-1,-1,-1
