username,week,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day
104602001,1,-1,-1,-1,-1
104602001,2,3,1,1,1
104602001,3,4,1,1,2
104602001,4,11,6,2,6
104602001,5,1,1,1,1
104602001,6,2,1,1,1
104602001,7,-1,-1,-1,-1
104602001,8,2,2,1,2
104602001,9,-1,-1,-1,-1
104602001,10,-1,-1,-1,-1
104602001,11,-1,-1,-1,-1
104602001,12,3,1,1,1
104602001,13,-1,-1,-1,-1
104602001,14,-1,-1,-1,-1
104602001,15,4,1,1,1
104602001,16,-1,-1,-1,-1
104602001,17,2,1,1,1
104602001,18,-1,-1,-1,-1
104602002,1,2,1,1,1
104602002,2,-1,-1,-1,-1
104602002,3,2,2,2,2
104602002,4,20,7,3,11
104602002,5,-1,-1,-1,-1
104602002,6,1,1,1,1
104602002,7,1,1,1,1
104602002,8,2,2,1,2
104602002,9,2,2,1,2
104602002,10,-1,-1,-1,-1
104602002,11,5,3,2,3
104602002,12,-1,-1,-1,-1
104602002,13,-1,-1,-1,-1
104602002,14,1,1,1,1
104602002,15,2,2,1,2
104602002,16,-1,-1,-1,-1
104602002,17,1,1,1,1
104602002,18,-1,-1,-1,-1
104602003,1,1,1,1,1
104602003,2,-1,-1,-1,-1
104602003,3,1,1,1,1
104602003,4,19,7,4,7
104602003,5,-1,-1,-1,-1
104602003,6,-1,-1,-1,-1
104602003,7,1,1,1,1
104602003,8,3,2,1,2
104602003,9,3,2,1,2
104602003,10,-1,-1,-1,-1
104602003,11,4,3,2,3
104602003,12,-1,-1,-1,-1
104602003,13,-1,-1,-1,-1
104602003,14,1,1,1,1
104602003,15,2,1,1,1
104602003,16,-1,-1,-1,-1
104602003,17,5,2,2,2
104602003,18,-1,-1,-1,-1
104602004,1,2,1,1,1
104602004,2,4,3,1,3
104602004,3,5,3,2,4
104602004,4,9,4,3,5
104602004,5,2,1,2,2
104602004,6,1,1,1,1
104602004,7,6,1,2,4
104602004,8,4,1,1,2
104602004,9,3,2,1,2
104602004,10,-1,-1,-1,-1
104602004,11,-1,-1,-1,-1
104602004,12,-1,-1,-1,-1
104602004,13,-1,-1,-1,-1
104602004,14,-1,-1,-1,-1
104602004,15,-1,-1,-1,-1
104602004,16,-1,-1,-1,-1
104602004,17,-1,-1,-1,-1
104602004,18,-1,-1,-1,-1
104602005,1,2,1,1,1
104602005,2,6,3,1,3
104602005,3,2,1,1,2
104602005,4,31,7,4,9
104602005,5,-1,-1,-1,-1
104602005,6,3,1,1,1
104602005,7,1,1,1,1
104602005,8,6,2,1,2
104602005,9,12,2,2,3
104602005,10,6,2,1,3
104602005,11,5,2,1,2
104602005,12,-1,-1,-1,-1
104602005,13,-1,-1,-1,-1
104602005,14,8,3,2,3
104602005,15,7,1,1,1
104602005,16,5,2,1,2
104602005,17,6,1,1,1
104602005,18,-1,-1,-1,-1
104602006,1,2,1,2,2
104602006,2,-1,-1,-1,-1
104602006,3,4,1,2,2
104602006,4,14,5,2,5
104602006,5,3,1,1,1
104602006,6,1,1,1,1
104602006,7,-1,-1,-1,-1
104602006,8,6,2,1,2
104602006,9,5,2,1,2
104602006,10,-1,-1,-1,-1
104602006,11,5,2,2,4
104602006,12,1,1,1,1
104602006,13,-1,-1,-1,-1
104602006,14,20,3,3,5
104602006,15,4,1,1,1
104602006,16,-1,-1,-1,-1
104602006,17,1,1,1,1
104602006,18,-1,-1,-1,-1
104602007,1,2,1,2,2
104602007,2,1,1,1,1
104602007,3,8,4,3,5
104602007,4,7,5,4,7
104602007,5,-1,-1,-1,-1
104602007,6,1,1,1,1
104602007,7,-1,-1,-1,-1
104602007,8,2,2,1,2
104602007,9,7,2,2,3
104602007,10,-1,-1,-1,-1
104602007,11,5,3,2,3
104602007,12,-1,-1,-1,-1
104602007,13,-1,-1,-1,-1
104602007,14,5,3,2,3
104602007,15,5,1,1,1
104602007,16,7,2,1,2
104602007,17,-1,-1,-1,-1
104602007,18,-1,-1,-1,-1
104602008,1,3,1,1,1
104602008,2,-1,-1,-1,-1
104602008,3,1,1,1,1
104602008,4,19,8,4,9
104602008,5,-1,-1,-1,-1
104602008,6,-1,-1,-1,-1
104602008,7,-1,-1,-1,-1
104602008,8,-1,-1,-1,-1
104602008,9,7,2,1,2
104602008,10,-1,-1,-1,-1
104602008,11,8,3,2,3
104602008,12,-1,-1,-1,-1
104602008,13,-1,-1,-1,-1
104602008,14,-1,-1,-1,-1
104602008,15,-1,-1,-1,-1
104602008,16,-1,-1,-1,-1
104602008,17,3,2,1,2
104602008,18,-1,-1,-1,-1
104602009,1,-1,-1,-1,-1
104602009,2,7,2,2,3
104602009,3,5,3,2,3
104602009,4,11,5,2,6
104602009,5,-1,-1,-1,-1
104602009,6,-1,-1,-1,-1
104602009,7,-1,-1,-1,-1
104602009,8,10,2,1,2
104602009,9,4,2,1,2
104602009,10,-1,-1,-1,-1
104602009,11,6,3,3,3
104602009,12,-1,-1,-1,-1
104602009,13,-1,-1,-1,-1
104602009,14,-1,-1,-1,-1
104602009,15,-1,-1,-1,-1
104602009,16,-1,-1,-1,-1
104602009,17,4,2,1,2
104602009,18,-1,-1,-1,-1
104602010,1,3,1,1,1
104602010,2,2,1,1,1
104602010,3,1,1,1,1
104602010,4,11,6,3,7
104602010,5,1,1,1,1
104602010,6,1,1,1,1
104602010,7,-1,-1,-1,-1
104602010,8,8,2,1,2
104602010,9,9,2,1,2
104602010,10,-1,-1,-1,-1
104602010,11,2,1,1,1
104602010,12,2,1,1,1
104602010,13,-1,-1,-1,-1
104602010,14,-1,-1,-1,-1
104602010,15,9,1,1,1
104602010,16,-1,-1,-1,-1
104602010,17,-1,-1,-1,-1
