username,active_sum_count,problem_sum_count,num_watched,num_complete,complete_rate,pause_video_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,599.1666667000002,34.5,12.83333333,9.833333332999999,0.765827922,12.66666667,2.166666667,2.166666667,1.0,2.166666667,8.578888889,7.133333333,3
Y1050275,325.6666667,12.33333333,7.0,5.833333333,0.267156863,6.5,0.5,0.5,0.166666667,0.5,2.222222222,2.5,0
Y1050276,757.3333332999998,92.66666667,10.0,7.166666667,0.632553419,9.5,2.166666667,2.166666667,1.333333333,2.166666667,7.143333332999999,2.666666667,1
Y1050277,464.0,20.83333333,4.833333333,4.0,0.166666667,4.833333333,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050278,932.0,131.1666667,5.666666667,3.5,0.509259259,4.666666667,2.166666667,2.166666667,1.5,2.166666667,7.227222222000001,4.833333333,1
Y1050279,1833.166667,139.0,13.33333333,10.66666667,0.8109113109999999,13.16666667,2.0,2.0,1.5,2.0,8.930555556,6.0,2
Y1050280,115.5,4.5,3.5,2.5,0.805555556,3.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.388888889,1.45,0
Y1050281,43.0,1.333333333,0.5,0.166666667,0.055555556,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050282,195.6666667,11.66666667,2.5,1.833333333,0.319444445,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050283,178.5,15.33333333,3.0,1.166666667,0.383333333,2.666666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,3.45,0
Y1050284,191.1666667,3.5,3.333333333,0.5,0.130952381,3.166666667,0.0,0.0,0.0,0.0,0.0,3.666666667,1
Y1050285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050286,1039.666667,50.33333333,10.16666667,8.833333332999999,0.8574074070000001,10.16666667,1.5,1.5,1.0,1.5,4.203888889,7.583333333,2
Y1050287,591.5,31.5,11.33333333,8.666666667000001,0.767640254,9.666666667000001,0.0,0.0,0.0,0.0,0.0,7.5,1
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050289,1565.166667,42.83333333,13.5,9.0,0.498163781,13.0,0.0,0.0,0.0,0.0,1.0,7.933333332999999,2
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050291,427.0,47.0,5.666666667,3.666666667,0.387301587,4.833333333,0.0,0.0,0.0,0.0,0.0,6.3666666670000005,1
Y1050292,1012.0,125.5,9.0,2.5,0.251719114,8.0,1.5,1.5,1.0,1.5,4.648333333,4.95,1
Y1050293,839.1666667000003,78.33333333,11.33333333,10.5,0.916666667,11.16666667,2.0,2.0,0.666666667,2.0,7.921111111,8.0,3
Y1050294,604.0,50.83333333,8.5,8.0,0.784798535,7.5,0.0,0.0,0.0,0.0,0.0,5.216666667,1
Y1050295,701.3333332999998,83.16666667,6.333333333,3.0,0.313131313,4.5,0.166666667,0.166666667,0.166666667,0.166666667,0.444444444,4.666666667,1
