username,exam_first_week,exam_secondt_week,exam_third_week,exam_fourth_week,exam_fifth_week,exam_final,,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,2る6ら,exam_mean,exam_mean,3る6ら,exam_mean,4る6ら,5る6ら,exam_sum
Y1050180,90,55,45,66,0,52,,90,72.5,63.33333333,64,51.2,51.33333333,50,55.33333333,41.5,43.6,55.5,37,40.75,33,39.33333333,26,256
Y1050181,75,80,55,0,0,0,,75,77.5,70,52.5,42,35,67.5,45,33.75,27,27.5,18.33333333,13.75,0,0,0,210
Y1050182,80,75,80,90,100,110,,80,77.5,78.33333333,81.25,85,89.16666667,77.5,81.66666667,86.25,91,85,90,95,95,100,105,425
Y1050183,33,0,0,0,0,0,,33,16.5,11,8.25,6.6,5.5,0,0,0,0,0,0,0,0,0,0,33
Y1050184,90,0,0,23,0,0,,90,45,30,28.25,22.6,18.83333333,0,7.666666667,5.75,4.6,11.5,7.666666667,5.75,11.5,7.666666667,0,113
Y1050185,100,80,100,79,70,115,,100,90,93.33333333,89.75,85.8,90.66666667,90,86.33333333,82.25,88.8,89.5,83,91,74.5,88,92.5,429
Y1050186,100,100,65,83,65,90,,100,100,88.33333333,87,82.6,83.83333333,82.5,82.66666667,78.25,80.6,74,71,75.75,74,79.33333333,77.5,413
Y1050187,90,70,0,0,0,0,,90,80,53.33333333,40,32,26.66666667,35,23.33333333,17.5,14,0,0,0,0,0,0,160
Y1050188,93,85,50,54,0,48,,93,89,76,70.5,56.4,55,67.5,63,47.25,47.4,52,34.66666667,38,27,34,24,282
Y1050189,68,100,85,94,95,108,,68,84,84.33333333,86.75,88.4,91.66666667,92.5,93,93.5,96.4,89.5,91.33333333,95.5,94.5,99,101.5,442
Y1050190,98,60,85,90,90,110,,98,79,81,83.25,84.6,88.83333333,72.5,78.33333333,81.25,87,87.5,88.33333333,93.75,90,96.66666667,100,423
