username,exam_sum,exam_final
Y1050160,197,25
Y1050161,280,35
Y1050162,240,25
Y1050163,0,0
Y1050164,0,0
Y1050165,0,0
Y1050166,165,0
Y1050167,286,0
Y1050168,60,8
Y1050169,0,0
Y1050170,0,0
Y1050171,78,0
Y1050172,93,0
Y1050173,423,100
Y1050174,419,81
Y1050175,199,24
Y1050176,396,90
Y1050177,173,0
Y1050178,195,0
Y1050179,463,115
Y1050180,256,52
Y1050181,210,0
Y1050182,425,110
Y1050183,33,0
Y1050184,113,0
Y1050185,429,115
Y1050186,413,90
Y1050187,160,0
Y1050188,282,48
Y1050189,442,108
Y1050190,423,110
Y1050191,206,44
Y1050192,346,55
Y1050193,145,10
Y1050194,150,0
Y1050195,295,23
Y1050196,55,0
Y1050197,388,95
Y1050198,219,0
Y1050199,210,0
Y1050200,146,20
Y1050201,341,55
Y1050202,395,65
Y1050203,77,0
Y1050204,429,105
Y1050205,425,90
Y1050206,420,94
Y1050207,383,0
Y1050208,325,70
Y1050209,404,85
Y1050210,165,0
Y1050211,145,58
Y1050212,85,25
Y1050213,20,0
Y1050214,133,0
Y1050215,190,0
Y1050216,20,0
Y1050217,25,0
Y1050218,25,0
Y1050219,204,0
Y1050220,175,35
Y1050221,403,80
Y1050222,330,55
Y1050223,148,0
Y1050224,449,68
Y1050225,368,60
Y1050226,322,43
Y1050227,105,3
Y1050228,343,55
Y1050229,485,115
Y1050230,0,0
Y1050231,40,0
Y1050232,90,0
Y1050233,45,0
Y1050234,35,0
Y1050235,45,0
Y1050236,95,0
Y1050237,0,0
Y1050238,409,0
Y1050239,40,0
Y1050240,30,0
Y1050241,183,0
Y1050242,170,0
Y1050243,95,0
Y1050244,85,0
Y1050245,65,0
Y1050246,125,0
Y1050247,187,0
Y1050248,205,0
Y1050249,233,0
Y1050250,0,0
Y1050251,0,0
Y1050252,53,0
Y1050253,95,0
Y1050254,153,0
Y1050255,339,0
Y1050256,249,0
Y1050257,390,0
Y1050258,65,0
Y1050259,460,75
Y1050260,356,55
Y1050261,397,96
Y1050262,460,0
Y1050263,330,15
Y1050264,431,0
Y1050265,240,0
Y1050266,436,0
Y1050267,307,0
Y1050268,424,75
Y1050269,50,0
Y1050270,287,0
Y1050271,0,0
Y1050272,0,0
Y1050273,214,0
Y9999986,343,95
Y9999987,193,40
Y9999988,238,45
Y9999989,383,95
Y9999990,445,90
Y9999991,338,30
Y9999992,263,58
Y9999993,378,63
Y9999994,160,25
Y9999995,394,85
Y9999996,389,75
Y9999997,423,80
Y9999998,309,80
Y9999999,495,110
