username,qz_mean
Y1050160,40
Y1050161,50
Y1050162,27.5
Y1050163,0
Y1050164,0
Y1050165,0
Y1050166,40
Y1050167,65
Y1050168,12.5
Y1050169,0
Y1050170,0
Y1050171,0
Y1050172,27.5
Y1050173,85
Y1050174,85
Y1050175,25
Y1050176,90
Y1050177,27.5
Y1050178,50
Y1050179,95
Y1050180,50
Y1050181,67.5
Y1050182,77.5
Y1050183,0
Y1050184,0
Y1050185,90
Y1050186,82.5
Y1050187,35
Y1050188,67.5
Y1050189,92.5
Y1050190,72.5
Y1050191,47.5
Y1050192,50
Y1050193,17.5
Y1050194,35
Y1050195,65
Y1050196,10
Y1050197,75
Y1050198,27.5
Y1050199,60
Y1050200,35
Y1050201,57.5
Y1050202,72.5
Y1050203,0
Y1050204,75
Y1050205,75
Y1050206,75
Y1050207,60
Y1050208,55
Y1050209,62.5
Y1050210,55
Y1050211,22.5
Y1050212,12.5
Y1050213,0
Y1050214,40
Y1050215,47.5
Y1050216,10
Y1050217,0
Y1050218,0
Y1050219,50
Y1050220,55
Y1050221,77.5
Y1050222,47.5
Y1050223,25
Y1050224,90
Y1050225,70
Y1050226,75
Y1050227,25
Y1050228,50
Y1050229,95
Y1050230,0
Y1050231,0
Y1050232,0
Y1050233,0
Y1050234,0
Y1050235,0
Y1050236,0
Y1050237,0
Y1050238,75
Y1050239,0
Y1050240,0
Y1050241,50
Y1050242,40
Y1050243,0
Y1050244,0
Y1050245,0
Y1050246,35
Y1050247,37.5
Y1050248,57.5
Y1050249,72.5
Y1050250,0
Y1050251,0
Y1050252,0
Y1050253,20
Y1050254,35
Y1050255,80
Y1050256,55
Y1050257,75
Y1050258,0
Y1050259,97.5
Y1050260,65
Y1050261,77.5
Y1050262,80
Y1050263,70
Y1050264,82.5
Y1050265,70
Y1050266,80
Y1050267,82.5
Y1050268,72.5
Y1050269,25
Y1050270,95
Y1050271,0
Y1050272,0
Y1050273,40
Y9999986,75
Y9999987,10
Y9999988,65
Y9999989,77.5
Y9999990,85
Y9999991,72.5
Y9999992,70
Y9999993,87.5
Y9999994,17.5
Y9999995,67.5
Y9999996,75
Y9999997,77.5
Y9999998,42.5
Y9999999,100
