username,qz_mean
Y1050160,29.4
Y1050161,46
Y1050162,36
Y1050163,0
Y1050164,0
Y1050165,0
Y1050166,16
Y1050167,39.2
Y1050168,6.6
Y1050169,0
Y1050170,0
Y1050171,15.6
Y1050172,18.6
Y1050173,84.6
Y1050174,80
Y1050175,36.6
Y1050176,81.2
Y1050177,15.6
Y1050178,20
Y1050179,100
Y1050180,43.6
Y1050181,27
Y1050182,91
Y1050183,0
Y1050184,4.6
Y1050185,88.8
Y1050186,80.6
Y1050187,14
Y1050188,47.4
Y1050189,96.4
Y1050190,87
Y1050191,42
Y1050192,60.2
Y1050193,13
Y1050194,17
Y1050195,47.6
Y1050196,4
Y1050197,83.6
Y1050198,29.8
Y1050199,24
Y1050200,24.2
Y1050201,60.2
Y1050202,72
Y1050203,0
Y1050204,87.4
Y1050205,84
Y1050206,84.8
Y1050207,56.6
Y1050208,64
Y1050209,79.8
Y1050210,22
Y1050211,20.6
Y1050212,10
Y1050213,0
Y1050214,19.6
Y1050215,19
Y1050216,4
Y1050217,0
Y1050218,0
Y1050219,24.8
Y1050220,29
Y1050221,78.2
Y1050222,57.6
Y1050223,16.6
Y1050224,85.4
Y1050225,69.6
Y1050226,53
Y1050227,14.6
Y1050228,61.2
Y1050229,100
Y1050230,0
Y1050231,0
Y1050232,0
Y1050233,0
Y1050234,0
Y1050235,0
Y1050236,0
Y1050237,0
Y1050238,62.8
Y1050239,0
Y1050240,0
Y1050241,20
Y1050242,16
Y1050243,0
Y1050244,0
Y1050245,0
Y1050246,14
Y1050247,17.4
Y1050248,23
Y1050249,29
Y1050250,0
Y1050251,0
Y1050252,0
Y1050253,8
Y1050254,14
Y1050255,48.8
Y1050256,32.8
Y1050257,65
Y1050258,0
Y1050259,90
Y1050260,64.2
Y1050261,80.6
Y1050262,72
Y1050263,51
Y1050264,66.2
Y1050265,28
Y1050266,67.2
Y1050267,43.4
Y1050268,79.8
Y1050269,10
Y1050270,38
Y1050271,0
Y1050272,0
Y1050273,42.8
Y9999986,72.6
Y9999987,46.6
Y9999988,47.6
Y9999989,77.6
Y9999990,87.6
Y9999991,62.6
Y9999992,46.2
Y9999993,83.2
Y9999994,30
Y9999995,76.4
Y9999996,79.8
Y9999997,85
Y9999998,62.8
Y9999999,102
