username,qz_mean
Y1050160,16.75
Y1050161,37.5
Y1050162,41.25
Y1050163,0
Y1050164,0
Y1050165,0
Y1050166,0
Y1050167,24
Y1050168,2
Y1050169,0
Y1050170,0
Y1050171,19.5
Y1050172,12
Y1050173,85.75
Y1050174,75
Y1050175,38.25
Y1050176,81.5
Y1050177,10.75
Y1050178,0
Y1050179,100
Y1050180,40.75
Y1050181,13.75
Y1050182,95
Y1050183,0
Y1050184,5.75
Y1050185,91
Y1050186,75.75
Y1050187,0
Y1050188,38
Y1050189,95.5
Y1050190,93.75
Y1050191,43.75
Y1050192,59
Y1050193,7.5
Y1050194,11.25
Y1050195,44.5
Y1050196,5
Y1050197,84.5
Y1050198,26
Y1050199,13.75
Y1050200,17.75
Y1050201,61.5
Y1050202,71.25
Y1050203,0
Y1050204,90.5
Y1050205,90
Y1050206,81
Y1050207,50.75
Y1050208,62.5
Y1050209,82.25
Y1050210,10
Y1050211,25.75
Y1050212,6.25
Y1050213,0
Y1050214,17
Y1050215,17.5
Y1050216,0
Y1050217,0
Y1050218,0
Y1050219,13.5
Y1050220,27.5
Y1050221,81.5
Y1050222,58.25
Y1050223,20.75
Y1050224,85.5
Y1050225,67
Y1050226,46.25
Y1050227,5.75
Y1050228,59
Y1050229,102.5
Y1050230,0
Y1050231,0
Y1050232,0
Y1050233,0
Y1050234,0
Y1050235,0
Y1050236,0
Y1050237,0
Y1050238,66
Y1050239,0
Y1050240,0
Y1050241,20
Y1050242,20
Y1050243,0
Y1050244,0
Y1050245,0
Y1050246,12.5
Y1050247,10.5
Y1050248,10
Y1050249,15
Y1050250,0
Y1050251,0
Y1050252,0
Y1050253,0
Y1050254,0
Y1050255,36
Y1050256,28.5
Y1050257,68.75
Y1050258,0
Y1050259,87.5
Y1050260,60.25
Y1050261,75.75
Y1050262,68.75
Y1050263,46.25
Y1050264,61.5
Y1050265,20
Y1050266,64
Y1050267,36.75
Y1050268,76
Y1050269,0
Y1050270,22.5
Y1050271,0
Y1050272,0
Y1050273,33.5
Y9999986,67
Y9999987,58.25
Y9999988,37
Y9999989,72
Y9999990,90.75
Y9999991,57
Y9999992,39
Y9999993,80.25
Y9999994,31.25
Y9999995,80.5
Y9999996,77.25
Y9999997,86.25
Y9999998,61
Y9999999,102.5
