username,active_sum_count,video_num_days,num_complete,num_incomplete,complete_rate,seek_video_sum,seek_video_avg,pause_video_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,599.1666667000002,2.0,9.833333332999999,3.0,0.765827922,5.5,0.411886724,12.66666667,0.249503968,3.258973665,2.166666667,2.166666667,2.166666667,8.578888889,7.133333333,3
Y1050275,325.6666667,1.0,5.833333333,1.166666667,0.267156863,4.5,0.212009804,6.5,0.210784314,0.830882353,0.5,0.5,0.5,2.222222222,2.5,0
Y1050276,757.3333332999998,1.666666667,7.166666667,2.833333333,0.632553419,2.0,0.099807692,9.5,0.542478633,1.625192308,2.166666667,2.166666667,2.166666667,7.143333332999999,2.666666667,1
Y1050277,464.0,0.833333333,4.0,0.833333333,0.166666667,2.666666667,0.111111111,4.833333333,0.284722222,1.402777778,0.0,0.0,0.0,0.0,2.0,0
Y1050278,932.0,2.166666667,3.5,2.166666667,0.509259259,2.166666667,0.314814815,4.666666667,0.224074074,0.75,2.166666667,2.166666667,2.166666667,7.227222222000001,4.833333333,1
Y1050279,1833.166667,3.333333333,10.66666667,2.666666667,0.8109113109999999,6.333333333,0.465090465,13.16666667,2.420954046,7.483391609,2.0,2.0,2.0,8.930555556,6.0,2
Y1050280,115.5,1.5,2.5,1.0,0.805555556,0.5,0.083333333,3.166666667,0.305555556,1.222222222,0.333333333,0.333333333,0.333333333,0.388888889,1.45,0
Y1050281,43.0,0.166666667,0.166666667,0.333333333,0.055555556,0.5,0.166666667,0.5,0.111111111,1.5555555559999998,0.0,0.0,0.0,0.0,1.0,0
Y1050282,195.6666667,1.0,1.833333333,0.666666667,0.319444445,1.166666667,0.222222222,2.0,0.125,1.6875,0.0,0.0,0.0,0.0,2.0,0
Y1050283,178.5,1.166666667,1.166666667,1.833333333,0.383333333,1.5,0.333333333,2.666666667,0.4166666670000001,1.083333333,0.166666667,0.166666667,0.166666667,0.333333333,3.45,0
Y1050284,191.1666667,1.833333333,0.5,2.833333333,0.130952381,1.0,0.330952381,3.166666667,0.738095238,3.927380952,0.0,0.0,0.0,0.0,3.666666667,1
Y1050285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050286,1039.666667,3.166666667,8.833333332999999,1.333333333,0.8574074070000001,5.666666667,0.480364924,10.16666667,1.063671024,10.33199891,1.5,1.5,1.5,4.203888889,7.583333333,2
Y1050287,591.5,2.333333333,8.666666667000001,2.666666667,0.767640254,7.833333333,0.6697392520000001,9.666666667000001,0.609010507,3.2659051480000003,0.0,0.0,0.0,0.0,7.5,1
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050289,1565.166667,2.833333333,9.0,4.5,0.498163781,13.0,0.7906746029999999,13.0,2.333347763,8.99712482,0.0,0.0,0.0,1.0,7.933333332999999,2
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050291,427.0,0.5,3.666666667,2.0,0.387301587,2.0,0.121428572,4.833333333,0.31984127,0.7238095240000001,0.0,0.0,0.0,0.0,6.3666666670000005,1
Y1050292,1012.0,3.5,2.5,6.5,0.251719114,5.333333333,0.634207459,8.0,0.211567599,5.854895105,1.5,1.5,1.5,4.648333333,4.95,1
Y1050293,839.1666667000003,2.333333333,10.5,0.833333333,0.916666667,3.833333333,0.368131868,11.16666667,0.365384616,4.978937729,2.0,2.0,2.0,7.921111111,8.0,3
Y1050294,604.0,2.5,8.0,0.5,0.784798535,3.5,0.335164835,7.5,0.589194139,2.9630036630000003,0.0,0.0,0.0,0.0,5.216666667,1
Y1050295,701.3333332999998,1.833333333,3.0,3.333333333,0.313131313,5.0,0.535353535,4.5,0.467171717,2.335858586,0.166666667,0.166666667,0.166666667,0.444444444,4.666666667,1
Y1050296,649.8333332999998,1.5,4.666666667,2.166666667,0.4323232320000001,4.166666667,0.457239057,5.833333333,0.364478115,2.42946128,0.5,0.5,0.5,1.666666667,2.0,0
Y1050297,5.5,0.166666667,0.0,0.166666667,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0
Y1050298,120.5,0.666666667,1.5,0.5,0.375,0.833333333,0.208333333,1.833333333,0.166666667,1.375,0.0,0.0,0.0,0.0,2.0,0
Y1050299,125.1666667,0.166666667,0.666666667,0.333333333,0.111111111,0.833333333,0.13888888900000002,0.833333333,0.083333333,1.166666667,0.0,0.0,0.0,0.0,0.666666667,0
Y1050300,207.8333333,0.666666667,0.5,1.0,0.194444445,1.5,0.5,1.0,0.194444445,2.916666667,0.0,0.0,0.0,0.0,2.0,0
Y1050301,268.8333333,0.666666667,2.666666667,0.166666667,0.320512821,1.666666667,0.21474359,2.166666667,0.17628205100000002,1.980769231,0.5,0.5,0.5,1.666666667,0.0,0
Y1050302,280.8333333,1.0,3.0,1.666666667,0.203703704,1.666666667,0.107407407,4.0,0.1,0.605555556,0.5,0.5,0.5,2.722222222,0.0,0
Y1050303,506.0,1.666666667,4.166666667,1.833333333,0.45952381,4.666666667,0.514285714,4.833333333,0.347619048,5.454761905,0.5,0.5,0.5,2.0927777780000003,2.333333333,0
Y1050304,231.0,0.666666667,1.833333333,1.333333333,0.159722222,0.833333333,0.052083333,3.166666667,0.159722222,1.208333333,0.0,0.0,0.0,0.0,1.0,0
Y1050305,501.0,1.5,3.166666667,2.333333333,0.23015873,2.5,0.246031746,5.333333333,0.148148148,2.46031746,0.5,0.5,0.5,2.388888889,3.166666667,0
Y1050306,346.1666667,1.666666667,0.333333333,2.833333333,0.051851852,1.833333333,0.442592593,2.833333333,0.185185185,1.705555556,1.166666667,1.166666667,1.166666667,3.152777778,0.5,0
Y1050307,117.8333333,0.5,1.0,0.666666667,0.174603175,0.666666667,0.126984127,1.333333333,0.0,0.753968254,0.5,0.5,0.5,1.573888889,0.0,0
Y1050308,967.5,3.666666667,4.666666667,3.166666667,0.464473684,5.166666667,0.540977444,7.833333333,2.188032582,10.69385965,0.5,0.5,0.5,1.875,0.0,0
Y1050309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050310,102.1666667,0.5,1.166666667,0.666666667,0.220238095,0.666666667,0.113095238,1.5,0.107142857,0.16071428599999998,0.0,0.0,0.0,0.0,1.666666667,0
Y1050311,1760.8333329999996,4.5,7.166666667,9.666666667000001,0.376264631,14.33333333,0.8633277220000001,14.83333333,0.823631153,6.953609508,0.166666667,0.166666667,0.166666667,0.305555556,3.15,0
Y1050312,77.0,0.333333333,0.333333333,1.666666667,0.033333333,1.333333333,0.133333333,1.833333333,0.0,0.6333333329999999,0.0,0.0,0.0,0.0,1.666666667,0
Y1050313,240.8333333,1.333333333,2.5,2.166666667,0.266666667,3.166666667,0.422222222,4.333333333,0.091666667,1.3666666669999998,0.666666667,0.666666667,0.666666667,1.833333333,2.666666667,1
Y1050314,567.5,0.666666667,5.0,1.666666667,0.252525253,4.0,0.207070707,5.5,0.159090909,0.8543771040000001,1.333333333,1.333333333,1.333333333,2.444444444,2.0,1
Y1050315,881.6666667000003,1.166666667,5.833333333,2.666666667,0.286309524,7.666666667,0.44702381,8.5,0.498611111,7.368650793,0.5,0.5,0.5,1.842777778,2.45,0
Y1050316,631.3333332999998,1.333333333,6.0,0.5,0.464285714,2.0,0.150335775,6.0,0.258394383,1.585470086,0.666666667,0.666666667,0.666666667,1.0,1.666666667,0
Y1050317,1229.333333,3.166666667,8.0,6.333333333,0.517973596,7.166666667,0.52234627,13.83333333,0.686600656,2.657083998,2.166666667,2.166666667,2.166666667,6.018333332999999,5.45,1
Y1050318,1008.166667,3.333333333,10.33333333,1.666666667,0.77991453,10.0,0.8406084659999999,11.33333333,0.923534799,5.186050061,2.166666667,2.166666667,2.166666667,4.555555556,4.616666667,1
Y1050319,900.3333332999997,1.833333333,7.833333333,4.333333333,0.58489418,5.166666667,0.281058201,11.16666667,0.423148148,2.285634921,1.0,1.0,1.0,4.833333333,7.866666667,2
Y1050320,274.1666667,0.666666667,3.333333333,1.333333333,0.366161616,2.333333333,0.25,4.0,0.060606061,1.4924242419999998,0.0,0.0,0.0,0.0,2.0,0
Y1050321,44.66666667,0.166666667,0.5,0.333333333,0.1,0.166666667,0.033333333,0.833333333,0.0,0.2,0.0,0.0,0.0,0.0,4.0,0
Y1050322,806.8333332999998,4.166666667,7.666666667,4.5,0.591064491,7.5,0.634459985,11.66666667,1.17988863,7.149689199,2.166666667,2.166666667,2.166666667,8.305555556,10.13333333,3
Y1050323,1225.666667,5.0,11.0,1.333333333,0.904497355,8.0,0.697619048,12.16666667,1.12989418,3.867328042,2.166666667,2.166666667,2.166666667,8.597222222000001,9.25,3
Y1050324,912.6666667000003,1.0,7.833333333,4.833333333,0.409126984,11.33333333,0.594047619,12.16666667,0.659920635,9.005555557000001,0.5,0.5,0.5,2.481666667,3.833333333,1
Y1050325,731.8333332999998,1.333333333,3.666666667,2.666666667,0.37037037,4.833333333,0.52037037,6.0,0.805555556,3.57037037,0.5,0.5,0.5,1.967777778,2.333333333,0
Y1050326,439.0,1.166666667,4.166666667,1.0,0.504545455,2.5,0.379545455,5.166666667,0.657575758,2.01969697,0.0,0.0,0.0,0.0,2.5,0
Y1050327,318.3333333,0.5,6.166666667,1.833333333,0.128472222,3.5,0.072916667,6.666666667,0.03125,0.15625,0.0,0.0,0.0,0.0,0.0,0
Y1050328,1874.833333,2.333333333,12.66666667,1.666666667,0.872628726,14.0,0.975101626,14.16666667,2.066056911,21.02726965,2.166666667,2.166666667,2.166666667,10.0,5.966666667,2
Y1050329,893.3333332999997,1.166666667,1.666666667,4.666666667,0.170496171,5.5,0.564935065,5.166666667,0.318514819,4.518648019,0.5,0.5,0.5,1.388888889,3.0,0
Y1050330,374.6666667,2.0,5.666666667,1.166666667,0.525,1.333333333,0.118055556,5.166666667,0.159722222,1.509722222,0.0,0.0,0.0,0.0,2.166666667,0
Y1050331,277.8333333,1.166666667,3.166666667,2.333333333,0.285669192,4.0,0.387626263,5.166666667,0.16477272699999998,2.689709596,0.166666667,0.166666667,0.166666667,0.444444444,1.5,0
Y1050332,1277.666667,2.666666667,14.66666667,1.5,0.8974747470000001,12.0,0.78141835,15.0,0.73655303,5.669570707,1.666666667,1.666666667,1.666666667,5.625,4.166666667,1
Y1050333,216.8333333,1.333333333,0.666666667,1.333333333,0.083333333,0.5,0.0625,1.833333333,0.020833333,0.29861111100000004,0.166666667,0.166666667,0.166666667,0.0,1.833333333,0
Y1050334,204.6666667,1.333333333,2.333333333,1.333333333,0.197916667,1.5,0.128472222,3.666666667,0.222222222,1.510416667,0.5,0.5,0.5,1.5555555559999998,1.833333333,0
Y1050335,330.3333333,1.333333333,3.833333333,1.666666667,0.323152338,1.666666667,0.257164404,5.0,0.4543740570000001,5.489441931,0.166666667,0.166666667,0.166666667,0.0,1.833333333,0
Y1050336,552.3333332999998,0.833333333,5.333333333,2.0,0.283950617,3.333333333,0.302469136,7.0,0.198302469,2.392746914,0.166666667,0.166666667,0.166666667,0.0,7.016666667000001,1
Y1050337,333.0,0.333333333,2.0,2.333333333,0.146031746,2.5,0.16984127,4.333333333,0.176190476,1.96984127,0.166666667,0.166666667,0.166666667,0.444444444,1.833333333,0
Y1050338,187.6666667,0.666666667,1.333333333,1.0,0.173611111,1.833333333,0.270833333,1.666666667,0.166666667,2.055555556,0.0,0.0,0.0,0.0,1.666666667,0
Y1050339,182.6666667,1.0,1.166666667,1.5,0.30952381,1.0,0.276785714,2.666666667,0.377976191,1.3125,0.166666667,0.166666667,0.166666667,1.458333333,2.666666667,0
Y1050340,703.8333332999998,3.166666667,8.0,1.333333333,0.803819445,5.0,0.414930556,9.166666667000001,0.8767361109999999,4.831597222,0.0,0.0,0.0,0.0,1.666666667,0
Y1050341,709.1666667000002,1.333333333,8.5,0.666666667,0.4685672520000001,4.5,0.238304094,9.166666667000001,0.410087719,1.578216374,0.0,0.0,0.0,0.815,2.5,0
Y1050342,239.0,1.166666667,3.333333333,1.0,0.389069264,1.5,0.16801948100000005,4.333333333,0.26082251100000003,1.821158009,0.0,0.0,0.0,0.0,6.283333333,1
Y1050343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050344,681.6666667000002,4.0,8.666666667000001,5.0,0.601731602,7.166666667,0.525613276,11.83333333,1.4867965369999998,2.052994228,0.666666667,0.666666667,0.666666667,2.166666667,5.0,1
Y1050345,21.83333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050346,319.8333333,0.833333333,0.833333333,2.333333333,0.089285714,2.166666667,0.240079365,2.833333333,0.837301587,0.867063492,2.0,2.0,2.0,3.393333333,4.383333333,1
Y1050347,620.6666667000002,2.166666667,8.333333332999999,2.0,0.525030525,4.666666667,0.288156288,9.166666667000001,0.27533577600000003,1.5677655680000002,0.0,0.0,0.0,0.0,3.666666667,0
Y1050348,440.33333330000005,1.0,4.666666667,0.0,0.333333333,4.0,0.3,4.666666667,0.591666667,4.2875,0.0,0.0,0.0,0.0,1.666666667,0
Y1050349,401.3333333,1.5,0.0,2.0,0.0,0.833333333,0.216666667,1.833333333,0.075,0.658333333,2.166666667,2.166666667,2.166666667,6.763888889,5.433333332999999,2
Y1050350,772.1666667000002,2.666666667,4.666666667,3.0,0.419088319,7.166666667,0.772222222,5.833333333,0.8,7.5037037039999985,0.166666667,0.166666667,0.166666667,0.0,1.666666667,0
Y1050351,584.6666667000002,4.166666667,10.66666667,2.666666667,0.7705627709999999,8.666666667000001,0.6614718620000001,12.33333333,0.417027417,4.841702742,2.166666667,2.166666667,2.166666667,5.777777778,6.983333332999999,2
Y1050352,825.0,4.0,9.833333332999999,1.333333333,0.895246584,5.333333333,0.45149676,8.666666667000001,0.162176386,3.0654740680000003,2.166666667,2.166666667,2.166666667,8.513888889,7.583333333,3
Y1050353,1139.166667,4.666666667,11.16666667,6.833333333,0.589939489,12.0,0.6851247220000001,17.33333333,0.993491794,5.0854991080000005,1.333333333,1.333333333,1.333333333,5.458333333,4.466666667,1
Y1050354,1034.666667,3.666666667,11.66666667,1.166666667,0.8485431240000001,6.166666667,0.416342916,11.66666667,1.041970992,4.572740223,1.333333333,1.333333333,1.333333333,4.796111111,5.45,1
Y1050355,60.0,0.5,0.5,0.5,0.166666667,0.333333333,0.111111111,1.0,0.0,0.333333333,0.0,0.0,0.0,0.0,1.333333333,0
Y1050356,916.3333332999997,2.833333333,9.0,3.0,0.6016042779999999,8.5,0.631283422,11.66666667,0.4746880570000001,3.835828877,0.833333333,0.833333333,0.833333333,3.027777778,3.166666667,1
Y1050357,547.8333332999998,1.333333333,5.0,1.166666667,0.337301587,5.333333333,0.41468254,6.166666667,0.515873016,2.845238095,0.5,0.5,0.5,2.462777778,2.116666667,0
Y1050358,1137.666667,3.0,5.333333333,6.5,0.464484127,4.166666667,0.308835979,11.33333333,0.294960318,2.5727513230000003,2.0,2.0,2.0,6.245555556,4.466666667,1
Y1050359,177.66666669999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,2.411666667,1.5,0
Y1050360,675.6666667000002,1.0,5.333333333,3.166666667,0.263888889,5.0,0.30324074100000004,7.833333333,0.24537037,1.997685185,0.5,0.5,0.5,2.555555556,2.916666667,1
Y1050361,243.1666667,2.0,3.666666667,1.833333333,0.445833333,2.666666667,0.452083333,4.333333333,0.4,4.175,0.666666667,0.666666667,0.666666667,2.662222222,3.233333333,1
Y1050362,1242.833333,4.833333333,13.5,1.666666667,0.894763015,9.166666667000001,0.559173049,14.66666667,0.7211227659999999,6.6266699970000005,2.166666667,2.166666667,2.166666667,7.31,7.766666667000001,3
Y1050363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050364,709.3333332999998,3.333333333,6.5,5.166666667,0.450706701,8.666666667000001,0.621017871,10.5,0.350686351,6.13027713,0.5,0.5,0.5,2.944444444,8.166666667000001,2
Y1050365,1250.833333,2.833333333,13.83333333,0.666666667,0.963131313,6.5,0.517893218,14.16666667,1.5165584419999998,7.049062049,2.166666667,2.166666667,2.166666667,9.722222222000001,8.833333332999999,3
Y1050366,482.0,0.833333333,6.0,1.0,0.440972222,2.0,0.173611111,6.666666667,0.295138889,1.385416667,0.0,0.0,0.0,0.0,2.0,0
Y1050367,1156.333333,2.333333333,13.33333333,1.833333333,0.582619048,8.333333332999999,0.363611111,13.66666667,0.327063492,2.2450396830000003,2.0,2.0,2.0,7.995555556,8.716666667,3
Y1050368,542.3333332999998,1.0,3.0,2.666666667,0.271717172,4.333333333,0.372474748,5.666666667,0.265151515,5.320454546000001,0.5,0.5,0.5,2.638888889,2.333333333,0
