username,active_num_days,active_avg_count,active_sum_count,problem_sum_count,video_pause_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
101302503,2.0,213.854166658,427.083333333,23.5833333333,1.83333333333,0.0,0.0,0.0,0.0,9.94166666667,7.91666666667,6.0
102602012,0.25,1.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
103602527,2.08333333333,208.777777775,553.25,19.6666666667,0.666666666667,0.0,0.0,0.0,0.0,9.45277777783,7.97222222233,4.0
104602001,1.75,109.2625,274.666666667,8.41666666667,0.75,2.16666666667,1.08333333333,0.666666666667,1.16666666667,9.48611111133,8.74999999983,5.0
104602002,1.83333333333,104.715277783,321.916666667,17.5,0.75,2.91666666667,1.58333333333,1.0,1.91666666667,9.61111111117,8.15277777767,6.0
104602003,2.08333333333,156.770833333,397.166666667,15.75,2.25,2.66666666667,1.41666666667,0.916666666667,1.41666666667,9.52777777767,6.94444444467,5.0
104602005,2.16666666667,168.805555558,390.0,27.3333333333,1.08333333333,6.16666666667,1.83333333333,1.16666666667,2.25,9.8333333335,9.1666666665,7.0
104602006,1.66666666667,86.74305555,231.25,7.08333333333,1.08333333333,3.41666666667,1.33333333333,1.08333333333,1.66666666667,9.76388888883,6.58333333317,6.0
104602007,2.41666666667,177.675,673.5,14.5,2.91666666667,2.75,1.58333333333,1.33333333333,2.0,9.62500000017,9.72222222233,8.0
104602008,1.5,46.6138888892,174.25,6.91666666667,0.583333333333,3.16666666667,1.25,0.75,1.33333333333,9.85555555567,9.23611111133,7.0
104602009,0.5,112.805555558,180.25,13.5833333333,0.0,3.58333333333,1.41666666667,0.916666666667,1.58333333333,9.73055555567,9.63888888867,7.0
104602010,1.5,144.569444444,422.25,13.3333333333,1.08333333333,3.33333333333,1.41666666667,1.0,1.5,9.988888889,9.9444444445,7.0
104602011,2.91666666667,122.88670635,395.75,19.6666666667,1.5,3.41666666667,1.33333333333,1.08333333333,1.41666666667,9.75000000017,8.83333333317,7.0
104602012,3.33333333333,181.965277775,606.75,23.5,4.0,5.0,1.58333333333,1.08333333333,2.0,9.83333333317,8.6944444445,8.0
104602013,1.5,107.527777775,306.5,8.25,2.33333333333,2.83333333333,1.41666666667,0.916666666667,1.5,9.863888889,8.75000000017,6.0
104602014,0.0,0.0,0.0,0.0,0.0,0.583333333333,0.25,0.166666666667,0.25,7.8194444445,3.47222222217,5.0
104602016,0.666666666667,16.4444444442,35.0833333333,0.0,0.0,2.41666666667,0.833333333333,0.75,0.916666666667,9.71666666683,6.33333333333,2.0
104602017,1.0,141.020833333,261.333333333,25.1666666667,0.0833333333333,3.66666666667,1.08333333333,0.583333333333,1.41666666667,9.513888889,8.75,5.0
104602018,1.5,91.9736111083,324.916666667,17.9166666667,0.166666666667,3.16666666667,1.16666666667,0.833333333333,1.5,9.58333333333,7.55555555567,5.0
104602019,3.0,103.723611108,439.0,21.6666666667,1.5,4.58333333333,1.41666666667,0.916666666667,1.5,9.84166666667,6.38888888867,8.0
104602020,1.16666666667,83.0194444417,216.25,18.25,0.0,2.66666666667,1.08333333333,0.75,1.08333333333,9.4166666665,9.111111111,7.0
104602021,1.91666666667,34.5097222222,138.0,6.83333333333,0.25,2.0,0.916666666667,0.5,0.916666666667,9.34444444433,6.25,8.0
104602022,1.83333333333,178.191666669,372.5,14.0833333333,1.08333333333,2.25,1.08333333333,0.833333333333,1.08333333333,9.67222222217,9.5833333335,8.0
104602023,1.16666666667,39.5,142.083333333,7.25,0.0,3.16666666667,1.16666666667,0.666666666667,1.33333333333,8.06666666667,9.33333333317,9.0
