username,hw_mean
Y1050411,0.75
Y1050310,0
Y1050426,0
Y1050429,0
Y1050334,3.5
Y1050444,1.04125
Y1050447,0
Y1050357,5.54125
Y1050389,0
Y1050279,9.21875
Y1050275,5
Y1050376,9.25
Y1050396,6.125
Y1050369,0
Y1050443,0
Y1050412,5.875
Y1050329,3.125
Y1050392,0
Y1050307,3.54125
Y1050425,0
Y1050418,2.75
Y1050289,2.25
Y1050287,0
Y1050422,0
Y1050282,0
Y1050315,4.14625
Y1050356,5.3125
Y1050345,0
Y1050323,9.34375
Y1050368,5.9375
Y1050388,0
Y1050328,10
Y1050319,2.25
Y1050367,9.5525
Y1050427,7.8025
Y1050313,3.5
Y1050311,0.6875
Y1050342,0
Y1050438,0
Y1050450,0.53125
Y1050448,2.375
Y1050332,5.90625
Y1050420,9.59375
Y1050314,3.875
Y1050430,0
Y1050276,5.84375
Y1050431,0
Y1050278,7.51125
Y1050366,0
Y1050312,0
Y1050402,0
Y1050360,5.75
Y1050432,0
Y1050364,0
Y1050348,0
Y1050309,0
Y1050408,0
Y1050280,0.875
Y1050419,0
Y1050404,0
Y1050384,0
Y1050317,6.125
Y1050349,5.84375
Y1050302,6.125
Y1050300,0
Y1050341,1.83375
Y1050324,5.58375
Y1050437,0
Y1050387,0
Y1050377,3.125
Y1050413,5.59375
Y1050421,6.45875
Y1050344,3.75
Y1050327,0
Y1050433,0
Y1050428,0
Y1050378,10
Y1050297,0
Y1050405,0
Y1050371,0.96875
Y1050439,0
Y1050373,0
Y1050298,0
Y1050354,7.29125
Y1050277,0
Y1050414,7.75
Y1050292,7.83375
Y1050355,0
Y1050383,0
Y1050337,1
Y1050305,5.375
Y1050281,0
Y1050415,6.53125
Y1050347,0
Y1050330,0
Y1050435,0
Y1050440,4.75
Y1050391,0
Y1050451,0
Y1050397,0
Y1050284,0
Y1050398,0
Y1050417,4.90625
Y1050343,0
Y1050336,0
Y1050291,0
Y1050449,0
Y1050326,0
Y1050358,7.6775
Y1050445,0
Y1050318,5
Y1050322,9.125
Y1050454,7.125
Y1050290,0
Y1050306,6.21875
Y1050399,0
Y1050362,8.09375
Y1050380,10
Y1050361,5.99
Y1050395,0
Y1050293,7.8225
Y1050386,3.79125
Y1050363,0
Y1050304,0
Y1050299,0
Y9999984,3.375
Y1050331,1
Y1050446,0
Y1050423,0.20875
Y1050379,0
Y1050285,0
Y1050382,0
Y1050288,0
Y1050390,0.83375
Y1050365,9.875
Y1050296,3.75
Y1050401,0
Y1050352,8.40625
Y1050381,7.9375
Y1050375,0
Y1050400,3.21875
Y1050441,0
Y1050321,0
Y1050338,0
Y1050346,5.3225
Y1050303,4.70875
Y1050409,0
Y1050301,3.75
Y1050283,0.75
Y1050335,0
Y1050359,5.42625
Y1050286,4.58375
Y1050294,0
Y1050436,1.25
Y1050407,2.40625
Y1050424,0
Y1050393,0
Y1050316,2.25
Y1050340,0
Y1050374,0
Y1050403,1.25
Y1050325,4.4275
Y1050416,6.6875
Y1050453,0.84375
Y1050274,8.49
Y1050353,8.46875
Y1050295,1
Y1050333,0
Y9999985,0
Y1050350,0
Y1050372,8.615
Y1050452,0
Y1050442,0
Y1050406,0
Y1050308,4.21875
Y1050320,0
Y1050434,0
Y1050410,0
Y1050339,3.28125
Y1050370,0
Y1050394,2.5
Y1050351,5.5
Y1050385,5
