username,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
104602001,0.333333333,0.333333333,9.694444445,7.5,58.21
104602002,0.666666667,0.666666667,9.544444445,3.861111111,69.33
104602003,0.666666667,0.666666667,9.511111111,5.777777778,55.3
104602005,1.166666667,1.166666667,9.633333334,6.666666666,74.12
104602006,0.833333333,1.166666667,9.905555556,5.833333333,61.13
104602007,1,1,9.75,9.888888889,85.72
104602008,0.333333333,0.333333333,9.922222222,8.694444445,72.53
104602009,0.333333333,0.333333333,9.872222222,9.055555555,79.78
104602010,0.166666667,0.166666667,9.955555556,9.777777778,76.68
104602011,0.5,0.5,9.8,7.333333333,70.97
104602012,1,1.333333333,9.833333333,9.277777778,88.14
104602013,0.333333333,0.333333333,9.905555556,8.5,66.43
104602018,0.5,0.5,9.633333333,8.222222222,54.02
104602025,0.333333333,0.333333333,8.833333333,3.861111111,61.38
104602027,0.333333333,0.333333333,9.616666667,9.722222222,57.3
104602029,0.166666667,0.166666667,9.777777778,6.777777778,67.13
104602030,0.166666667,0.166666667,9.75,3.055555556,54.11
104602033,0.166666667,0.166666667,8.383333333,5.805555556,82.94
104602035,0.833333333,0.833333333,9.938888889,9.888888889,80.48
104602501,0.166666667,0.166666667,9.872222222,4.25,56.93
104602502,1,1,9.672222222,5.833333333,67.38
104602503,0.833333333,0.833333333,6.661111111,3.333333333,48.27
104602504,0.833333333,1,9.788888889,6.666666667,71.49
104602505,0.833333333,1.166666667,9.727777778,8.444444445,81.71
104602506,0.833333333,0.833333333,9.633333333,6.111111111,63.62
104602510,0.333333333,0.333333333,9.838888889,7.5,70.1
104602511,0.666666667,0.666666667,9.944444445,6.444444444,78.77
104602513,0.833333333,1,9.972222222,9.666666667,93.69
104602514,0.666666667,0.666666667,9.733333333,7.166666666,74.75
104602516,1,1,9.816666667,8.5,56.89
104602519,1,1.333333333,9.794444444,9.777777778,94.97
104602520,0.833333333,1,4.544444444,5.222222222,48.24
104602521,0.5,0.5,9.822222222,8.472222222,80.87
104602522,0.833333333,0.833333333,7.211111111,5.305555556,59.34
104602524,0.833333333,0.833333333,8.883333333,3.5,68.02
104602525,0.166666667,0.166666667,7.111111111,2.722222222,59.69
104602526,0.833333333,0.833333333,9.905555556,7.444444444,76.48
