username,active_num_days,active_avg_count,active_sum_count,problem_avg_count,problem_sum_count,video_num_days,num_watched,pause_video_sum,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
104602001,2.166666667,109.775,327,9.416666667,16.83333333,1.666666667,6.5,2.833333333,0.329606625,3.5,1.666666667,1,1.833333333,9.477777778,9.166666667,58.21
104602002,2.333333333,158.6527778,526.1666667,14.5,35,2,7.666666667,6,0.716269841,4.166666667,1.833333333,1.166666667,2.5,9.761111111,7.944444444,69.33
104602003,2.5,186.0694445,522.5,13,29.66666667,1.666666667,3.166666667,1.666666667,0.508333333,3.5,1.5,1,1.5,9.544444444,7.611111111,55.3
104602005,2.666666667,142.5277778,392.8333333,21.58333333,33.66666667,0.833333333,1.833333333,1.5,0.591666667,7.333333333,2.166666667,1.333333333,2.666666667,9.8,9.166666667,74.12
104602006,2,132.9027778,395.6666667,7.083333333,14.16666667,1.333333333,5.333333333,4.833333333,0.608134921,4,1.5,1.333333333,1.833333333,9.788888889,6.5,61.13
104602007,2.333333333,190.4888889,869.5,4.977777778,26.83333333,2.333333333,5.666666667,4.666666667,0.530112045,3.166666667,2,1.833333333,2.666666667,9.583333334,9.888888889,85.72
104602008,1.166666667,44.61666667,220.3333333,13.83333333,13.83333333,0.833333333,2.5,2,0.133333333,3.833333333,1.666666667,1,1.833333333,9.888888889,9.111111111,72.53
104602009,1,225.6111111,360.5,20.58333333,27.16666667,0.333333333,0.833333333,0.833333333,0.333333333,3.833333333,1.666666667,1,2,9.672222222,9.722222222,79.78
104602010,2,178.5555556,463.1666667,20.41666667,26.66666667,1,5.5,2.333333333,0.2,3.166666667,1.833333333,1.333333333,2,9.988888889,9.944444445,76.68
104602011,3.333333333,176.8011905,593.5,20.86666667,38.5,1.666666667,6.833333333,5,0.523611111,3.833333333,1.666666667,1.5,1.833333333,9.883333334,9.166666667,70.97
104602012,3.833333333,263.9583333,850.1666667,24.01388889,47,2.333333333,9,7.833333333,0.861111111,4.666666667,2,1.166666667,2.166666667,9.916666667,8.944444445,88.14
104602013,2.666666667,193.3888889,591.3333333,11.25,16.5,2.166666667,7.166666667,6.333333333,0.771527778,3.666666667,1.833333333,1.166666667,2,9.872222222,8.333333334,66.43
104602016,1.333333333,32.88888889,70.16666667,0,0,1,2.833333333,1.666666667,0.424242424,3.666666667,1.333333333,1.166666667,1.5,9.7,7,25.71
104602017,1.666666667,213.2083333,453.8333333,27.16666667,50.33333333,0.833333333,2,1.5,0.305555556,6.666666667,1.833333333,1,2.5,9.522222222,8.833333333,52.83
104602018,2.333333333,162.6138889,628.5,17.77777778,35.33333333,1.333333333,1.833333333,1.666666667,0.444444445,5.5,2,1.5,2.666666667,9.766666667,7.222222222,54.02
