username,active_num_days,active_avg_count,active_sum_count,problem_avg_count,problem_sum_count,video_num_days,num_watched,pause_video_sum,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
104602019,3.5,167.5638889,716,27.30555556,43.33333333,1.666666667,6.5,4.333333333,0.419444445,6.166666667,2,1.166666667,2.166666667,9.866666667,5.888888889,80.67
104602020,2.166666667,165.3722222,431.8333333,31.91666667,36.5,0.333333333,0.333333333,0.333333333,0.333333333,4.5,1.833333333,1.333333333,1.833333333,9.533333333,8.944444444,77.99
104602021,2.5,64.65277778,256.1666667,6.833333333,13.66666667,0.5,1.166666667,1,0.142857143,3.166666667,1.5,0.833333333,1.5,9.294444444,6.333333333,80.61
104602022,1.333333333,250.0833333,488.5,28.16666667,28.16666667,0.833333333,6.166666667,3,0.405555556,3.333333333,1.666666667,1.333333333,1.666666667,9.705555556,9.833333334,83.56
104602023,1.833333333,65.16666667,257.3333333,4.833333333,14.5,0.666666667,1.5,1.166666667,0.291666667,5,2,1,2,7.283333333,9.666666667,95.5
104602024,1.833333333,190.5416667,282.1666667,16.75,17.16666667,1,1.333333333,0.833333333,0.35,3.666666667,1.166666667,0.833333333,1.333333333,7.794444445,7.444444445,72.67
104602025,2.5,85.41666667,313,11.41666667,28.16666667,1.166666667,2.5,1.5,0.199404762,3.833333333,1.5,0.666666667,1.5,7.433333333,5.611111111,61.38
104602027,4,103.6444445,413,15,22.5,1.666666667,3.333333333,2.666666667,0.661111111,3.5,1.333333333,0.833333333,1.333333333,9.633333333,9.722222222,57.3
104602028,2.5,263.2361111,658.3333333,29.33333333,43.5,1.5,8,5.5,0.480952381,4.166666667,2.166666667,1.166666667,2.166666667,9.905555556,9.666666667,104.16
104602029,3.166666667,200.0277778,564,29.5,29.5,1.5,7.333333333,4.833333333,0.48030303,7,1.833333333,1.166666667,2.166666667,9.827777778,7.944444445,67.13
104602030,1,161.8888889,446.3333333,13.5,13.5,0.833333333,2.833333333,2.333333333,0.227777778,4,1.5,0.833333333,1.666666667,9.733333334,7.388888889,54.11
104602031,2.666666667,172.4305556,382.1666667,24.06944444,36.16666667,0.166666667,0.333333333,0.333333333,0.166666667,5.333333333,1.5,1.166666667,1.666666667,9.594444445,7.611111111,50.2
104602032,0.333333333,44.5,44.5,2.833333333,2.833333333,0.166666667,0.666666667,0.333333333,0.083333333,0.333333333,0.333333333,0.333333333,0.333333333,9.738888889,9.888888889,51.06
104602033,3.666666667,196.1333333,681,15.43055556,43.5,3,7.166666667,4.166666667,0.591880342,3.666666667,1.666666667,1,1.666666667,8.1,7.222222222,82.94
104602035,2.333333333,183.05,433,15.58333333,22.5,1.166666667,3.5,2.166666667,0.581481482,3.666666667,1.833333333,1.666666667,2.333333333,9.888888889,9.888888889,80.48
104602037,2.833333333,278.3472222,683,22.86111111,44.16666667,1.333333333,5,2.833333333,0.459498835,6.5,2.166666667,1.333333333,2.666666667,9.905555556,8.388888889,61.61
104602501,2.666666667,112.1626984,411.8333333,9.333333333,28,1.5,6,4.5,0.519345238,1.833333333,1.333333333,0.833333333,1.333333333,9.822222222,7.833333333,56.93
104602502,2.833333333,335.7361111,931.3333333,33.25,47.66666667,1.833333333,7.166666667,5.666666667,0.707051282,3.333333333,1.833333333,1.333333333,2,9.355555555,7.333333333,67.38
104602503,1.5,185.4444445,377,21,21,0.666666667,5.333333333,4.5,0.424242424,3.5,1.333333333,0.333333333,1.333333333,8.611111111,5.666666667,48.27
104602504,2.666666667,65.54166667,164.1666667,1.666666667,1.666666667,1.333333333,3.333333333,2.5,0.637301587,4.333333333,1.833333333,1,2.333333333,9.355555555,7.666666667,71.49
104602505,3,174.3166667,546.6666667,24.80555556,38.33333333,2.166666667,7,4.666666667,0.615193603,5.166666667,1.666666667,1.166666667,2,9.027777778,8.777777778,81.71
104602506,2.666666667,175.1666667,520,15.5,15.5,1.666666667,4.5,4.333333333,0.653846154,6.5,1.833333333,1.333333333,2.166666667,9.366666667,7.444444444,63.62
104602507,1.333333333,78.8,239,7.333333333,21.5,0.5,1.333333333,1.333333333,0.166666667,2.666666667,1.666666667,1.166666667,1.833333333,8.833333334,7.055555555,39.87
104602508,3.166666667,198.9861111,694.5,13.06944445,42,1.666666667,4.333333333,3,0.672222222,6,2,2.333333333,3,9.3,8.277777778,60.32
104602509,1.833333333,168.1666667,336.6666667,10.69444445,21,1.166666667,2.5,1.5,0.458333333,4.166666667,1.5,1.166666667,1.666666667,9.066666666,6.5,47.45
104602510,2.333333333,253.1333333,621.6666667,20.29166667,38.16666667,1.666666667,7.166666667,6.5,0.446839081,6.666666667,2,1.333333333,3.166666667,9.855555555,8.5,70.1
104602511,2.666666667,312.5,869.6666667,24.25,42.33333333,1.666666667,6.833333333,6.5,0.8,3.666666667,1.833333333,1.5,2.333333333,9.944444445,9.111111111,78.77
104602513,3.5,260.4805556,767,26.75,45.5,1.666666667,3.333333333,2.5,0.622222222,6.166666667,2,1.5,2.166666667,9.972222222,9.833333334,93.69
104602514,3.666666667,215.9416667,846.1666667,23.68333333,43.33333333,1.833333333,8.333333333,6.833333333,0.521449097,5.166666667,2.166666667,1.666666667,3,9.65,9.166666667,74.75
104602515,2.666666667,177.6388889,519.3333333,40.16666667,45.33333333,1,3.5,2.333333333,0.341666667,5.333333333,1.5,0.833333333,1.666666667,8.711111111,7.833333334,60.84
104602516,4.166666667,122.3869048,603.3333333,24.08333333,39,2.166666667,4.666666667,4.666666667,0.833333333,8.166666667,2,1.666666667,2.333333333,9.916666667,9,56.89
104602517,1.5,132.3055556,292.1666667,21.83333333,31.83333333,0.666666667,0.5,0.5,0.333333333,0.333333333,0.166666667,0.166666667,0.166666667,9.466666667,8.944444444,82.97
104602519,1.666666667,242,391.1666667,23.16666667,30,0.833333333,1.833333333,1,0.358333333,4,2.166666667,1.166666667,2.333333333,9.894444444,9.777777778,94.97
104602520,2.166666667,195.7777778,524.6666667,34.83333333,44.5,1,5.666666667,2.5,0.2625,0.666666667,0.333333333,0.333333333,0.333333333,5.811111111,4.722222222,48.24
104602521,4,304.4369048,1410.333333,29.66666667,45.66666667,2,7.666666667,6,0.54003268,4.5,2.166666667,2.166666667,2.833333333,9.455555555,7.722222222,80.87
104602522,4,219.0888889,825.8333333,33,49,1.5,10.33333333,6.5,0.56213705,8.5,2,1.5,2.166666667,8.794444444,7.055555556,59.34
104602524,1.833333333,163.3888889,264.3333333,15.41666667,22,0.666666667,2,1,0.277777778,3.833333333,1.833333333,1,2,9.283333333,6.833333334,68.02
104602525,1.833333333,133.9722222,321.1666667,18.41666667,28,1,2.666666667,1.666666667,0.511904762,3.833333333,1.5,2,2.333333333,9.144444445,6.722222222,59.69
104602526,2.5,112.5416667,443,8.055555555,23.83333333,1.166666667,6,4.166666667,0.391666667,4.833333333,2,1.5,2.166666667,9.722222222,8.444444444,76.48
