username,watched_time_hour,qz_mean,watched_time_weekday,mt_online_num_day,indicator,final_score
Y1050160,-0.633048566395,-0.150493104826,-0.203494158899,0.603471212436,0.0,30.0
Y1050161,-1.3429388444,0.484556140444,-1.11292456876,0.00247406383548,0.0,40.0
Y1050162,1.76740805014,-1.5809909396,0.884868446017,0.00216189458013,0.0,30.0
Y1050163,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,0.0
Y1050164,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,0.0
Y1050165,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,0.0
Y1050166,-1.44454240932,0.0571488774575,-0.145858295404,-0.18906157471,0.0,20.0
Y1050167,-0.13912502279,-0.341210513906,-0.384816413772,-0.600397706234,0.0,30.0
Y1050168,-1.0294478255,-0.444897562332,0.577368301662,-0.369354245844,0.0,10.0
Y1050169,-0.930462581907,-0.560246640317,0.797687450653,-0.0731435168273,0.0,0.0
Y1050170,-0.681299372615,-0.521373822194,1.03307263903,-0.400151293594,0.0,10.0
Y1050171,-0.70962752645,-0.375994974347,0.235708600825,-0.0253556994525,0.0,10.0
Y1050172,-1.34056501341,0.136944182565,-0.298472173114,0.408182696416,0.0,10.0
Y1050173,1.91713824281,-0.831972002765,-0.354937626579,-0.476568585218,1.0,70.0
Y1050174,1.72406881947,1.15918220761,0.026140105715,-0.762459113062,1.0,80.0
Y1050175,1.42956851166,-0.604390175597,0.487970104646,1.76840441272,0.0,30.0
Y1050176,1.52210100721,1.07625191561,-0.458866578375,1.12170914145,1.0,90.0
Y1050177,0.484468936069,-0.808694950591,0.86082289956,0.348288927626,0.0,20.0
Y1050178,-0.765840528145,-0.328987838764,0.0955661826111,-0.518338332649,0.0,20.0
Y1050179,2.25116782266,1.43273647727,-0.610577449783,1.40741114992,1.0,95.0
Y1050180,-1.46214072518,0.446829391563,-0.932148413176,0.0372890194099,0.0,40.0
Y1050181,-1.58956342531,0.406500797932,-0.738904936522,0.0745050064032,0.0,20.0
Y1050182,1.89352818936,1.68482607786,-0.354961545782,1.09086881551,1.0,90.0
Y1050183,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,10.0
Y1050184,-2.04992930969,0.260797491908,-0.0407349563544,0.208962765863,0.0,10.0
Y1050185,1.90412360328,2.0561592702,0.23644092547,-0.756481472016,1.0,99.0
Y1050186,0.90451971363,1.05421692676,-0.657761531684,0.163228196449,1.0,85.0
Y1050187,-1.85674005464,0.321940843543,-0.333717001603,0.152538527518,0.0,20.0
Y1050188,1.56453862447,-1.18701353052,0.344098238008,0.874667023393,0.0,45.0
Y1050189,3.2191233306,-0.173724704104,0.104107465353,-0.19067442973,1.0,91.0
Y1050190,1.83689647231,0.357044568847,-0.386772257921,0.604352497408,1.0,90.0
Y1050191,0.503212020985,-0.720673660132,0.378105950382,-1.30222431975,0.0,40.0
Y1050192,3.72005289184,4.80054854069,2.68736701122,-0.220143069385,1.0,70.0
Y1050193,-1.23123523775,-0.146951340001,0.154862756558,-0.0150871080614,0.0,20.0
Y1050194,1.94856323867,-1.8645544047,1.47107945214,0.704877863447,0.0,20.0
Y1050195,1.08820664377,-0.213259260621,-0.131509459586,1.49319931144,0.0,40.0
Y1050196,-1.32415572127,-0.171581867257,0.345457735168,0.367231037347,0.0,10.0
Y1050197,2.43627904621,1.49560508121,0.184160217619,1.02389119374,1.0,80.0
Y1050198,0.463608622613,-0.603667862877,0.0309474948355,1.32546883804,0.0,20.0
Y1050199,-0.163222720371,1.94045357303,0.598125807368,0.413623244629,0.0,30.0
Y1050200,0.0996454405018,-0.639505524236,0.320762463966,0.890104460878,0.0,30.0
Y1050201,1.35471386397,0.669165620505,-0.00820799782032,1.20106168692,1.0,68.0
Y1050202,1.43674707808,0.332322122415,-0.487856916849,1.20394179796,1.0,75.0
Y1050203,-1.91112931024,0.0514462473776,0.264943739739,-0.00170222206926,0.0,10.0
Y1050204,0.427470003005,0.40765160074,-1.22571928985,-0.153644063065,1.0,90.0
Y1050205,1.28986489634,-0.119645402792,-0.759545181945,-0.09481270808,1.0,88.0
Y1050206,0.575067905267,-0.192152892272,-1.21176983506,-0.272586403478,1.0,70.0
Y1050207,1.7233324108,-1.18037561793,-0.0952779782068,-0.903878605682,0.0,40.0
Y1050208,1.46025630376,-0.104525524122,0.166340221595,-0.378521404929,1.0,70.0
Y1050209,0.566410636797,1.19601505762,-0.773368164128,-0.289521887044,1.0,85.0
Y1050210,-0.434535862284,-0.476936215765,0.169842100664,-0.420512533596,0.0,20.0
Y1050211,1.02487700009,-1.60487528469,1.47776406333,-0.248938009893,0.0,40.0
Y1050212,-1.22496742832,-0.155544528831,0.295556749451,0.738067930023,0.0,20.0
Y1050213,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,10.0
Y1050214,-0.0137449874641,-0.251669655811,0.24359423511,1.4699941441,0.0,20.0
Y1050215,-0.097137912847,-0.660280541896,0.390884258952,0.124036533178,0.0,20.0
Y1050216,-0.837465850599,-0.538657395374,0.676462244695,-0.0829186406973,0.0,10.0
Y1050217,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,10.0
Y1050218,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,10.0
Y1050219,0.560310678624,-0.801712798029,0.338266420368,1.07250491166,0.0,20.0
Y1050220,-0.89521232869,-0.162357021199,-0.108983813047,-0.209119881006,0.0,30.0
Y1050221,1.20946688954,0.938761102879,-0.257858941771,-0.896168999992,1.0,80.0
Y1050222,0.483247965987,-0.486151678286,-0.465158379693,-0.0242844245264,0.0,50.0
Y1050223,1.04270498825,-1.37318400986,1.06506861527,0.342113103233,0.0,20.0
Y1050224,0.503206404608,-0.0759856314005,-1.45360963744,-0.559504441155,1.0,68.0
Y1050225,1.03231729038,1.82623605983,-0.156140314055,0.059016051752,1.0,75.0
Y1050226,-0.199438227072,-0.238749689425,-0.600323364442,-0.85220579411,0.0,40.0
Y1050227,0.124143953197,-0.909471353404,0.7380187549,0.0354523735635,0.0,10.0
Y1050228,0.60594276623,0.0923165680721,-0.557344811405,0.618397535634,1.0,66.0
Y1050229,2.04017720545,1.22664181157,-0.370956636492,-0.782552567159,1.0,99.0
Y1050230,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,0.0
Y1050231,-1.30350490393,-0.365278600359,0.634598793988,-0.292281976579,0.0,10.0
Y1050232,-1.24902874734,-0.345827020421,0.608144573394,0.0526788971384,0.0,10.0
Y1050233,-1.30394312646,-0.365098689382,0.634458738549,-0.292860199625,0.0,10.0
Y1050234,-1.71583713804,-0.0705469888574,0.371223643806,-0.0171003871763,0.0,10.0
Y1050235,-1.29531011507,-0.368642946941,0.637217839507,-0.281469169254,0.0,10.0
Y1050236,-0.433756647815,3.44948525405,2.00539671368,-0.298409001211,0.0,20.0
Y1050237,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,0.0
Y1050238,0.131448018388,0.433574050778,-1.14061067732,-0.698084605252,0.0,40.0
Y1050239,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,10.0
Y1050240,-1.30048108372,-0.366520020896,0.635565203606,-0.288292125727,0.0,10.0
Y1050241,0.682269809974,-1.00713851249,0.646110136474,0.846242936018,0.0,20.0
Y1050242,-0.814797384214,-0.285024312432,0.143137003526,0.0957082923744,0.0,20.0
Y1050243,-1.29337468413,-0.369437532447,0.637836401108,-0.278915419285,0.0,10.0
Y1050244,-1.28909250668,-0.371195567867,0.639204980318,-0.273265199307,0.0,10.0
Y1050245,-1.30229331833,-0.365776013283,0.634986015417,-0.290683321394,0.0,10.0
Y1050246,0.0225255757222,2.44670380564,1.48241054669,-0.540846240728,0.0,30.0
Y1050247,-0.748952478013,0.116644235804,0.291261142217,-0.356080760454,0.0,30.0
Y1050248,-0.759449968527,-0.0201690146333,0.00855713337152,-0.445796519458,0.0,30.0
Y1050249,-0.717142576213,-0.172684277075,-0.272365178848,-0.479085816472,0.0,30.0
Y1050250,-1.7325864035,-0.0636706269465,0.365870596965,-0.0392006002855,0.0,10.0
Y1050251,-1.30922812706,-0.362928947859,0.632769658167,-0.299833618225,0.0,0.0
Y1050252,-1.30371681844,-0.36519159948,0.634531066346,-0.292561592166,0.0,10.0
Y1050253,-1.14720419762,-0.309909836288,0.382658609782,-0.351011031488,0.0,10.0
Y1050254,-0.937907849901,-0.0813834105339,0.291152623551,-0.383182808188,0.0,20.0
Y1050255,0.781174454142,0.365421940147,-0.224733235688,0.130597722463,0.0,40.0
Y1050256,-0.905905344177,0.536640401289,-0.471640450128,-0.253987978558,0.0,30.0
Y1050257,0.0341829476939,0.0567802552272,-1.39076409887,-0.680068321597,0.0,40.0
Y1050258,-1.2889793229,-0.371242035135,0.639241153728,-0.273115856307,0.0,10.0
Y1050259,2.94013422085,2.72502620074,0.735947064499,-1.3345751869,1.0,80.0
Y1050260,2.0554898726,-1.45117856843,0.226913492683,-0.899158088278,0.0,50.0
Y1050261,-0.596783862807,1.41212659923,-1.44766298882,-0.193332520917,1.0,82.0
Y1050262,1.51586983848,-0.55666018948,-0.762434257104,-1.25112306744,0.0,50.0
Y1050263,-0.985870316705,0.430625851732,-1.29457155221,-0.0975486450584,0.0,40.0
Y1050264,1.39931078147,-0.778454592873,-0.692701617998,-0.83012995444,0.0,40.0
Y1050265,-0.389126182844,-0.405925855582,-0.0420653043446,-0.559318441195,0.0,20.0
Y1050266,1.97227927399,-0.956926328591,-0.591182972456,0.165847389825,0.0,40.0
Y1050267,-0.257850735279,0.204171490036,-0.732555505418,0.359636036221,0.0,30.0
Y1050268,0.0558877742189,0.170330782909,-1.50787413838,0.174437790592,1.0,60.0
Y1050269,-1.93894824828,0.295922396039,-0.209043790859,0.176548841708,0.0,10.0
Y1050270,0.867114846661,-0.223302028349,0.317725280859,-0.381019300919,0.0,40.0
Y1050271,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,0.0
Y1050272,-2.14446873237,0.230876277278,0.102639236002,0.236574627181,0.0,0.0
Y1050273,-0.704952592036,0.870177653129,-0.760624639842,-0.156569737216,0.0,40.0
Y9999986,1.78754858777,-0.676517632235,0.0429082038638,-0.119762585969,0.0,58.0
Y9999987,-1.35115966376,0.481954295694,-1.10045724768,0.0048750952544,0.0,27.0
Y9999988,2.42046575938,-1.94462421997,1.02610964205,-0.753266362991,0.0,33.0
Y9999989,2.03032963787,-1.23471143394,-0.11650017167,-0.291963779958,0.0,59.0
Y9999990,1.29547860677,-0.392306887808,-1.16124427995,0.831823834278,1.0,63.0
Y9999991,1.09384321944,-0.796490853264,-0.428056253347,-0.915229882048,0.0,36.0
Y9999992,2.07519637806,-1.61174402744,0.803520343874,0.562127815785,0.0,38.0
Y9999993,1.55684566319,-0.819201025169,-0.764530447509,-1.04107790471,0.0,49.0
Y9999994,0.0545889925042,-0.632918407613,0.212955722538,0.125513395264,0.0,20.0
Y9999995,2.08671645401,-1.37135693982,0.00292584217057,-1.06330231152,0.0,57.0
Y9999996,-0.812695995432,0.652375126847,-1.91706677806,-0.152392462685,0.0,54.0
Y9999997,0.844487405854,-0.174302480902,-1.3266032838,0.52970616693,0.0,58.0
Y9999998,0.47171100921,-0.520243381985,-0.432528180968,-0.319212251589,0.0,49.0
Y9999999,2.91764532347,-1.15378349457,-0.77207497084,0.989290977073,1.0,73.0
