username,video_backward_seek_avg,video_stop_backward_seek_avg,watched_time_hour,qz_mean,video_pause_backward_seek_avg,watched_time_weekday,final_score
Y1050160,0.317453172202,-0.535506510819,-0.547743372564,-0.55264276206,-0.693650114862,-0.658296300018,30.0
Y1050161,-0.647249476904,-0.535506510819,-0.961078966259,0.0650612573114,-0.693650114862,-1.17052685565,40.0
Y1050162,3.61122364558,-0.0484552978947,0.938752342738,0.176694513824,2.54158875859,1.64674120035,30.0
Y1050163,-0.647249476904,-0.535506510819,-0.961078966259,-1.05127130782,-0.693650114862,-1.17052685565,0.0
Y1050164,-0.647249476904,-0.535506510819,-0.961078966259,-1.05127130782,-0.693650114862,-1.17052685565,0.0
Y1050165,-0.647249476904,-0.535506510819,-0.961078966259,-1.05127130782,-0.693650114862,-1.17052685565,0.0
Y1050166,-0.371620148588,-0.535506510819,-0.878885189268,-1.05127130782,1.5672489314,-0.402181022199,20.0
Y1050167,-0.555373034224,-0.535506510819,-0.732862672229,-0.336818466135,-0.63084736364,-0.914411577836,30.0
Y1050168,-0.647249476904,-0.535506510819,-0.961078966259,-0.991733571011,-0.693650114862,-1.17052685565,10.0
Y1050169,-0.647249476904,-0.535506510819,-0.137003744645,-1.05127130782,-0.693650114862,-0.402181022199,0.0
Y1050170,-0.450371385328,-0.535506510819,-0.940182740431,-1.05127130782,-0.451410931091,0.366164811256,10.0
Y1050171,-0.589826700263,-0.535506510819,0.365618566036,-0.470778373951,-0.353842371409,0.366164811256,10.0
Y1050172,-0.647249476904,-0.535506510819,-0.367288139208,-0.694044886976,-0.693650114862,-0.914411577836,10.0
Y1050173,-0.256774595307,1.73739916086,0.644243293279,1.50140915778,1.3317386139,2.15897175598,70.0
Y1050174,-0.555373034224,-0.535506510819,-0.397957664732,1.18139382244,-0.505241861195,0.878395366893,80.0
Y1050175,-0.208151672783,-0.0484552978947,1.88550256206,0.087387908614,0.422933865515,0.110049533438,30.0
Y1050176,0.262520054404,-0.535506510819,1.78326702601,1.37489146706,0.382121488862,-0.146065744381,90.0
Y1050177,0.744678631092,1.85104444683,0.635005245006,-0.731255972481,-0.184947829452,0.878395366893,20.0
Y1050178,-0.647249476904,-0.535506510819,-0.961078966259,-1.05127130782,-0.693650114862,-1.17052685565,20.0
Y1050179,0.416625685273,2.53960116463,2.25516604123,1.92561553253,1.17242281106,-0.146065744381,95.0
Y1050180,-0.647249476904,-0.535506510819,-0.944684625629,0.161810079623,-0.693650114862,-0.402181022199,40.0
Y1050181,-0.647249476904,-0.535506510819,-0.961078966259,-0.64194936727,-0.693650114862,-1.17052685565,20.0
