username,hw_mean,qz_mean,indicator,predict_score,real_score
101302503.0,-0.248901678416,-0.480780906295,1.0,68.07865969,61.0
102602012.0,6.49514922575,1.36613880447,0.0,43.4749653149,52.57
103602527.0,-0.342588589473,-0.0303421291174,0.0,56.7326446167,47.15
104602001.0,-0.565845019351,0.135062646638,1.0,73.5871311828,58.21
104602002.0,-0.0167491843393,-0.44295901521,1.0,67.559571841,69.33
104602003.0,0.070475823474,-0.472332368909,1.0,67.0511301487,55.3
104602005.0,-0.657443471448,0.0434641945408,1.0,73.2405764877,74.12
104602006.0,0.0228628144743,-0.67540986051,1.0,65.7530573815,61.13
104602007.0,-1.11931429864,0.59211250269,1.0,78.7596941372,85.72
104602008.0,-0.958282966992,0.247884266842,1.0,75.7356593618,72.53
104602009.0,-1.05092564839,0.427304429203,1.0,77.3415368908,79.78
104602010.0,-1.29316761178,0.495991430671,1.0,78.660901967,76.68
104602011.0,-0.657443471448,0.0434641945408,1.0,73.2405764877,70.97
104602012.0,-0.88069990128,0.208868970684,1.0,75.1907382262,88.14
104602013.0,-0.822251544931,0.111852844781,1.0,74.2939393181,66.43
104602014.0,2.28772950608,-0.664778162615,0.0,43.2076263015,50.89
104602016.0,0.158745060729,-0.772724337636,0.0,49.6859313974,25.71
104602017.0,-0.808683685184,0.35861742791,1.0,76.0221718165,52.83
104602018.0,-0.390798301095,-0.078551840739,1.0,71.454572239,54.02
104602019.0,-0.0111823349447,-0.631722768807,1.0,66.1832171144,80.67
104602020.0,-0.780354560573,0.542411034772,1.0,77.247285699,77.99
104602021.0,0.351583907424,-0.579885490941,0.0,50.4155202301,80.61
104602022.0,-1.05634332216,0.57735123804,1.0,78.4389727294,83.56
104602023.0,-0.370870362921,1.02962747355,1.0,79.3554997458,95.5
104602024.0,1.06752180061,0.757910331605,1.0,72.5002656906,72.67
104602025.0,0.994414004263,-0.364582720475,1.0,64.677620144,61.38
104602026.0,4.33992411497,0.532361793529,0.0,44.823292077,25.57
104602027.0,-0.973790109715,0.504439967882,1.0,77.6333724239,57.3
104602028.0,-1.02652244126,0.37397539522,1.0,76.8748977165,104.16
104602029.0,-0.147362932811,-0.45697440182,1.0,67.9038560479,67.13
104602030.0,0.629661127578,-1.15686292353,0.0,45.3189687486,54.11
104602031.0,0.551332184005,-0.924262902595,0.0,47.2584843305,50.2
104602032.0,-1.1385981832,0.572828618126,0.0,63.7824104241,51.06
104602033.0,0.494572110354,-0.00936996163918,1.0,68.9351444677,82.94
104602035.0,-1.21091275074,0.500514050589,1.0,78.413139442,80.48
104602037.0,-0.832191838439,0.179644792403,1.0,74.8152976554,61.61
104602501.0,-0.0209734530345,-0.602647766157,0.0,51.5213317325,56.93
104602502.0,-0.0946306010579,-0.326509828937,1.0,68.6623307561,67.38
104602503.0,1.3232842728,-0.30777529605,0.0,49.0611641019,48.27
104602504.0,-0.00695806642883,-0.472034017689,1.0,67.3171323944,71.49
104602505.0,-0.716786881859,0.372781990105,1.0,75.8108887329,81.71
104602506.0,-0.153078957624,-0.229493703251,1.0,69.5591296633,63.62
104602507.0,0.220224280875,-0.400316152987,0.0,52.1543988824,39.87
104602508.0,0.0945806791763,-0.448227513206,1.0,67.1423287523,60.32
104602509.0,0.973143485557,-1.1243095304,0.0,44.3826378099,47.45
104602510.0,-0.69119026943,0.0097173965584,1.0,73.1128984427,70.1
104602511.0,-0.671608033642,-0.0484326087834,1.0,72.6280195468,78.77
104602513.0,-1.20097245701,0.432722103184,1.0,77.8917811055,93.69
104602514.0,-0.599591817333,0.101315848655,1.0,73.4594531379,74.75
104602515.0,0.942773252981,0.477697301721,1.0,70.910357393,60.84
104602516.0,-0.919566021845,0.247735091249,1.0,75.6026582384,56.89
104602517.0,-0.619919931587,0.353050578516,1.0,75.3389264802,82.97
104602519.0,-1.10907565369,0.446886665382,1.0,77.680498022,94.97
104602520.0,2.1377300484,0.584402720682,0.0,52.7015146968,48.24
104602521.0,-0.584979728276,0.0770618173224,1.0,73.235253412,80.87
104602522.0,0.688306010723,-0.0488327846509,0.0,53.0868951339,59.34
104602524.0,0.550138778932,-0.614527342815,1.0,64.3941602775,68.02
104602525.0,0.994264828633,-0.325865775716,0.0,50.0522142018,59.69
104602526.0,-0.637861235447,-0.0146858105884,1.0,72.7556975926,76.48
