username,forum_avg_count,video_stop_backward_seek_avg,watched_time_weekday,qz_mean,watched_time_hour,mt_online_num_day,video_avg_count,video_stop_backward_seek_sum,hw_mean,final_score
Y1050160,-0.152691298308,-0.650293661385,-0.749885861893,-0.263966257444,0.075041131768,-0.686868244986,-0.0615571054069,-0.607556011783,-0.674853814485,30
Y1050161,-0.152691298308,-0.650293661385,-1.29847039612,0.25547089961,-0.844299274501,-0.686868244986,-0.597004140609,-0.607556011783,-0.674853814485,40
Y1050162,-0.152691298308,0.0463120579318,2.17589832102,-0.0237963890173,0.920413846969,-0.686868244986,2.51098781377,0.285026276141,-0.674853814485,30
Y1050164,-0.152691298308,0.132312761585,-1.4813319079,-1.50391301944,-1.00151448791,-0.686868244986,-0.85218663796,-0.161264866482,-0.674853814485,0
Y1050165,-0.152691298308,-0.650293661385,-1.4813319079,-1.50391301944,-0.998405648649,-0.686868244986,-0.767125805536,-0.607556011783,-0.674853814485,0
Y1050166,-0.152691298308,-0.650293661385,-0.932747373668,-0.582330966606,-0.936429465985,-0.686868244986,-0.782393134402,-0.607556011783,-0.674853814485,20
Y1050167,-0.152691298308,0.523615973071,0.713006229017,0.0934958722529,-0.458316185657,0.109791804895,-0.525029590087,-0.161264866482,-0.220217356372,30
Y1050168,-0.152691298308,1.43665678109,-0.201301327665,-1.12410950687,-0.34470033178,-0.527536234628,-0.695151254975,1.17760856674,-0.31321117723,10
Y1050169,-0.152691298308,-0.650293661385,-0.201301327665,-1.50391301944,-0.616773618351,-0.686868244986,-0.11063066259,-0.607556011783,-0.674853814485,0
Y1050170,-0.152691298308,-0.650293661385,1.07872925257,-1.50391301944,-0.487919038414,0.109791804895,-0.134076917994,-0.607556011783,0.493768535771,10
Y1050171,-0.152691298308,-0.650293661385,-0.201301327665,-1.06825604901,0.220899594743,-0.527536234628,-0.571376838516,-0.607556011783,-0.488866172418,10
Y1050172,-0.152691298308,-0.063338858244,-1.29847039612,-0.98447586239,-0.769805898193,-0.527536234628,0.0834825189815,-0.161264866482,-0.674853814485,10
Y1050173,-0.152691298308,0.914919184556,0.895867740793,1.41722282087,0.650630399757,-0.368204225225,0.477161500025,-0.161264866482,-0.302878530702,70
Y1050174,-0.152691298308,-0.650293661385,0.347283206564,1.28875986783,0.223405415685,1.06578386513,-0.417067764284,-0.607556011783,1.68243622094,80
