username,forum_num_days,forum_avg_count,forum_sum_count,video_stop_backward_seek_avg,watched_time_hour,qz_mean,watched_time_weekday,mt_online_num_day,indicator,predict_score,real_score
Y1050160,-0.318244326372,-0.290749018567,-0.241771247991,-0.0590244084395,-0.405875876088,0.742559953933,-0.0235712563808,-0.00870606081075,0.0,27.328501902,30.0
Y1050161,-0.31991647434,-1.26171720208,0.432891156922,0.255378141137,-1.301519983,-0.0262458988916,-0.00707637007842,-0.0105276840209,0.0,33.4488034703,40.0
Y1050162,-0.302966642651,1.72983740411,-1.90355398514,-0.366861912316,1.06536965821,0.0534077206818,0.00187729589064,0.00543018696359,0.0,25.8907252306,30.0
Y1050163,-0.589678653555,-2.15173919432,0.190215466782,0.0492800637724,0.150539223425,0.2710019652,-0.0203739960671,-0.00577643197765,0.0,6.99250191052,0.0
Y1050164,-0.589678653555,-2.15173919432,0.190215466782,0.0492800637724,0.150539223425,0.2710019652,-0.0203739960671,-0.00577643197765,0.0,6.99250191052,0.0
Y1050165,-0.589678653555,-2.15173919432,0.190215466782,0.0492800637724,0.150539223425,0.2710019652,-0.0203739960671,-0.00577643197765,0.0,6.99250191052,0.0
Y1050166,-0.457792564584,-1.3133223417,-0.06146163215,0.1146697817,-0.268442313324,-0.219580265548,-0.00340481288685,-0.004167625198,0.0,20.2404781499,20.0
Y1050167,-0.241510327872,0.257295851438,-0.584690207001,0.128763424344,-0.745902531515,-0.666307027947,0.0158080211072,-0.00210845861025,0.0,39.804408061,30.0
Y1050168,-0.52177978519,-0.857914244983,-0.682860721377,-0.0456026944803,0.604502434588,-0.353739965615,0.00120168807649,0.00172489693921,0.0,12.8714426831,10.0
Y1050169,-0.538429143635,-0.735318574693,-0.794421896449,-0.146841962318,0.887928517081,0.0169996466173,-0.00815970473608,0.00136109943327,0.0,9.155051531,0.0
Y1050170,-0.521126634738,-0.481467702743,-0.893490219161,0.0447008388563,1.12842856007,-0.329531067688,0.00732432445555,0.00697323869529,0.0,9.98681331887,10.0
Y1050171,-0.414315174603,-0.81013664101,-0.218067486694,-0.0314895222795,-0.109737707005,0.446606400029,-0.0185685515637,-0.00626480940857,0.0,20.2823118378,10.0
