username,mt_online_num_day,qz_mean,final_score
Y1050160,-0.455767448815,0.255335878614,30.0
Y1050161,-0.455767448815,0.552724345062,40.0
Y1050162,-0.455767448815,0.552724345062,30.0
Y1050163,-0.455767448815,-1.97507761974,0.0
Y1050164,-0.455767448815,-1.97507761974,0.0
Y1050165,-0.455767448815,-1.97507761974,0.0
Y1050166,-0.455767448815,0.552724345062,20.0
Y1050167,0.834901432785,0.701418578286,30.0
Y1050168,-0.197633672495,-0.934217987177,10.0
Y1050169,-0.455767448815,-1.97507761974,0.0
Y1050170,0.576767656465,-1.97507761974,10.0
Y1050171,-0.197633672495,-1.97507761974,10.0
Y1050172,-0.197633672495,-1.97507761974,10.0
Y1050173,-0.197633672495,0.998807044733,70.0
Y1050174,-0.197633672495,0.998807044733,80.0
Y1050175,-0.455767448815,-0.785523753953,30.0
Y1050176,-0.197633672495,0.404030111838,90.0
Y1050177,-0.197633672495,0.850112811509,20.0
Y1050178,-0.197633672495,0.850112811509,20.0
Y1050179,-0.197633672495,0.344552418548,95.0
Y1050180,-0.197633672495,0.701418578286,40.0
Y1050181,-0.455767448815,0.255335878614,20.0
Y1050182,-0.197633672495,0.404030111838,90.0
Y1050183,-0.455767448815,-0.993695680466,10.0
Y1050184,-0.197633672495,0.701418578286,10.0
Y1050185,0.318633880145,0.998807044733,99.0
Y1050186,-0.197633672495,0.998807044733,85.0
Y1050187,-0.455767448815,0.701418578286,20.0
Y1050188,2.12557031438,0.79063511822,45.0
Y1050189,-0.197633672495,0.0471639521007,91.0
Y1050190,-0.197633672495,0.939329351444,90.0
Y1050191,-0.455767448815,-0.785523753953,40.0
Y1050192,0.318633880145,0.998807044733,70.0
Y1050193,-0.197633672495,0.701418578286,20.0
Y1050194,-0.197633672495,-0.0420525878336,20.0
Y1050195,-0.197633672495,0.404030111838,40.0
Y1050196,-0.455767448815,-0.934217987177,10.0
Y1050197,-0.197633672495,-0.0420525878336,80.0
Y1050198,-0.455767448815,0.10664164539,20.0
Y1050199,-0.197633672495,0.701418578286,30.0
Y1050200,0.834901432785,-0.636829520729,30.0
Y1050201,0.318633880145,0.850112811509,68.0
Y1050202,-0.197633672495,0.998807044733,75.0
Y1050203,-0.455767448815,0.314813571904,10.0
Y1050204,-0.455767448815,0.909590504799,90.0
Y1050205,-0.197633672495,0.850112811509,88.0
Y1050206,-0.197633672495,0.701418578286,70.0
Y1050207,-0.455767448815,0.998807044733,40.0
Y1050208,-0.197633672495,0.255335878614,70.0
Y1050209,-0.197633672495,0.701418578286,85.0
Y1050210,-0.455767448815,-0.339441054281,20.0
Y1050211,1.86743653806,0.998807044733,40.0
Y1050212,-0.455767448815,-0.190746821057,20.0
Y1050213,-0.455767448815,-1.38030068685,10.0
Y1050214,-0.197633672495,-0.934217987177,20.0
Y1050215,-0.455767448815,0.850112811509,20.0
