username,qz_mean,video_stop_backward_seek_sum,watched_time_weekday,watched_time_hour,final_score
Y1050160,0.050928545819,-0.579869113206,-0.366754830507,0.561573306922,30.0
Y1050161,0.538791157639,-0.579869113206,-0.966047830144,-0.621611250882,40.0
Y1050162,-0.134122789699,0.0545176089339,2.62971016768,1.18892151325,30.0
Y1050163,-1.6061220495,-0.579869113206,-1.56534082978,-1.26233383132,0.0
Y1050164,-1.6061220495,0.0545176089339,-1.16581216336,-0.823946111487,0.0
Y1050165,-1.6061220495,-0.579869113206,-1.16581216336,-0.819945057192,0.0
Y1050166,-0.218237033116,-0.579869113206,-0.566519163719,-0.740182151318,20.0
Y1050167,0.799545312232,0.0545176089339,1.23135983519,-0.124853763514,30.0
Y1050168,-1.101436589,1.95767777535,0.23253816913,0.0213690315812,10.0
Y1050169,-1.6061220495,-0.579869113206,0.23253816913,-0.328787351257,0.0
Y1050170,-1.6061220495,-0.579869113206,1.63088850162,-0.16295242415,10.0
Y1050171,-0.950030950846,-0.579869113206,-0.566519163719,0.140959573571,10.0
Y1050172,-0.82385958572,0.0545176089339,-0.966047830144,-0.525738806078,10.0
Y1050173,1.11076801288,-0.579869113206,1.03159550198,0.542369216317,70.0
Y1050174,1.11917943722,-0.579869113206,0.831831168767,0.752517084337,80.0
Y1050175,-0.563105431126,0.0545176089339,-0.366754830507,2.08483576278,30.0
Y1050176,1.05188804248,-0.579869113206,-0.566519163719,1.15093121915,90.0
Y1050177,-0.150945638382,0.0545176089339,-0.166990497295,0.733612968854,20.0
Y1050178,0.0341056971356,-0.579869113206,0.831831168767,-0.467294385267,20.0
Y1050179,1.48928210825,5.12961138605,-0.766283496931,1.58652378417,95.0
Y1050180,0.54720258198,0.0545176089339,-0.966047830144,-0.588323377665,40.0
Y1050181,0.160277062261,-0.579869113206,-1.56534082978,-1.26233383132,20.0
Y1050182,1.12759086156,1.95767777535,-0.766283496931,1.56925652331,90.0
Y1050183,-1.32854504622,-0.579869113206,-1.56534082978,-1.26233383132,10.0
Y1050184,-0.655631098885,-0.579869113206,-1.56534082978,-1.26233383132,10.0
Y1050185,1.41357928918,1.32329105321,0.432302502342,0.562084748116,99.0
Y1050186,1.32105362142,-0.579869113206,-0.766283496931,0.256713340751,85.0
Y1050187,-0.260294154825,-0.579869113206,-1.16581216336,-0.512423625462,20.0
Y1050188,0.765899614865,-0.579869113206,-0.366754830507,2.00568291716,45.0
Y1050189,1.31264219708,-0.579869113206,2.03041716804,1.54184220093,91.0
Y1050190,1.19488225629,1.32329105321,0.632066835554,1.78196533227,90.0
Y1050191,-0.251882730483,-0.579869113206,1.03159550198,-0.76064800445,40.0
Y1050192,0.631316825398,-0.579869113206,0.632066835554,1.41051796125,70.0
Y1050193,-0.554694006785,0.0545176089339,-0.566519163719,-0.0599243353646,20.0
Y1050194,-0.470579763368,-0.579869113206,1.03159550198,2.63033524301,20.0
Y1050195,0.328505549096,-0.579869113206,-0.766283496931,1.68147794083,40.0
Y1050196,-1.14349371071,-0.579869113206,0.0327738359176,-0.38442392555,10.0
Y1050197,0.858425282624,3.22645121963,-0.166990497295,1.68069665514,80.0
Y1050198,-0.352819822584,0.688904331074,0.23253816913,2.10460227956,20.0
Y1050199,0.160277062261,0.0545176089339,-0.766283496931,0.34940664876,30.0
Y1050200,-0.588339704152,0.0545176089339,0.23253816913,0.689179043919,30.0
Y1050201,0.715431068815,0.0545176089339,-0.566519163719,1.74780146901,68.0
Y1050202,1.00141949643,0.688904331074,-0.566519163719,1.35596803003,75.0
Y1050203,-0.958442375187,-0.579869113206,-0.566519163719,-0.824582752624,10.0
Y1050204,1.16123655893,1.95767777535,-0.366754830507,-0.846231005671,90.0
Y1050205,1.21170510498,0.0545176089339,0.632066835554,1.05653595809,88.0
Y1050206,1.12759086156,-0.579869113206,-0.366754830507,0.407040836723,70.0
Y1050207,0.900482404333,-0.579869113206,2.23018150125,0.777681232409,40.0
