username,qz_mean,seek_video_avg,mt_online_num_day,indicator,predict_score,real_score
Y1050183,-1.93591946056,0.0147235886918,-0.0921907308837,0.0,9.60355810145,10.0
Y1050184,-1.22436638834,0.247321767989,-0.657575489842,0.0,20.5812749645,10.0
Y1050185,0.945620150753,1.99037635506,-0.422752111442,1.0,80.996353991,99.0
Y1050186,1.98547131913,-0.732323836998,0.0585559854643,1.0,86.4348732832,85.0
Y1050187,0.647957955883,-0.665043761544,-0.388252369796,0.0,35.8034957476,20.0
Y1050188,1.01822336566,1.68235595054,-0.31691421896,0.0,39.248174706,45.0
Y1050189,1.5450251196,-0.698767469162,0.341553159388,1.0,80.1875539945,91.0
Y1050190,1.88569453744,-1.00106094652,0.903278292249,1.0,79.039769898,90.0
Y1050191,-0.2587320627,-0.503414139667,0.634870600793,0.0,19.6242751104,40.0
Y1050192,1.21093655873,2.92079379337,0.231374388419,1.0,78.7236853049,70.0
Y1050193,0.29212891718,-0.466037890266,0.056792793192,0.0,29.1547155344,20.0
Y1050194,0.720321391809,-0.905085198304,0.929753727063,0.0,26.4333616788,20.0
Y1050195,1.29088210379,-0.755232082199,0.719045519953,0.0,33.3882141893,40.0
Y1050196,-1.34483955575,-0.355896468689,0.447758909992,0.0,10.9418955424,10.0
Y1050197,0.659255948626,-0.302433671709,-0.0182667685937,1.0,74.7399160908,80.0
Y1050198,0.902322901806,-1.18922027696,0.874284002425,0.0,28.4878152452,20.0
Y1050199,0.644042533156,0.276312986995,-0.236092781224,0.0,34.8263177652,30.0
Y1050200,0.96398844993,-0.165389716158,1.43921285985,0.0,25.0122204118,30.0
Y1050201,0.909356284453,-0.181582349782,0.127822370438,1.0,75.9934186363,68.0
Y1050202,-0.015756033531,0.132896887342,-1.37101753077,1.0,78.7944576007,75.0
Y1050203,-0.866204275373,-0.334905768607,-0.0220814043808,0.0,18.9742291692,10.0
Y1050204,0.860482593326,-0.708595700848,-0.447516060684,1.0,79.7795844521,90.0
Y1050205,-0.104762812877,0.0320609658215,-1.00982731729,1.0,75.2031879144,88.0
Y1050206,0.578243795074,-0.136256591374,-1.12019941801,1.0,82.3747219519,70.0
Y1050207,1.06530876788,-0.778921395167,-0.424544856062,0.0,39.9470316441,40.0
Y1050208,1.54928273557,-1.12908673211,0.851488724393,1.0,76.2644686587,70.0
Y1050209,0.734025346912,-0.232047519594,-0.281229233317,1.0,77.4468482249,85.0
Y1050210,-0.46126446352,-0.218011493453,-0.699622510959,0.0,27.9150776876,20.0
Y1050211,1.26247900882,0.657735111036,1.66597298294,0.0,26.2644627929,40.0
Y1050212,0.266825222279,-1.0122101669,0.919350682942,0.0,22.256580646,20.0
Y1050213,-2.08406847592,0.00822646723779,0.0532360330889,0.0,7.1173595979,10.0
Y1050214,-0.940980592345,-0.136792310873,0.184414353131,0.0,16.7559693596,20.0
Y1050215,-0.518244854041,-0.22051038632,-0.6436891402,0.0,26.9588474939,20.0
Y1050216,-0.947492978712,-0.735012761818,1.17788201145,0.0,9.02905032479,10.0
Y1050217,-2.0270880854,0.0107253601047,-0.00269733766982,0.0,8.07358979157,10.0
Y1050218,-1.45880033679,-0.360894254423,0.55962565151,0.0,9.02943515501,10.0
Y1050219,0.453901857968,-0.373025843032,-0.344710707882,0.0,33.7287666746,20.0
Y1050220,-0.345781866284,-0.49232886782,-0.0237735514596,0.0,23.8073632248,30.0
Y1050221,0.169435213524,0.113298118492,-0.772504001138,1.0,75.9809877689,80.0
Y1050222,-0.579786166158,0.0741972389244,-1.42340495494,0.0,32.3618367109,50.0
Y1050223,-0.514764780893,-0.415507021769,0.606156595016,0.0,17.4728533822,20.0
Y1050224,0.531160209773,-0.224747288545,-0.829841731145,1.0,79.7143566424,68.0
Y1050225,1.24548432065,-0.56650517267,0.224861456944,1.0,78.307109052,75.0
Y1050226,0.0538529734996,0.127137566635,-1.41445483522,0.0,38.2182386117,40.0
Y1050227,-0.631875066661,-0.179885255448,0.0410127252114,0.0,20.7174394711,10.0
Y1050228,-0.0249902661468,0.0355594158352,-1.08813403636,1.0,76.5419101856,66.0
Y1050229,0.617833323018,0.0824937692948,-1.0700958673,1.0,82.4137600941,99.0
Y1050230,-2.311990038,-0.00176910422988,0.276969516124,0.0,3.2924388232,0.0
Y1050231,-1.54626381244,1.03877604178,0.190780888509,0.0,11.3257436486,10.0
Y1050232,-0.00769557426369,-0.792933165313,0.535395568121,0.0,22.6552343771,10.0
Y1050233,-0.283732527416,-0.970264706921,1.27309715007,0.0,14.4474315348,10.0
Y1050234,-1.35533772185,1.85272035137,0.535736930032,0.0,10.6762840757,10.0
Y1050235,-0.47666116527,-0.11018589564,1.11498216073,0.0,14.0402792587,10.0
Y1050236,-0.547619795035,2.290928667,0.00904781630965,0.0,22.3044317101,20.0
Y1050237,-2.08467493856,-0.150416950041,0.501898711795,0.0,3.67477696858,0.0
Y1050238,2.53274341961,3.85449916007,2.07600675624,0.0,35.7312742547,40.0
Y1050239,-1.79417029355,0.22233283932,-0.0982417822549,0.0,11.0189730278,10.0
Y1050240,0.00840125913983,0.921172422182,1.99747777374,0.0,12.1096672906,10.0
Y1050241,0.814575733658,-0.248707552297,1.1007337168,0.0,26.165087524,20.0
Y1050242,0.291067607554,-0.743663870504,0.841952480928,0.0,23.1301959331,20.0
Y1050243,-1.10307645187,-0.0368722762376,-0.660803864154,0.0,21.6732225835,10.0
Y1050244,-0.547720551098,-0.479555385831,0.113354398077,0.0,20.8865356245,10.0
Y1050245,-1.28710108693,-0.155093304224,-0.16900280915,0.0,16.2013540227,10.0
Y1050246,-0.899494597677,1.8727114943,0.0882699639624,0.0,18.326125625,30.0
Y1050247,-0.15674697364,0.231173980702,-0.825704908085,0.0,31.8137299918,30.0
Y1050248,0.49227352698,0.944357252597,-0.589041094386,0.0,36.236726642,30.0
Y1050249,1.02651650924,3.83892459555,-0.0980264292298,0.0,38.1537790948,30.0
Y1050250,-1.07245763243,4.08044690806,1.72208286994,0.0,4.82629192708,10.0
Y1050251,-2.311990038,-0.00176910422988,0.276969516124,0.0,3.2924388232,0.0
Y1050252,-0.950280899962,-0.470773659459,0.433839772029,0.0,14.7029393614,10.0
Y1050253,0.600620331672,-0.906329251339,1.03594043957,0.0,24.5112462898,10.0
Y1050254,0.95528619182,3.97110322252,0.291683219318,0.0,34.5648585352,20.0
Y1050255,1.06444152038,0.56412115039,-0.70770230664,0.0,42.3889927641,40.0
Y1050256,1.24122685327,-0.0286038373342,0.815015811632,0.0,32.3616534187,30.0
Y1050257,0.19711106147,-0.483422996732,0.187403634724,0.0,27.2741166598,40.0
Y1050258,0.763882653465,-1.25165115446,1.87138332067,0.0,19.6235054499,10.0
Y1050259,1.67657935183,1.79678031016,0.199148788703,1.0,83.0586487688,80.0
Y1050260,1.18813454838,-0.938760686706,-0.0783768694284,0.0,38.4328401576,50.0
Y1050261,0.356076541051,0.253664016504,-1.32910524491,1.0,81.9734919253,82.0
Y1050262,1.08838469089,-0.264973230286,-0.492167721892,0.0,40.791134547,50.0
Y1050263,0.0796702072794,-0.293424147016,-0.950575358975,0.0,34.8476503842,40.0
Y1050264,0.142404905862,0.108990925197,-1.43914803967,0.0,39.227571326,40.0
Y1050265,0.492970388495,-0.563692957852,-0.541613184617,0.0,35.5428106492,20.0
Y1050266,0.777665504502,0.143094019031,-0.676380344347,0.0,39.3805718062,40.0
Y1050267,0.869331953668,-0.320528380161,-0.147342807376,0.0,36.1207402637,30.0
Y1050268,0.289103691015,-0.152058691858,-1.52954995105,1.0,82.7763368086,60.0
Y1050269,-1.74218613279,0.0232198244393,-0.282364191463,0.0,12.8547407599,10.0
Y1050270,1.47352610333,1.78034755254,-0.282260429686,0.0,43.2559162111,40.0
Y1050271,-2.311990038,-0.00176910422988,0.276969516124,0.0,3.2924388232,0.0
Y1050272,-2.311990038,-0.00176910422988,0.276969516124,0.0,3.2924388232,0.0
Y1050273,0.428512696704,-0.668424060714,1.2135158869,0.0,21.6130433227,40.0
Y9999986,1.57073157131,-0.699673653209,0.322063518087,0.0,39.0212576515,58.0
Y9999987,-2.311990038,-0.00176910422988,0.276969516124,0.0,3.2924388232,27.0
Y9999988,-0.26837482901,-0.26462754274,-0.733388837812,0.0,29.9602943746,33.0
Y9999989,-0.146735198197,0.0931888247129,-1.84849857271,0.0,39.6291861828,59.0
Y9999990,0.795639504121,-0.666192949998,-0.511678555546,1.0,79.6705200453,63.0
Y9999991,0.206928488072,-0.535681977564,-0.375390007703,0.0,31.6201329616,36.0
Y9999992,-0.0843501939543,-0.146406514754,-1.22518989282,0.0,35.4321629355,38.0
Y9999993,-0.124767046699,-0.233177694428,-0.243411728446,0.0,27.5931166118,49.0
Y9999994,-1.62822535175,0.0282176101731,-0.394230932981,0.0,14.7672011473,20.0
Y9999995,0.866342055167,-0.831707370966,-0.104771017941,0.0,35.6545777944,57.0
Y9999996,-0.545597931845,0.0756965746445,-1.4569649774,0.0,32.9355748271,54.0
Y9999997,-0.511409697532,0.0771959103646,-1.49052499985,0.0,33.5093129433,58.0
Y9999998,0.698017574937,-0.817059178798,-0.00177109556072,0.0,33.3065228071,49.0
Y9999999,0.620604878079,-0.36883680058,-1.20152820699,1.0,83.3339132713,73.0
