username,qz_mean,seek_video_avg,mt_online_num_day,indicator,predict_score,real_score
Y1050160,1.21609408883,-1.07632423039,0.28623628906,0.0,35.8986954538,30.0
Y1050161,0.136650597801,-0.29092525415,-1.00650872973,0.0,35.8038805779,40.0
Y1050162,0.83119637347,-1.26198860594,1.14085110146,0.0,25.7870103245,30.0
Y1050163,-2.311990038,-0.00176910422988,0.276969516124,0.0,3.2924388232,0.0
Y1050164,-2.12256078809,-0.12564230932,0.464410512892,0.0,3.61105394499,0.0
Y1050165,-1.55427303949,-0.497261923848,1.02673350207,0.0,4.56689930844,0.0
Y1050166,-0.0527786521127,-0.167052049059,-1.1939497265,0.0,35.4852654561,20.0
Y1050167,0.653941868106,0.792798615103,-1.00157765248,0.0,40.838152273,30.0
Y1050168,-0.808531732953,-0.263164408831,0.427788720658,0.0,16.1183542877,10.0
Y1050169,-1.07208949663,-0.812575535251,1.50385603695,0.0,5.37791961444,0.0
Y1050170,-1.05496068932,0.399418874877,1.57545283617,0.0,5.26897770428,10.0
Y1050171,-1.94003828181,-0.000359911742357,0.655946814583,0.0,3.89050167716,10.0
Y1050172,-0.884758280129,-0.332597689605,0.689309330755,0.0,13.4089712666,10.0
Y1050173,1.05151368797,-0.525261312368,-0.427265587303,1.0,81.4499684407,70.0
Y1050174,0.697352421534,0.110013956427,-1.21604279076,1.0,84.2682904581,80.0
Y1050175,-0.0935451991978,-0.895833640413,0.89970979845,0.0,19.0692749432,30.0
Y1050176,0.897030900402,-0.094002428312,-0.109005034092,1.0,77.693468945,90.0
Y1050177,1.40423642218,-0.908877713744,1.05584145714,0.0,31.8580919473,20.0
Y1050178,1.71841507608,-0.842087206175,-0.10431109125,0.0,43.5991611477,20.0
Y1050179,1.6172749319,-0.421854602398,0.199342803522,1.0,82.0023071816,95.0
Y1050180,-0.256609443447,0.0518378208085,-0.93544877468,0.0,31.673314313,40.0
Y1050181,-0.545597931845,0.0756965746445,-1.4569649774,0.0,32.9355748271,20.0
Y1050182,0.866062091366,-0.602789209245,-0.0491922104036,1.0,76.836090411,90.0
