evaluation_num,kfold_split_num,username,video_backward_seek_avg,video_stop_backward_seek_avg,watched_time_hour,qz_mean,video_pause_backward_seek_avg,watched_time_weekday,label_val_predict,label_val_test
1,1,Y1050170,-0.450371385328,-0.535506510819,-0.940182740431,-1.05127130782,-0.451410931091,0.366164811256,13.2219538676,10.0
1,1,Y1050171,-0.589826700263,-0.535506510819,0.365618566036,-0.470778373951,-0.353842371409,0.366164811256,22.223330908,10.0
1,1,Y1050176,0.262520054404,-0.535506510819,1.78326702601,1.37489146706,0.382121488862,-0.146065744381,75.2910816958,90.0
1,1,Y1050185,0.0646243500979,1.32799379693,0.753606983059,1.6576957169,0.102643380557,-0.146065744381,80.8970429807,99.0
1,1,Y1050186,2.45358046665,-0.0109898163058,0.130912721468,1.20372047374,1.25565066501,0.366164811256,77.3789521553,85.0
1,1,Y1050207,0.163455725293,0.10374820998,1.43337779517,0.459498763657,-0.241898506323,1.64674120035,39.8375213699,40.0
1,1,Y1050224,0.214092174084,2.75208919517,0.467524881924,1.49396694068,0.467079305889,1.39062592253,80.741849146,68.0
1,1,Y1050253,-0.647249476904,-0.535506510819,-0.802578507899,-1.05127130782,-0.580605162549,-0.402181022199,11.6490012627,10.0
1,1,Y1050257,-0.302712816509,-0.535506510819,-0.779164608655,0.995338394919,-0.55234392447,-0.402181022199,49.8120641645,40.0
1,1,Y1050266,-0.607873858534,0.084376855424,0.884722260055,0.853936270003,-0.143106515948,1.13451064471,47.3851721258,40.0
1,1,Y1050269,-0.647249476904,-0.535506510819,-0.961078966259,-1.05127130782,-0.693650114862,-1.17052685565,10.5936976477,10.0
1,1,Y9999992,-0.324445128976,0.316833116913,1.75492667914,0.109714559917,-0.101794571043,0.878395366893,31.928418037,38.0
1,1,Y9999997,-0.509434812746,0.251268527542,0.986418785819,1.51629359198,-0.176735162276,0.110049533438,58.0384869079,58.0
1,2,Y1050166,-0.371620148588,-0.535506510819,-0.878885189268,-1.05127130782,1.5672489314,-0.402181022199,14.5543103186,20.0
1,2,Y1050168,-0.647249476904,-0.535506510819,-0.961078966259,-0.991733571011,-0.693650114862,-1.17052685565,11.7555308642,10.0
1,2,Y1050195,0.404382421796,0.146365191366,1.33997206852,0.273443336136,1.04985088065,-0.146065744381,37.1903664967,40.0
