username,qz_mean,seek_video_avg,mt_online_num_day,final_score
Y1050160,0.633335194452,1.42014410454,-0.548969169263,30.0
Y1050161,0.793104419699,-0.431264354039,-0.548969169263,40.0
Y1050162,-0.245395544402,1.79539905494,-0.548969169263,30.0
Y1050163,-1.84308779686,-1.31288742955,-0.548969169263,0.0
Y1050164,-1.84308779686,-1.01901307046,-0.548969169263,0.0
Y1050165,-1.84308779686,-0.137389994947,-0.548969169263,0.0
Y1050166,0.793104419699,-0.72513871313,-0.548969169263,20.0
Y1050167,1.19252748281,-0.551485682197,0.577121434353,30.0
Y1050168,-0.884472445386,-0.137389994947,-0.32375104854,10.0
Y1050169,-1.84308779686,0.610653824508,-0.548969169263,0.0
Y1050170,-1.84308779686,0.156484362381,0.577121434353,10.0
Y1050171,-1.84308779686,-0.832002115154,-0.32375104854,10.0
Y1050172,-1.12412628326,0.00954718371693,-0.32375104854,10.0
Y1050173,1.03275825757,0.626683336575,-0.32375104854,70.0
Y1050174,1.35229670806,-0.372489482926,-0.0985329278164,80.0
Y1050175,-0.72470322014,0.891170259228,-0.548969169263,30.0
Y1050176,0.713219807075,0.548316841758,0.126685192907,90.0
Y1050177,0.233912131337,1.96171256495,-0.0985329278164,20.0
Y1050178,1.27241209544,1.3960998382,-0.32375104854,20.0
Y1050179,1.00080441252,1.34744886879,0.126685192907,95.0
Y1050180,0.473565969206,-0.783913584243,-0.32375104854,40.0
Y1050181,0.633335194452,-1.31288742955,-0.548969169263,20.0
Y1050182,0.633335194452,0.780967374789,-0.32375104854,90.0
Y1050183,-1.31584935355,-1.31288742955,-0.548969169263,10.0
Y1050184,-0.405164769648,-1.31288742955,-0.32375104854,10.0
Y1050185,1.03275825757,-0.49908151288,1.92843015869,99.0
Y1050186,1.35229670806,1.62585615608,-0.0985329278164,85.0
Y1050187,0.713219807075,0.450358721473,-0.548969169263,20.0
Y1050188,1.00080441252,-0.254939738936,1.70321203797,45.0
Y1050189,0.841035187272,1.50830641209,-0.0985329278164,91.0
Y1050190,0.681265962026,2.2136048725,-0.0985329278164,90.0
Y1050191,-0.644818607517,0.450358721473,-0.32375104854,40.0
Y1050192,0.793104419699,-0.303028269847,3.05452076231,70.0
Y1050193,0.154027518714,0.420971285034,-0.32375104854,20.0
Y1050194,-0.165510931778,1.43884519901,-0.32375104854,20.0
Y1050195,0.393681356583,1.60906333475,-0.0985329278164,40.0
Y1050196,-1.2838955085,-0.431264354039,-0.548969169263,10.0
Y1050197,0.473565969206,0.540781602278,-0.0985329278164,80.0
Y1050198,-0.00574170653228,1.64054987341,-0.548969169263,20.0
Y1050199,0.633335194452,0.148087953482,0.35190331363,30.0
Y1050200,-0.325280157025,1.60906333475,0.577121434353,30.0
Y1050201,0.553450581829,0.744233078801,0.126685192907,68.0
Y1050202,0.952873644945,-0.940646575641,-0.32375104854,75.0
Y1050203,-0.612864762468,-0.431264354039,-0.548969169263,10.0
Y1050204,0.904942877371,0.567908465462,-0.548969169263,90.0
Y1050205,0.633335194452,-0.72513871313,-0.32375104854,88.0
Y1050206,1.19252748281,-0.284327175375,-0.32375104854,70.0
