username,mt_online_num_day,qz_mean,indicator,predict_score,real_score
Y1050160,-0.141726522453,-0.502825984949,0.0,27.7373493648,30.0
Y1050161,0.068558878819,-0.713111386221,0.0,30.3311382608,40.0
Y1050162,0.068558878819,-0.713111386221,0.0,30.3311382608,30.0
Y1050163,-1.71886703199,1.07431452459,0.0,8.28393264425,0.0
Y1050164,-1.71886703199,1.07431452459,0.0,8.28393264425,0.0
Y1050165,-1.71886703199,1.07431452459,0.0,8.28393264425,0.0
Y1050166,0.068558878819,-0.713111386221,0.0,30.3311382608,20.0
Y1050167,1.0863422979,0.0943866315885,0.0,31.7906384107,30.0
Y1050168,-0.800339983851,0.520843763827,0.0,17.3947149209,10.0
Y1050169,-1.71886703199,1.07431452459,0.0,8.28393264425,0.0
Y1050170,-0.988754457235,1.80442709935,0.0,8.41401720573,10.0
Y1050171,-1.5363388883,1.25684266828,0.0,8.31645378462,10.0
Y1050172,-1.5363388883,1.25684266828,0.0,8.31645378462,10.0
Y1050173,0.566515124416,-0.84601134444,1.0,82.1945892905,70.0
Y1050174,0.566515124416,-0.84601134444,1.0,82.1945892905,80.0
Y1050175,-0.877725426904,0.233172919502,0.0,18.6590882285,30.0
Y1050176,0.145944321872,-0.425440541896,1.0,77.0070114984,90.0
Y1050177,0.46137242378,-0.740868643804,0.0,32.9574482973,20.0
Y1050178,0.46137242378,-0.740868643804,0.0,32.9574482973,20.0
Y1050179,0.103887241618,-0.383383461642,1.0,76.4882537191,95.0
Y1050180,0.356229723144,-0.635725943168,0.0,31.6605538492,40.0
Y1050181,-0.141726522453,-0.502825984949,0.0,27.7373493648,20.0
Y1050182,0.145944321872,-0.425440541896,1.0,77.0070114984,90.0
Y1050183,-1.02492520779,0.380372700392,0.0,16.8434360013,10.0
Y1050184,0.356229723144,-0.635725943168,0.0,31.6605538492,10.0
Y1050185,0.931571411794,-0.480955057062,1.0,82.2596315712,99.0
Y1050186,0.566515124416,-0.84601134444,1.0,82.1945892905,85.0
Y1050187,0.173701579455,-0.818254086857,0.0,31.6280327089,20.0
Y1050188,2.06206863673,0.943941729653,0.0,32.7313807814,45.0
Y1050189,-0.106398159654,-0.17309806037,1.0,73.8944648231,91.0
Y1050190,0.524458044161,-0.803954264185,1.0,81.6758315113,90.0
Y1050191,-0.877725426904,0.233172919502,0.0,18.6590882285,40.0
Y1050192,0.931571411794,-0.480955057062,1.0,82.2596315712,70.0
Y1050193,0.356229723144,-0.635725943168,0.0,31.6605538492,20.0
Y1050194,-0.169483780036,-0.110012439988,0.0,25.1760816091,20.0
Y1050195,0.145944321872,-0.425440541896,0.0,29.0667649532,40.0
Y1050196,-0.98286812754,0.338315620138,0.0,17.3621937805,10.0
Y1050197,-0.169483780036,-0.110012439988,1.0,73.1163281543,80.0
Y1050198,-0.246869223089,-0.397683284313,0.0,26.4404549167,20.0
Y1050199,0.356229723144,-0.635725943168,0.0,31.6605538492,30.0
Y1050200,0.140057992177,1.04067093731,0.0,20.1185883784,30.0
Y1050201,0.826428711158,-0.375812356426,1.0,80.9627371232,68.0
Y1050202,0.566515124416,-0.84601134444,1.0,82.1945892905,75.0
Y1050203,-0.0996694421985,-0.544883065204,0.0,28.256107144,10.0
Y1050204,0.320901360345,-0.965453867747,1.0,81.3839314813,90.0
Y1050205,0.46137242378,-0.740868643804,1.0,80.8976948425,88.0
Y1050206,0.356229723144,-0.635725943168,1.0,79.6008003944,70.0
Y1050207,0.383986980727,-1.02853948813,0.0,34.2218216049,40.0
Y1050208,0.0408016212362,-0.32029784126,1.0,75.7101170503,70.0
Y1050209,0.356229723144,-0.635725943168,1.0,79.6008003944,85.0
Y1050210,-0.562297324997,-0.0822551824057,0.0,22.5497715726,20.0
Y1050211,2.02674027393,0.614213805073,0.0,34.5145118683,40.0
Y1050212,-0.457154624361,-0.187397883042,0.0,23.8466660207,20.0
Y1050213,-1.29829622945,0.653743722046,0.0,13.4715104364,10.0
Y1050214,-0.800339983851,0.520843763827,0.0,17.3947149209,20.0
Y1050215,0.278844280091,-0.923396787493,0.0,32.9249271569,20.0
Y1050216,-1.71886703199,1.07431452459,0.0,8.28393264425,10.0
Y1050217,-1.19315352881,0.54860102141,0.0,14.7684048844,10.0
Y1050218,-1.19315352881,0.54860102141,0.0,14.7684048844,10.0
Y1050219,0.145944321872,-0.425440541896,0.0,29.0667649532,20.0
Y1050220,-0.352011923725,-0.292540583678,0.0,25.1435604687,30.0
Y1050221,0.398286803398,-0.677783023422,1.0,80.1195581736,80.0
Y1050222,0.320901360345,-0.965453867747,0.0,33.4436849361,50.0
Y1050223,-0.169483780036,-0.110012439988,0.0,25.1760816091,20.0
Y1050224,0.356229723144,-0.635725943168,1.0,79.6008003944,68.0
Y1050225,0.145944321872,-0.425440541896,1.0,77.0070114984,75.0
Y1050226,0.566515124416,-0.84601134444,0.0,34.2543427453,40.0
Y1050227,-0.800339983851,0.520843763827,0.0,17.3947149209,10.0
Y1050228,0.398286803398,-0.677783023422,1.0,80.1195581736,66.0
Y1050229,0.566515124416,-0.84601134444,1.0,82.1945892905,99.0
Y1050230,-1.71886703199,1.07431452459,0.0,8.28393264425,0.0
Y1050231,0.0349152915414,1.14581363795,0.0,18.8216939304,10.0
Y1050232,0.173701579455,-0.818254086857,0.0,31.6280327089,10.0
Y1050233,-0.772582726268,0.128030218866,0.0,19.9559826765,10.0
Y1050234,0.659885165662,1.98106891334,0.0,17.6548840438,10.0
Y1050235,-0.224998295201,0.675614649934,0.0,20.0535460977,10.0
Y1050236,0.46137242378,-0.740868643804,0.0,32.9574482973,20.0
Y1050237,-1.71886703199,1.07431452459,0.0,8.28393264425,0.0
Y1050238,4.47699158494,3.27475051736,0.0,33.6729133854,40.0
Y1050239,-0.695197283215,0.415701063191,0.0,18.6916093689,10.0
Y1050240,0.554742465026,2.08621161398,0.0,16.3579895958,10.0
Y1050241,0.756614373321,0.0590582687897,0.0,29.9424650431,20.0
Y1050242,0.356229723144,-0.635725943168,0.0,31.6605538492,20.0
Y1050243,0.278844280091,-0.923396787493,0.0,32.9249271569,10.0
Y1050244,0.068558878819,-0.713111386221,0.0,30.3311382608,10.0
Y1050245,-0.352011923725,-0.292540583678,0.0,25.1435604687,10.0
Y1050246,-0.379769181307,0.100272961283,0.0,22.582292713,30.0
Y1050247,0.566515124416,-0.84601134444,0.0,34.2543427453,30.0
Y1050248,1.0863422979,0.0943866315885,0.0,31.7906384107,30.0
Y1050249,3.59967922929,2.69183772349,0.0,31.7271765967,30.0
Y1050250,1.93169584179,4.72487739837,0.0,8.93435545167,10.0
Y1050251,-1.71886703199,1.07431452459,0.0,8.28393264425,0.0
Y1050252,-0.604354405251,-0.0401981021513,0.0,22.0310137934,10.0
Y1050253,-0.379769181307,0.100272961283,0.0,22.582292713,10.0
Y1050254,3.49453652866,2.79698042413,0.0,30.4302821487,20.0
Y1050255,0.826428711158,-0.375812356426,0.0,33.022490578,40.0
Y1050256,0.616143309886,-0.165526955154,0.0,30.4287016819,30.0
Y1050257,-0.169483780036,-0.110012439988,0.0,25.1760816091,40.0
Y1050258,-0.169483780036,-0.110012439988,0.0,25.1760816091,10.0
Y1050259,0.251087022508,-0.530583242532,1.0,78.3039059464,80.0
Y1050260,0.173701579455,-0.818254086857,0.0,31.6280327089,50.0
Y1050261,0.356229723144,-0.635725943168,1.0,79.6008003944,82.0
Y1050262,0.566515124416,-0.84601134444,0.0,34.2543427453,50.0
Y1050263,0.173701579455,-0.818254086857,0.0,31.6280327089,40.0
Y1050264,0.566515124416,-0.84601134444,0.0,34.2543427453,40.0
Y1050265,0.383986980727,-1.02853948813,0.0,34.2218216049,20.0
Y1050266,0.931571411794,-0.480955057062,0.0,34.319385026,40.0
Y1050267,0.356229723144,-0.635725943168,0.0,31.6605538492,30.0
Y1050268,0.383986980727,-1.02853948813,1.0,82.1620681501,60.0
Y1050269,-1.71886703199,1.07431452459,0.0,8.28393264425,10.0
Y1050270,1.96365465355,0.677299425455,0.0,33.7363751994,40.0
Y1050271,-1.71886703199,1.07431452459,0.0,8.28393264425,0.0
Y1050272,-1.71886703199,1.07431452459,0.0,8.28393264425,0.0
Y1050273,-1.5363388883,1.25684266828,0.0,8.31645378462,40.0
Y9999986,-0.141726522453,-0.502825984949,0.0,27.7373493648,58.0
Y9999987,-1.71886703199,1.07431452459,0.0,8.28393264425,27.0
Y9999988,-0.772582726268,0.128030218866,0.0,19.9559826765,33.0
Y9999989,0.173701579455,-0.818254086857,0.0,31.6280327089,59.0
Y9999990,0.320901360345,-0.965453867747,1.0,81.3839314813,63.0
Y9999991,-0.562297324997,-0.0822551824057,0.0,22.5497715726,36.0
Y9999992,0.173701579455,-0.818254086857,0.0,31.6280327089,38.0
Y9999993,-1.01062538512,0.731129165099,0.0,14.8009260248,49.0
Y9999994,-0.98286812754,0.338315620138,0.0,17.3621937805,20.0
Y9999995,0.320901360345,-0.965453867747,0.0,33.4436849361,57.0
Y9999996,-0.352011923725,-0.292540583678,0.0,25.1435604687,54.0
Y9999997,-0.0786409020713,-0.565911605331,0.0,28.5154860336,58.0
Y9999998,-0.141726522453,-0.502825984949,0.0,27.7373493648,49.0
Y9999999,0.278844280091,-0.923396787493,1.0,80.8651737021,73.0
