username,qz_mean,mt_online_num_day,indicator,final_score
Y1050160,-0.333261956652,-0.153072693811,0.0,30.0
Y1050161,-0.115674922277,-0.370659728186,0.0,40.0
Y1050162,-0.605245749621,0.118911099158,0.0,30.0
Y1050163,-1.20361009415,0.717275443689,0.0,0.0
Y1050164,-1.20361009415,0.717275443689,0.0,0.0
Y1050165,-1.20361009415,0.717275443689,0.0,0.0
Y1050166,-0.333261956652,-0.153072693811,0.0,20.0
Y1050167,0.210705629285,-0.697040279748,0.0,30.0
Y1050168,-0.931626301183,0.44529165072,0.0,10.0
Y1050169,-1.20361009415,0.717275443689,0.0,0.0
Y1050170,-1.00149699266,0.91938854518,0.0,10.0
Y1050171,-1.20361009415,0.717275443689,0.0,10.0
Y1050172,-0.605245749621,0.118911099158,0.0,10.0
Y1050173,0.847992799526,-0.930101247007,1.0,70.0
Y1050174,1.05010590102,-0.727988145516,1.0,80.0
Y1050175,-0.255416305233,0.577534060734,0.0,30.0
Y1050176,1.56312562119,-0.432555459721,1.0,90.0
Y1050177,-0.40313264813,0.321024200649,0.0,20.0
Y1050178,-0.115674922277,-0.370659728186,0.0,20.0
Y1050179,1.26769293539,-0.94557517989,1.0,95.0
Y1050180,-0.115674922277,-0.370659728186,0.0,40.0
Y1050181,0.265102387879,-0.751437038342,0.0,20.0
Y1050182,0.482689422254,-0.969024072717,1.0,90.0
Y1050183,-1.20361009415,0.717275443689,0.0,10.0
Y1050184,-1.20361009415,0.717275443689,0.0,10.0
Y1050185,2.57369112864,0.578010047735,1.0,99.0
Y1050186,0.995709142423,-0.673591386922,1.0,85.0
Y1050187,-0.44205547384,-0.0442791766232,0.0,20.0
Y1050188,0.265102387879,-0.751437038342,0.0,45.0
Y1050189,1.2132961768,-0.891178421297,1.0,91.0
Y1050190,0.778122108048,-0.456004352547,1.0,90.0
Y1050191,0.0320414206199,-0.114149868101,0.0,40.0
Y1050192,5.13926571649,4.88428091058,1.0,70.0
Y1050193,-0.822832783996,0.336498133533,0.0,20.0
Y1050194,-0.44205547384,-0.0442791766232,0.0,20.0
Y1050195,0.412818730776,-0.494927178257,0.0,40.0
Y1050196,-0.986023059777,0.499688409314,0.0,10.0
Y1050197,2.24731057708,0.904390599297,1.0,80.0
Y1050198,-0.605245749621,0.118911099158,0.0,20.0
Y1050199,2.12304312701,1.43288425235,0.0,30.0
Y1050200,-0.44205547384,-0.0442791766232,0.0,30.0
Y1050201,0.0475153535038,-0.533850003967,1.0,68.0
Y1050202,0.373895905066,-0.860230555529,1.0,75.0
Y1050203,-1.20361009415,0.717275443689,0.0,10.0
Y1050204,0.42829266366,-0.914627314123,1.0,90.0
Y1050205,0.42829266366,-0.914627314123,1.0,88.0
Y1050206,0.42829266366,-0.914627314123,1.0,70.0
Y1050207,0.101912112097,-0.58824676256,0.0,40.0
Y1050208,-0.00688140508997,-0.479453245373,1.0,70.0
Y1050209,0.762648175165,-0.0363042166809,1.0,85.0
Y1050210,-0.00688140508997,-0.479453245373,0.0,20.0
Y1050211,-0.714039266808,0.227704616345,0.0,40.0
Y1050212,-0.931626301183,0.44529165072,0.0,20.0
Y1050213,-1.20361009415,0.717275443689,0.0,10.0
Y1050214,-0.131148855161,0.0490404076805,0.0,20.0
Y1050215,-0.170071680871,-0.316262969592,0.0,20.0
Y1050216,-0.986023059777,0.499688409314,0.0,10.0
Y1050217,-1.20361009415,0.717275443689,0.0,10.0
Y1050218,-1.20361009415,0.717275443689,0.0,10.0
Y1050219,-0.115674922277,-0.370659728186,0.0,20.0
Y1050220,-0.00688140508997,-0.479453245373,0.0,30.0
Y1050221,0.886915625236,-0.564797869734,1.0,80.0
Y1050222,-0.170071680871,-0.316262969592,0.0,50.0
Y1050223,-0.659642508215,0.173307857752,0.0,20.0
Y1050224,0.754673215222,-1.24100786569,1.0,68.0
Y1050225,0.723725349455,-0.401607593953,1.0,75.0
Y1050226,0.42829266366,-0.914627314123,0.0,40.0
Y1050227,-0.659642508215,0.173307857752,0.0,10.0
Y1050228,-0.115674922277,-0.370659728186,1.0,66.0
Y1050229,1.26769293539,-0.94557517989,1.0,99.0
Y1050230,-1.20361009415,0.717275443689,0.0,0.0
Y1050231,-1.20361009415,0.717275443689,0.0,10.0
Y1050232,-1.20361009415,0.717275443689,0.0,10.0
Y1050233,-1.20361009415,0.717275443689,0.0,10.0
Y1050234,-1.20361009415,0.717275443689,0.0,10.0
Y1050235,-1.20361009415,0.717275443689,0.0,10.0
Y1050236,2.43442573269,4.35531127053,0.0,20.0
Y1050237,-1.20361009415,0.717275443689,0.0,0.0
Y1050238,0.832518866642,-0.510401111141,0.0,40.0
Y1050239,-1.20361009415,0.717275443689,0.0,10.0
Y1050240,-1.20361009415,0.717275443689,0.0,10.0
Y1050241,-0.115674922277,-0.370659728186,0.0,20.0
Y1050242,-0.333261956652,-0.153072693811,0.0,20.0
Y1050243,-1.20361009415,0.717275443689,0.0,10.0
Y1050244,-1.20361009415,0.717275443689,0.0,10.0
Y1050245,-1.20361009415,0.717275443689,0.0,10.0
Y1050246,2.38752794704,2.78530424425,0.0,30.0
Y1050247,0.0165674877361,0.305550267765,0.0,30.0
Y1050248,0.249628454995,-0.331736902476,0.0,30.0
Y1050249,0.373895905066,-0.860230555529,0.0,30.0
Y1050250,-1.20361009415,0.717275443689,0.0,10.0
Y1050251,-1.20361009415,0.717275443689,0.0,0.0
Y1050252,-1.20361009415,0.717275443689,0.0,10.0
Y1050253,-0.768436025402,0.282101374939,0.0,10.0
Y1050254,-0.239942372349,0.157833924868,0.0,20.0
Y1050255,1.34553858681,-0.214968425346,0.0,40.0
Y1050256,0.397344797892,-0.0752270423908,0.0,30.0
Y1050257,0.42829266366,-0.914627314123,0.0,40.0
Y1050258,-1.20361009415,0.717275443689,0.0,10.0
Y1050259,3.54533381039,1.22327217792,1.0,80.0
Y1050260,0.210705629285,-0.697040279748,0.0,50.0
Y1050261,0.886915625236,-0.564797869734,1.0,82.0
Y1050262,0.739199282338,-0.821307729819,0.0,50.0
Y1050263,0.319499146472,-0.805833796935,0.0,40.0
Y1050264,0.591482939441,-1.0778175899,0.0,40.0
Y1050265,0.319499146472,-0.805833796935,0.0,20.0
Y1050266,0.537086180847,-1.02342083131,0.0,40.0
Y1050267,0.793596040932,-0.875704488413,0.0,30.0
Y1050268,0.373895905066,-0.860230555529,1.0,60.0
Y1050269,-0.659642508215,0.173307857752,0.0,10.0
Y1050270,1.46980603688,-0.743462078399,0.0,40.0
Y1050271,-1.20361009415,0.717275443689,0.0,0.0
Y1050272,-1.20361009415,0.717275443689,0.0,0.0
Y1050273,0.273077347821,0.453266610663,0.0,40.0
Y9999986,0.832518866642,-0.510401111141,0.0,58.0
Y9999987,-0.986023059777,0.499688409314,0.0,27.0
Y9999988,0.210705629285,-0.697040279748,0.0,33.0
Y9999989,0.482689422254,-0.969024072717,0.0,59.0
Y9999990,0.645879698035,-1.1322143485,1.0,63.0
Y9999991,0.373895905066,-0.860230555529,0.0,36.0
Y9999992,0.319499146472,-0.805833796935,0.0,38.0
Y9999993,0.700276456629,-1.18661110709,0.0,49.0
Y9999994,-0.822832783996,0.336498133533,0.0,20.0
Y9999995,0.265102387879,-0.751437038342,0.0,57.0
Y9999996,0.42829266366,-0.914627314123,0.0,54.0
Y9999997,0.482689422254,-0.969024072717,0.0,58.0
Y9999998,-0.278865198059,-0.207469452404,0.0,49.0
Y9999999,0.972260249597,-1.45859490006,1.0,73.0
