username,video_stop_backward_seek_sum,qz_mean,watched_time_hour,mt_online_num_day,indicator,predict_score,real_score
Y1050194,1.03847385135,-0.20642031323,-1.45818040696,-1.61594409009,0.0,29.6804346527,20.0
Y1050195,0.892329022004,0.0911632065446,-1.20270272356,-0.683616663074,0.0,34.2715499437,40.0
Y1050196,-1.28341071979,-0.454468126974,-0.279460524811,-0.654880113237,0.0,11.6103460899,10.0
Y1050197,2.493448001,-0.0151748366879,2.21594876825,-0.75545712186,1.0,78.1258538981,80.0
Y1050198,1.59447375237,-0.721413018997,-0.953641159912,-1.58376922865,0.0,32.1454826411,20.0
Y1050199,1.15146356617,1.30473955793,0.406169048265,-0.296272512078,0.0,36.6576206538,30.0
Y1050200,0.426665571363,0.136099221384,0.173679806229,-0.803818094454,0.0,25.3739249352,30.0
Y1050201,1.49908071286,-0.0889985704531,-0.546774109966,-0.722109769219,1.0,77.8859856711,68.0
Y1050202,1.35192815446,-0.332630191819,-0.585714747705,0.0114394787994,1.0,80.9629874078,75.0
Y1050203,-1.21391662192,-0.317010508402,-0.23206759022,0.207890716671,0.0,17.9291198076,10.0
Y1050204,0.859063720574,-1.1620767498,1.44666263808,1.29378034395,1.0,77.1142156943,90.0
Y1050205,0.845540121228,-0.365863664025,-0.318881257263,0.113609300957,1.0,76.3411253321,88.0
Y1050206,0.776546309572,0.09917520075,-1.11611027283,0.566492521262,1.0,82.0312302273,70.0
Y1050207,1.11355140043,-0.126766089597,-1.43478799252,-0.0143206916143,0.0,40.7760438784,40.0
Y1050208,-0.243626118095,0.0162845642208,-0.588621403295,0.667171033092,1.0,72.0382589306,70.0
Y1050209,0.797712785446,-0.18010198346,0.909017943116,0.657289999905,1.0,76.1078389789,85.0
Y1050210,-0.546609682573,-0.199940015926,-0.537372745325,0.556695951551,0.0,27.1540019793,20.0
Y1050211,0.92223762644,0.795859666352,0.246201937142,-1.260613311,0.0,27.8702654619,40.0
Y1050212,0.251823755747,-0.731567257067,-0.196867922186,-0.798517332471,0.0,23.2256792318,20.0
Y1050213,-2.1408264293,-0.446875965569,0.212713208191,-0.0605473106144,0.0,6.51627445514,10.0
Y1050214,0.604275708614,-0.484985421182,-0.272759055258,-1.64291587727,0.0,21.5723492367,20.0
Y1050215,0.42900114996,-0.625138990857,-0.230300038239,-0.208815682297,0.0,28.8977638769,20.0
Y1050216,-1.49895060518,-0.490575647146,-0.17976848632,-0.756287321784,0.0,8.70369339685,10.0
Y1050217,-2.09040518729,-0.433381459318,0.192583305611,-0.00352157071245,0.0,7.41214410234,10.0
Y1050218,-1.48255674323,-0.47476451575,-0.179091991019,-0.662378731812,0.0,9.48360270891,10.0
Y1050219,1.14344091625,-0.0612213899147,-1.42605737322,-0.724616102558,0.0,36.5545199113,20.0
Y1050220,-0.430416445234,-0.976188749442,1.16671793616,0.679656368997,0.0,22.2158929604,30.0
Y1050221,-0.0834144253811,0.384288719336,-0.478480775365,0.745885249106,1.0,74.3636673807,80.0
Y1050222,0.519062097992,-0.181085113474,-1.13120516859,0.00465850268928,0.0,34.6954792763,50.0
Y1050223,-0.302656832768,-0.250532478577,-0.723737556512,-1.05569534814,0.0,19.3177259824,20.0
Y1050224,0.299110237781,-0.260953076108,0.0580417927657,1.15260654193,1.0,77.3751379102,68.0
Y1050225,2.20690069875,-1.47073718144,2.69910678017,0.348618754315,1.0,78.3184726483,75.0
Y1050226,-0.421955239619,0.146916143521,-0.404675337366,1.64221218031,0.0,35.5641273009,40.0
Y1050227,-0.524589133192,-0.167714078148,-0.545231951828,-0.368426500027,0.0,21.4575788694,10.0
Y1050228,0.868492119466,-0.685579085805,0.596386335772,0.648728229751,1.0,76.5760646648,66.0
Y1050229,1.65495157963,-0.306043450254,0.35784342848,0.406012101622,1.0,83.3525664944,99.0
Y1050230,-2.34251139733,-0.500853990576,0.29323281851,-0.288650270222,0.0,2.93279586633,0.0
Y1050231,-1.56538811348,0.42737190982,0.359713399167,-0.276705017025,0.0,11.4777773045,10.0
Y1050232,-0.0578855343993,-1.03540559456,0.91752862178,0.0525074976943,0.0,22.0373409703,10.0
Y1050233,-1.50828622165,-0.405303840482,-0.12055665652,-0.187777425366,0.0,12.2920861209,10.0
Y1050234,-1.64162125932,1.09220705304,0.760470420506,-0.337067296283,0.0,10.5774064704,10.0
Y1050235,-1.42208297798,0.0962565964489,0.10036658729,-0.304700444667,0.0,12.6484506741,10.0
Y1050236,-0.811820272133,2.93027100288,1.29359864309,0.0253492785767,0.0,22.3023990383,20.0
Y1050237,-2.22056965419,-0.50915593177,0.218670262669,-0.420824978392,0.0,3.34835549439,0.0
Y1050238,0.497306097136,3.68342410164,2.06171365492,0.0798226973899,0.0,33.2723818298,40.0
Y1050239,-1.7884488201,-0.234014191661,0.131262044314,-0.0036112656465,0.0,10.6341570296,10.0
Y1050240,-1.45270357497,1.06241806353,0.634254030155,-0.653516527529,0.0,10.4971688837,10.0
Y1050241,-0.29260344314,0.384859396871,-0.374926413597,-0.241324144595,0.0,24.9172978216,20.0
Y1050242,0.497801488684,-1.24594531793,1.58327987351,-0.153992101249,0.0,23.0949708639,20.0
Y1050243,-0.574349043712,-0.641465924107,0.329705475626,0.320341618568,0.0,21.8582860054,10.0
Y1050244,0.095307101467,-1.40461334508,1.72747754775,0.178428791889,0.0,20.9784219227,10.0
Y1050245,-1.30363727034,-0.351527607038,-0.202888625455,0.0371128228705,0.0,15.8856655313,10.0
Y1050246,-0.929046497105,2.19397058074,0.957630910644,-0.262985437981,0.0,18.923281488,30.0
Y1050247,-0.359580535494,0.362465052983,-0.335297780552,0.777198729879,0.0,30.7501321786,30.0
Y1050248,-0.172849661172,0.92489042866,-0.133040433779,0.998024811068,0.0,34.3452459079,30.0
Y1050249,0.195404505139,3.12576295022,0.844651329507,0.67578088419,0.0,37.0299200604,30.0
Y1050250,-1.64158962022,2.8342881274,1.68886765697,-1.20496366604,0.0,5.73874481464,10.0
Y1050251,-2.09189213934,-0.517916452441,0.139989048675,-0.560300702912,0.0,3.78686964741,0.0
Y1050252,-1.04757667014,-0.751436876293,0.529179635051,-0.104815643242,0.0,14.1636474637,10.0
Y1050253,-0.136984793876,-0.502099124662,0.153485564861,-0.161553478577,0.0,23.3696249111,10.0
Y1050254,0.055965073185,3.23669025989,0.978321294906,0.372380316064,0.0,33.6794306575,20.0
Y1050255,2.13344157496,0.0130289965172,1.35513142501,0.371379961183,0.0,43.9990560817,40.0
Y1050256,-0.219739195006,0.315525201405,0.654536320849,0.790256296756,0.0,28.9634034442,30.0
Y1050257,-0.769575219164,-0.0494716575009,-0.33122848081,0.567187080152,0.0,24.9669506825,40.0
Y1050258,-1.23760695446,-0.186879944748,-0.152052513617,-0.0422871721799,0.0,16.1315526933,10.0
Y1050259,0.384843333132,2.30777568488,0.298443439758,0.777615685038,1.0,80.2435738595,80.0
Y1050260,0.647192108576,-0.470721241692,-0.256708246146,0.671465193729,0.0,36.8817410355,50.0
Y1050261,0.207664503285,0.476191533343,-0.585839455007,1.16745583949,1.0,80.1342952272,82.0
Y1050262,0.633154920851,0.261153300375,-0.947921760479,0.602410064339,0.0,39.9046953598,50.0
Y1050263,-0.535466724988,-0.0822079246787,-0.469281366357,1.32636512263,0.0,32.260265545,40.0
Y1050264,1.84901354538,-0.674468840594,0.046059433475,0.0996441454009,0.0,42.3134268052,40.0
Y1050265,1.89730962941,-1.95708910532,2.61477636173,0.707675598399,0.0,36.2661329953,20.0
Y1050266,2.51435180603,-1.0821088775,1.63959449509,0.0584324711296,0.0,42.1846204349,40.0
Y1050267,0.644363928941,0.175753950947,-1.0082790952,0.0318695672162,0.0,36.3226868804,30.0
Y1050268,-0.290777304048,0.0196240411881,-0.543994418152,1.84288935053,1.0,79.097123362,60.0
Y1050269,-1.83829897724,-0.36590892806,0.0919337927113,0.281607128797,0.0,11.8914923383,10.0
Y1050270,1.18827626023,1.95541621739,-0.349564451871,0.190446073492,0.0,43.7428221482,40.0
Y1050271,-2.34251139733,-0.500853990576,0.29323281851,-0.288650270222,0.0,2.93279586633,0.0
Y1050272,-2.34251139733,-0.500853990576,0.29323281851,-0.288650270222,0.0,2.93279586633,0.0
Y1050273,-1.19657231201,0.368537361091,0.128591626025,0.224783334487,0.0,18.5061135428,40.0
Y9999986,1.8591212308,-0.55679563403,0.0989879417314,-0.254174887833,0.0,40.1966135368,58.0
Y9999987,-2.34251139733,-0.500853990576,0.29323281851,-0.288650270222,0.0,2.93279586633,27.0
Y9999988,0.162075430467,-0.214333663961,-0.94930429145,0.0118965732698,0.0,31.0171800635,33.0
Y9999989,0.824019044388,-0.0731998863579,-1.23634901364,0.522864648944,0.0,41.2374428057,59.0
Y9999990,1.21903634337,-0.161031224469,-1.51640897573,-0.307342673674,1.0,80.9117569111,63.0
Y9999991,0.363947261822,-0.553001062266,-0.147719381608,0.308410013828,0.0,31.5722354513,36.0
Y9999992,1.63243653648,-0.21287415251,-1.78416782443,-0.911783544285,0.0,40.3722042573,38.0
Y9999993,-0.287849837904,-0.407191823584,0.29923704526,0.560362546883,0.0,26.475706043,49.0
Y9999994,-1.30601516616,-0.368292962341,-0.212135330022,-0.0719879087334,0.0,15.1535205821,20.0
Y9999995,0.533789928044,-0.165160556614,-1.12950996064,0.100372932678,0.0,35.4697109953,57.0
Y9999996,-0.779452895053,-0.0825242967763,-0.330794161466,1.47914766674,0.0,30.7047549296,54.0
Y9999997,1.52194510827,-1.25460280243,1.01137492892,0.262573164657,0.0,36.4112004688,58.0
Y9999998,0.573274203262,-0.208474082549,-1.1793346995,-0.210452352902,0.0,33.8665682041,49.0
Y9999999,1.88931757171,-0.812501382722,-0.0483945377242,0.287142902714,1.0,84.812696445,73.0
