username,video_stop_backward_seek_sum,qz_mean,watched_time_hour,mt_online_num_day,indicator,predict_score,real_score
Y1050160,0.52018830526,-0.171005439832,-1.1254733835,0.0704446914205,0.0,35.1337420828,30.0
Y1050161,-0.163241444286,-0.0906222261632,-0.686181718392,1.03458204771,0.0,34.2527962959,40.0
Y1050162,0.568017127564,-0.702312347854,-0.35810558902,-0.80621013228,0.0,26.4753442872,30.0
Y1050163,-2.34251139733,-0.500853990576,0.29323281851,-0.288650270222,0.0,2.93279586633,0.0
Y1050164,-1.60870585522,-0.892663323879,0.758860596526,-0.680386906292,0.0,4.57656212327,0.0
Y1050165,-1.98667339133,-0.525079871924,0.0756519433327,-0.674349075144,0.0,4.14543975361,0.0
Y1050166,-0.318972582381,-0.0800198621379,-0.590958283156,1.20338164988,0.0,33.7220873512,20.0
Y1050167,0.984764801141,0.419720812701,0.0357373711439,0.713134040616,0.0,41.0326326259,30.0
Y1050168,0.842869552212,-1.71285240598,2.22240109053,-0.794438677711,0.0,19.0697280744,10.0
Y1050169,-1.5916078089,-0.551976414067,-0.16591504425,-1.10256731052,0.0,5.49176548478,0.0
Y1050170,-1.34307308401,0.276818471444,0.13817099533,-1.41110140323,0.0,6.44306299026,10.0
Y1050171,-1.67566258267,-0.377110777551,-0.0233078326276,-1.01928755035,0.0,5.22618460949,10.0
Y1050172,-0.892020995769,-0.619967801084,0.50815341872,-0.459938758105,0.0,13.5561576707,10.0
Y1050173,0.950940511323,0.222590828126,-1.15293578156,0.146278740278,1.0,81.1983228095,70.0
Y1050174,1.28627274102,0.436613072063,-1.22396436964,0.221690559024,1.0,85.2581172234,80.0
Y1050175,0.773798023824,-0.479599459884,-0.365714556298,-1.71498579557,0.0,22.8740979243,30.0
Y1050176,0.854698268676,0.668863392893,-0.863257110002,-0.219601236746,1.0,78.0367741141,90.0
Y1050177,0.0552073428712,0.114300971167,-0.712237294087,0.000397271310032,0.0,29.9706788246,20.0
Y1050178,0.286440569675,0.149469436958,-0.805729291818,1.20940455614,0.0,40.1503609081,20.0
Y1050179,3.49790498657,-1.4976922299,1.94823118665,-0.648681103667,1.0,85.3245756075,95.0
Y1050180,0.0660635770667,-0.346650449834,0.136336450763,0.735140703141,0.0,31.3019983453,40.0
Y1050181,-0.779452895053,-0.0825242967763,-0.330794161466,1.47914766674,0.0,30.7047549296,20.0
Y1050182,1.40245141971,-0.403778858048,-0.659410502808,-0.490036230575,1.0,78.2389975955,90.0
Y1050183,-2.00973120007,-0.411790249315,0.160375461483,0.0877196131306,0.0,8.84553553786,10.0
Y1050184,-1.41190015551,-0.0903776264364,0.00802435873542,0.705023027064,0.0,19.1577940923,10.0
Y1050185,1.13303851416,1.90162423578,-0.352171112723,-0.12938659156,1.0,82.0275411902,99.0
Y1050186,0.897187388051,0.46310247296,-0.986054055983,0.643426723015,1.0,83.9321712396,85.0
Y1050187,-0.125836979176,-0.110096012661,-0.719753764158,0.88236054539,0.0,33.6562238151,20.0
Y1050188,1.66932365242,1.52005622559,-0.866790634074,-0.739689101748,0.0,42.5890728836,45.0
Y1050189,1.04223210626,0.344893283243,-1.14322760862,-0.228529995388,1.0,79.7925972893,91.0
Y1050190,2.15223476632,-0.448233460456,-0.0147100244259,-0.847741822388,1.0,80.4133697338,90.0
Y1050191,-1.32368634816,-0.147165064984,-0.0780169791655,0.27437207754,0.0,17.2862895636,40.0
Y1050192,1.65376265409,4.69082343272,0.847912256558,-1.16192938138,1.0,81.9846821539,70.0
Y1050193,0.289399478864,-0.42956440914,-0.0430274006803,0.0463504678739,0.0,29.1669287265,20.0
