username,video_backward_seek_avg,video_stop_backward_seek_avg,qz_mean,video_pause_backward_seek_avg,hw_mean,video_stop_backward_seek_sum,indicator,predict_score,real_score
Y1050160,-1.11315761344,0.00694629505625,-0.190507213604,0.0382183177134,-0.102632954232,-0.06248057875,0.0,24.4785521968,30.0
Y1050161,-0.880300392691,-0.267291040477,-0.339748239386,0.339549162983,-0.41747116592,-0.0534914873831,0.0,34.9246004318,40.0
Y1050162,2.29188599784,0.694278092828,2.94581341231,0.107063524943,-0.590762501654,0.36358113866,0.0,39.7677760862,30.0
Y1050163,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,0.0
Y1050164,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,0.0
Y1050165,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,0.0
Y1050166,-0.0288887968248,0.25060377417,1.76567936893,0.990029077149,1.61856061847,-0.288337899617,0.0,19.7792458926,20.0
Y1050167,-1.11685375976,0.0112992685926,-0.188138308456,0.0334352884713,-0.0976355223505,-0.0626232627385,0.0,24.312741909,30.0
Y1050168,-1.3312302487,0.263771736222,-0.0507418085318,-0.243980410343,0.192215529674,-0.0708989341554,0.0,14.6957451214,10.0
Y1050169,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,0.0
Y1050170,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,10.0
Y1050171,-0.86410642863,-0.0456527413688,0.0660593402346,0.273453868657,0.0406466250957,-0.0890324564412,0.0,27.2630536415,10.0
Y1050172,-1.22034585784,0.133182528786,-0.121808963688,-0.100489531601,0.0422925716829,-0.0666184144557,0.0,19.6700538062,10.0
Y1050173,2.13567884554,0.842871263426,-0.817311633805,2.02947482221,0.608512832121,1.26090534471,1.0,66.4806048518,70.0
Y1050174,0.368535842754,-2.2056653659,-1.03795284122,-0.499164572306,0.00218641990869,0.0208868764232,1.0,75.4099364921,80.0
Y1050175,-0.327030721013,-0.27449034642,0.397468986142,0.722293526271,-0.0378313177111,-0.0890851610027,0.0,37.6463828409,30.0
Y1050176,1.54939491754,-2.9173716426,-0.223492119574,-0.85739511249,0.836639642347,0.0621626903904,1.0,85.2276637846,90.0
Y1050177,1.70540747509,2.44866120538,-0.337528339967,-0.605302101763,0.106854238815,1.33478220282,0.0,16.6176680873,20.0
Y1050178,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,20.0
Y1050179,4.52398429671,-0.434059141968,-1.96087189206,-0.406836404759,0.681844584085,0.0820721650119,1.0,96.4499601162,95.0
Y1050180,-0.924654149024,-0.215055357518,-0.311321377332,0.282152811503,-0.357501982741,-0.0552036952625,0.0,32.9348769585,40.0
Y1050181,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,20.0
Y1050182,5.99286333152,0.756916603666,-0.667845668366,1.03359279592,1.66319286084,-0.115425081747,1.0,94.609786686,90.0
Y1050183,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,10.0
Y1050184,-1.27578805329,0.198477132523,-0.086275386099,-0.172234970993,0.117254050701,-0.0687586743062,0.0,17.1828994631,10.0
Y1050185,3.91734479851,-0.942949883442,-2.40251102378,-1.41111467313,0.708372441095,-0.222130239389,1.0,91.9633942675,99.0
Y1050186,3.06910252318,-1.72502677972,1.00423766141,-1.13780170344,-0.125166882435,0.407775289861,1.0,84.0622687433,85.0
Y1050187,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,20.0
Y1050188,1.43446455078,-0.240562720984,2.98613407459,2.56281637206,2.29317868638,-0.466632321623,0.0,42.041637652,45.0
Y1050189,3.00826293028,-1.2513558351,-0.0650046729386,-0.58647187367,-0.576072771869,0.007885596238,1.0,89.1516452521,91.0
Y1050190,4.46849009907,-0.34427347623,1.79586117643,0.497931882978,0.00377685650926,0.483591118406,1.0,87.6796104943,90.0
Y1050191,0.970740571971,-0.0815607196776,2.36270581834,0.975470556175,0.377981451646,0.0222231774416,0.0,38.7456754728,40.0
Y1050192,2.26438563216,-1.55459704068,0.168522175764,-1.04101232593,0.253290175218,0.263393371239,1.0,75.8885131938,70.0
Y1050193,-1.24991502876,0.168006317469,-0.102857722295,-0.138753765968,0.0822720271853,-0.0677598863767,0.0,18.343571489,20.0
Y1050194,0.941192494738,0.774879751914,3.27402625066,-1.72949090699,-1.66464453897,0.840603446948,0.0,17.231576677,20.0
Y1050195,0.650138069457,0.439077061677,0.247956296626,0.333761763152,0.198070495793,0.0869739818216,0.0,35.2013946389,40.0
Y1050196,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,10.0
Y1050197,8.2048316159,3.7688150657,0.389741906367,-0.864941936381,-1.16018853036,-2.52371956292,1.0,81.5910376985,80.0
Y1050198,1.54560574592,2.38315655298,-1.89963692782,0.0493450215803,0.225149703483,2.57983587834,0.0,25.3718659432,20.0
Y1050199,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,13.3692628057,30.0
Y1050200,0.890510674754,0.168492230035,2.71389212908,0.953525432595,1.01360114215,-0.0592184399008,0.0,29.2333454477,30.0
Y1050201,1.74807633858,-1.93097929784,1.22358635923,0.0307134579315,0.976449384198,0.0234096584403,1.0,73.5195454347,68.0
