evaluation_num,kfold_split_num,username,video_backward_seek_avg,video_avg_count,qz_mean,label_val_predict,label_val_test
1,1,Y1050175,-0.0719352329245,0.00607630519469,0.495082603709,37.0547655686,30.0
1,1,Y1050178,-0.491276513497,-0.49110029024,-0.963096093135,14.6013568237,20.0
1,1,Y1050182,0.900502737609,0.507824639495,1.57868328669,85.8232766175,90.0
1,1,Y1050186,2.6104029611,0.858991326673,1.01681626588,79.3036112186,85.0
1,1,Y1050192,1.54592124782,0.983285475532,0.990060693464,78.0817235386,70.0
1,1,Y1050207,0.015728785236,7.94375781162,1.21748305903,54.9628806428,40.0
1,1,Y1050221,-0.491276513497,-0.319660084918,1.12383855556,77.1081234336,80.0
1,1,Y1050227,-0.204967638918,-0.276800033587,-0.695540368944,19.015631514,10.0
1,1,Y1050268,-0.0324481886315,-0.104502627238,1.43152763838,82.2704672346,60.0
1,1,Y1050272,-0.491276513497,-0.49110029024,-0.963096093135,14.6013568237,0.0
1,1,Y9999990,0.092642901988,0.357528726105,1.41814985217,82.5958490245,63.0
1,1,Y9999992,-0.336192539767,0.0917964078559,-0.521629148219,21.8112417161,38.0
1,1,Y9999994,-0.491276513497,-0.456812249176,0.240904665727,32.4993295725,20.0
1,2,Y1050165,-0.491276513497,-0.49110029024,-0.963096093135,14.2085241828,0.0
1,2,Y1050170,-0.491276513497,-0.49110029024,-0.963096093135,14.2085241828,10.0
1,2,Y1050188,0.304025916047,0.39181676717,-0.240695637818,25.9265941857,45.0
1,2,Y1050195,0.558522693291,1.20187173732,0.174015734679,32.2178287495,40.0
1,2,Y1050197,3.17179291115,4.5449557411,1.35126092112,84.2659617979,80.0
1,2,Y1050201,0.820972494988,0.866134668619,0.78939390032,73.3430872286,68.0
1,2,Y1050208,0.08815811349,0.246949793673,0.909793976207,74.1414177848,70.0
1,2,Y1050211,-0.491276513497,-0.405380187579,-0.963096093135,14.1789781284,40.0
1,2,Y1050212,-0.491276513497,-0.49110029024,-0.963096093135,14.2085241828,20.0
1,2,Y1050235,-0.491276513497,-0.49110029024,-0.963096093135,14.2085241828,10.0
1,2,Y1050245,-0.491276513497,-0.49110029024,-0.963096093135,14.2085241828,10.0
1,2,Y1050264,-0.491276513497,-0.193937267738,1.25761641766,47.0553868215,40.0
1,2,Y9999991,-0.491276513497,-0.49110029024,0.883038403787,41.6001017523,36.0
