username,forum_num_days,forum_avg_count,forum_sum_count,video_forward_seek_sum,watched_time_hour,qz_mean,watched_time_weekday,video_pause_backward_seek_avg,indicator,final_score
Y1050160,-0.423214832002,-0.811179741039,-0.00841332020195,0.360685506491,-0.0345835408723,0.230260648772,0.00103109929417,0.000291942250089,0.0,30.0
Y1050161,-0.39097628027,-1.27974623704,0.32046637859,-0.435489036028,-0.836062052411,0.174683633774,0.0114795306065,-0.0089758609344,0.0,40.0
Y1050162,0.254486301471,3.68884458506,0.324927380845,-0.062098533946,2.08167144984,-1.44721741255,-0.0855973230953,0.000519216607912,0.0,30.0
Y1050163,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,0.0
Y1050164,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,0.0
Y1050165,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,0.0
Y1050166,-0.24977313377,0.221976354838,0.721524601462,-1.73449508994,2.19330103621,-1.42930173795,-0.0865621440671,-0.00163235404917,0.0,20.0
Y1050167,-0.329736278723,-0.821165477925,0.113022983303,-0.308329701521,-0.753088150926,0.192839307456,0.0133096439223,-0.00799245072937,0.0,30.0
Y1050168,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,10.0
Y1050169,-0.465285962893,-0.592714906043,-0.433407689578,0.763121423366,0.667224787347,0.481533231975,-0.00144314314427,0.00793137481126,0.0,0.0
Y1050170,-0.538536166027,-0.683028211913,-0.700128201776,0.698418278251,0.607126687848,-1.23101201427,-0.01967507408,0.00714788881589,0.0,10.0
Y1050171,-0.29254558355,-0.33820403038,-0.268322550578,-0.192794490667,-0.223942511121,0.398389238915,0.012382322137,-0.00356421530115,0.0,10.0
Y1050172,-0.409390172729,-0.914029265449,-0.200307877691,-0.0140610595583,-0.0640779019088,0.636249802048,0.0123836393952,-0.000612962709824,0.0,10.0
Y1050173,0.0966294579342,2.57663282865,-1.02012047297,0.108181380087,0.0358231255316,-1.90563524061,-0.0183348534645,-0.00512147245248,1.0,70.0
Y1050174,-0.169597779228,0.904160522833,-1.2157696634,0.538484171105,-0.739411989803,-1.01548253983,0.0189379337672,-0.00335311794494,1.0,80.0
