username,video_backward_seek_avg,problem_num_days,watched_time_weekday,qz_mean,final_score
Y1050160,-0.454877092418,-0.670577045282,-0.725605968694,-0.530781226071,30.0
Y1050161,-0.454877092418,-0.670577045282,-0.725605968694,-0.0740198175427,40.0
Y1050162,1.05960471538,0.776061074877,-0.258884541594,0.317489961196,30.0
Y1050163,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,0.0
Y1050164,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,0.0
Y1050165,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,0.0
Y1050166,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050167,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,30.0
Y1050168,-0.454877092418,-0.670577045282,-0.725605968694,-0.752636767356,10.0
Y1050169,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,0.0
Y1050170,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050171,-0.412808153481,1.74048648832,1.1412797397,-0.85703937502,10.0
Y1050172,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050173,-0.454877092418,0.776061074877,0.207836885505,1.75302581657,70.0
Y1050174,-0.454877092418,1.74048648832,-0.725605968694,1.43981799358,80.0
Y1050175,-0.286601336165,0.293848368157,0.207836885505,0.434942894817,30.0
Y1050176,-0.299545624797,2.70491190175,0.207836885505,1.36151603783,90.0
Y1050177,-0.0762566404694,-0.188364338562,1.1412797397,-0.85703937502,20.0
Y1050178,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050179,0.100432903773,2.22269919504,0.207836885505,1.88352907615,95.0
Y1050180,-0.454877092418,-0.670577045282,0.674558312605,-0.178422425206,40.0
Y1050181,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050182,0.524728203654,1.2582737816,0.207836885505,1.88352907615,90.0
Y1050183,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050184,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050185,0.266304721034,0.293848368157,0.207836885505,1.5572709272,99.0
Y1050186,1.7327077409,1.2582737816,1.1412797397,1.16576114846,85.0
Y1050187,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050188,-0.454877092418,-0.188364338562,3.0081654481,-0.230623729038,45.0
Y1050189,1.61000666879,0.293848368157,1.6080011668,1.79217679444,91.0
Y1050190,2.59211606865,1.2582737816,1.1412797397,1.75302581657,90.0
Y1050191,1.81684561928,0.776061074877,0.207836885505,0.304439635238,40.0
Y1050192,1.09566380582,1.2582737816,2.541444021,0.904754629303,70.0
Y1050193,-0.454877092418,-0.670577045282,-0.725605968694,-0.465529596281,20.0
Y1050194,5.22442968682,-0.188364338562,1.1412797397,-0.66128448565,20.0
Y1050195,-0.303428911639,0.776061074877,0.207836885505,0.29138930928,40.0
