username,video_backward_seek_avg,problem_num_days,watched_time_weekday,qz_mean,final_score
Y1050196,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050197,4.48055185758,1.2582737816,0.674558312605,1.62252255699,80.0
Y1050198,-0.454877092418,-0.670577045282,-0.725605968694,0.0564834420368,20.0
Y1050199,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,30.0
Y1050200,0.371203893469,1.2582737816,0.674558312605,-0.269774706912,30.0
Y1050201,0.316386791294,0.293848368157,0.674558312605,0.708999739934,68.0
Y1050202,-0.382758911023,0.776061074877,0.207836885505,1.10050951867,75.0
Y1050203,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050204,-0.0314735764721,0.776061074877,0.674558312605,1.81827744636,90.0
Y1050205,2.8953402398,1.74048648832,0.207836885505,1.49201929741,88.0
Y1050206,-0.0112410077042,2.70491190175,0.674558312605,1.60947223103,70.0
Y1050207,0.356862209637,-0.188364338562,1.1412797397,0.252238331406,40.0
Y1050208,0.158127448688,3.66933731519,1.6080011668,1.36151603783,70.0
Y1050209,-0.454877092418,4.15155002191,0.674558312605,1.5572709272,85.0
Y1050210,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050211,-0.454877092418,-0.188364338562,0.207836885505,-0.100120469459,40.0
Y1050212,-0.454877092418,-0.188364338562,-0.725605968694,-0.530781226071,20.0
Y1050213,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050214,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050215,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050216,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050217,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050218,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050219,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050220,0.22663972109,-0.670577045282,0.674558312605,-0.400277966491,30.0
Y1050221,0.554777446112,1.2582737816,3.0081654481,1.36151603783,80.0
Y1050222,0.795171383762,1.2582737816,2.0747225939,1.16576114846,50.0
Y1050223,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050224,-0.16640436734,0.293848368157,3.0081654481,1.27016375613,68.0
Y1050225,2.17022470776,1.2582737816,1.1412797397,1.23101277825,75.0
Y1050226,0.2182259331,0.293848368157,1.6080011668,-0.295875358828,40.0
Y1050227,-0.454877092418,-0.670577045282,-0.725605968694,-0.817888397146,10.0
Y1050228,2.06925925391,1.2582737816,2.0747225939,1.10050951867,66.0
Y1050229,0.338422901925,0.293848368157,2.0747225939,1.94878070594,99.0
Y1050230,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,0.0
Y1050231,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050232,3.07891379244,-0.188364338562,0.674558312605,-0.85703937502,10.0
Y1050233,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050234,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050235,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050236,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050237,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,0.0
Y1050238,-0.454877092418,-0.670577045282,-0.725605968694,0.186986701616,40.0
Y1050239,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050240,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050241,0.155122524442,0.293848368157,1.6080011668,-0.85703937502,20.0
Y1050242,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050243,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050244,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050245,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050246,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,30.0
Y1050247,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,30.0
Y1050248,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,30.0
Y1050249,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,30.0
Y1050250,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050251,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,0.0
Y1050252,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050253,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050254,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050255,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,40.0
Y1050256,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,30.0
Y1050257,-0.454877092418,-0.188364338562,-0.725605968694,0.186986701616,40.0
Y1050258,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050259,2.85942367521,1.2582737816,1.1412797397,1.16576114846,80.0
Y1050260,2.37776480729,0.293848368157,1.6080011668,1.16576114846,50.0
Y1050261,-0.454877092418,2.22269919504,-0.725605968694,1.70082451274,82.0
Y1050262,-0.328670275102,-0.188364338562,2.0747225939,0.447993220775,50.0
Y1050263,-0.454877092418,-0.670577045282,-0.725605968694,-0.66128448565,40.0
Y1050264,-0.454877092418,0.776061074877,0.207836885505,0.317489961196,40.0
Y1050265,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,20.0
Y1050266,-0.454877092418,0.293848368157,0.207836885505,0.447993220775,40.0
Y1050267,-0.328670275102,0.293848368157,-0.258884541594,-0.85703937502,30.0
Y1050268,-0.221879890986,1.74048648832,0.674558312605,1.36151603783,60.0
Y1050269,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,10.0
Y1050270,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,40.0
Y1050271,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,0.0
Y1050272,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,0.0
Y1050273,-0.454877092418,-0.670577045282,1.1412797397,-0.269774706912,40.0
Y9999986,0.933397898061,0.293848368157,-0.258884541594,1.42676766762,58.0
Y9999987,-0.454877092418,-0.670577045282,-0.725605968694,0.904754629303,27.0
Y9999988,-0.454877092418,-0.188364338562,-0.258884541594,-0.008768187753,33.0
Y9999989,-0.454877092418,-0.188364338562,0.207836885505,1.16576114846,59.0
Y9999990,0.72178797145,2.22269919504,2.0747225939,1.49201929741,63.0
Y9999991,-0.454877092418,-0.670577045282,-0.725605968694,0.447993220775,36.0
Y9999992,-0.353911638565,-0.188364338562,1.6080011668,-0.100120469459,38.0
Y9999993,0.532828434339,0.776061074877,-0.258884541594,1.20491212634,49.0
Y9999994,-0.454877092418,-0.670577045282,-0.725605968694,0.513244850565,20.0
Y9999995,-0.454877092418,-0.188364338562,1.6080011668,1.42676766762,57.0
Y9999996,-0.454877092418,-0.670577045282,-0.725605968694,1.16576114846,54.0
Y9999997,-0.454877092418,-0.188364338562,-0.258884541594,1.49201929741,58.0
Y9999998,-0.334680123594,-0.670577045282,-0.258884541594,1.16576114846,49.0
Y9999999,-0.340143622269,-0.188364338562,0.207836885505,1.88352907615,73.0
