number_of_comp,pMAPC,pMSE
1.0,0.76370643015,117.290025698
2.0,0.764962846194,116.318045237
3.0,0.833199833423,60.7652121933
4.0,0.854592752815,43.6314946072
5.0,0.856230800154,42.4294222026
6.0,0.860765760056,40.1479360938
